image,Date,Geography,Medium,Dimensions,Classification,Credit Line,Who,Description,Provenance,EA_id
http://images.metmuseum.org/CRDImages/ap/web-large/DT71.jpg,1836,,Oil on canvas,51 1/2 x 76 in. (130.8 x 193 cm),Paintings,"Gift of Mrs. Russell Sage, 1908",Thomas Cole,"Long known as ""The Oxbow,"" this work is a masterpiece of American landscape painting, laden with possible interpretations. In the midst of painting ""The Course of Empire"" (New-York Historical Society), Cole mentioned in a letter dated March 2, 1836, to his patron Luman Reed that he was executing a large version of this subject expressly for exhibition and sale. The picture was shown at the National Academy of Design in 1836 as ""View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm."" Cole's interest in the subject probably dates from his 1829-32 trip to Europe, during which he made an exact tracing of the view published in Basil Hall's ""Forty Etchings Made with the Camera Lucida in North America in 1827 and 1828."" Hall criticized Americans' inattentiveness to their scenery, and Cole responded with a landscape that lauds the uniqueness of America by encompassing ""a union of the picturesque, the sublime, and the magnificent."" Although often ambiguous about the subjugation of the land, here the artist juxtaposes untamed wilderness and pastoral settlement to emphasize the possibilities of the national landscape, pointing to the future prospect of the American nation. Cole's unequivocal construction and composition of the scene, charged with moral significance, is reinforced by his depiction of himself in the middle distance, perched on a promontory painting the Oxbow. He is an American producing American art, in communion with American scenery. There are both sketchbook drawings with annotations and related oil sketches of this subject. Many other artists copied or imitated the painting.","Charles N. Talbot, New York, by June 1838-died 1874; his estate; Mrs. Russell Sage, New York, until 1908",84ba3437b452
http://images.metmuseum.org/CRDImages/ap/web-large/DT58.jpg,1771,,Oil on canvas,49 1/2 x 40 in. (125.7 x 101.6 cm),Paintings,"Gift of Bayard Verplanck, 1949",John Singleton Copley,"Daniel Crommelin Verplanck (1762-1834) was born in New York and spent the early part of his life in the family home on lower Wall Street. He was the eldest son of Judith Crommelin and Samuel Verplanck (39.173). While attending Columbia College (formerly King's College), he married Elizabeth Johnson, daughter of the president of Columbia. They had two children. Following her death in 1789, Verplanck married Ann Walton, with whom he had seven children. They lived on Wall Street until 1803 and then moved to Fishkill-on-Hudson, New York. He represented Dutchess County in Congress from 1803 until 1809. The portrait was painted in 1771 when Daniel was nine years old. The background has traditionally been identified as a view from the Verplanck country house at Fishkill, looking toward Mount Gulian.","The subject's son, Gulian Crommelin Verplanck, Fishkill, New York, 1834-died 1870; W. E. Verplanck, Fishkill, by 1892-1935?; W. Everett Verplanck, Salem, Massachusetts, by 1938-49; with M. Knoedler and Company, New York, 1949; Bayard Verplanck, Fishkill-on-Hudson, New York, 1949",a39b65e1b7d4
http://images.metmuseum.org/CRDImages/ap/web-large/DT2583.jpg,"1887, replica 1908",,Oil on canvas,33 1/2 x 47 1/8 in. (85.1 x 119.7 cm),Paintings,"Gift of friends of the artist, through August F. Jaccaci, 1908",Kenyon Cox,,,c4cf9a7de849
http://images.metmuseum.org/CRDImages/ap/web-large/DT86.jpg,1871,,Oil on canvas,32 1/4 x 46 1/4 in. (81.9 x 117.5 cm),Paintings,"Purchase, The Alfred N. Punnett Endowment Fund and George D. Pratt Gift, 1934",Thomas Eakins,"Returning to Philadelphia from Europe in 1870, Eakins began a series of representations of the sport of sculling, a subject with which he is uniquely identified. This, the first major work in the series, probably commemorates the victory of Max Schmitt (1843-1900), an attorney and skilled amateur rower, in an important race held on the Schuylkill River in October 1870. Also an avid rower, Eakins depicted himself pulling the oars of a scull in the middle distance. Eakins constructed the painting according to the academic principles espoused by his primary Parisian teacher, Jean-Léon Gérôme.","Max Schmitt, Philadelphia; his wife, Mrs. Louise S. M. Nache, until 1930; Mrs. Thomas Eakins, Philadelphia, 1930-33; with Babcock Galleries, New York, 1930-31; with Milch Galleries, New York, 1934",ac56df66cba8
http://images.metmuseum.org/CRDImages/ap/web-large/DT60.jpg,1789,,Oil on canvas,83 x 51 in. (210.8 x 129.5 cm),Paintings,"Bequest of Susan W. Tyler, 1979",Ralph Earl,"Earl portrayed the richly dressed dry goods merchant Elijah Boardman (1760-1823) in his store in New Milford, Connecticut. His right hand rests on a counting desk protected and decorated by green cloth secured with brass nails. The shelves of the desk house books, including Moore's ""Travels,"" Shakespeare's plays, Milton's ""Paradise Lost,"" Johnson's dictionary, and the ""London Magazine"" for 1786. Through the open paneled door to the right of the subject, bolts of plain and patterned textiles, including one with a prominently displayed British tax stamp, invite inspection and tell the viewer how Boardman earned a living, just as the books in his desk and the letter in his hand speak of his learning and awareness of culture. Earl also painted Esther Boardman, sister to Elijah (1991.338).","By descent, Cornelius Boardman Tyler, Plainfield, New Jersey, died 1955; Mrs. Cornelius Boardman (Susan W.) Tyler, Fairfield, New Jersey, died 1979",193081fb118b
http://images.metmuseum.org/CRDImages/ap/web-large/DT81.jpg,1862,,Oil on canvas,48 x 39 7/8 in. (121.9 x 101.3 cm),Paintings,"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914",Sanford Robinson Gifford,"From 1845 until his death in 1880, Gifford chose Kauterskill Clove in the Catskill Mountains as one of his favorite subjects. This painting, dated 1862, was called ""Kauterskill Falls"" in the catalogue of the 1876 New York Centennial Loan Exhibition of Paintings, as well as in the 1881 official catalogue of Gifford's work. The title has since been changed to ""Kauterskill Clove,"" for the view is from the east, looking west to Haine's Falls at the head of the clove.","Morris K. Jesup, New York, by 1876-died 1908; his wife, Maria DeWitt Jesup, New York, 1908-died 1914",62f0b39fe0d6
http://images.metmuseum.org/CRDImages/ap/web-large/DT79.jpg,1859,,Oil on canvas,28 x 44 in. (71.1 x 111.8 cm),Paintings,"Gift of Erving Wolf Foundation and Mr. and Mrs. Erving Wolf, in memory of Diane R. Wolf, 1975",Martin Johnson Heade,"Heade became a good friend of the acclaimed landscape painter Frederic Church (1826-1900), but he worked on the periphery of the Hudson River School. He specialized not in dramatic wilderness subjects, as many of the school did, but preferred more prosaic marshlands and coastal settings. Even when he painted storms, as here, he portrayed not the actual tempest, but its tense preamble of blackening sky and eerily illumined terrain. This painting was based on a sketch of an approaching storm that Heade witnessed on Rhode Island's Narragansett Bay about 1858. The image became the basis for a more elaborate and synthetic version of the subject painted in 1868 (Amon Carter Museum, Fort Worth, Texas).","William H. Chapman, New York, and East Orange, New Jersey, until died 1891; his wife, Helen Chapman, Oakland, Florida, and Bethlehem, Pennsylvania, 1891-1905; his son, Niles Chapman, Indianapolis, 1905-44; descended in the family of Helen W. Fleischer, 1944-69; Thomas Fleischer, Bethlehem, Pennsylvania, 1969-73; his son, David N. Fleischer, Bethlehem 1973-75; the Erving Wolf Foundation and Mr. and Mrs. Erving Wolf, New York, 1975 (Mr. and Mrs. Wolf retained one-third interest until 1977)",d3cad4d6c46d
http://images.metmuseum.org/CRDImages/ap/web-large/DP140858.jpg,1899,,Oil on canvas,28 1/8 x 49 1/8 in. (71.4 x 124.8 cm),Paintings,"Catharine Lorillard Wolfe Collection, Wolfe Fund, 1906",Winslow Homer,"""The Gulf Stream"" was based upon studies made during Homer's two winter trips to the Bahamas in 1884-85 and 1898-99. First exhibited at the Pennsylvania Academy of the Fine Arts in Philadelphia in 1900, the picture was subsequently reworked and ""improved"" by the artist. Early photographs show changes to the sea and to the back of the ship, making the composition more dramatic and vivid. The painting was shown in this state at the Carnegie Institute in Pittsburgh in 1900-01, and then at M. Knoedler and Co. in New York, where the artist placed on the picture the record-asking price of $4,000. There were problems selling the work because of either its high price or its unpleasant subject matter. Homer may have reworked the painting again in the face of this criticism in order to add the rigger on the horizon that signals hope and rescue from the perils of the sea.","the artist (1899-1906); M. Knoedler and Company, New York (1906)",e836febbb1ee
http://images.metmuseum.org/CRDImages/ap/web-large/DT83.jpg,1866,,Oil on canvas,24 x 38 in. (61 x 96.5 cm),Paintings,"Gift of Mrs. Frank B. Porter, 1922",Winslow Homer,"The material that Homer collected as an artist-correspondent during the Civil War provided the subjects for his first oil paintings. In 1866, one year after the war ended and four years after he reputedly began to paint in oil, Homer completed this picture, a work that established his reputation. It represents an actual scene from the war in which a Union officer, Brigadier General Francis Channing Barlow (1834-1896) captured several Confederate officers on June 21, 1864. The background depicts the battlefield at Petersburg, Virginia. Infrared photography and numerous studies indicate that the painting underwent many changes in the course of completion.","With Samuel Putnam Avery, New York, 1866; John Taylor Johnston, New York, 1866-76; sale, Somerville Art Gallery, New York, December 20, 1876, no. 181; Robert Lenox Kennedy, New York, 1876-died 1887; his sister, Mary Lenox Kennedy, New York, 1887-died 1917; her great-grandniece, Rachel Lenox Kennedy (Mrs. Frank B.) Porter, New York, until 1922",fdcced306cf3
http://images.metmuseum.org/CRDImages/ap/web-large/DT85.jpg,1870-71,,Oil on canvas,48 x 73 3/8 in. (121.9 x 186.4 cm),Paintings,"Gift of Frederic H. Hatch, 1926",Eastman Johnson,"Alfrederick Smith Hatch (1829-1904) was a prominent Wall Street broker in the firm of Fisk and Hatch and president of the New York Stock Exchange from 1883 to 1884. Like many of his business associates, he was an enthusiastic collector of art. One of the finest paintings in his collection was this commissioned group portrait showing three generations of his family. It depicts them in the library of their New York residence at 49 Park Avenue, on the northeast corner of 39th Street. Hatch is seated to the right at his desk, and his wife, the former Theodosia Ruggles (1829-1908), leans on the mantel. Other members of the family, including Theodosia's mother, Hatch's father, and their children are also present.","Alfrederick Smith Hatch, New York, 1871-died 1904; his son, Frederic H. Hatch, New York, by 1926",0a95e8a70a09
http://images.metmuseum.org/CRDImages/ap/web-large/DP215410.jpg,1851,,Oil on canvas,149 x 255 in. (378.5 x 647.7 cm),Paintings,"Gift of John Stewart Kennedy, 1897",Emanuel Leutze,"Leutze's depiction of Washington's attack on the Hessians at Trenton on December 25, 1776, was a great success in America and in Germany. Leutze began his first version of this subject in 1849. It was damaged in his studio by fire in 1850 and, although restored and acquired by the Bremen Kunsthalle, was again destroyed in a bombing raid in 1942. In 1850, Leutze began this version of the subject, which was placed on exhibition in New York during October of 1851. At this showing Marshall O. Roberts bought the canvas for the then-enormous sum of $10,000. In 1853, M. Knoedler published an engraving of it. Many studies for the painting exist, as do copies by other artists.","With Goupil, Vibert and Company, Paris and New York, 1851-52; Marshall O. Roberts, New York, 1852-died 1880; his estate, 1880-97; sale, Ortgies and Company, Fifth Avenue Art Galleries, New York, January 20, 1897, no. 172; John S. Kennedy, New York, 1897",31e44da46c06
http://images.metmuseum.org/CRDImages/ap/web-large/DT69.jpg,ca. 1836-37,,Oil on canvas,73 3/4 x 57 5/8 in. (187.3 x 146.4 cm),Paintings,"Bequest of Herbert L. Pratt, 1945",Samuel F. . Morse,"The full-length portrait of Susan Walker Morse (1819-1885), the eldest daughter of the artist, was painted during the crucial years of the invention of Morse's telegraph (ca. 1835-37). The painting shows the girl at about the age of seventeen, sitting with a sketchbook in her lap and pencil in hand with her eyes raised in contemplation. Although traditionally described as a Muse, the figure is more likely a personification of the art of drawing or design. Morse drew on the full extent of his European training, taking from the works of Rubens and Veronese in what was to be an ambitious farewell to his career as an artist. Stymied by a lack of financial success, he abandoned painting for science and inventing. This painting was first exhibited at the National Academy of Design in 1837, where it won enthusiastic praise. Susan married Edward Lind in 1839 and moved to his sugar plantation in Puerto Rico, returning often to New York to spend extended periods with her father, who had been left a widower when Susan was just six. She gradually grew less and less happy with her husband and plantation life. Lind died in 1882; in 1885, Susan set out to return to New York permanently but tragically was lost at sea.","The artist, New York, 1837-died 1872; his second wife, Mrs. Samuel F. B. (Sarah Griswold) Morse, Poughkeepsie, New York, died 1902; his granddaughter, Susan Lind Morse (Mrs. George Kellogg) Perry, died 1910; George K. Perry, 1910-ca. 1917; Herbert Lee Pratt, Glen Cove, New York, ca. 1917-45",03fe2901add4
http://images.metmuseum.org/CRDImages/ap/web-large/DP167126.jpg,ca. 1779-81,,Oil on canvas,95 x 61 3/4 in. (241.3 x 156.8 cm),Paintings,"Gift of Collis P. Huntington, 1897",Charles Willson Peale,"On January 18, 1779, the Supreme Executive Council of Pennsylvania passed a resolution commissioning a portrait of George Washington for the Council Chamber and selected Charles Willson Peale as the artist. In preparation, Peale traveled to the Princeton and Trenton battlefields in February of 1779 to make sketches for the background. The original portrait, the full-length version now in the Pennsylvania Academy of Fine Arts, was a tremendous success and Peale completed numerous copies for royal palaces abroad, each time updating the general's military dress. This figure of George Washington was probably painted between June and August of 1780. In every other version, Washington is shown after the Battle of Princeton, but here he is depicted after the Battle of Trenton, the turning point of the war. It has been suggested that this portrait was commissioned upon the order of Mrs. Washington, because it is the only portrait in which Washington wears his state sword and because the painting descended in the Washington family.","The sitter's niece, Harriet (Mrs. Andrew Parks), until 1822; her daughter, Mary Parks (Mrs. Milton Hanford); her cousin, Miss Bell, Tooting, Surrey, England; with Samuel Putnam Avery, Jr., New York, 1896; Collis P. Huntington, New York, 1896-97",e9b19c4474d3
http://images.metmuseum.org/CRDImages/ap/web-large/DT2063.jpg,1835-40,,Oil on canvas,37 7/8 x 34 1/4 in. (96.2 x 87 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1962",Ammi Phillips,,"Massachusetts art market, 1959; Edgar William and Bernice Chrysler Garbisch, Cambridge, Maryland, 1959-1962",56e686dc72b5
http://images.metmuseum.org/CRDImages/ap/web-large/DT56.jpg,1765,,Oil on canvas,36 x 50 1/4 in. (91.4 x 127.6 cm),Paintings,"Gift of Samuel P. Avery, 1897",Matthew Pratt,"The picture depicts a scene in the London studio of Benjamin West, who is generally agreed to be the figure standing at the left. Based on comparisons to self-portraits, Pratt is the man at the easel, an accomplished portrait painter. The identities of the other artists represented in the picture remain uncertain, but they are younger and they draw rather than paint. The composition explores the academic tradition as carried out among Americans in late-eighteenth century London.","the artist's son, Nathan Pratt, Philadelphia (until 1805); the artist's great-granddaughter, Rosalie V. Tiers Jackson, Philadelphia (by 1887); Samuel Putnam Avery Sr., New York (by 1896-97)",3e43e9cfd025
http://images.metmuseum.org/CRDImages/ap/web-large/DP227346.jpg,"1895, revised 1909, cast by November 1910",,Bronze,32 1/4 x 27 1/4 x 15 in. (81.9 x 69.2 x 38.1 cm),Sculpture,"Bequest of Jacob Ruppert, 1939",Frederic Remington,,"Jacob Ruppert Jr., died 1939",24dd313efff9
http://images.metmuseum.org/CRDImages/ap/web-large/DT2570.jpg,"1892-1903; this cast, 1914 or after (by 1916)",,"Bronze, gilt","38 x 9 1/2 x 18 1/2 in., 203lb. (96.5 x 24.1 x 47 cm)",Sculpture,"Rogers Fund, 1917",Augustus Saint-Gaudens,"This sculpture is a reduction of the Victory that is part of the Sherman Monument (1903; New York, Grand Army Plaza). The famed equestrian statue, dedicated to the Civil War hero William Tecumseh Sherman (1820-1891), is one of Manhattan's finest public sculptures, and a noble heir to the equestrian tradition begun in ancient Rome and continued through the Renaissance. Saint-Gaudens' ""Victory"" has traditional attributes—a laurel crown and a palm leaf—and is depicted by Saint-Gaudens as a guiding force. Her outstretched right arm leads the obediant horse, upon which sits a battle-hardened General Sherman. Saint-Gaudens painstakingly arranged drapery on numerous nude models for ""Victory"" before settling on what he believed was the perfect flow of her robe. Letters written by Saint-Gaudens near the completion of the monument reveal his triumphant feelings about the monument, and the figure of ""Victory."" In a letter to his niece, Rose S. Nichols, he wrote, ""It's the greatest 'Victory' anybody ever made. Hooraah!""",,ad5e1ae19401
http://images.metmuseum.org/CRDImages/ap/web-large/DT91.jpg,1883-84,,Oil on canvas,82 1/8 x 43 1/4 in. (208.6 x 109.9 cm),Paintings,"Arthur Hoppock Hearn Fund, 1916",John Singer Sargent,"Madame Pierre Gautreau (the Louisiana-born Virginie Amélie Avegno; 1859-1915) was known in Paris for her artful appearance. Sargent hoped to enhance his reputation by painting and exhibiting her portrait. Working without a commission but with his sitter’s complicity, he emphasized her daring personal style, showing the right strap of her gown slipping from her shoulder. At the Salon of 1884, the portrait received more ridicule than praise. Sargent repainted the shoulder strap and kept the work for over thirty years. When, eventually, he sold it to the Metropolitan, he commented, “I suppose it is the best thing I have done,?but asked that the Museum disguise the sitter’s name.","The artist, 1884-1916",52906338b4ad
http://images.metmuseum.org/CRDImages/ap/web-large/DT2573.jpg,"1863, cast 1891",,Bronze,19 1/2 x 14 3/4 x 9 3/4 in. (49.5 x 37.5 x 24.8 cm),Sculpture,"Gift of Charles Anthony Lamb and Barea Lamb Seeley, in memory of their grandfather, Charles Rollinson Lamb, 1979",John Quincy Adams Ward,"Ward probably began ""The Freedman"" following Abraham Lincoln's Emancipation Proclamation, issued on September 22, 1862. The sculptor exhibited a model to acclaim in the annual exhibition of the National Academy of Design in spring 1863. Contemporary appreciation for the statuette arose from a desire for art that addressed current issues rather than less tangible themes unrelated to American life. Not only does ""The Freedman"" comment on the chief political, social, and moral topic of the era, but it also proclaims Ward's abolitionist sentiments. The seminude man sits on a tree stump, the manacle on his left wrist and the chain in his right hand potent reminders of his former servitude. Enhancing the statuette's powerful theme is Ward's commitment to realism. The fidelity to physiognomy and anatomical accuracy of the twisting body reveal an unprecedented naturalism in nineteenth-century American sculpture.","Charles Rollinson Lamb, died 1942; the Lamb family, until 1979",29bf1f0abe3b
http://images.metmuseum.org/CRDImages/ap/web-large/DT202891.jpg,1895,,Oil on canvas,24 1/4 x 33 3/4 in. (61.6 x 85.7 cm),Paintings,"Gift of Mrs. John A. Rutherfurd, 1914",Julian Alden Weir,,"the artist, at least until 1910; Mrs. John A. Rutherfurd, New York, by 1910-1914",cb24ca1faefd
http://images.metmuseum.org/CRDImages/ap/web-large/DT2780.jpg,ca. 1870-80,,Oil on canvas,27 x 53 1/8 in. (68.6 x 134.9 cm),Paintings,"John Stewart Kennedy Fund, 1912",James McNeill Whistler,,"Thomas Way, London, by 1879 (purchased from auctioneers before the sale of Whistler's White House, 1879); his son, Thomas R. Way, London, until at least 1905; Alexander Arnold Hannay, London, after 1905-at least 1910; with Percy M. Turner, London, 1912",67b7f41181ee
http://images.metmuseum.org/CRDImages/ap/web-large/DP105577.jpg,ca. 1810,,Watercolor on ivory,4 x 3 in. (10.2 x 7.6 cm),Paintings,"Gift of Mrs. John R. Wadleigh, 1993",Joseph Wood,,"in the artist's family; the artist's daughter, Maria Ray; the artist's great granddaughter, Helen Baily Chandler; her niece, Mrs. John R. Wadleigh, until 1993",bd0004599236
http://images.metmuseum.org/CRDImages/ap/web-large/DT9348.jpg,ca. 1905,,Oil on canvas,25 x 30 in. (63.5 x 76.2 cm),Paintings,"George A. Hearn Fund, 1921",William James Glackens,,,c94d9eb13863
http://images.metmuseum.org/CRDImages/ap/web-large/DP227273.jpg,"1918, cast by 1919",,Copper alloy (Bronze),33 x 26 x 8 3/4 in. (83.8 x 66 x 22.2 cm),Sculpture,"Purchase, Friends of the American Wing Fund, Mr. and Mrs. S. Parker Gilbert Gift, Morris K. Jesup and 2004 Benefit Funds, 2010",James Earle Fraser,,"F. E. Drake, Cleveland, Ohio, by 1919; Kennedy Galleries, New York; private collection, Wichita, Kansas, until 2004; Gerald and Kathleen Peters, Jackson Hole, Wyoming, 2004-9; Gerald Peters Gallery, New York, 2009-present.",6fc0bc147dbe
