artist,title,year,description,image,EA_id
Honoré Daumier,"Inconvénient des jupons á ressort en acier, quand ce ressort vient á se casser (The trouble of steel-reinforced petticoats when the spring breaks)","August 18, 1857",Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer. ,http://hammer.ucla.edu/image/994/600/450.JPG,d2613959b96e
Honoré Daumier,NADAR élevant la Photographie á la hauteur de l’Art. (NADAR elevating photography to the level of Art.),"May 25, 1862",Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/995/600/450.JPG,07dddaf2ee64
Honoré Daumier,"LES BLANCHISSEURS Le bleu s’en va mais ce diable de rouge tient comme du sang (THE LAUNDERERS The blue is washing out, but this red stains like blood).",c. 1832,Lithograph with hand coloring. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/997/600/450.JPG,3e720f50c1f8
Honoré Daumier,"RUE TRANSNONAIN, LE 15 AVRIL 1834",1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/999/600/450.JPG,19cf6deaf27a
Nadar,Honoré Daumier,c. 1870s,Photographic Print. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.     ,http://hammer.ucla.edu/image/988/600/450.JPG,55b46c7c0543
Katsushika Hokusai,Kanagawa oki namiura (Fuji behind the waves off Kanagawa [The Great Wave]),1831-1833,Full-color woodcut (nishiki-e). Collection UCLA Grunwald Center for the Graphic Arts. Purchased from the Frank Lloyd Wright Collection. ,http://hammer.ucla.edu/image/971/600/450.JPG,1a5c6ea05b5c
Giorgio Ghisi,Allegory of Life,1561,Engraving. Collection UCLA Grunwald Center for the Graphic Arts. Purchase.,http://hammer.ucla.edu/image/966/600/450.JPG,bb1ba67d51cd
Albrecht Dürer,St. Michael Fighting the Dragon,1511,"Woodcut. Collection UCLA Grunwald Center for the Graphic Arts. Purchased with funds provided by The Wolfen Family Acquisition Fund, Charlene and Sanford Kornblum, and Various Donors.",http://hammer.ucla.edu/image/972/600/450.JPG,19c55c833550
Ernst Ludwig Kirchner,Stadtbahnbogen (Tramway Arch),1915,Color lithograph. Collection UCLA Grunwald Center for the Graphic Arts. Gift of Mr. Virgil Whirlaw. ,http://hammer.ucla.edu/image/965/600/450.JPG,326bcffe8f84
Edgar Degas,La Toilette (les bras)[The Toilette{arms}] ,1880-1885,Monotype. Collection UCLA Grunwald Center for the Graphic Arts. Given through the UCLA Art Council by B. Gerald Cantor. ,http://hammer.ucla.edu/image/967/600/450.JPG,3ed776245ac5
Felix Vallotton,Le Bain,October - December 1894,Woodcut. Collection UCLA Grunwald Cetner for the Graphic Arts. Gift of Mrs. Fred Grunwald. ,http://hammer.ucla.edu/image/969/600/450.JPG,33d8cde07f74
Utagawa Hiroshige,"Shono hakuu (Light rain at Shono, number 46)",1832-1833,Full-color woodcut. Collection UCLA Grunwald Center for the Graphic Arts. Purchased from the Frank Lloyd Wright Collection. ,http://hammer.ucla.edu/image/973/600/450.JPG,615e05c05457
Paul Cézanne,Les Grands Baigneurs (The Large Bathers),1896,Color lithograph. Collection UCLA Grunwald Center for the Graphic Arts. Gift of Mrs. Barbara Reis Poe. ,http://hammer.ucla.edu/image/975/600/450.JPG,d557a1591ac4
Rembrandt Harmensz van Rijn,Landscape with Three Gabled Cottages beside a Road,1650,Etching and drypoint. Collection UCLA Grunwald Center for the Graphic Arts. Rudolf L. Baumfeld Bequest. ,http://hammer.ucla.edu/image/976/600/450.JPG,39211519f5c1
Jacques Callot,Recruitment of Troops,1633,Etching. Collection UCLA Grunwald Center for the Graphic Arts. Purchased in part with funds provided by the UCLA Art Council. ,http://hammer.ucla.edu/image/977/600/450.JPG,f292d0d5464c
Gerhard Marcks,Maja,1941,"Gift of Mr. and Mrs. Jack Warner and the UCLA Art Council, 1970. Franklin D. Murphy Sculpture Garden, Hammer Museum, University of California, Los Angeles. Photo by Joshua White. ",http://hammer.ucla.edu/image/1019/600/450.JPG,52ecb7833427
August Rodin,The Walking Man,1905,"Bronze, H: 83.75. Given by the UCLA Alumni Association and an Anonymous Donor as a tribute to Franklin D. Murphy, 1967. Photo by Joshua White. ",http://hammer.ucla.edu/image/1012/600/450.JPG,fdd1882d4478
David Smith,Cubi XX,1964,"Welded stainless steel. H: 111 in. Gift of David E. Bright, 1967. © Estate of David Smith/Licensed by VAGA, New York, NY. Photo by Joshua White. ",http://hammer.ucla.edu/image/1010/600/450.JPG,ce2cd5cee743
Jean (Hans) Arp,Fruit hybride dit la Pagode (Hybrid Fruit Called Pagoda),1934,"Bronze, H: 37.25 in. Edition:3/3. Gift of Mrs. David E. Bright, 1967. © 2000 Artists Rights Society (ARS), New York/VG Bild-Kunst, Bonn Reproduction, including downloading of Arp, Miró and Calder works is prohibited by copyright laws and international conventions without the express written permission of Artists Rights Society (ARS), New York. ",http://hammer.ucla.edu/image/1009/600/450.JPG,1605fe4f00b4
Vito Acconci,Seedbed,1972,"Photo documentation. Courtesy Gladstone Gallery, New York. ©Vito Acconci.",http://hammer.ucla.edu/image/1022/450/450.JPG,fa53b7fa4ab6
Martha Rosler,"Still from If It's Too Bad To Be True, It Could Be DISINFORMATION",1985,Color video. 16:26 min. Courtesy of the artist.,http://hammer.ucla.edu/image/1026/450/450.JPG,1256db92e119
Bill Viola,Still from The Space Between the Teeth,1976,"Videotape, color, and mono sound. Courtesy Bill Viola Studio; photo by Kira Perov.",http://hammer.ucla.edu/image/1024/450/450.JPG,35425246be23
Gordon Matta-Clark,Still from Freshkill,1972,"Color film. 12:56 min. Courtesy the Estate of Gordon Matta-Clark and David Zwirner, New York.",http://hammer.ucla.edu/image/1023/450/450.JPG,20805649ad60
William Wegman,Still from Deodorant,1972,Black and white video with sound. 1 min. Courtesy of the artist.,http://hammer.ucla.edu/image/1027/450/450.JPG,75a8a3c21e75
Chris Burden,Still from Shoot,1971,"Video with sound. 4 min. Courtesy of the artist and Gagosian Gallery, Beverly Hills.",http://hammer.ucla.edu/image/1021/450/450.JPG,72da83c2755c
