origin,audio_url,nationality,category,dates,name,title,technique,image_url,dimension,birthDate,deathDate,EA_id
"Made in United States, North and Central America",,American,American Art,1874,Winslow Homer,A Temperance Meeting,Oil on canvas,http://www.philamuseum.org/images/cad/large/1956-118-1-CX.jpg,20 3/8 x 30 1/8 inches (51.8 x 76.5 cm),1836,1910,77078dba0060
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American,American Art,c. 1758-64,Henry Benbridge,Achilles among the Daughters of Lycomedes,Oil on canvas,http://www.philamuseum.org/images/cad/large/1990-88-1.jpg,26 1/4 x 42 1/4 inches (66.7 x 107.3 cm),1743,1812,699d3f7e51ab
"Made in Philadelphia, Pennsylvania, United States, North and Central America",http://www.philamuseum.org/audio/collections/historicAmericaFamilyTour/694.mp3,American,American Art,1898-99,Thomas Eakins,Between Rounds,Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg,50 1/8 x 39 7/8 inches (127.3 x 101.3 cm),1844,1916,0713902d6811
"Made in United States, North and Central America",,American,American Art,1891,Winslow Homer,A Huntsman and Dogs,Oil on canvas,http://www.philamuseum.org/images/cad/large/E1924-3-8-CX.jpg,"28 1/8 x 48 inches (71.4 x 121.9 cm)
Framed: 37 x 57 inches (94 x 144.8 cm)",1836,1910,1d258eecf243
"Made in United States, North and Central America",,American,American Art,"1863, retouched and redated in 1880",Sanford Gifford,A Coming Storm,Oil on canvas,http://www.philamuseum.org/images/cad/large/2004-115-1-pma.jpg,28 x 42 inches (71.1 x 106.7 cm),1823,1880,0390bc5d5a1e
"Made in United States, North and Central America",,American,Modern and Contemporary Art,1940,Horace Pippin,A Chester County Art Critic (Portrait of Christian Brinton),Oil on canvas,http://www.philamuseum.org/images/cad/large/1941-79-139.jpg,21 1/2 x 15 7/8 inches (54.6 x 40.3 cm),1888,1946,6a243d24ad7d
"Made in Philadelphia, Pennsylvania, United States, North and Central America",http://www.philamuseum.org/audio/collections/historicAmericaFamilyTour/694.mp3,American,American Art,1898-99,Thomas Eakins,Between Rounds,Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg,50 1/8 x 39 7/8 inches (127.3 x 101.3 cm),1844,1916,370ed4b0b5db
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,,American Art,"Sketch for the painting in the Metropolitan Museum of Art, New York (81.14)",c. 1875,"Bertrand Gardel (Sketch for ""The Chess Players"")","Thomas Eakins, American, 1844 - 1916",http://www.philamuseum.org/images/cad/large/1930-32-6.jpg,,,,02afea39411d
"Made in Toledo, Ohio, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1949,Designed by Freda Diamond,"""Classic Crystal"" Glasses",Glass,http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg,"Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)",1905,1998,c4d2eb232961
"Made in United States, North and Central America",,American,Modern and Contemporary Art,c. 1900,Julius Gari Melchers,Baptism (Church Interior),Oil on canvas,http://www.philamuseum.org/images/cad/large/1946-5-1-nyd.jpg,43 1/2 x 33 3/16 inches (110.5 x 84.3 cm),1860,1932,921a83d8506c
"Made in United States, North and Central America",,American,American Art,1901,Warren Sheppard,Antrim Coastline,Oil on canvas,http://www.philamuseum.org/images/cad/large/2008-124-2-pma.jpg,20 x 30 inches (50.8 x 76.2 cm),1858,1937,a994bb8dca87
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,,American Art,"Color samples for The Fairman Rogers Four-in-Hand (Philadelphia Museum of Art, 1930-105-1) are on reverse",c. 1879-80,"Fairmount Park (Sketch for ""The Fairman Rogers Four-in-Hand"")","Thomas Eakins, American, 1844 - 1916",http://www.philamuseum.org/images/cad/large/1930-32-10.jpg,,,,1e08cb7ca78a
"Made in United States, North and Central America",,American,American Art,c. 1879,Eastman Johnson,Cranberry Pickers,Oil on cardboard,http://www.philamuseum.org/images/cad/large/1974-229-1.jpg,13 15/16 x 17 1/2inches (35.4 x 44.4cm),1824,1906,da0cba3430cf
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1905,John Sloan,Turning Out the Light,Etching,http://www.philamuseum.org/images/cad/large/1959-35-59crop.jpg,"Plate: 5 x 7 inches (12.7 x 17.8 cm)
Sheet: 11 7/8 x 15 1/4 inches (30.2 x 38.7 cm)",1871,1951,45f27a0df35c
"Made in United States, North and Central America",,American,American Art,1823,Bass Otis,"Annette Savage and her daughters, Charlotte & Pauline",Oil on canvas,http://www.philamuseum.org/images/cad/large/1965-48-1.jpg,66 3/8 x 50 1/4 inches (168.6 x 127.6 cm),1784,1861,cb24d236daf5
"Made in Philadelphia, Pennsylvania, United States, North and Central America",http://www.philamuseum.org/audio/collections/historicAmericaFamilyTour/694.mp3,American,American Art,1898-99,Thomas Eakins,Between Rounds,Oil on canvas,http://www.philamuseum.org/images/cad/large/1929-184-16after-CX.jpg,50 1/8 x 39 7/8 inches (127.3 x 101.3 cm),1844,1916,abfd82a58c24
"Made in United States, North and Central America",,American,American Art,1809,Washington Allston,"Scene from Shakespeare's ""The Taming of the Shrew"" (Katharina and Petruchio)",Oil on canvas,http://www.philamuseum.org/images/cad/large/1987-8-1.jpg,27 3/4 x 30 7/8 inches (70.5 x 78.4 cm),1779,1843,f7db7dc6b4c9
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American,American Art,c. 1779,Attributed to Henry Benbridge,Mrs. Cadwalader Morris (Ann Strettell),"Watercolor on ivory, gold frame",http://www.philamuseum.org/images/cad/large/1991-76-2-ov.jpg,1 1/4 x 1 1/8 inches (3.2 x 2.9 cm),1743,1812,944020cc5b13
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American,American Art,c. 1779,Attributed to Henry Benbridge,Cadwalader Morris (1741 - 1795),"Watercolor on ivory, gold frame",http://www.philamuseum.org/images/cad/large/1991-76-4-ov.jpg,1 5/8 x 1 1/4 inches (4.1 x 3.2 cm),1743,1812,95bcb5dc4b9b
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American,American Art,1779,Henry Benbridge,Portrait of the Enoch Edwards Family,Oil on canvas,http://www.philamuseum.org/images/cad/large/1949-53-1-ov.jpg,30 x 23 11/16 inches (76.2 x 60.2 cm),1743,1812,86c98aa3e1e1
"Made in United States, North and Central America",,American,American Art,"1863, retouched and redated in 1880",Sanford Gifford,A Coming Storm,Oil on canvas,http://www.philamuseum.org/images/cad/large/2004-115-1-pma.jpg,28 x 42 inches (71.1 x 106.7 cm),1823,1880,fe0e5ac70dab
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,American,American Art,c. 1758-64,Henry Benbridge,Achilles among the Daughters of Lycomedes,Oil on canvas,http://www.philamuseum.org/images/cad/large/1990-88-1.jpg,26 1/4 x 42 1/4 inches (66.7 x 107.3 cm),1743,1812,a64b03738460
"Made in United States, North and Central America",,American,Modern and Contemporary Art,1940,Horace Pippin,A Chester County Art Critic (Portrait of Christian Brinton),Oil on canvas,http://www.philamuseum.org/images/cad/large/1941-79-139.jpg,21 1/2 x 15 7/8 inches (54.6 x 40.3 cm),1888,1946,3d7d6dde7ff5
"Made in United States, North and Central America",,American,Modern and Contemporary Art,1943,Horace Pippin,Mr. Prejudice,Oil on canvas,http://www.philamuseum.org/images/cad/large/1984-108-1-CX.jpg,18 1/8 x 14 1/8 inches (46 x 35.9 cm),1888,1946,cf235ffa2969
"Made in United States, North and Central America",http://www.philamuseum.org/audio/collections/historicAmericaFamilyTour/684.mp3,American,American Art,1884,Winslow Homer,The Life Line,Oil on canvas,http://www.philamuseum.org/images/cad/large/E1924-4-15v1-pma.jpg,28 5/8 x 44 3/4 inches (72.7 x 113.7 cm),1836,1910,c1f0758637ad
"Made in Cuba, North and Central America",,American,"Prints, Drawings, and Photographs",1885,Winslow Homer,"Street Scene, Santiago de Cuba, 1885",Transparent and opaque watercolor and graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-15-pma.jpg,Sheet: 12 x 17 11/16 inches (30.5 x 44.9 cm),1836,1910,a2cdaaab1728
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1886,Winslow Homer,Red-Winged Blackbirds,Transparent and opaque watercolor over traces of graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-19.jpg,Sheet: 20 x 13 15/16 inches (50.8 x 35.4 cm),1836,1910,5e63d54a8153
"Made in Maine, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1894,Winslow Homer,Prout's Neck Surf 1894,Transparent and opaque watercolor over traces of graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-6-pma.jpg,Sheet: 14 x 21 7/16 inches (35.6 x 54.5 cm),1836,1910,83cfbfb3e03e
"Published in New York City, New York, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1867,After Winslow Homer,Homeward-Bound,Wood engraving,http://www.philamuseum.org/images/cad/large/2011-177-1-pma.jpg,"Image: 13 9/16 x 20 3/8 inches (34.4 x 51.8 cm)
Sheet: 15 x 21 7/16 inches (38.1 x 54.5 cm)",1836,1910,f8578e66c2a3
"Made in Toledo, Ohio, United States, North and Central America",,American,European Decorative Arts and Sculpture,Designed 1949,Designed by Freda Diamond,"""Classic Crystal"" Glasses",Glass,http://www.philamuseum.org/images/cad/large/1982-151-1--5.jpg,"Jigger [1982-151-1] height: 2 1/4 inches (5.7 cm)
Old-Fashioned [1982-151-2] height: 3 3/8 inches (8.6 cm)
Collins [1982-151-3] height: 4 3/4 inches (12.1 cm)
Iced Tea [1982-151-4] height: 5 1/4 inches (13.3 cm)
Cooler [1982-151-5] height: 6 inches (15.2 cm)",1905,1998,c5b36529e790
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1891,Winslow Homer,Building a Smudge,Watercolor over traces of graphite on watercolor paper,http://www.philamuseum.org/images/cad/large/2002-10-1.jpg,Sheet: 13 1/2 x 20 5/8 inches (34.3 x 52.4 cm),1836,1910,42d1a4add805
"Made in Cuba, North and Central America",,American,"Prints, Drawings, and Photographs",1885,Winslow Homer,"Street Scene, Santiago de Cuba, 1885",Transparent and opaque watercolor and graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-15-pma.jpg,Sheet: 12 x 17 11/16 inches (30.5 x 44.9 cm),1836,1910,1162fe0d16a1
"Made in Cuba, North and Central America",,CubanorSpanish.LabelHonoreLaine,Costume and Textiles,c. 1876,Artist/maker unknown,Fan,Printed paper; wooden sticks and guards,http://www.philamuseum.org/images/cad/large/1997-132-24side1-dept.jpg,Length: 8 3/4 inches (22.2 cm),,,7f39acf48a57
"Made in Cuba, North and Central America",,Havana,Costume and Textiles,Late 19th century,La Industrial Albaniquera,Fan,Hand-painted lace with gold appliqu?and sequins; gold filigree loop,http://www.philamuseum.org/images/cad/large/1957-79-21open-dept.jpg,14 x 15 inches (35.6 x 38.1 cm),,,7b483ffe183e
"Made in Cuba, North and Central America",,Havana,Costume and Textiles,Late 19th century,La Industrial Albaniquera,Fan,Hand-painted lace with gold appliqu?and sequins; gold filigree loop,http://www.philamuseum.org/images/cad/large/1957-79-21open-dept.jpg,14 x 15 inches (35.6 x 38.1 cm),,,dd5513f310bf
"Made in Cuba, North and Central America",,CubanorSpanish.LabelHonoreLaine,Costume and Textiles,c. 1876,Artist/maker unknown,Fan,Printed paper; wooden sticks and guards,http://www.philamuseum.org/images/cad/large/1997-132-24side1-dept.jpg,Length: 8 3/4 inches (22.2 cm),,,bb8edfcc4c86
"Made in Cuba, North and Central America",,Havana,Costume and Textiles,Late 19th century,La Industrial Albaniquera,Fan,Hand-painted lace with gold appliqu?and sequins; gold filigree loop,http://www.philamuseum.org/images/cad/large/1957-79-21open-dept.jpg,14 x 15 inches (35.6 x 38.1 cm),,,1dbab752d11f
"Made in Cuba, North and Central America",,American,"Prints, Drawings, and Photographs",1885,Winslow Homer,"Street Scene, Santiago de Cuba, 1885",Transparent and opaque watercolor and graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-15-pma.jpg,Sheet: 12 x 17 11/16 inches (30.5 x 44.9 cm),1836,1910,cf742afb0066
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,1837,Made by American Porcelain Company (formerly Tucker Factory),Toilet Bottle with Stopper,Porcelain with enamel and gilt decoration,"http://www.philamuseum.org/images/cad/large/1931-55-2aa,ba-ov.jpg",7 x 3 7/8 inches (17.8 x 9.9 cm),1835,1837,57e54d23220c
"Made in Jersey City, New Jersey, United States, North and Central America",,JerseyCity,American Art,c. 1840-45,Manufacture attributed to American Pottery Manufacturing Company,Pitcher,Glazed earthenware (American Rockingham ware),http://www.philamuseum.org/images/cad/large/2008-25-18-ov.jpg,10 7/16 x 8 11/16 x 8 1/16 inches (26.5 x 22.1 x 20.5 cm),,,ebe692315fad
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,1837,Made by American Porcelain Company (formerly Tucker Factory),Toilet Bottle with Stopper,Porcelain with enamel and gilt decoration,"http://www.philamuseum.org/images/cad/large/1931-55-2a,b-ov.jpg",7 x 3 7/8 inches (17.8 x 9.9 cm),1835,1837,a487d65e3f9e
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,c. 1835,Made by American Porcelain Company (formerly Tucker Factory),Pitcher,Porcelain with enamel and gilt decoration,http://www.philamuseum.org/images/cad/large/1947-51-1v1-ov.jpg,9 7/8 x 12 5/8 x 3 inches (25.1 x 32.1 x 7.6 cm),1835,1837,8c2b1e212580
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,1835-37,Possibly made by American Porcelain Company (formerly Tucker Factory),Pitcher,Porcelain with enamel and gilt decoration,http://www.philamuseum.org/images/cad/large/1915-119-ov.jpg,11 5/8 x 8 9/16 inches (29.5 x 21.7 cm),1835,1837,c764105d8798
"Made in Zanesville, Ohio, United States, North and Central America",,Zanesville,American Art,19th century,American Encaustic Tiling Company,Tile with Bust of Abraham Lincoln,Earthenware,"http://www.philamuseum.org/images/cad/large/2008-25-69a,b-pma.jpg",Height: 7 5/8 inches (19.4 cm),,,d03128061e8c
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,1837,Made by American Porcelain Company (formerly Tucker Factory),Toilet Bottle with Stopper,Porcelain with enamel and gilt decoration,"http://www.philamuseum.org/images/cad/large/1931-55-2aa,ba-ov.jpg",7 x 3 7/8 inches (17.8 x 9.9 cm),1835,1837,7f7493e60f44
"Made in Jersey City, New Jersey, United States, North and Central America",,JerseyCity,American Art,c. 1840-45,Manufacture attributed to American Pottery Manufacturing Company,Pitcher,Glazed earthenware (American Rockingham ware),http://www.philamuseum.org/images/cad/large/2008-25-18-ov.jpg,10 7/16 x 8 11/16 x 8 1/16 inches (26.5 x 22.1 x 20.5 cm),,,d0b777a55ad6
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,1837,Made by American Porcelain Company (formerly Tucker Factory),Toilet Bottle with Stopper,Porcelain with enamel and gilt decoration,"http://www.philamuseum.org/images/cad/large/1931-55-2a,b-ov.jpg",7 x 3 7/8 inches (17.8 x 9.9 cm),1835,1837,18d762fa79dc
"Made in Zanesville, Ohio, United States, North and Central America",,Zanesville,American Art,19th century,American Encaustic Tiling Company,Tile with Bust of Abraham Lincoln,Earthenware,"http://www.philamuseum.org/images/cad/large/2008-25-69a,b-pma.jpg",Height: 7 5/8 inches (19.4 cm),,,7efdb1741a33
"Made in Philadelphia, Pennsylvania, United States, North and Central America",,Philadelphia,American Art,1835-37,Possibly made by American Porcelain Company (formerly Tucker Factory),Pitcher,Porcelain with enamel and gilt decoration,http://www.philamuseum.org/images/cad/large/1915-119-ov.jpg,11 5/8 x 8 9/16 inches (29.5 x 21.7 cm),1835,1837,84cafa0f2637
"Made in New York City, New York, United States, North and Central America",,NewYork,American Art,1860-70,Albert Coles & Co.,Candelabrum,Silver,http://www.philamuseum.org/images/cad/large/1988-89-4a--c-ov.jpg,"22 1/4 x 15 x 5 7/8 inches (56.5 x 38.1 x 14.9 cm)
Weight: 33 ounces 8 dwt",1836,1880,3ca7769e98e3
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1962,Edna Andrade,Trees,Brush and black ink with ink wash on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-8-pma.jpg,Sheet: 16 5/8 x 10 5/8 inches (42.2 x 27 cm),1917,2008,90711546d3f7
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1972,Edna Andrade,Study for Torsion 1,Graphite on thin cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-14-pma.jpg,Sheet: 9 1/4 x 10 1/2 inches (23.5 x 26.7 cm),1917,2008,d0b7a31a5f75
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1972,Edna Andrade,Study for Night Sea (possibly),Graphite on heavy cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-15-pma.jpg,Sheet: 19 3/4 x 11 3/4 inches (50.2 x 29.8 cm),1917,2008,310ad6b6ccaf
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1979-80,Edna Andrade,"Study for ""Grid, 1980""",Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-22-pma.jpg,Sheet: 11 x 9 5/8 inches (27.9 x 24.4 cm),1917,2008,063f76ebca8c
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1964,Edna Andrade,Study,Black and red fiber-tipped pen on yellow tracing paper,http://www.philamuseum.org/images/cad/large/2008-100-12-pma.jpg,Sheet: 12 x 14 inches (30.5 x 35.6 cm),1917,2008,ce8463ffe90a
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1976-77,Edna Andrade,Grid Drawing,Colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-19-pma.jpg,Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),1917,2008,b0749d681d56
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1976-77,Edna Andrade,Grid Drawing,Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-18-pma.jpg,Sheet: 11 x 9 7/8 inches (27.9 x 25.1 cm),1917,2008,74efe4b1c583
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1962,Edna Andrade,Forest,Brush and black ink with ink wash on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-9-pma.jpg,Sheet: 11 x 17 inches (27.9 x 43.2 cm),1917,2008,7cf90517b98d
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1982,Edna Andrade,Flip Flop,Graphite and colored pencil on cream wove paper (diptych),http://www.philamuseum.org/images/cad/large/2008-100-23a-pma.jpg,"Sheet (left panel): 12 7/8 x 9 inches (32.7 x 22.9 cm)
Sheet (right panel): 13 3/4 x 9 inches (34.9 x 22.9 cm)",1917,2008,bcd43d5b6973
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1979,Edna Andrade,Finale Drawing,Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-20-pma.jpg,Sheet: 11 x 10 inches (27.9 x 25.4 cm),1917,2008,64bd2c467589
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1963,Edna Andrade,Figure Moving,Pen and black ink on thin beige wove paper,http://www.philamuseum.org/images/cad/large/2008-100-11-pma.jpg,Sheet: 13 x 17 inches (33 x 43.2 cm),1917,2008,a469de8c9b4e
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1961,Edna Andrade,Figure and Bird Line Drawing III,Pen and black ink on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-6-pma.jpg,Sheet: 14 x 17 inches (35.6 x 43.2 cm),1917,2008,94711a8feff1
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1948,Edna Andrade,Disappearing Man and Conch Shell,Opaque watercolor on beige wove paper,http://www.philamuseum.org/images/cad/large/2008-100-3-pma.jpg,Sheet: 8 1/8 x 9 3/4 inches (20.6 x 24.8 cm),1917,2008,4efab42c9a3f
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1970,Edna Andrade,Decagon,White opaque watercolor or ink on tan card with silver foil facing paper,http://www.philamuseum.org/images/cad/large/2008-100-13-pma.jpg,Sheet: 9 x 9 inches (22.9 x 22.9 cm),1917,2008,66f90d0e8ff1
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1979,Edna Andrade,"Color Grid Diptych (Related to ""Grid,"" 1980)",Graphite and colored pencil on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-21-pma.jpg,Sheet: 8 9/16 x 11 inches (21.7 x 27.9 cm),1917,2008,ebd1548dae99
"Printed in Albuquerque, New Mexico, United States, North and Central America",,American,"Prints, Drawings, and Photographs",1971,Edna Andrade,Black Cisoide,Lithograph,http://www.philamuseum.org/images/cad/large/2010-63-3-pma.jpg,Image and sheet: 24 x 30 1/8 inches (61 x 76.5 cm),1917,2008,8e0f645e799e
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1941,Edna Andrade,Bailey Island Shore,Graphite on tan wove paper,http://www.philamuseum.org/images/cad/large/2008-100-1-pma.jpg,Sheet: 9 x 11 1/2 inches (22.9 x 29.2 cm),1917,2008,c3be3eb9adc2
"Made in United States, North and Central America",,American,Costume and Textiles,19th century,Artist/maker unknown,Amethyst Earrings,"Silver, amethyst, gold wash","http://www.philamuseum.org/images/cad/large/1961-79-2b,c-ov.jpg",Length: 1 3/4 inches (4.4 cm),,,55582b57816d
"Made in United States, North and Central America",,American,Costume and Textiles,19th century,Artist/maker unknown,Amethyst Brooch,"Silver, amethyst, gold wash",http://www.philamuseum.org/images/cad/large/1961-79-2d-dept.jpg,2 ?1 9/16 inches (5.1 ?4 cm),,,333db24526eb
"Made in United States, North and Central America",,American,American Art,c. 1943,Artist/maker unknown,"""Searchlight"" Brooch","Gold, moonstone, semi-precious stones",http://www.philamuseum.org/images/cad/large/1964-6-3-pma.jpg,1 1/4 x 2 x 3/4 inches (3.2 x 5.1 x 1.9 cm),,,675c4b701d6d
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1982,Edna Andrade,Stripe Study,Graphite and colored pencil on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-24-pma.jpg,Sheet: 13 11/16 x 9 1/8 inches (34.8 x 23.2 cm),1917,2008,11b5e989d92f
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1976-77,Edna Andrade,Grid Drawing,Colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-19-pma.jpg,Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),1917,2008,2129ee1b1450
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1976-77,Edna Andrade,Grid Drawing,Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-18-pma.jpg,Sheet: 11 x 9 7/8 inches (27.9 x 25.1 cm),1917,2008,a3a37b9dd1ce
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",1962,Edna Andrade,Forest,Brush and black ink with ink wash on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-9-pma.jpg,Sheet: 11 x 17 inches (27.9 x 43.2 cm),1917,2008,265d904226b4
"Made in United States, North and Central America",,American,"Prints, Drawings, and Photographs",c. 1982,Edna Andrade,Flip Flop,Graphite and colored pencil on cream wove paper (diptych),http://www.philamuseum.org/images/cad/large/2008-100-23a-pma.jpg,"Sheet (left panel): 12 7/8 x 9 inches (32.7 x 22.9 cm)
Sheet (right panel): 13 3/4 x 9 inches (34.9 x 22.9 cm)",1917,2008,4eed2aa5bf86
