Artistname,Nationality,birthYear,deathYear,Titleofartwork,Typeofartwork,Dimensions,Credit,ImageURL,EA_id
George Inness,American,1825,1894,"After a Summer Shower, 1894",Oil on canvas,81.9 x 107.6 cm (32 1/4 x 42 3/8 in.),"Signed lower right: ""G. Inness 1894""\n\nEdward B. Butler Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/56854_1171844.jpg,1aa4f94ca7f4
Mary Cassatt,American,1844,1926,"After the Bullfight, 1873",Oil on canvas,82.5 x 64 cm (32 1/8 x 25 3/16 in.),"Signed l. left: ""M.S.C./Seville/1873""\n\nBequest of Mrs. Sterling Morton",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169442_1299313.jpg,9569ef67c71c
Edward Henry Potthast,American,1857,1927,"A Holiday, c. 1915",Oil on canvas,76.4 x 101.8 cm (30 1/8 x 40 1/8 in.),Signed lower left: E. Potthast\n\nFriends of American Art Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171641_1321570.jpg,a64c5308c682
George Inness,American,1825,1894,"A Marine, c. 1874/75",Oil on canvas,76.8 x 114.9 cm (30 1/4 x 45 1/4 in.),"Signed lower left: ""G. Inness""\n\nEdward B. Butler Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/405_1168614.jpg,0710c2cff1db
Frederic Remington,American,1861,1909,"A Mexican Vaquero, 1890",Oil on canvas,82.6 x 58.4 cm (32 1/2 x 23 in.),"Signed lower right: ""Copyright 1890 / By/ Frederic Remington""\n\nGeorge F. Harding Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/5000_1173914.jpg,19ccd9a9cc4b
Eastman Johnson,American,1824,1906,"A Sly Drink at the Camp (Study), 1860/73",Oil on millboard,53.7 x 63.5 cm (21 1/8 x 25 in.),Gift of Emily Crane Chadbourne,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/8608_625387.jpg,bf17001b0ade
Horatio Greenough,American,1805,1852,"Abdiel, 1838/1843",Marble\nh.,61 cm (24 in.),Gift of Elizabeth G. H. Bartol,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/238_761184.jpg,7b37a79ba0ef
Ivan Albright,American,1897,1983,"And Man Created God in His Own Image, 1930锟?1",Oil on canvas,121.9 x 66 cm (48 x 26 in.),Gift of Ivan Albright,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/4543_1356116.jpg,23a175b15fa6
Designed by Harry Bertoia,American,1915,1978,"Armchair, 1967",White vinyl-covered steel mesh,77.4 x 85.8 x 71.1 cm (30 1/2 x 33 3/4 x 28 in.),Gift of Malcolm Kay Kim and Kyle Kamin,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/26858_1301371.jpg,6c71895ff827
George Jakob Hunzinger,American,1835,1898,"Armchair, patented in 1869",Ebonized walnut with gilt decoration,139.7 x 61 x 66 cm (55 x 24 x 26 in.),"Stamped on the rear of the left front leg: ""HUNZINGER/N.Y./PAT. MARCH 30/1869\n\nPerry and Gertrude Herst Endowment",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6168_763164.jpg,559cd9f9f3f8
William Merritt Chase,American,1849,1916,"Alice, 1892",Oil on canvas,171.8 x 125.4 cm (67 5/8 x 49 3/8 in.),Gift of Ernest A. Hamill,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/205_355049.jpg,0688712163d9
Hiram Powers,American,1805,1873,"America, 1850锟?854",Marble\nh.,73.7 cm (29 in.),The Art Institute of Chicago Purchase Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/358_761028.jpg,c38031c953dd
Grant Wood,American,1891,1942,"American Gothic, 1930",Oil on Beaver Board,78 x 65.3 cm (30 3/4 x 25 3/4 in.),Signed and dated lower right on overalls: GRANT / WOOD / 1930\n\nFriends of American Art Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/50629_1357815.jpg,f88ea77e538f
Wallace L. DeWolf,American,1854,1930,"Among the Redwoods, 1920",Oil on canvas,76.8 x 64.8 cm (30 1/4 x 25 1/2 in.),Gift of Wallace L. DeWolf,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/984_727877.jpg,ea0bc29c7087
Augustus Saint-Gaudens,American,1848,1907,"Amor Caritas, modeled 1897; cast after 1899",Bronze,131.4 x 80.7 cm (51 3/4 x 31 3/4 in.),"Inscribed lower left: ""AVGVSTVS./SAINT-GAVDENS/MDCCCXCVII""\n\nPlaque at top inscribed: ""Amor Caritas""\n\nRoger McCormick Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4939_761376.jpg,de36aa4b98a8
Toshiko Takaezu,American,1922,2011,"Anagama Vase, 1980/1989",Anagama-fired stoneware,31.8 x 22.9 cm (12 1/2 x 9 in.),Gift of Toshiko Takaezu,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55356_1181864.jpg,25f580bf69b0
Frank Lloyd Wright,American,1867,1959,"Armchair, 1908",Oak,86.9 x 58.5 x 57.1 cm (34 1/4 x 23 x 22 1/2 in.),Gift of Mr. and Mrs. F. M. Fahrenwald,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000107/83394_913100.jpg,dacbe15fa3cd
David Wolcott Kendall,American,1851,1910,"Armchair, 1894/96",Green-stained oak with caned inserts,86 x 75 x 56 cm (33 7/8 x 29 1/2 x 22 in.),Gift of the Antiquarian Society through Morris and Jane Weeden,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83396_382924.jpg,8ac8a97f70c8
Attributed to Pottier and Stymus,American,1859,1888,"Armchair, 1870/75",Rosewood with ash juniper and burl maple veneer ormolu mounts original woven tapestry fabric,98 x 64 x 58 cm (38 1/2 x 25 1/4 x 22 3/4 in.),"Painted in black paint on crest rail underneath upholstery: ""3924. Ingersoll""\n\nSuzanne Waller Worthy Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/4204_1171314.jpg,53b4f33f84c8
George Peter Alexander Healy,American,1813,1894,"Armenian Fathers, 1870",Oil on canvas,138.4 x 102.9 cm (54 1/2 x 40 1/2 in.),Gift of G. P. A. Healy,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/161_622735.jpg,b54536b1c778
James McNeill Whistler,American,1834,1903,"Arrangement in Flesh Color and Brown: Portrait of Arthur Jerome Eddy, 1894",Oil on canvas,209.9 x 92.4 cm (82 5/8 x 36 3/8 in.),Signed middle right: butterfly monogram\n\nArthur Jerome Eddy Memorial Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000142/1656_1482217.jpg,2826372ffb2f
William Glackens,American,1870,1938,"At Mouquin's, 1905",Oil on canvas,122.4 x 92.1 cm (48 1/8 x 36 1/4 in.),"Signed lower left: ""W. Glackens""\n\nFriends of American Art Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171646_1330130.jpg,083813c72fce
Wilson H. Irvine,American,1869,1936,"Autumn, c. 1914",Oil on canvas,81.3 x 101.6 cm (32 x 40 in.),Signed lower right: IRVINE\n\nFriends of American Art Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000126/166599_1274753.jpg,1aa330868358
Frederick W. Macmonnies,American,1863,1937,"Bacchante with Infant Faun, modeled in 1894, cast after 1894",Bronze\nh.,"86.3 cm (34 in.)\nSigned on base: ""F. MacMonnies 1894""\n\nFoundry (stamped)",": ""Jaboeuf & Rouard / FONDEURS/A/PARIS/10 & 12/R DE L'ASILE POPINCOURT""\n\nRestricted gift of Brooks and Hope B. McCormick Foundation",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5181_763104.jpg,51778cabba96
Childe Hassam,American,1859,1935,"Bailey's Beach, Newport, R.I., 1901",Oil on canvas,61 x 66 cm (24 x 26 in.),Signed lower left: Childe Hassam 1901\n\nOn back: c.1901\n\nWalter H. Schulze Memorial Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000125/166071_1270261.jpg,c9fc0057924d
Fidelia Bridges,American,1835,1923,"Bird's Nest and Ferns, 1863",Oil on panel,"20 x 16.8 cm (7 7/8 x 6 5/8 in.)\nInscription: signed lower right: ""F. Bridges / 1863""\nOn back of frame: oval sticker: ""Pollock's / Picture Store / 10 Hamilton Place / Boston""; sticker fragment upper right: ""(?) by F. Bridges / Laura A. J (?)""; stock number on frame: ""44401""; inscription in pencil upsidedown on top: ""F. Beid???""; half artist's supply mark stencil in red: ""H. H(?) / Manuf (?) / Phila (?) / 10 (?)","""\n\nRestricted gift of Charles C. Haffner III",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000140/5423_1461097.jpg,801178bf7573
Georgia O'Keeffe,American,1887,1986,"Black Cross, New Mexico, 1929",Oil on canvas,99.1 x 76.2 cm (39 x 30 in.),Art Institute Purchase Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/85157_1377609.jpg,6a0bd9ea046d
Toshiko Takaezu,American,1922,2011,"Black Hole, 2000",Glazed stoneware,33 x 26.7 cm (13 x 10 1/2 in.),Gift of Toshiko Takaezu,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55372_1182024.jpg,b19233e292e9
Georgia O'Keeffe,American,1887,1986,"Ballet Skirt or Electric Light, 1927",Oil on canvas,91.4 x 76.2 cm (36 x 30 in.),Alfred Stieglitz Collection bequest of Georgia O'Keeffe,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137319_823006.jpg,b284497328b8
Samuel Edwards,American,1705,1762,"Baptismal Basin, 1755",Silver,"7.5 x 30.1 cm (diam.) (2 15/16 x 12 1/16 in.)\nMarked near the center on interior of bowl: ""S. E"" (under a crown and above a device in shaped shield)","; engraved around rim of basin: ""The Bequest of Mr. John Willis to the Church of Christ in Medford 1755""\n\nJ. Peter McCormick Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83410_383101.jpg,9afe597472a3
William Sidney Mount,American,1807,1868,"Bar-room Scene, 1835",Oil on canvas,57.4 x 69.7 cm (22 5/8 x 27 7/16 in.),"Signed lower left: ""W. S. Mount/1835""\n\nWilliam Owen and Erna Sawyer Goodman Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/114831_1305517.jpg,45ff54eae07c
Edward Lamson Henry,American,1841,1919,"Barnyard in Pennsylvania, 1859/60",Oil on composition board,20.3 x 34.3 cm (8 x 13 1/2 in.),Through prior acquisition of the Charles H. and Mary F. S. Worcester Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5709_623653.jpg,2c241b0374a6
Jasper Francis Cropsey,American,1823,1900,"Blasted Tree, 1850",Oil on canvas,43.2 x 35.6 cm (17 x 14 in.),Gift of Jamee J. and Marshall Field,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000082/6335_683782.jpg,9e10d13408f1
Georgia O'Keeffe,American,1887,1986,"Blue and Green Music, 1919/21",Oil on canvas,58.4 x 48.3 cm (23 x 18 in.),Alfred Stieglitz Collection gift of Georgia O'Keeffe,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137305_822868.jpg,8c6438ea0258
Arthur Wesley Dow,American,1857,1922,"Boats at Rest, c. 1895",Oil on canvas,66 x 91.4 cm (26 x 36 in.),"Signed lower left: ""Arthur W. Dow""\n\nThrough prior acquisition of the Charles H. and Mary F.S. Worcester Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000114/5697_1139164.jpg,45f07e6d827b
Charles Fergus Binns,American,1857,1934,"Bottle Vase, 1915",Glazed earthenware,23.2 x 10.1 cm (9 1/8 x 4 in.),"Monogram and date on base: ""C F B / 15"" within a circle\n\nAtlan Ceramic Club Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000104/431_886133.jpg,ee3d90d9e1c0
Henry Ward Ranger,American,1858,1916,"Brooklyn Bridge, 1899",Oil on canvas,72.4 x 91.8 cm (28 1/2 x 36 1/8 in.),"Signed lower left: ""Henry Ranger 99""\n\nGift of Charles L. Hutchinson",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169443_1299323.jpg,47f464ebd129
Attributed to John Townsend,American,1732,1809,"Bureau Table, c. 1770",Mahogany with chestnut and tulip poplar,86.6 x 93.4 x 58 cm (34 1/8 x 36 3/4 x 20 in.),Gift of Jamee J. and Marshall Field,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000106/9109_902140.jpg,713fa84f65cc
Attributed to Duncan Phyfe,American,1768,1854,"Box Sofa, c. 1820",Rosewood and gilded wood with ormolu mounts die-stamped brass inlay inset with rosewood brass stringing and gilt-brass castors,85.7 x 208.3 x 69.2 cm (33 3/4 x 82 x 27 1/4 in.),Restricted gifts of The Antiquarian Society and Mrs. Herbert A. Vance,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7090_358815.jpg,64c314f8696e
Charles Demuth,American,1883,1935,"Business, 1921",Oil and graphite on canvas,51 x 61.5 cm (20 x 24 1/4 in.),Signed and dated lower right: Demuth / 1921\n\nAlfred Stieglitz Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137297_822766.jpg,07b814db939e
George Croome,American,1807,1879,"Cabinet, 1875/77",Mahogany rosewood maple pine and bronze,140 x 124.8 x 48.3 cm (55 1/8 x 49 1/8 x 19 in.),Elizabeth R. Vaughan Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/32091_1301758.jpg,c4f4fdc977d0
Herter Brothers,American,1864,1906,"Cabinet, 1878/80",Rosewood with ebonized cherry maple walnut satinwood marquetry of various woods brass gilding and paint,134.6 x 180.3 x 40.6 cm (53 x 71 x 16 in.),"Impressed twice on back boards: ""HERTER BRO'S""; written in script in pencil on top boards: "" N 238 Store""\n\nRestricted gift of the Antiquarian Society through the Capital Campaign",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000095/5376_773247.jpg,3de469c26a24
Jessie M. Preston,American,1873,1942,"Candelabra, 1902/05",Bronze,19 5/8 x 13 1/2 x 13 in.\n\nbase: 8 1/2 (w) x 8 (d),"in.\nMarked on the bottom in script ""J Preston/ Chicago"" with a conjoined ""J"" and ""P""\n\nRestricted gift of Celia and David C. Hilliard",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/8564_360620.jpg,3b0acc8931ce
Tiffany and Company,American,1833,1901,"Candelabra (one of a pair), 1873",Silver,"77.4 x 43.2 cm (30 1/2 x 17 in.)\nMarked under base ""TIFFANY AND CO."" (in a convex rectangle)/""3180""/ ""Quality 925.1000"" (in rectangle)/ gothic ""M"" (in oval)/""5200""/ ""UNION SQUARE"" (in convex rectangle); Marked on underside of one foot: ""No.1""; Signed on proper left side of base on each candelabrum: ""EJ"" (conjoined)","and ""S""\n\nGift of the Antiquarian Society through the Mr. and Mrs. William Y. Hutchinson Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000104/19131_882925.jpg,0508b85d4ca7
Ivan Albright,American,1897,1983,"Captain Joseph Medill Patterson, 1962锟?4",Oil on board,76.2 x 61 cm (30 x 24 in.),Gift of Ivan Albright,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4544_728219.jpg,58b0875ab313
Thomas Birch,American,1779,1851,"Capture of the Tripoli by the Enterprise, 1806/12",Oil on canvas,45.1 x 65.1 cm (17 3/4 x 25 5/8 in.),Through prior acquisition of the Charles H. and Mary F. S. Worcester Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5803_623641.jpg,29c8d8c30aa5
Attributed to William Hook,American,1777,1867,"Card Table, 1800/11",Mahogany mahogany veneer and white pine,73.5 x 92.4 x 45.4 cm (29 x 36 5/16 x 17 7/8 in.),Gift of the Antiquarian Society through Jessie Spalding Landon Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/7645_360216.jpg,fef1a72bb1f4
Isaac Vose & Son,American,1819,1825,"Card Table, 1819/25",Mahogany satinwood veneer iron and brass,73.7 x 45.7 x 92.7 cm (29 x 18 x 36 1/2 in.),Restricted gift of Harry A. Root in memory of Curtis C. Palmer,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000141/184347_1468913.jpg,ae71b2264cd7
Jeremiah Dummer,American,1645,1718,"Caudle Cup, 1680/1700",Silver,8.3 x 16.5 cm (3 1/4 x 6 1/2 in.),Gift of the Antiquarian Society through the Mr. and Mrs. Edwin A. Seipp Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000051/41365_348239.jpg,7dacc6199708
George Inness,American,1825,1894,"Catskill Mountains, 1870",Oil on canvas,123.8 x 184.5 cm (48 3/4 x 72 5/8 in.),"Signed lower left: ""G. Inness 1870""\n\nEdward B. Butler Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/387_1170914.jpg,edbbf6c50203
Cornelius Vander Burch (Vanderburgh),American,1653,1699,"Caudle Cup, c. 1683",Silver,12.7 x 15.24 x 22.86 cm (5 3/4 x 6 1/4 x 9 1/4 in.)\nMarked on bottom three times: CVB (cojoined inside a heart),; engraved on the body with the Van Cortlandt family arms\n\nRestricted gift of the Antiquarian Society and Dr. and Mrs. C. Phillip Miller,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000142/185652_1477552.jpg,60243f43bab9
Designed by Walter Bryent,American,1807,1870,"Center Table, 1852",Cast iron and marble,77.5 x 77.5 x 77.5 cm (30 1/2 x 30 1/2 x 30 1/2 in.),Wesley M. Dixon Jr. Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/32090_1301749.jpg,4fb1297a0b03
Dominick and Haff,American,1872,1928,"Centerpiece, 1872锟?875",Silver and etched glass\nd. of vase:,"28.3 x 30 cm (11 1/8 x 11 13/16 in.)\nMarked on inner rim of base: ""D. H."" (in square beside an empty diamond and circle)","; ""STERLING""/""H 88 x 15"" / ""THE COWELL & HUBBARD CO.""\n\nLaura S. Matthews Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5041_763326.jpg,1fc9eb5b3549
Frederic Remington,American,1861,1909,"Ceremony of the Fastest Horse, c. 1900",Oil on canvas,101.9 x 69.2 cm (40 1/8 x 27 1/4 in.),George F. Harding Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4985_625153.jpg,92dba083858a
John Bradley Storrs,American,1885,1956,"Ceres, 1928",Copper-alloy plated with nickel then chrome,67.3 x 16.2 x 12.4 cm (26 锟?x 6 3/8 x 4 7/8 in.),Inscribed on back of base: STORRS/cast by/American Art Bronze Foundry/Chicago.\n\nGift of John N. Stern,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/4867_1168054.jpg,d5e95b2cfa49
John Burt,American,1692,1745,"Chafing Dish, c. 1730",Silver and wood,10.2 x 31 cm (4 x 12 1/8 in.),Gift of the Antiquarian Society through the Mr. and Mrs. Edwin A. Seipp Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000051/41362_348234.jpg,b3e1785a6e04
Designed by Frank Lloyd Wright,American,1867,1959,"Chair, 1936/39",painted steel tubing maple armrests original upholstery,85.7 x 60.3 x 54.6 cm (34 3/4 x 23 3/4 x 21 1/2 in.),Gift of Johnson Wax Company,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/9492_762516.jpg,ff47b92ef333
Isamu Noguchi,American,1904,1988,"Chess Table, Designed 1944; made c. 1949",Ebonized plywood aluminum and Lucite,52.7 x 63.5 x 63.5 cm (20 3/4 x 25 x 25 in.),Through prior bequest of Arthur Rubloff; restricted gift of the Antiquarian Society; Quinn E. Delaney Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173248_1337958.jpg,201e0f43737a
Attributed to John Cogswell,American,1738,1819,"Chest of Drawers, 1760/90",Mahogany with white pine,79.7 x 91.8 x 50.8 cm (31 3/8 x 36 1/8 x 20 in.),"Mark: chalk inscription on base possibly reading ""Bottom""; sticker back left upper corner with printing: ""No./Property of/Edith Cluett""\n\nHelen Bowen Blair Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/4733_1378021.jpg,1dd7f6b5aaf9
Attributed to John Dunlap,(American,1746,1792,"Chest of Drawers, 1780/1810",Soft maple eastern white pine faux painted wood-grain,96.8 x 99.7 x 50.2 cm (38 1/8 x 39 1/4 x 19 3/4 in.),Vance American Art Fund; restricted gifts of Carol W. Wardlaw Jamee J. and Marshall Field; Americana Fund,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000075/67635_637775.jpg,e86881449f7c
Attributed to Robert Crosman,American,1707,1799,"Chest-over-drawer, c. 1725",White pine iron brass and painted decoration,52.8 x 57.2 x 32.6 cm (20 3/4 x 22 1/2 x 12 13/16 in.),"Roman capital initials in white on either side of original iron lock plate: ""H B""\n\nWirt D. Walker Fund",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171497_1320001.jpg,409ab77e9e98
Edward Warren Sawyer,American,1876,1932,"Chief Tja-Yo-Ni, 1904",Silver,6.8 cm (2 3/4 in.),Gift of Charles L. Hutchinson,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/398_360082.jpg,3492c3c1b2d3
Arthur B. Davies,American,1862,1928,"Choral Sea, 1915",Oil on canvas,45.1 x 100 cm (17 x 39 3/8 in.),Mr. and Mrs. Martin A. Ryerson Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/1821_625213.jpg,96d4224b1ff9
George Cope,American,1855,1929,"Civil War Regalia of Major Levi Gheen McCauley, 1887",Oil on canvas,127 x 92.7 cm (50 x 46 1/2 in.),Quinn E. Delaney and Chauncey and Marion McCormick funds; Wesley M. Dixon Endowment,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/6632_1490468.jpg,b4897208bacd
Attributed to Henricus Boelen,American,1697,1755,"Clasp, 1720/50",Gold,2.1 x 3 x 3 cm (13/16 x 1 3/16 x 1/8 in.),Restricted gift of Charles C. Haffner III,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000142/185653_1477562.jpg,b7b73b02c134
Boston and Sandwich Glass Company,American,1825,1888,"Clear Strawberry Diamond Bowl with Cross, before 1830",Pressed glass,4.5 x 30.5 cm (1 3/4 x 12 in.),Through prior acquisitions of David Adler Robert Allerton Ada K. Rew in memory of her parents Mr. and Mrs. Irwin Rew The School of the Art Institute of Chicago and Elizabeth R. Vaughan,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6107_762630.jpg,99fb15e94e2b
James McNeill Whistler,American,1834,1903,"Coast Scene, Bathers, 1884锟?5",Oil on panel,13.8 x 22.1 cm (5 7/16 x 8 11/16 in.),Butterfly monogram lower right\n\nWalter S. Brewster Collection,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173261_1338088.jpg,dc091918464d
Toshiko Takaezu,American,1922,2011,"Cobalt Blue, 1991",Glazed stoneware,47 x 20.3 cm (18 1/2 x 8 in.),Gift of Toshiko Takaezu,http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55355_1181844.jpg,5006c99dbacb
Winslow Homer,American,1836,1910,"Coast of Maine, 1893",Oil on canvas,61 x 76.2 cm (24 x 30 in.),"Signed lower left: ""Homer 93""\n\nArthur Jerome Eddy Memorial Collection",http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000131/173665_1341968.jpg,1ff31f7b0a44
