Artwork_Title,date,name,nationality,birth_date,death_date,dimensions_inch,medium,credit_line,description,image_url,EA_id
Abstract Forms,1973,Fritz Rauh,American,,,10 1/8 x 21 1/8,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",,http://emuseum.huntington.org/internal/media/dispatcher/27872/resize:format$003dfull,8afe9acfe33f
Abstract Forms,1974,Fritz Rauh,American,,,10 x 21 1/8,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",,http://emuseum.huntington.org/internal/media/dispatcher/27873/resize:format$003dfull,9f3d51621a99
Abstract Forms,1973,Fritz Rauh,American,,,10 1/4 x 21 1/4,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",,http://emuseum.huntington.org/internal/media/dispatcher/27874/resize:format$003dfull,9b47a4ceb84d
Abstract Forms,1972,Fritz Rauh,American,,,17 5/8 x 23 1/2,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",,http://emuseum.huntington.org/internal/media/dispatcher/27875/resize:format$003dfull,683340cb28b6
Abstract Forms,1973,Fritz Rauh,American,,,24 1/2 x 19,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",,http://emuseum.huntington.org/internal/media/dispatcher/27876/resize:format$003dfull,e2d0bc1caa6b
Abstract Forms,1974,Fritz Rauh,American,,,18 7/8 x 23 7/8,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",,http://emuseum.huntington.org/internal/media/dispatcher/27877/resize:format$003dfull,357ef2598231
Abstract Forms,1973,Fritz Rauh,American,,,19 1/2 x 25,Sumi ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Artist",,http://emuseum.huntington.org/internal/media/dispatcher/27878/resize:format$003dfull,f4d1e335bfa0
Abstract Forms,1984,Fritz Rauh,American,,,sheet: 14 x 16 3/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Donald C. Whitton",,http://emuseum.huntington.org/internal/media/dispatcher/27550/resize:format$003dfull,d207eecf6def
Abstraction,1968,Fritz Rauh,American,,,sheet: 19 7/8 x 29 3/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Emory Johnson and Dana Dwyer Johnson",,http://emuseum.huntington.org/internal/media/dispatcher/27879/resize:format$003dfull,716a55d68583
Abstraction,1969,Fritz Rauh,American,,,sheet: 21 3/8 x 29,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Emory Johnson and Dana Dwyer Johnson",,http://emuseum.huntington.org/internal/media/dispatcher/27880/resize:format$003dfull,99ee4eb4c94f
Abstraction,1972,Fritz Rauh,American,,,sheet: 22 3/8 x 29 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",,http://emuseum.huntington.org/internal/media/dispatcher/27881/resize:format$003dfull,ae78f868be20
Abstraction,1975,Fritz Rauh,American,,,sheet: 22 1/4 x 29 1/2,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",,http://emuseum.huntington.org/internal/media/dispatcher/27882/resize:format$003dfull,2477b27109ca
Abstraction,2006,Fritz Rauh,American,,,sheet: 22 3/8 x 30 1/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",,http://emuseum.huntington.org/internal/media/dispatcher/27883/resize:format$003dfull,5be5ca3f5a60
Abstraction,2006,Fritz Rauh,American,,,sheet: 22 1/4 x 30,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the artist",,http://emuseum.huntington.org/internal/media/dispatcher/27884/resize:format$003dfull,45637a2d9666
Acquaduct in Queretaro,,Christian Jorgensen,American,1860,1935,14 5/16 x 9 5/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27909/resize:format$003dfull,f982a04725d3
Adirondack,,Hendrik Dirk Kruseman van Elten,Dutch,1829,1904,12 7/8 x 19 1/2,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20461/resize:format$003dfull,ea560d8f9405
Adlai Stevenson Addresses the United Nations,1955,Don Freeman,American,1908,1978,sheet: 9 1/2 x 7 3/4,ink and litho crayon on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/31096/resize:format$003dfull,69d1ef36d5ee
Agriculture and Industry,,James MacDonough,American,1820,1903,10 3/8 x 16 5/8,ink wash and graphite en grisaille on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16254/resize:format$003dfull,3e1110ed8ede
"Alamo, San Antonio, Texas", 1885-1932,Christian Jorgensen,American,1860,1935,11 3/4 x 14 5/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27920/resize:format$003dfull,6602db384642
Along the Shore,1834,George Loring Brown,American,1814,1889,6 1/8 x 9 1/8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18052/resize:format$003dfull,b105e76259f8
"Alpine Landscape with Woman, June 16, 1904",1904,Joseph Basil Girard,American,1846,1918,5 3/16 x 8 11/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20108/resize:format$003dfull,c5d27042d7b1
"Amalfi, February 28, 1908",1908,Joseph Basil Girard,American,1846,1918,5 5/8 x 7 1/8,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20112/resize:format$003dfull,6ee9e92674fb
Amecameca, 1885-1932,Christian Jorgensen,American,1860,1935,14 1/4 x 9 1/2,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27910/resize:format$003dfull,930d0a574dbd
America,,Alfred R. Waud,American,1828,1891,7 1/16 x 5 5/8,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27983/resize:format$003dfull,d349fe6f6344
America,,Alfred R. Waud,American,1828,1891,7 x 6 1/8,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27984/resize:format$003dfull,a31bfe657075
America,,Alfred R. Waud,American,1828,1891,7 x 5 11/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27985/resize:format$003dfull,b24cd3e8744a
America,,Alfred R. Waud,American,1828,1891,6 1/8 x 5 3/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27986/resize:format$003dfull,72884c898640
America,,Alfred R. Waud,American,1828,1891,6 1/2 x 5 11/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27987/resize:format$003dfull,99ef2bbb00f9
America,,Alfred R. Waud,American,1828,1891,6 3/4 x 5 1/4,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27988/resize:format$003dfull,1eb02b1d1c6c
America,,Alfred R. Waud,American,1828,1891,7 1/4 x 5 5/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27989/resize:format$003dfull,dc4e6d2a5c11
America,,Alfred R. Waud,American,1828,1891,7 5/8 x 5 3/4,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27990/resize:format$003dfull,d75092cb02cd
America,,Alfred R. Waud,American,1828,1891,7 3/16 x 5 5/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27991/resize:format$003dfull,b01a406c028a
America,,Alfred R. Waud,American,1828,1891,7 9/16 x 5 9/16,"pen, brush, black ink and ink wash heightened with white on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27992/resize:format$003dfull,7afb6529f460
American Eagles,1862,James David Smillie,American,1833,1909,10 7/8 x 8 1/2,gray wash on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18079/resize:format$003dfull,79479ed1f082
An Aged Corinthian Relates his Experiences,,Henry Mosler,American,1841,1920,9 x 11 1/4,graphite on gray paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16261/resize:format$003dfull,d88f65df3319
Ancestral Remains,1979,Jesse Jay McVicker,American,1911,2004,image: 10 1/8 x 18,graphite on paper,"Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/31564/resize:format$003dfull,acd6c160cf4c
"Ancient Cedar, with Two Boys",,Raphael Lamar West,British,1769,1850,13 3/4 x 19 1/4,pen and gray ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20420/resize:format$003dfull,45f302e8552d
Animals Conversing,,B. Baker,American,,,15 x 9 3/4,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28003/resize:format$003dfull,f95695f4805e
Anne Hathaway's Cottage,,Charles Erskine Wood,American,1852,1944,8 3/4 x 11 5/8,pastel and graphite on brown paper,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/16129/resize:format$003dfull,02f843162bcc
"Approach to La Crosse, Wis. From Below",,Edwin Whitefield,American,1816,1892,6 1/8 x 9 1/8,"watercolor, brush, black ink, Chinese white and graphite on paper","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18091/resize:format$003dfull,7ed28995def9
"Aqueduct, August 11, 1890",1890,Joseph Basil Girard,American,1846,1918,4 11/16 x 6 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20080/resize:format$003dfull,12bf778f6896
Architectural Study,,Charles Erskine Wood,American,1852,1944,9 7/8 x 13,gouache on gray paper,"The Huntington Library, Art Collections, and Botanical Gardens.",,http://emuseum.huntington.org/internal/media/dispatcher/17967/resize:format$003dfull,9933a6141534
Army of the Potomac,,Larkin Goldsmith Mead,American,1835,1910,7 x 24,graphite and grey wash on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18099/resize:format$003dfull,179efa1ed57e
As the Vocal Teacher,,Don Freeman,American,1908,1978,sheet: 18 1/4 x 13 1/4,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/31094/resize:format$003dfull,9c5458b8baf0
Ash Tree in Surrey,1908,Joseph Basil Girard,American,1846,1918,sheet: 4 13/16 x 7 7/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/28493/resize:format$003dfull,56a95f69eb21
At Sundown,1909,Marion Kavanaugh Wachtel,American,1876,1954,24 x 18,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Anne Crotty",,http://emuseum.huntington.org/internal/media/dispatcher/27970/resize:format$003dfull,77eeb9f9e980
"Avenue of Spruce Firs in Mr. Parson's  Garden, Flushing",1889,Alfred William Parsons,British,1847,1920,15 x 8 1/2,gouache en grisaille on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16246/resize:format$003dfull,f61c16a70456
Bachelor Girl,1915,John Sloan,American,1871,1951,11 3/4 x 9 7/16,graphite on butcher paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16203/resize:format$003dfull,1594930ea79d
Back of Rockport,,Gifford Reynolds Beal,American,1879,1956,13 x 19,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Margery and Maurice Katz",,http://emuseum.huntington.org/internal/media/dispatcher/27972/resize:format$003dfull,b68f67ffb500
Back Porch-Cucinavaca, 1885-1932,Christian Jorgensen,American,1860,1935,7 1/8 x 9 13/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen",,http://emuseum.huntington.org/internal/media/dispatcher/27923/resize:format$003dfull,6caa765a7e2b
"Balcony - Hotel, Chinatown, S.F., Calif.",1929,E. A. Burbank,American,1858,1949,7 1/8 x 10 7/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray.",,http://emuseum.huntington.org/internal/media/dispatcher/22325/resize:format$003dfull,cc429d30d459
Ballerina Sketch,1933,,,,,11 x 8 1/2,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30283/resize:format$003dfull,180f34717305
Ballerina Sketch,1933,,,,,10 15/16 x 8 1/2,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30284/resize:format$003dfull,88addaf0df60
Ballerina Sketch,1933,,,,,6 7/8 x 5 3/8,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30285/resize:format$003dfull,5dc5b1f55325
Bandaged Man on Horse,,Charles Jay Taylor,American,1855,1929,11 5/8 x 15 5/8,ink on paper,"The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift",,http://emuseum.huntington.org/internal/media/dispatcher/28022/resize:format$003dfull,0bcfe31f8eb1
Bank Note Design,,American School,,,,8 1/2 x 12,ink and wash on board,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18075/resize:format$003dfull,b8b30e20c7a2
Barefoot Man Outdoors, 1840-1843,John William Casilear,American,1811,1893,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/18201/resize:format$003dfull,b82950864eb2
Battle between British E Boat and German Destroyer,1946,Arthur Edwaine Beaumont,American,1890,1978,13 1/2 x 17 1/2,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Geoffrey C. Beaumont",,http://emuseum.huntington.org/internal/media/dispatcher/17991/resize:format$003dfull,2020eb83cc76
Battle of Bull Run,,Alfred R. Waud,American,1828,1891,4 1/4 x 13 1/2,graphite and graywash on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16264/resize:format$003dfull,8805cb196cbb
Beach Scene,1933,,,,,6 7/8 x 8 3/4,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30277/resize:format$003dfull,71648dd846a9
Beach Scene,1933,,,,,7 1/2 x 9 3/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30278/resize:format$003dfull,1f3f414fb7db
Beach Scene,1933,,,,,7 x 5 1/2,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30279/resize:format$003dfull,7e80bb56962d
Beach Scene,1933,,,,,7 5/16 x 8 13/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30280/resize:format$003dfull,35876eac61f3
Beach Scene,1933,,,,,4 1/4 x 4 15/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30281/resize:format$003dfull,c7d674200057
Beach Scene,1933,,,,,7 7/8 x 10 15/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/30282/resize:format$003dfull,5dcde5f89a20
Beachy Head,1908,Joseph Basil Girard,American,1846,1918,sheet: 4 13/16 x 7 7/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/28503/resize:format$003dfull,ed12fd849d50
Bearded Cardinal with Boon in Hand, 1840-1843,John William Casilear,American,1811,1893,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/18183/resize:format$003dfull,8abe4a43bb7d
Bearded Man with Staff, 1845 - 1847,John Frederick Kensett,American,1816,1872,,graphite and watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/18172/resize:format$003dfull,71772492a023
Bearded Monk Carrying Bags, 1840-1843,John William Casilear,American,1811,1893,,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair",,http://emuseum.huntington.org/internal/media/dispatcher/18197/resize:format$003dfull,8a848c46b281
"Benicia Arsenal [?], August 12, 1894",1894,Joseph Basil Girard,American,1846,1918,5 x 8 11/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20093/resize:format$003dfull,e2f7f61da820
"Benicia Arsenal, California",,Joseph Basil Girard,American,1846,1918,5 9/16 x 8,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Jane Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20155/resize:format$003dfull,a4c111d14b37
"Benicia Arsenal, California Mount Diablo in the Distance",,Joseph Basil Girard,American,1846,1918,5 5/16 x 7 15/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20154/resize:format$003dfull,4f77f4033948
"Benicia Barracks, August 14, 1894",1894,Joseph Basil Girard,American,1846,1918,5 x 8 11/16,graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20094/resize:format$003dfull,4e1ecb8534d8
"Benicia Barracks, Cal.",,Joseph Basil Girard,American,1846,1918,4 7/8 x 7 3/4,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20153/resize:format$003dfull,4a2f07f487e9
Big Trees - Mariposa Grove,1871,James David Smillie,American,1833,1909,9 x 6 1/4,graphite heightened with Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/28302/resize:format$003dfull,3145d3f8efa8
Bird Watchers,1965,Don Freeman,American,1908,1978,10 3/16 x 7 11/16,watercolor and ink,"Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone",,http://emuseum.huntington.org/internal/media/dispatcher/31608/resize:format$003dfull,0c207a2b9dca
Black Youth,1938,John Steuart Curry,American,1897,1946,20 x 12,watercolor and graphite on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/20493/resize:format$003dfull,7c4205f8316f
Boating Party,,Joseph Basil Girard,American,1846,1918,5 5/8 x 7 7/16,watercolor on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of Jane Hemphill",,http://emuseum.huntington.org/internal/media/dispatcher/20176/resize:format$003dfull,8a4c77974a99
Boats Banked on a River,,John Bunyan Bristol,American,1826,1909,10 5/8 x 14 7/8,graphite and watercolor on buff paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/16191/resize:format$003dfull,21dc2aecbf45
Book Cliffs at the Utah Desert,,Samuel Colman,American,1832,1920,13 3/4 x 23 1/2,watercolor and pastel on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Gift of the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/1025/resize:format$003dfull,8c271dc667e7
Boulders,1853,David Johnson,American,1827,1908,10 x 14,graphite and Chinese white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18051/resize:format$003dfull,8df94df736ac
Bountiful Sea,,American School,,,,10 1/2 x 20 1/2,watercolor and pencil on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/27967/resize:format$003dfull,f2773b6e815f
Boxing Match,,Alexander Zerdin Kruse,American,1890,1972,18 1/4 x 23 3/8,charcoal on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Kruse family trust",,http://emuseum.huntington.org/internal/media/dispatcher/28321/resize:format$003dfull,a5f3fcb1fc51
"Bradford Cove, Grand Mannan",1877,John George Brown,American,1831,1913,11 3/4 x 17 3/4,graphite heightened with white on paper,"The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation",,http://emuseum.huntington.org/internal/media/dispatcher/18023/resize:format$003dfull,e1e8fd943f93
