technique,provenance,title,imageUrl,dimensions,artist,type,url,EA_id
Copper Plate Engraving with Recent Hand Coloring,Gift of Edward T. Garcia,"Plan du Fort Anglois de Juida, ou Fort Williams",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5CGarcia%5FFtWilliams%2Ejpg,"10"" H x 7.25"" W",Antoine-François Prevost,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Antoine%2DFran%E7ois+Prevost&whereclause=where+maker%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+cleanmaker%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker1%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker2%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker3%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker4%3D%27Antoine%2DFran%E7ois+Prevost%27+OR+maker5%3D%27Antoine%2DFran%E7ois+Prevost%27&current_record=1,14ae8e3ba3be
lithograph,Bequest of Alfred C. Darby,untitled,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTapies%5FAntoni%2Ejpg,"28¾"" x 34¾""",Antoni Tàpies,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Antoni+T%E0pies&whereclause=where+maker%3D%27Antoni+T%E0pies%27+OR+cleanmaker%3D%27Antoni+T%E0pies%27+OR+maker1%3D%27Antoni+T%E0pies%27+OR+maker2%3D%27Antoni+T%E0pies%27+OR+maker3%3D%27Antoni+T%E0pies%27+OR+maker4%3D%27Antoni+T%E0pies%27+OR+maker5%3D%27Antoni+T%E0pies%27&current_record=1,6148a74c3c7c
Photograph and Negative,Museum purchase,Claude Fiddler in his Studio,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CFIDDLE%7E1%2EBMP,"19½ x 19½"", 8 x 10"" negative",Armando Solis,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Armando+Solis&whereclause=where+maker%3D%27Armando+Solis%27+OR+cleanmaker%3D%27Armando+Solis%27+OR+maker1%3D%27Armando+Solis%27+OR+maker2%3D%27Armando+Solis%27+OR+maker3%3D%27Armando+Solis%27+OR+maker4%3D%27Armando+Solis%27+OR+maker5%3D%27Armando+Solis%27&current_record=1,87a6826c24bf
Sheet music,Gift of Estate of Marjorie P. Johnson,"""Oh! What A Beautiful City""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CSheet%5Fmusic%5CPooleJohnson%5Fsheetmusic+copy%2Ejpg,12 H x 9 W,Arranged by Edward Boatner,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Arranged+by+Edward+Boatner&whereclause=where+maker%3D%27Arranged+by+Edward+Boatner%27+OR+cleanmaker%3D%27Arranged+by+Edward+Boatner%27+OR+maker1%3D%27Arranged+by+Edward+Boatner%27+OR+maker2%3D%27Arranged+by+Edward+Boatner%27+OR+maker3%3D%27Arranged+by+Edward+Boatner%27+OR+maker4%3D%27Arranged+by+Edward+Boatner%27+OR+maker5%3D%27Arranged+by+Edward+Boatner%27&current_record=1,34f8bde304c8
Gouche and conte on paper,Gift of Jessica and Nancy McKinney,"Minkisi Figure/Kalunga Heads, series VII",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDAS+Foto%5CCarraway%2Ebmp,"31"" H x 25"" W",Arthur Carraway,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Arthur+Carraway&whereclause=where+maker%3D%27Arthur+Carraway%27+OR+cleanmaker%3D%27Arthur+Carraway%27+OR+maker1%3D%27Arthur+Carraway%27+OR+maker2%3D%27Arthur+Carraway%27+OR+maker3%3D%27Arthur+Carraway%27+OR+maker4%3D%27Arthur+Carraway%27+OR+maker5%3D%27Arthur+Carraway%27&current_record=1,79526596333d
"Bronze, steel wire, ceramic shell and resin",Museum purchase,Emerging Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FEmergingWoman%2Ejpg,"32.5"" H x 15"" W x 10"" D",Artis Marie Lane,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=1,702bf96bd770
Bronze with black patina,"Museum purchase with Arts Council funds in memory of John T. Riddle, Jr.",Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FWoman%2Ejpg,"32.25"" H x 15"" W x 10""D",Artis Marie Lane,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=2,cd2a56e0ac5c
"Bronze, ceramic shell, resin","Gift of Friends, The Foundation of the California African American Museum through the generous donations of the Annenberg Foundation and the James Irvine Foundation",Emerging First Man,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLoans%5CIL15%5F2005%2Ejpg,"75"" H x 20""W x 12"" D",Artis Marie Lane,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=3,29d9bd16808b
Lithograph,"Gift of Friends, The Foundation of the California African American Museum",The Beginning,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FBeginning%2Ejpg,"33"" H x 35.25"" W",Artis Marie Lane,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=4,4179e141d059
"Carved, pigmented wood, with purple pigment at neck.","Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CK5%2EBMP,"11½"" x 4"" x 1½""",Asante People of Ghana,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Asante+People+of+Ghana&whereclause=where+maker%3D%27Asante+People+of+Ghana%27+OR+cleanmaker%3D%27Asante+People+of+Ghana%27+OR+maker1%3D%27Asante+People+of+Ghana%27+OR+maker2%3D%27Asante+People+of+Ghana%27+OR+maker3%3D%27Asante+People+of+Ghana%27+OR+maker4%3D%27Asante+People+of+Ghana%27+OR+maker5%3D%27Asante+People+of+Ghana%27&current_record=1,ba40a309d319
Wood,"Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CK3%2EBMP,"10"" x 4¼"" x 11½""",Asante People of Ghana,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Asante+People+of+Ghana&whereclause=where+maker%3D%27Asante+People+of+Ghana%27+OR+cleanmaker%3D%27Asante+People+of+Ghana%27+OR+maker1%3D%27Asante+People+of+Ghana%27+OR+maker2%3D%27Asante+People+of+Ghana%27+OR+maker3%3D%27Asante+People+of+Ghana%27+OR+maker4%3D%27Asante+People+of+Ghana%27+OR+maker5%3D%27Asante+People+of+Ghana%27&current_record=2,1f94833db508
Wood,"Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1035%2EBMP,"9½"" x 3¾"" x 1½""",Asante People of Ghana,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Asante+People+of+Ghana&whereclause=where+maker%3D%27Asante+People+of+Ghana%27+OR+cleanmaker%3D%27Asante+People+of+Ghana%27+OR+maker1%3D%27Asante+People+of+Ghana%27+OR+maker2%3D%27Asante+People+of+Ghana%27+OR+maker3%3D%27Asante+People+of+Ghana%27+OR+maker4%3D%27Asante+People+of+Ghana%27+OR+maker5%3D%27Asante+People+of+Ghana%27&current_record=3,0f99c20f8d26
Wood,"Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1058%2EBMP,"9½"" x 3"" x 1¼""",Asante People of Ghana,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Asante+People+of+Ghana&whereclause=where+maker%3D%27Asante+People+of+Ghana%27+OR+cleanmaker%3D%27Asante+People+of+Ghana%27+OR+maker1%3D%27Asante+People+of+Ghana%27+OR+maker2%3D%27Asante+People+of+Ghana%27+OR+maker3%3D%27Asante+People+of+Ghana%27+OR+maker4%3D%27Asante+People+of+Ghana%27+OR+maker5%3D%27Asante+People+of+Ghana%27&current_record=4,dc44964f112d
Carved and pigmented wood.,"Gift of Dr. Bennett Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5C1034%2EBMP,"14"" x 6"" x 1½""",Asante People of Ghana,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Asante+People+of+Ghana&whereclause=where+maker%3D%27Asante+People+of+Ghana%27+OR+cleanmaker%3D%27Asante+People+of+Ghana%27+OR+maker1%3D%27Asante+People+of+Ghana%27+OR+maker2%3D%27Asante+People+of+Ghana%27+OR+maker3%3D%27Asante+People+of+Ghana%27+OR+maker4%3D%27Asante+People+of+Ghana%27+OR+maker5%3D%27Asante+People+of+Ghana%27&current_record=5,a4ab5357357e
"Newpaper, photographs, binder","Gift of William Spiller, Jr.",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSpiller%5CVaughn%2Ebmp,"19.5 x 25 x 2.25""","assembled by William Spiller, Sr./George M. Cutler, Jr.[commercial photographs]",HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+assembled+by+William+Spiller%2C+Sr%2E%2FGeorge+M%2E+Cutler%2C+Jr%2E%5Bcommercial+photographs%5D&whereclause=where+maker%3D%27assembled+by+William+Spiller%2C+Sr%2E%2FGeorge+M%2E+Cutler%2C+Jr%2E%5Bcommercial+photographs%5D%27+OR+cleanmaker%3D%27assembled+by+William+Spiller%2C+Sr%2E%2FGeorge+M%2E+Cutler%2C+Jr%2E%5Bcommercial+photographs%5D%27+OR+maker1%3D%27assembled+by+William+Spiller%2C+Sr%2E%2FGeorge+M%2E+Cutler%2C+Jr%2E%5Bcommercial+photographs%5D%27+OR+maker2%3D%27assembled+by+William+Spiller%2C+Sr%2E%2FGeorge+M%2E+Cutler%2C+Jr%2E%5Bcommercial+photographs%5D%27+OR+maker3%3D%27assembled+by+William+Spiller%2C+Sr%2E%2FGeorge+M%2E+Cutler%2C+Jr%2E%5Bcommercial+photographs%5D%27+OR+maker4%3D%27assembled+by+William+Spiller%2C+Sr%2E%2FGeorge+M%2E+Cutler%2C+Jr%2E%5Bcommercial+photographs%5D%27+OR+maker5%3D%27assembled+by+William+Spiller%2C+Sr%2E%2FGeorge+M%2E+Cutler%2C+Jr%2E%5Bcommercial+photographs%5D%27&current_record=1,cbb07e5b6dc0
ink on paper,Museum purchase,The Betrayal: The Strangest Love Story Ever Told [poster],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMovies%5CMicheaux%5FBetrayal%2Ejpg,"54½"" H x 42"" W",Astor Pictures/Oscar Micheaux,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Astor+Pictures%2FOscar+Micheaux&whereclause=where+maker%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+cleanmaker%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker1%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker2%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker3%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker4%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker5%3D%27Astor+Pictures%2FOscar+Micheaux%27&current_record=1,2cf539efe694
Carved wood,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CA133%2Ejpg,"49"" x 5.5""",attributed to Cameroon Grasslands peoples,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+attributed+to+Cameroon+Grasslands+peoples&whereclause=where+maker%3D%27attributed+to+Cameroon+Grasslands+peoples%27+OR+cleanmaker%3D%27attributed+to+Cameroon+Grasslands+peoples%27+OR+maker1%3D%27attributed+to+Cameroon+Grasslands+peoples%27+OR+maker2%3D%27attributed+to+Cameroon+Grasslands+peoples%27+OR+maker3%3D%27attributed+to+Cameroon+Grasslands+peoples%27+OR+maker4%3D%27attributed+to+Cameroon+Grasslands+peoples%27+OR+maker5%3D%27attributed+to+Cameroon+Grasslands+peoples%27&current_record=1,371cf3f5264c
wood and pigments,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CF22%2EJPG,"24"" x 6½""",attributed to Senufo people of Côte dIvoire,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+attributed+to+Senufo+people+of+C%F4te+d%92Ivoire&whereclause=where+maker%3D%27attributed+to+Senufo+people+of+C%F4te+d%92Ivoire%27+OR+cleanmaker%3D%27attributed+to+Senufo+people+of+C%F4te+d%92Ivoire%27+OR+maker1%3D%27attributed+to+Senufo+people+of+C%F4te+d%92Ivoire%27+OR+maker2%3D%27attributed+to+Senufo+people+of+C%F4te+d%92Ivoire%27+OR+maker3%3D%27attributed+to+Senufo+people+of+C%F4te+d%92Ivoire%27+OR+maker4%3D%27attributed+to+Senufo+people+of+C%F4te+d%92Ivoire%27+OR+maker5%3D%27attributed+to+Senufo+people+of+C%F4te+d%92Ivoire%27&current_record=1,de044ce41805
pastel and charcoal on paper,Gift of Vertenis Shephard,Caricature of Vertenis Shephard,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKen+Renard%5CVertenis%2Ejpg,"14"" H x 11"" W",[Bailey] of Universal City Studios,HISTORY,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+%5BBailey%5D+of+Universal+City+Studios&whereclause=where+maker%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+cleanmaker%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker1%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker2%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker3%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker4%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker5%3D%27%5BBailey%5D+of+Universal+City+Studios%27&current_record=1,818915aabd51
Carved wood,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CK7%2Ejpg,"31"" x 6.5""",Bamana people of Mali,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Bamana+people+of+Mali&whereclause=where+maker%3D%27Bamana+people+of+Mali%27+OR+cleanmaker%3D%27Bamana+people+of+Mali%27+OR+maker1%3D%27Bamana+people+of+Mali%27+OR+maker2%3D%27Bamana+people+of+Mali%27+OR+maker3%3D%27Bamana+people+of+Mali%27+OR+maker4%3D%27Bamana+people+of+Mali%27+OR+maker5%3D%27Bamana+people+of+Mali%27&current_record=1,e5d90642a9a8
Cotton and pigment,"Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby",,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CO%2EJPG,"36"" H x 32"" W",Bamana people of Mali,VISUAL ART,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Bamana+people+of+Mali&whereclause=where+maker%3D%27Bamana+people+of+Mali%27+OR+cleanmaker%3D%27Bamana+people+of+Mali%27+OR+maker1%3D%27Bamana+people+of+Mali%27+OR+maker2%3D%27Bamana+people+of+Mali%27+OR+maker3%3D%27Bamana+people+of+Mali%27+OR+maker4%3D%27Bamana+people+of+Mali%27+OR+maker5%3D%27Bamana+people+of+Mali%27&current_record=2,73a8442f82e2
