title,name,nationality,birthDate,deathDate
Out of Work,Ellen M. Ingraham,American,1832,1917
Jacob and His Sheep,Helen West Heller,American,1870,1955
Jacob&#039;s Angel,Helen West Heller,American,1870,1955
Baseball,Helen West Heller,American,1870,1955
Borzois and I,Helen West Heller,American,1870,1955
Untitled Landscape,John W. Hardrick,American,1891,1968
Winter Landscape,John W. Hardrick,American,1891,1968
"Henry James, Sr.",Frank Duveneck,American,1848,1919
Portrait of Squire Duveneck,Frank Duveneck,American,1848,1919
Mirror III,George Tooker,American,1920,
The Edge of Town,Grant Wright Christian,,,
The Painter Man,William J. Forsyth,American,1854,1935
Portia in a Pink Blouse,Guy Pène Du Bois,American,1884,1958
The Black Barn,Charles Ephraim Burchfield,American,1893,1967
From Mount Kearsarge,Andrew Newell Wyeth,American,1917,
The Family Cow,William Merritt Chase,American,1849,1916
Still Life: Brass Bowl,William Merritt Chase,American,1849,1916
Red Snapper,William Merritt Chase,American,1849,1916
Still Life - Brass Kettle and Catfish,William Merritt Chase,American,1849,1916
"Two Princesses, Sophia and Amelia, Daughters of His Majesty, King George III",,,,
A Lord Mayor of London,,British,1735,1811
The Art Jury,Wayman Adams,American,1883,1959
Morning--Old Schofield&#039;s Mill,T.C. Steele,American,1847,1926
First Snow of Winter,C. C. Bohm,American,1894,1971
Portrait of Madame Fisher,Eugene Paul Ullman,American,1877,1953
Portrait of Dr. Charles G. McLean,Jacob Cox,American,1810,1892
Waiting and Mad,Charles Marion Russell,American,1864,1926
Francisco Martinez,Joseph Henry Sharp,American,1859,1953
Bethlehem,Lauren Ford,American,1891,1973
Mountain Man,Frederic Remington,American,1861,1909
The Electric Forest,David Alfaro Siqueiros,Mexican,1896,1974
Whitewater Rapids,William J. Forsyth,American,1854,1935
The Constitutional Elm,William J. Forsyth,American,1854,1935
Portrait of Sally Montgomery,Unknown,,,
Portrait of Hugh Montgomery,Unknown,,,
The Restless Sea,Edgar Alwin Payne,American,1883,1947
The Visitation,Anthony Joseph Lauck,American,1908,
In the Catskills,Clifton A. Wheeler,American,1883,1953
The Sycamores (Broad Ripple),John Washington Love,American,1850,1880
Temperance Pledge,John G. Dunn,American,1820,1858
Landscape near Indianapolis,Jacob Cox,American,1810,1892
Young German Girl (Gretchen?),Samuel G. Richards,American,1853,1893
Old Johnnie&#039;s Wife,Robert Henri,American,1865,1929
Portrait of the Artist&#039;s Wife,James F. Gookins,American,1840,1904
Portrait of Dr. Lewis D. Lyons,Barton Stone Hays,American,1826,1914
Oaks at Vernon,T.C. Steele,American,1847,1926
In the Parlor,,,,
Road in Early Spring,Charles Ephraim Burchfield,American,1893,1967
Politics in an Oyster House,,,,
Bust of President Benjamin Harrison,Adolph Alexander Weinman,American,1870,1952
The Bacidae,Sarah Paxton Ball Dodson,American,1847,1906
The Jade Bowl,Dines Carlsen,American,1901,1966
Portrait of Helen Miller (Mrs. Charles G. McLean),Rembrandt Peale,American,1778,1860
Indian Hunter with Dog,Paul Manship,American,1885,1966
Liberty Loan Parade,Arthur Clifton Goodwin,American,1864,1929
Untitled,Alexander Calder,American,1898,1976
Portrait of a Young Woman,Edward August Bell,American,1862,1953
The Moose Hunter,Charles Codman,,,
A Break: Playing Cards,Julian Scott,American,1846,1901
Portrait of a Young Woman,Gilbert Stuart,American,1755,1828
Venus Anadyomene,Paul Manship,American,1885,1966
An Anxious Mother,Percival De Luce,American,1847,1914
Untitled (The Birth),Jacob Lawrence,American,1917,2000
Afternoon Tea,Richard Emile Miller,American,1875,1943
"Rooftops, New York City",Edward F. Fisk,American,1886,1944
The Statuette,Edward August Bell,American,1862,1953
Blue Monday,Floyd D. Hopper,American,1909,1984
"The Park, Salem",Maurice Brazil Prendergast,American,1859,1934
Praying Angel,Robert W. Davidson,American,1904,1982
Thames Nocturne,James Abbott McNeill Whistler,American,1834,1903
EAST COAST U.S.A.,,,,
"Sketch, Hyannisport",Charles Webster Hawthorne,American,1872,1930
Eleanor,Lucy Martha Taggart,,,
Young Girls,Mary Cassatt,American,1845,1926
Hauptmann Must Die,Reginald Marsh,American,1898,1954
Indian Girl with Parrot and Hoop,Victor Higgins,American,1884,1949
Hotel Lobby,Edward Hopper,American,1882,1967
Farm Near Gordes #3,Paul Resika,American,1928,
Portrait of Marie Jane Andrew,Joseph R. Mason,American,1808,1842
Portrait Medallion,Janet Scudder,American,1873,1940
A Winter Morning,Frank T. Hutchens,American,1869,1937
"Barnes Cabin on Owl Creek, Brown County",John William Vawter,American,1871,1914
Diana,Edward F. McCartan,American,1879,1947
Zinnias and Leaves,Leota Williams Loop,American,1893,1961
Fisherman&#039;s Lore,George Jo Mess,American,1898,1962
The Young Mother,Bessie Potter Vonnoh,,,
Cyclop Man,,,,
Young Brittany Girl,Charles Sprague Pearce,American,1851,1914
Weathervane: Goddess of Liberty,Henry Leach,American,1809,1885
Untitled (Portrait of Two Women),Lucy Martha Taggart,,,
Portrait of Mary Ethell Gertrude Walker,John Ottis Adams,American,1851,1927
Women Dressing,William McGregor Paxton,American,1869,1941
Reclining Nude,David K. Rubins,American,1902,1985
Seascape,James Abbott McNeill Whistler,American,1834,1903
Seascape,James Abbott McNeill Whistler,American,1834,1903
The Elopement,Emery D. Horsky,American,1885,1964
Portrait Medallion (Mildred Barnes),Janet Scudder,American,1873,1940
Portrait Medallion (Alice Jones),Janet Scudder,American,1873,1940
Medal: Admission of Indiana to the Union,Janet Scudder,American,1873,1940
Marine,Frank Duveneck,American,1848,1919
General Lew Wallace,Stephen Seymour Thomas,American,1868,1956
Head of a Boy,John Washington Love,American,1850,1880
"Vista Terreno, Palm de Malloria",William J. Potter,American,1883,1964
Portrait of Ella Marvin,James Ormsbee Chapin,American,1887,1975
Landscape: The River,Willard LeRoy Metcalf,American,1858,1925
Farmyard Scene,Jacob Cox,American,1810,1892
Portrait of Amelia Studley,Joseph Easton,American,1829,1875
San Barnaba,Louis Bosa,American,1905,
Children&#039;s Heads,Mary Cassatt,American,1845,1926
Harp of Mystery,Adolph Robert Shulz,american,1869,1963
Mrs. Nathaniel Wales,,,,
Daybreak,Emanuel Glicen Romano,American,1897,1984
Marie and Baby,Robert Henri,American,1865,1929
"The Beach Scituate, Massachusetts",Thomas Buford Meteyard,American,1865,1928
"Summer Landscape Falls Village, Connecticut",Dines Carlsen,American,1901,1966
Buildings in Winter,Cecil F. Head,American,1906,
Unfinished Landscape (American Lake Scene at Sunset),Thomas Cole,American,1801,1848
Landscape,Alexander Helwig Wyant,American,1836,1892
Strawberries,Barton Stone Hays,American,1826,1914
Portrait of Eusebia Sewell,Barton Stone Hays,American,1826,1914
Portrait of William Sewell,Barton Stone Hays,American,1826,1914
Fairy Marauders,James F. Gookins,American,1840,1904
Across Silvery Waters,Frank V. Dudley,American,1868,1957
Hopi Courtship,William Robinson Leigh,,,
Dionysus,Paul Manship,American,1885,1966
Snow Leopard,Malvina Hoffman,American,1887,1966
Promenade,Alexander Archipenko,American,1887,1964
On the Pennypack,Russell Smith,,,
"Village of Schliersee, Highlands",T.C. Steele,American,1847,1926
On the Edge of the Wood at Twilight,John Elwood Bundy,American,1853,1933
The Red Maple,L. Clarence Ball,American,1858,1915
Cows,William J. Forsyth,American,1854,1935
Promenade,Guy Pène Du Bois,American,1884,1958
Nude Reaching,Isabel Bishop,American,1902,1988
The Big Brass Bowl,William Merritt Chase,American,1849,1916
Portrait of Catherine (Eddy) Beveridge - Lady Primrose Portrait,Cecilia Beaux,American,1855,1942
The Old Mills on the Somme,Walter Elmer Schofield,American,1867,1944
Seascape,C. C. Bohm,American,1894,1971
The Visitor,Katherine H. Wagenhals,American,1883,1966
Portrait of David Cox,,American,1778,1860
Golf Course Scene,Ruthven Byrum,American,,
Passing Shower,Louise D. Hibben,American,1895,1974
The Whistling Boy,Joseph Frank Currier,American,1843,1909
Head of Margot,Mary Cassatt,American,1845,1926
Provincetown Fisherman,Charles Webster Hawthorne,American,1872,1930
Bacchanal (The Four Seasons),Eugene Francis Savage,American,1883,1966
"Glow of Gold, Gleam of Pearl",William McGregor Paxton,American,1869,1941
Portrait of Charles Ballard as a Boy,Ivan Gregorovitch Olinsky,American,1878,1962
Still Life,Emil Carlsen,American,,
Winged Form,Will Henry Stevens,,,
Portrait of John Washington Love,Dewey Bates,American,1851,1899
