Title,Artist,Classification,Medium,Dimension,Owner,Image,Description,DateOfWork,CreditLine,Sitter,sitterBirthDate,sitterDeathDate,birthDate,deathDate,EA_id
Chester Alan Arthur,F. Nakayama,Painting,Watercolor on silk,"121.1cm x 50.2cm (47 11/16"" x 19 3/4""), Accurate ",Albany Institute of History and Art,http://npgportraits.si.edu/eMuseumNPG/media/previews/ny120016_2.jpg,,c. 1875-1885,"Albany Institute of History and Art, Gift of Mr. Miland G. Batcheller",Chester Alan Arthur,1829,1886,,,cedf9c85ecba
Astronauts,Hector Garrido,Painting,"Watercolor, pencil and tempera on Masonite","53.9cm x 40cm (21 1/4"" x 15 3/4""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/.jpg,,1968,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine",William Alison Anders,1933,,1927,,11c4959b9424
Spencer Fullerton Baird,Henry Ulke,Painting,Oil on canvas,"76.2cm x 63.4cm (30"" x 24 15/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7910130a.jpg,,1887,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum",Spencer Fullerton Baird,1823,1887,1821,1910,e912302a56b3
Loammi Baldwin,Chester Harding,Painting,Oil on canvas,"90.8cm x 70.5cm (35 3/4"" x 27 3/4""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8500012a.jpg,,1823,"National Portrait Gallery, Smithsonian Institution","Loammi Baldwin, Jr.",1780,1838,1792,1866,6aed093f1775
David Baltimore,Jon R. Friedman,Painting,Oil on paper,"Sheet: 76.6 x 58.1cm (30 3/16 x 22 7/8"") Mat: 91.4 x 66cm (36 x 26"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000002B.jpg,"Born New York City  David Baltimore is regarded as one of the world's most influential biologists. In 1975, at the age of thirty-seven, he won the Nobel Prize for his research on RNA viruses and their abilities to infect and permanently alter healthy cells. His research has aided the scientific understanding of retroviruses such as HIV and the molecular basis of the immune response. Baltimore is regularly consulted by the federal government and worldwide health organizations in the fight against and treatment of AIDS. Describing the joy of discovery, Baltimore explains: ""You go home, and you think about it when you go to sleep, and you think about it when you wake up . . . and you know there is something new in the world."" In this portrait by Jon Friedman, Baltimore appears with partial views of two photographs by the Cuban photographer Abelardo Morell, testifying to his long-standing interest in art.",2006,"National Portrait Gallery, Smithsonian Institution; gift of Jon R. Friedman",David Baltimore,1938,,1947,,b9d6bfda0c73
David Baltimore,Jon R. Friedman,Painting,Oil and acrylic on paper,"Sheet: 76.3 x 56.4 cm (30 1/16 x 22 3/16"") Oversize mat. ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000004B.jpg,"David Baltimore is regarded as one of the world's most influential biologists. In 1975, at the age of thirty-seven, he won the Nobel Prize for his research on RNA viruses and their abilities to infect and permanently alter healthy cells. His research has increased the scientific understanding of retroviruses such as HIV and the molecular basis of the immune response. Baltimore is regularly consulted by the federal government and health organizations worldwide in the fight against and treatment of AIDS. Describing the joy of discovery, Baltimore explains: ""You go home, and you think about it when you go to sleep, and you think about it when you wake up . . . and you know there is something new in the world."" In this portrait by Jon Friedman, Baltimore appears with a print by Richard Serra, testifying to his long-standing interest in art. ",2006,"National Portrait Gallery, Smithsonian Institution; gift of Jon R. Friedman",David Baltimore,1938,,1947,,8c793bfabafe
Alexander Graham Bell,John Wycliffe Lowes Forster,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8500148A.jpg,,1919,"National Portrait Gallery, Smithsonian Institution; gift of Gilbert Grosvenor Coville",Alexander Graham Bell,1847,1922,1850,1938,1b384ac80af9
Julius Bien,George Da Maduro Peixotto,Painting,Oil on canvas,"132.7cm x 101.6cm (52 1/4"" x 40""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7700306A_1.jpg,,1886,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Julius Bien, Jr., 1920",Julius Bien,1826,1909,1859,1937,8dd49189cb7e
Harold Brown,Roy Andersen,Painting,Acrylic on board,"81.6cm x 63.5cm (32 1/8"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0518a.jpg,,1977,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine",Harold Brown,1927,,1935,,6cdb4e508dc8
John Moses Browning,George Henry Taggart,Painting,Oil on canvas,"122.5cm x 95.3cm (48 1/4"" x 37 1/2""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8200110a.jpg,,1902,"National Portrait Gallery, Smithsonian Institution; gift of Val A. Browning",John Moses Browning,1855,1926,1865,1947,d29fb83ab745
William Austin Burt,,Painting,Oil on canvas,"Stretcher: 76.3cm x 63.5cm (30 1/16"" x 25"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7900298a.jpg,,c. 1845,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. Philip Burt Fisher",William Austin Burt,1792,1858,,,f9e495d26d62
George Washington Carver,Betsy Graves Reyneau,Painting,Oil on canvas,"Stretcher: 114.9 x 89.5 x 2.5cm (45 1/4 x 35 1/4 x 1"") Frame: 130.2 x 104.8 x 5.7cm (51 1/4 x 41 1/4 x 2 1/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6500142A_2.jpg,"The Harmon Foundation, a philanthropic organization based in New York City and active from (1922-1967) included this portrait in their exhibition 闂佺偨鍎查梼鈧琽rtraits of Outstanding Americans of Negro Origins ?which documented noteworthy African Americans ?contributions to the country. Modeling their goal of social equality, the Harmon sought portraits from an African-American artist, Laura Wheeler Waring and Euro-American artist, Betsy Graves Reyneau.  The two painters  followed the conventional codes of academic portraiture, seeking to convey their sitters extraordinary accomplishments.  This painting, along with a variety of educational materials, toured nation-wide for ten years serving as a visual rebuttal to racism.",1942,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the George Washington Carver Memorial Committee to the Smithsonian Institution, 1944",George Washington Carver,1864,1943,1888,1964,2732e81781bf
Charles Lindbergh and Alexis Carrel,Samuel Johnson Woolf,Painting,Oil on canvas,"76.2cm x 63.4cm (30"" x 24 15/16""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/87t0004a.jpg,,1938,"National Portrait Gallery, Smithsonian Institution","Charles Augustus Lindbergh, Jr.",1902,1974,1880,1948,d400f426a644
DeWitt Clinton,John Wesley Jarvis,Painting,Oil on canvas,"Stretcher: 122.9 x 92.7 x 2.5cm (48 3/8 x 36 1/2 x 1"") Frame: 147 x 116.2 x 11.4cm (57 7/8 x 45 3/4 x 4 1/2"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6500096A_1.jpg,"De Witt Clinton, masterful politician of New York-in and out of office as mayor of the city and governor of the state-was a man who saw America with the potential for unlimited progress. His great dream was for a canal linking the Great Lakes with the Hudson River. When expected federal financing did not materialize, Clinton set out to put public pressure for funding on the state legislature. A bond issue was approved just in time for Clinton, newly elected as governor, to preside over the groundbreaking ceremonies on July 4, 1817. Eight years later, Clinton, returned to office, directed the great celebration of the Erie Canal's completion. ""Clinton's Ditch"" was a popular and immediate financial success and contributed enormously to the growth and prosperity of New York and the Northwest Territory as well. ",c. 1816,"National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942",DeWitt Clinton,1769,1828,1780,1840,3496309c7be2
Gordon Cooper,Boris Chaliapin,Painting,"Tempera, pencil and ink on board","48.5cm x 38.4cm (19 1/8"" x 15 1/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0628a.jpg,,1963,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine","Leroy Gordon Cooper, Jr.",1927,2004,1904,1979,8ad79a136d49
John Adolphus Bernard Dahlgren,,Painting,Oil on canvas,"91.5cm x 59.7cm (36"" x 23 1/2""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6610092a.jpg,,c. 1945,"National Portrait Gallery, Smithsonian Institution; gift of Mrs. John Vinton Dahlgren, Woodbine, Maryland",John Adolphus Bernard Dahlgren,1809,1870,,,7b0799aa7e05
Dr. William Healey Dall,Wilford Seymour Conrow,Painting,Oil on canvas,"112cm x 85cm (44 1/8"" x 33 7/16""), Accurate No frame ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8100192A_1.jpg,,1920,"National Portrait Gallery, Smithsonian Institution; gift of Whitney Dall",William Healey Dall,1845,1927,1880,1957,2b089205605f
Richard Delafield,Charles Courtney Curran,Painting,Oil on canvas,"86.4cm x 68.6cm (34"" x 27""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6610078a.jpg,,1910,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Albert Delafield, 1910",Richard Delafield,1798,1873,1861,1942,8badf7f21341
Lester Hoxie Dewey,,Painting,Oil on canvas,"111.8cm x 91.8cm (44"" x 36 1/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6510044a.jpg,,,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives",Lester Hoxie Dewey,1865,1944,,,146b7332ab51
William Franklin Draper,M. W. Clark,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/7500016A_1.jpg,,1890,"National Portrait Gallery, Smithsonian Institution; gift of William F. Draper, descendant",William Franklin Draper,1842,1910,,,29b67b07c3e9
Thomas Alva Edison,Abraham Archibald Anderson,Painting,Oil on canvas,"Stretcher: 114.3 x 138.7 x 2.5cm (45 x 54 5/8 x 1"") Frame: 157.5 x 181.8 x 9.8cm (62 x 71 9/16 x 3 7/8"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6500038a.jpg,"Born Milan, Ohio  Painted during Thomas Alva Edison's visit to Paris for the Universal Exposition of 1889, Abraham A. Anderson's portrait depicts the wealthy entrepreneur at the height of his career. World-renowned for his inventions-including the phonograph, incandescent lamp, and movie camera-Edison, who received numerous honors in Europe, presided over one of the most popular exhibitions at the exposition. Particularly intriguing to audiences was Edison's phonograph, the recent improvement of which Anderson chose to picture. Although Edison patented the device in 1877, earning himself the title of the ""Wizard of Menlo Park,"" eleven years passed before he achieved sufficient clarity of sound to make it commercially viable. Using the word ""specie"" as a test, Edison labored until it could be properly transmitted. ""When that was done,"" Edison reported, ""I knew everything else could be done, which was a fact.""",1890,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Eleanor A. Campbell to the Smithsonian Institution, 1942",Thomas Alva Edison,1847,1931,1847,1940,3dae5c33df84
Albert Einstein,Josef Scharl,Painting,Oil on burlap,"81.3cm x 63.5cm (32"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600012a.jpg,,1950,"National Portrait Gallery, Smithsonian Institution",Albert Einstein,1879,1955,1896,1954,284550b26a17
Albert Einstein,Max Westfield,Painting,Oil on canvas,"Stretcher: 102.9 x 77.5cm (40 1/2 x 30 1/2"") Frame: 123.2 x 97.8 x 9.5cm (48 1/2 x 38 1/2 x 3 3/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6700028a.jpg,"The most brilliant scientist of the twentieth century, physicist Albert Einstein inspires comparisons to Isaac Newton. By the time he reached thirty, his theory of relativity and work in quantum mechanics had revolutionized physics and profoundly altered our perception of the world. Einstein naturally commanded great prestige in the United States when he sought refuge from the Nazi regime of his native Germany in 1933. His words thus carried enormous weight in 1939 when he wrote a letter alerting President Roosevelt that Germany was moving toward the development of nuclear weaponry. Eventually, that warning gave impetus to the Manhattan Project, the top-secret venture that in 1945 produced the world's first atomic bomb. While sitting for this likeness in 1944, Einstein mused to his portraitist, ""After fifty years they will say of me, either he was a great man or a fool!""",1944,"National Portrait Gallery, Smithsonian Institution; gift of the artist",Albert Einstein,1879,1955,1882,1971,15d50ac17759
John Ericsson,Arvid Frederick Nyholm,Painting,Oil on canvas,"Stretcher (Verified): 123.8 x 92.7 x 2.5cm (48 3/4 x 36 1/2 x 1"") Frame (Verified): 154.3 x 122.6 x 11.4cm (60 3/4 x 48 1/4 x 4 1/2"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600090a.jpg,"Before he came to the United States in 1839, the Swedish-born engineer and inventor John Ericsson revolutionized navigation with his development of the screw propeller. He achieved fame during the Civil War when he designed the ironclad warship Monitor, the federal response to the threat of the Confederate ironclad Virginia (the refitted USS Merrimack). Ericsson, posing with a model of his ""tin can on a raft,"" always worked alone and had previously perfected engines for many purposes, including fire engines and a steam locomotive. He later developed the forerunner of the modern naval destroyer.",1912,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the Swedish American Republican League of Illinois to the Smithsonian Institution, 1912",John Ericsson,1803,1889,1866,1927,2e7630b2b2f2
James Pollard Espy,Thomas Sully,Painting,Oil on canvas,"76.2cm x 63.5cm (30"" x 25""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6600092a.jpg,,1849,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the Espy family to the Smithsonian Institution, 1860",James Pollard Espy,1785,1860,1783,1872,27e5b75bc305
Eberhard Faber,,Painting,Oil on canvas,"61cm x 50.8cm (24"" x 20""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6710204a.jpg,,,"National Portrait Gallery, Smithsonian Institution; gift of Eberhard Faber",John Eberhard Faber,1822,1879,,,e0c52e08b223
Sherman Fairchild,Boris Chaliapin,Painting,"Tempera, pencil and ink on board","51.4cm x 38.4cm (20 1/4"" x 15 1/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0722a.jpg,,1960,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine",Sherman Fairchild,1897,1971,1904,1979,c3ba2e2c4ef4
Henry Ford,Ernest Hamlin Baker,Painting,Gouache on board,"26.3 x 23.5 cm (10 3/8 x 9 1/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/97T0160A_1.jpg,,1941,"National Portrait Gallery, Smithsonian Institution",Henry Ford,1863,1947,1889,1975,2d635ee0dd04
Benjamin Franklin,Joseph Siffred Duplessis,Painting,Oil on canvas,"Stretcher: 72.4 x 59.7 x 3.8cm (28 1/2 x 23 1/2 x 1 1/2"") Frame: 92.7 x 80 x 8.3cm (36 1/2 x 31 1/2 x 3 1/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/8700086a.jpg,"Benjamin Franklin, in his day the most famous American in the world, returned from his years representing colonial interests in England just in time to be unanimously elected to represent Pennsylvania at the Second Continental Congress. Behind him was a lifetime of achievement as a printer, an unsurpassed author of wit and wisdom, an inventor, and a scientist. Ahead were his roles as a signer of the Declaration of Independence and as a member of the Constitutional Convention of 1787. In between was his triumph as a diplomat in France, where this portrait was ordered by Madame Brillon de Jouy, who loved Franklin's ""droll roguishness which shows that the wisest of men allows his wisdom to be perpetually broken against the rocks of femininity."" In 1995 this portrait was selected as the basis for Franklin's engraving on the redesigned $100 bill. ",c. 1785,"National Portrait Gallery, Smithsonian Institution; gift of the Morris and Gwendolyn Cafritz Foundation",Benjamin Franklin,1706,1790,1725,1802,9424f8a0afff
R. Buckminster Fuller,Boris Artzybasheff,Painting,Tempera on board,"Sight: 43.2 x 31.1cm (17 x 12 1/4"") Frame: 74.9 x 59.7 x 3.2cm (29 1/2 x 23 1/2 x 1 1/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0786a_1.jpg,"Born Milton, Massachusetts  Although not an accredited architect, Buckminster Fuller was best known for his many experiments in building design and his philosophy of architecture. Adhering to his ""dymaxion"" principle, which called for maximum results from a minimum of material and energy, he was an early advocate of prefabrication and modular construction. The most famous of Fuller's achievements was the geodesic dome, which artist Boris Artzybasheff wittily depicts here as the structure of Fuller's face and skull. Patented in 1947, this spherical structure required no internal support, thus creating an unobstructed interior space. In 1967, one of Fuller's domes served as the United States pavilion at the world exposition in Montreal, where it became a symbol of America's tradition in technical innovation.  ",1963,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine",Buckminster Fuller Jr.,1895,1983,1899,1965,478cba90e7ee
R. Buckminster Fuller,Ruth Munson,Painting,Oil on canvas,"62.2cm x 52.1cm (24 1/2"" x 20 1/2""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/9100008a.jpg,,c. 1981,"National Portrait Gallery, Smithsonian Institution; gift of Ruth Munson",Buckminster Fuller Jr.,1895,1983,1948,,9f15b14efd6d
Yuri Gagarin,Boris Chaliapin,Painting,"Gouache, watercolor and graphite pencil on illustration board","Sight: 43.8 x 30.5cm (17 1/4 x 12"") Frame: 66 x 50.8 x 2.2cm (26 x 20 x 7/8"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0790a.jpg,,1961,"National Portrait Gallery, Smithsonian Institution; gift of Time magazine",Yuri Gagarin,1934,1968,1904,1979,35b2c7bd02ec
Beverly Thomas Galloway,William N. Dovener,Painting,Oil on canvas,"112.1cm x 91.8cm (44 1/8"" x 36 1/8""), Accurate ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/6510060a.jpg,,,"National Portrait Gallery, Smithsonian Institution; transfer from the National Archives",Beverly Thomas Galloway,1863,1938,1870,1954,8a20616e54e9
Bill and Melinda Gates,Jon R. Friedman,Painting,Oil and collage on canvas attached to wood panel,"Panel: 127.6 x 117.5cm (50 1/4 x 46 1/4"") Frame: 130.7 x 120.5 x 7cm (51 7/16 x 47 7/16 x 2 3/4"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/B0000296A.jpg,"Bill Gates (born 1955) dropped out of Harvard to write software for the earliest personal computers. His company, Microsoft, developed a computer operating system for wide-scale nontechnical use that spurred on the personal computer revolution begun in the 1980s. Microsoft remains a leader in the industry and made Gates among the world闂佺偨鍎查悰?wealthiest individuals. Melinda French Gates (born 1964) has degrees in computer science, economics, and business, and was employed by Microsoft before marrying Bill Gates in 1994.             The couple created the Bill & Melinda Gates Foundation with the mission of helping all people live healthy, productive lives. Global priorities include improving health and boosting the productivity of small farms in poor countries; national initiatives include implementing partnerships to make sure students graduate from high school ready for college and helping local libraries provide free computer and Internet services.             The painting is set near the Gates family home on Lake Washington. The collaged screen on the left includes maps, charts, and images referencing the foundation闂佺偨鍎查悰?work, with the statement 闂佺偨鍎茬粚绶噇 Lives Have Equal Value. ?The background shows the lake with the Olympic Mountains in the distance.",2010,,William Henry Gates III,1955,,1947,,ff6ea1251151
Murray Gell-Mann,Andrew Tift,Painting,Acrylic on canvas,"Stretcher: 50.8 x 30.5cm (20 x 12"") Frame: 54 x 33.7 x 5.1cm (21 1/4 x 13 1/4 x 2"") ","National Portrait Gallery, Smithsonian Institution",http://npgportraits.si.edu/eMuseumNPG/media/previews/A8000078A.jpg,"Born New York City  Murray Gell-Mann's concept of the ""eightfold way"" with regard to particle coherence and predictability has been a vital tool in enlarging knowledge of nuclear particles. For this work on the theory of elementary particles, he received the Nobel Prize in 1969, and his 1994 book The Quark and the Jaguar made these theories accessible to the general reader. Gell-Mann is currently the Robert Andrews Milliken Professor Emeritus at the California Institute of Technology.  	Painter Andrew Tift met and photographed Gell-Mann in 2003 at the Santa Fe Institute, where Gell-Mann is a distinguished fellow and trustee. Tift loved his face: ""He really had the 'Mad Professor' look, a bit like Einstein, a wonderful face that I knew I had to capture.""",2004,"National Portrait Gallery, Smithsonian Institution; gift of Francisco Arechiga",Murray Gell-Mann,1929,,1968,,15c28dfd300e
George Washington in the Uniform of a British Colonial Colonel,Charles Willson Peale,Painting,Oil on canvas,"sight: 127.9cm x 104.2cm (50 3/8"" x 41""), Accurate ",Washington & Lee University,http://npgportraits.si.edu/eMuseumNPG/media/previews/va150045.jpg,,1772,"Washington-Custis-Lee Collection, Washington and Lee University, Lexington, Virginia",George Washington,1732,1799,1741,1827,bd4a8ee74a77
