description,title,artist,credit,materials,image_URL,dimensions,EA_id
"1 pair of geta with black velvet straps : wood, velvet ; each 9.25 x 4.25 x 2.125 in.  Japanese style wooden slippers composed of a baseboard (dai) resting on two supporting pieces (ha or teeth) with a black velvet strap that is secured at the front middle of the baseboard by a decorative metal piece (flower shaped) on underside covering hole for toe strap, and at the sides of the foot.  The geta are identical in shape: right (A) and left (B) side. Edges are rounded.",Geta with black velvet straps,,Gift of Barbara Kawakami,wood; metal; fabric,http://media.janm.org/collections/janm_2004.1.59_a.jpg,"L: 9.25 in, W: 4.25 in, H: 2.125 in",5d8bd045c2fa
"1 kasuri legging (1 of 2) ; cotton, pearl ; 11.25 x 15 in.  Accompanied by 2004.1.46A.  Dark indigo blue kasuri kyahan (legging) for left leg with turquoise square and line secured 3 mother of pearl buttons and 3 handmade buttonholes at back of calf; quilted diamond pattern stitched on the lower half.  A single tie loops through an additional buttonhole at the top.  Kyahan matches tesashi (arm protectors), 2004.1.45 A and 45B.",Left kasuri kyahan (legging) with button fasteners,,Gift of Barbara Kawakami,cotton; pearl,http://media.janm.org/collections/janm_2004.1.46B_a.jpg; http://media.janm.org/collections/janm_2004.1.46B_3_a.jpg,"L: 11.25 in, W: 15 in",22bfd2c501b4
"Stretched and unframed.  Abstract in hues of orange, brown, black, beige.  Foreground left, green wishbone shaped form; red and purple hued forms at center; dark green rectangular form with crosses, right edge, on yellow background.  Yellow and black horizonlines, upper left. Appearance of mottled gray throughout painting.  Gray skyline.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.122_a.jpg,"H: 28 in, W: 50 in",4d469360d45d
"Stretched and unframed.  Abstract in hues of red, orange, green, blue, brown, yellow, black.  Pink and purple hued background, left edge; grey-blue, upper left to right center.  Large green form next to smaller yellow and blue hued forms at top; orange-red forms at center; darker, muted forms below.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.134_a.jpg,"H: 45 in, W: 28 in",2524a079ff16
"Matted and framed.  Vertically oriented abstract in hues of green, brown, purple, yellow, white, red, gray and black.  Red hued human-like figure, right, with purple crown, appears to hold a green and white plant-like form, left.",Untitled,"Date, Hideo",Gift of Hideo Date,pastel; paper,http://media.janm.org/collections/janm_99.111.105_a.jpg,"H: 28 in, W: 22 in",9d46a2a52063
"Stretched and framed.  Abstract in hues of yellow, red, blue, purple, pink, green, yellow, orange, gray.  On left, angular spiral form with seven gray curved triangular stripes along top right, next to large orange hued form at center-left.  Blue form with green top, center bottom edge.  Large yellow hued form on right.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.109_a.jpg,"H: 36 in, W: 28 in",ca6e83bfc96b
"Stretched and framed, marker on canvas.  Split imagery of life in coal mine and world above.  One man shovels coal, right foreground, while another raises a pickaxe above coal in wall on left.  Behind them one man pushes a coal bin on tracks, right midground, as a man walks with a pickaxe and bucket in tunnel.  All men are dressed in brown pants, black boots, cap and blue vest over tan shirt.  A lamp shines light from above.  At top, cloud-like image of trees and coal mill with sign, ""Coal Mine,"" under sunny sky.",Untitled (Coal Miners),"Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; Canvas,http://media.janm.org/collections/janm_92.97.111_a.jpg,"L: 64 in, W: 51.5 in, D: 1 in",0fe58264b6b2
"Stretched  Composite of trials endured in camp.  Foreground right, a man in blue is bent under the weight of a large tied box with writing on top, ""To Rohwer Relocation Camp,"" and white tag with family number on his back.  A small boy in a black and white striped shirt walks to his left and points with his right hand to the upper left where a ghostly image of Christ bearing the Cross is visible against a background of barbed wire fences, trees and dark cloudy skies.  Both face away from the viewer.  [Similar to the painting entitled ""Thinking about Christ,"" also by Sugimoto, 92.97.83]  In the lower left an elderly couple sits on tied bundles amongst other luggage in front of a barracks.  The man, dressed in tan and brown, bends forward as he holds a hat in his lap, while the woman in a dark blue dress with white trim leans forward and holds a book in her lap.  Between them, her purse and a filled pail sits on a box while umbrella leans against it. [Similar to the painting entitled ""Praying for Safety,"" also by Sugimoto, 92.97.44]   At midground a soldier in uniform and MP armband stands with rifle and bayonet at at barbed wire fence.  To the right, a woman in a polka dot dress and apron stands at the gap in fence as she carries a child in yellow on her back and waves goodbye to the soldier leaving camp.  A little girl in red waves an American flag next to the post with a sign that reads, ""STOP.""  A man with a pipe, hat and plaid shirt watches from the right behind the fence.  The Nisei soldier in tan uniform and garrison cap looks over left shoulder bidding his family farewell as he leaves camp with one blue bag on a path winding past a watch tower with guard and a large sign, ""Jerome Relocation Center / War Relocation Authority.""  The path is grey bordered by brown grass.  Upper right corner, vision of a hill with three white crosses against the sky, representing Golgatha - Christ carrying cross toward Golgatha. [Similar to the painting entitled ""Sending off Husband at Jerome Camp,"" also by Sugimoto, 92.97.1]",Jerome camp documentary,"Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; canvas,http://media.janm.org/collections/janm_92.97.141_a.jpg,"H: 64 in, W: 51.5 in, D: .75 in",6fa2ed79a377
"1 negative : b&amp;w; ; 120 mm.  Published in Rafu Shimpo, July 8, 1970, Japanese section.  Mitsubishi Trading Company, or Mitsubishi Shoji, at the Music Center of Los Angeles restaurant in Los Angeles, California, 1970.  Four Japanese men in suits stand in a row facing the viewer with table covered with drinks in foreground and drapery in background.  Los Angeles manager Eichi Tamai stands at far right, and Katsuma Mukaeda stands second from left.<br>","Mitsubishi Trading Company at Music Center of Los Angeles County, Los Angeles, California, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1193_1_a.jpg,Neg Type: 120.00 mm,355fc3fd920b
"Stretched and unframed.  Abstract in hues of red, blue, purple, orange, yellow, pink, black, gray.  Solid blue background along left; yellow-gray hued background along right.  Vertically oriented multicolored forms extend from center bottom edge to top edge with large red-orange form, center.  Curved strip of purple, right center.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.132_a.jpg,"H: 40 in, W: 28 in",b3d32a4484ca
"Stretched.  Abstract of overlapping, layered shapes in hues of blue, purple, green, yellow, pink, white, gray, red on gradient blue background, left, and lighter gray, right.  Verticl black rectangle, top center; curving white hued form in shape of ""7"" next to green curving form, center; green and purple scalloped design, upper right.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.125_a.jpg,"W: 34 in, H: 46 in",e47dddcb55a9
"Stretched and unframed.  Vertically oriented abstract in hues of red, violet, purple, pink, green, orange, brown, gray.  Left half has solid rose color background; right has dark grey background.  Small pink circle, upper left; oval shape, lower left.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.112_a.jpg,"H: 36 in, W: 26 in",368aa76e2029
"Stretched and unframed.  Abstract in hues of blue, purple, yellow, green, red, brown, gray on blue background.  Two-legged blue vertical form over two distinct elements: a black horizontal form with multicolored rectangular shapes at bottom and large curved green form with multicolored shapes, center.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.124_a.jpg,"H: 48 in, W: 36 in",1c110482e483
"Stretched and unframed.  Abstract in hues of yellow, purple, orange, blue.  Large yellow form extending from lower right corner and bottom edge center to top edge center.  Long, narrow orange form extends up its left side.  Form on upper left resembles profile of a face.  Purple hued background right; gray background left.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.111_a.jpg,"H: 36 in, W: 26 in",f053e5bad629
"Stretched and framed.  Abstract on a horizonal orientation in hues of red, blue, green, yellow, orange, black, brown; blue background along top, yellow background on lower left corner, gray on lower right corner.  Red form top center; black form lower right.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.77_a.jpg,"H: 24 in, W: 32 in",25229f2ac373
"Stretched and framed.  Portrait of Sugimoto's son, Phillip.  Man in dark green blouse over tan shirt and black tie with matching service cap gazes off to viewer's right.  Name plate of ""Sugimoto"" on his right chest and a service ribbon on his left chest.  He has a slight mustache.  An American flag serves as a backdrop.",Phillip? (Phillip-PVT. U.S. Army),"Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; canvas,http://media.janm.org/collections/janm_92.97.97_a.jpg,"H: 18.25 in, W: 14.25 in,  Frame: 21.75 x 17.5 x 1 in",804d366a5b00
"Unframed and matted.  1 Woodblock print.  Monochromatic abstract with three sections: left and right sections are black on white background; middle section is white on black background.  Left section: black N-shaped letter within white circular form within black circular form; stylized design with open mouthed distorted face on top center; long serrated edge below it; a horse's head in the curve at center.  Center section: white lines extending diagonally from horse head to upper right.  Right section: Black abstract form, upper right corner; ""DATE"", lower right corner.",Untitled,"Date, Hideo",Gift of Hideo Date,ink; paper,http://media.janm.org/collections/janm_99.111.91_a.jpg,"H: 12.875 in, W: 18 in",f7c69ac61a79
"Unmatted and unframed ; tacked with adhesive to cardboard.  Abstract divided into two monochrome sections: black on white on left and white on black on right.  Abstracted face in center in white lines on black with large black hornlike form extending to left on white background.  Black birdlike form flies above horn.  White female form appears in face.  The word ""DATE"" appears in white, lower right.  White female form appears in black block on white background on left.",Untitled,"Date, Hideo",Gift of Hideo Date,ink; paper,http://media.janm.org/collections/janm_99.111.1_a.jpg,"H: 18 in, W: 13 in",f20ec0bafa38
"Mounted and unframed.  Abstract in black and white on white background.  Large black form with white line designs, center to lower right edge; the word ""DATE"" is visible near right edge; fishbone-like forms extend out toward two white and black forms at left and bottom.  Granulated black dot design appears above at right edge.  Linear designs appear at top.",Untitled,"Date, Hideo",Gift of Hideo Date,ink; paper; cardboard,http://media.janm.org/collections/janm_99.111.49_a.jpg,"H: 18 in, W: 13 in",e6765f9e01c9
"1 negative : b&amp;w; ; 120 mm.  Published in Rafu Shimpo, November 6, 1970.  Soichi Fukui presents campaign fundraiser check of $2000 on behalf of Japanese American Republicans to Edward Mills, GOP Finance chairman at local headquarters, California, October 3, 1970.  Yo Takagaki, area representative looks on at left.","Japanese American Republicans campaign fundraiser check presentation to GOP, California, October 3, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1172_1_a.jpg,Neg Type: 120.00 mm,ee5cc97107c4
"1 negative : b&amp;w; ; 4 x 5 in.  Six men look at portfolio, ""Boy Power, Man Power"", at the kick off luncheon for Boy Scout sustaining membership drive in California, 1970.  Three men sit at small round table, two hold portfolio.  Three men stand in back.  Latticed sliding windows with curtains in background.","Kick off luncheon for Boy Scout sustaining membership drive, California, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1191_1_a.jpg,,17211360501a
"1 photographic print : b&amp;w; ; 5 x 7 in.  1 negative : b&amp;w; ; 120 mm.  Consul General of Japan Kanji Takasugi and three other men in suits hold four trophies from Japan's Prime Minister Eisaku Sato, California, 1970.  The trophies are silver cups on a black base with ribbon tied to one handle.  White-haired Takasugi stands second from right and James ""Jumbo"" Mochizuki, a member of Top Notch Golf Club stands at far left.  Japanese flag on stand and curtains in background.","Trophies from Prime Minister of Japan Eisaku Sato, California, 1970","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1192_1_p_a.jpg,,08f3a1d5ae66
"1 negative : b&amp;w; ; 120 mm.  Published in Rafu Shimpo, October 6, 1970, Japanese section.  Men view vases at a special exhibition of porcelain and ceramics from Gifu, Japan, in California, October 1970.  An older man points out white vase on stand to Consul General of Japan Kanji Takasugi as three other men look on.  The men wear suits, some wear eyeglasses.  They are identified (left to right): Yu Kato, committe chairman of industry, City Council; Seichi Matsumoto, chair of City Council Tokishi; Ryoichi Kato, Mayor of Tajimi; Takasugi; Yasunori Nihomiya, Mayor of Doki.  Vases and pots of various sizes sit on tables of wooden slats in foreground; posters in background on wall.  Published image does not include Takasugi.","Special exhibition of Gifu porcelain and ceramics, California, October 1970","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1190_1_a.jpg,Neg Type: 120.00 mm,c3cd83eca72a
"1 negative : b&amp;w; ; 120 mm.  Published in Rafu Shimpo, December 21, 1970, English section, and December 26, 1970, Japanese section.  Dr. Thomas Noguchi takes the blood pressure of a seated woman during a donation blood drive for Robert Shimasaki in a Hemophilia Foundation Bloodmobile in Little Tokyo, Los Angeles, California, December 21, 1970.  Another man in a suit, Sergeant George Koga of the California Oriental Police Society (COPS) and drive sponsor, observes in the background.","Donation Blood drive for Robert Shimasaki in Hemophilia Bloodmobile, Los Angeles, California, December 21, 1970","Miyatake, Toyo","Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1189_1_a.jpg,Neg Type: 120.00 mm,107294842c90
"1 negative : b&amp;w; ; 120 mm.  Two Caucasian and Japanese men in Japan Air Lines happi coats serve drinks to a Caucasian man and Japanese woman, California, 1970.  The two bartenders stand at right behind a table covered with bottles of liquor.  The couple stands at left looking at viewer; the woman holds a bunch of envelopes.  A Japanese man in a suit stands in background holding two drinks in one hand.","Japan Air Lines office, California, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1188_1_a.jpg,,0bfcd2ba2dc0
"3 negatives : b&amp;w; ; 4 x 5 in.  Published in Rafu Shimpo, April 11, 1970.  Group portraits of the Omega Sigma Tau-1 basketball team, the Rafu Bussan basketball team, and a baseball team, California, 1970.  The Rafu Bussan team is composed of eight young men in basketball uniforms and a mustached man in a white sweater arranged in two rows in front of basket on an indoor basketball court; the Omega Sigma Tau-1 basketball team is composed of nine young men in basketball uniforms with the greek letters ""omega sigma tau"" on chest on indoor basketball court; baseball team composed of twelve young men in white baseball uniforms arranged in two rows behind four trophies, flanked by four men, one in uniform at far left, and six boys kneeling in front.","Omega Sigma Taui-1 basketball team -- Rafu Bussan basketball team -- Baseball team, California, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1185_2_a.jpg,,e7dc4eb92f4d
"1 negative : b&amp;w; ; 4 x 5 in.  New minister of Zenshuji in Buddhist robe and apron, California, 1970.  Bald Japanese man stands facing the viewer in front of a table, holding a fan.  Hallway at right.  Astray in foreground, bottom right.","New minister at Zenshuji, California, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1187_1_a.jpg,,d4c8e70b68a1
"1 negative : b&amp;w; ; 120 mm.  Reverend Donald Toriumi holds a box of mochi stands among a group of people at the Japanese Community Pioneer Center in Little Tokyo, Los Angeles, California, December 1970.  Toriumi is an elderly white-haired man in suit and eyeglasses in center standing next to a tall balding Caucasian man and tall Japanese woman wearing a corsage, possible Mae Sakamoto with Christmas donation of wrapped gifts.  Eleven people sit and stand around them.  Christmas tree, Clock, paintings of Jesus and landscape, window with vertical blinds in background.","Japanese Community Pioneer Center Christmas donation, Los Angeles, California, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1183_1_a.jpg,Neg Type: 120.00 mm,1a3d40058771
"1 negative : b&amp;w; ; 4 x 5 in.  Two Japanese men in suits, possibly including Mr. Yokogawa, sit at a formica table, California, 1970.  Man at left sits with hands clasped on table top.  Balding man at right holds an object in his lap.","Yokogawa, California, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1184_1_a.jpg,,d8bb7d333fa3
"1 negative : b&amp;w; ; 120 mm.  Reverend Donald Toriumi exchanges an object with a woman in leopard print coat and hat among a group of Japanese senior citizens at the Japanese Community Pioneer Center in Little Tokyo, Los Angeles, California, December 1970.  Toriumi is an elderly white-haired man in suit and eyeglasses in center.  Six people stand while three people sit on sofas.  Ikebana in window with vertical blinds in background.","Reverend Toriumi at Japanese Community Pioneer Center, Los Angeles, California, December 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1182_1_a.jpg,Neg Type: 120.00 mm,5eb51f108093
"1 photographic print ; b&amp;w; ; 5 x 7 in.  2 negatives : b&amp;w; ; 120 mm.  Published in Rafu Shimpo, December 22, 1970, English and Japanese sections.  Los Angeles Councilman Gilbert W. Lindsay presents a City Council resolution to Kansuma Fujima in recognition of her contribution of Japanese culture and art to Southern California in Lindsay's office in City Hall, Los Angeles, California, December 22, 1970.  Balding African American man in suit and striped necktie, Lindsay stands next to Kansuma who wears a patterned kimono and Katsuma Mukaeda, an older Japanese man in suit and eyeglasses at right with three other men in suits, Akira Yoshihara, George Matsumoto, and Kauo Tanaka; photomural of city in background.  Also, includes","City Council resolution presentation to Kansuma Fujima by Los Angeles councilman Gilbert W. Lindsay in City Hall, Los Angeles, California, December 22, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1181_1_p_a.jpg,,359ca28bbf00
"2 negatives : b&amp;w; ; 120 mm.  Published in Rafu Shimpo, December 28, 1970, Japanese section.  Duane Feasel, or Sosei, the first foreign teacher of Urasenke, prepares tea for his former teacher, Mrs. Somi Mochizuki, at her Tea Ceremony Studio in the Sun Building on Weller Street, Los Angeles, California, December 26, 1970.  Includes two views of tea ceremony with Caucasian man in kimono pouring water into tea bowl, and woman admiring tea bowl.  Man sits on knees, seiza, at left next to tea accessories in corner, while woman sits seiza on tatami in patterned kimono and eyeglasses in front of empty shelving of tokonoma.  Shoji windows in background.","Duane Feasel preparing tea for Somi Mochizuki at home, Los Angeles, California, December 26, 1970",Rafu Shimpo,"Photograph by Toyo Miyatake Studio, Gift of the Alan Miyatake Family",,http://media.janm.org/collections/janm_96.267.1180_1_a.jpg,Neg Type: 120.00 mm,7c0929ea4868
"Stretched and framed.  Abstract in hues of red, blue, purple, orange, green, yellow, pink, brown.  Lower right, white rectangular form with small orange rectangular forms next to a orange Y-shaped form to the left extending up into a large orange form.  Two purple forms upper right.  Pink ring surrounds yellow ring and gray dot, right center.  Large green hued form, lower left edge.",Untitled,"Date, Hideo",Gift of Hideo Date,oil; canvas,http://media.janm.org/collections/janm_99.111.128_a.jpg,"H: 28 in, W: 36 in",2b4906077335
"Stretched and framed.  Portrait of greying Susie Sugimoto, the artist's wife.  A smiling woman gazes at the viewer.  Her hair is upswept and she wears a red short sleeve top over a blue high-neck long sleeve blouse with a red heart below the collar.  Only one red earring is visible.  ""Love, Peace, Eternal Life"" is written above her, top center, in a field of blue.",My Wife Susie,"Sugimoto, Henry","Gift of Madeleine Sugimoto and Naomi Tagawa, Japanese American National Museum",oil; canvas,http://media.janm.org/collections/janm_92.97.103_a.jpg,"H: 19.25 in, W: 15.25 in,  Frame: 24.5 x 20.5 x 2 in",a73434c10895
"1 pair of waraji (straw sandals) : nylon, ribbon ; right 8.5 x 3 x 1 in., left 8 x 3 x 1 in.  Pair of waraji (traditional Japanese-style straw sandals) composed of white nylon straw woven around a bulrush framework with a pink ribbon tied at front toe loop between big toe and second toe.  Long thong straps (right sandal 53 in., left sandal 51 in.) extend from toes thru two loops on each side of foot and at back of heel and are secured around calf.  Left sandal is shorter than right side.  Two pieces: right (A) and left (B) side.","Pair of white nylon straw waraji sandals, Hanalei, Kauai, 1986","Tasaka, Kenichi",Gift of Barbara Kawakami,nylon; wood; paper,http://media.janm.org/collections/janm_2004.1.60_a.jpg,"L: 8.5 x 8 in, W: 3.0 x 3 in, H: 1 x 1 in",eb553b9243e9
"1 pair of zori (slippers) : straw, cotton ; right 9.25 x 3.5 in., left 9.5 x 3.5 in.  Slippers composed of woven natural rice straw with twisted pink and beige fabric covered straw straps.  Left slipper is slightly longer than right side.  Two pieces: right (A) and left (B) side.","Rice straw zori with twisted pink and beige straps, Hiroshima, Japan, 1996","Takeuchi, Nobuko",Gift of Barbara Kawakami,straw; fabric,http://media.janm.org/collections/janm_2004.1.64_a.jpg; http://media.janm.org/collections/janm_2004.1.64_detail_a.jpg,"L: 9.25 in, W: 3.5 in",9dba1f377085
"1 pair of zori (slippers) : straw, cotton ; each, 8.5 x 3.5 in.  Slippers composed of woven natural rice straw with straw orange floral print fabric covered straw toe loops anchoring twisted black and white fabric straps to front of sandal.  Two pieces: right (A) and left (B) side.","Rice straw zori with striped straps, Hiroshima, Japan",,Gift of Barbara Kawakami,straw; cotton,http://media.janm.org/collections/janm_2004.1.63_a.jpg,"L: 8.5 in, W: 3.5 in",457afc73ba2f
