title,sourceURL,imageURL,artist,nationality,materials,dimensions,creationDate,galleryLabel,provenance,relatedArtworksURL,relatedArtworksTitle,birthDate,deathDate,EA_id
Quarry at Byram,http://www.imamuseum.org/art/collections/artwork/quarry-byram-daniel-garber,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/2c/2c023035-e1ef-4772-8137-d25934982748.jpg,Daniel Garber,American,oil on canvas,,about 1917,"Garber recreated the quarry's raw, craggy features adding an Impressionist play of light across its richly textured surface.
The quarries near the artist's home in Bucks County are an important theme in his work.
Born in Indiana, Garber became a teacher at the Pennsylvania Academy of the Fine Arts.",Gift of the artist to the John Herron Art Museum,http://www.imamuseum.org/art/collections/artwork/pioneers-house-daniel-garber,Pioneer's House,1880,1958,df21e45eb436
The Red Tam,http://www.imamuseum.org/art/collections/artwork/red-tam-kroll-leon,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/6a/6a7d2805-bed9-49bd-87e6-9c044d37c32c.jpg,"Kroll, Leon",,oil on canvas,,1928,"This work exhibits a careful balancing of form and color. ?The flow of the red tam into the green scarf enlivens the simplified volumes of the face.
Kroll's traditional approach was at odds with the modernist artist's desire to experiment with new styles and methods.",Purchased from the artist,,,,,2939ef7320f9
Edna Smith in a Japanese Wrap,http://www.imamuseum.org/art/collections/artwork/edna-smith-japanese-wrap-robert-henri,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/d3/d3c9dd04-2b72-4f06-a730-91bf2ca000a1.jpg,Robert Henri,American,oil on canvas,,about 1915,"This painting of professional model Edna Smith is typical of Henri's ability to capture his subject's spirit.
The rich hues of this image show Henri's use of Hardesty Maratta's color system.
Henri is known primarily for his portraits and figure studies.",,,,1865,1929,957a8c7c6fa2
The Robe,http://www.imamuseum.org/art/collections/artwork/robe-frieseke-frederick-carl,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/b0/b084327f-9b43-438e-95b6-d51b21ea8288.jpg,"Frieseke, Frederick Carl",American,oil on canvas,,1915,"Frieseke is known for his juxtaposition of varied colors and patterns.
Here floral motifs and stripes are combined with the freely brushed design of the lingerie.
The solid blue carpet, brown floor and white window frame act as foils for the patterned interior.",,,,1874,1939,fe9c64e623a3
Tidying Up,http://www.imamuseum.org/art/collections/artwork/tidying-bishop-isabel,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/39/39f69875-b5b1-46cb-b83e-f4c7e069ac4c.jpg,"Bishop, Isabel",American,oil on masonite,,1941,"In Tidying Up, a woman, perhaps a secretary or sales person, uses a pocket mirror to check her teeth for lipstick smudges.
Bishop saw working women as participants in an American tradition of upward mobility and used active brushwork and the figure's physical movement to express this social advancement.",purchased from Midtown Galleries in New York,http://www.imamuseum.org/art/collections/artwork/hauptmann-must-die-marsh-reginald,Hauptmann Must Die,1902,1988,dd4d50b1506c
Cliff Rock - Appledore,http://www.imamuseum.org/art/collections/artwork/cliff-rock-appledore-hassam-childe,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/78/786c4f04-0ed2-48fa-ba80-1a17248d7aea.jpg,"Hassam, Childe",American,oil on canvas,,1903,"The free handling of paint, overlapping brush strokes, sun-bleached rocks and vibrant hues exemplify the Impressionist style.
Hassam is the most French-inspired American Impressionist in his use of vibrant colors, bright light and broken brushwork.",Purchased from the Inaugural Exhibition in 1906 by the John Herron Art Fund,,,1859,1935,fb379ca9a5b1
Portrait of William Merritt Chase,http://www.imamuseum.org/art/collections/artwork/portrait-william-merritt-chase-beckwith-james-carroll,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/2f/2fec1af4-98f1-4888-aa4e-7a39499aa56b.jpg,"Beckwith, James Carroll",American,oil on canvas,,1881-1882,"With his top hat, spats, and cane, Chase was one of the most dapper and cosmopolitan artists of his day.
This portrait was cut down because a critic said the ship deck where Chase stood was 閳ユ笜ot in good perspective. ?Beckwith and Chase returned from their studies abroad on the same ship in 1878.",Given by the artist in 1910 (10.8).,http://www.imamuseum.org/art/collections/artwork/portrait-james-whitcomb-riley-sargent-john-singer,Portrait of James Whitcomb Riley,1852,1917,b9a80d759524
Little Brown Girl,http://www.imamuseum.org/art/collections/artwork/little-brown-girl-john-w-hardrick,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/af/af628016-dffb-4ebf-99da-9bad47c7f017.jpg,John W. Hardrick,American,oil on canvas,,1927,"Hardrick spent his entire career in Indianapolis.
The subject of this painting is Nellie Henderson, a young girl about ten years of age.
鑱絃ittle Brown Girl exemplifies Hardrick閳ユ ?figure studies in floral settings.",,,,1891,1968,0f85880c63f0
Monday Morning,http://www.imamuseum.org/art/collections/artwork/monday-morning-edmund-brucker,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/cb/cb73056c-89ab-4de6-ba8a-fca28fa1bce0.jpg,Edmund Brucker,American,oil on canvas,,1945-1945,"Brucker taught at the John Herron Art Institute in Indianapolis. ?A noted portrait painter, the artist also painted regional scenes of urban life. ?In Monday Morning, the bright green spot of vegetation stands out as a symbol of nature and regeneration amid the urban environment.",,,,1912,1999,af401f6ac3e3
Still Life,http://www.imamuseum.org/art/collections/artwork/still-life-weir-julian-alden,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/e2/e2eef113-36fd-471f-8fed-6ad6e8026ed8.jpg,"Weir, Julian Alden",American,oil on canvas,,1902-1905,"With thick strokes of the brush, Weir suggested the textures of porcelain, fabric, and food.
This assemblage of fruit, vegetables, and tableware is unusual for Weir, who preferred landscapes.
Weir helped form The Ten, a diverse group identified with American Impressionism.","M.A. Newhouse and Son in St. Louis; Mrs. Helen Ladd Corbett and the Corbett Family of Portland, Oregon; George Calvert fo Indianapolis which was purchased by the IMA.",,,1852,1919,b0502dee010f
Red Kimono on the Roof,http://www.imamuseum.org/art/collections/artwork/red-kimono-roof-sloan-john,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ee/ee11b1e8-ed93-4782-b8cb-a30759dc62cb.jpg,"Sloan, John",American,oil on canvas,,1912,"This unglorified glimpse of a woman hanging laundry was probably painted from Sloan's studio window.
Sloan was part of a group of artists who became known as the Ashcan School.
Ashcan School artists recorded the bustling activity of New York's lower East Side.",,,,1871,1951,e32f688a0f45
Portrait of Mrs. Addison C. Harris,http://www.imamuseum.org/art/collections/artwork/portrait-mrs-addison-c-harris-beaux-cecilia,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/2f/2f72dd73-a3e3-487e-8a74-a95ebc22c03f.jpg,"Beaux, Cecilia",American,oil on canvas,,1917,"Born in Philadelphia, Beaux studied at the Pennsylvania Academy of the Fine Arts and at the Acad鑼卪ie Julian in Paris. She was later appointed to the faculty at the Pennsylvania Academy, becoming their first full-time female instructor.
Beaux閳ユ ?success as a portrait painter rested on her keen sense of color, texture, and composition, as well as her ability to capture the essence of the sitter.  ?Mrs. Addison C. Harris was one of the first presidents of the Art Association of Indianapolis, the forerunner of the IMA. Mrs. Harris is posed in a relaxed yet dignified manner in front of an alpine scene, probably a painted screen belonging to the artist.",,http://www.imamuseum.org/art/collections/artwork/portrait-helen-miller-mrs-charles-g-mclean-peale-rembrandt,Portrait of Helen Miller (Mrs. Charles G. McLean),1855,1942,4bf914ca0589
Bronco Buster,http://www.imamuseum.org/art/collections/artwork/bronco-buster-remington-frederic,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/f4/f469ffcf-37a6-4c3d-ba9a-2cc12b69a0c9.jpg,"Remington, Frederic",American,bronze,H: 23 1/4 in.,1898,"Bronco Buster exhibits the artist's flair for depicting dramatic action.
This sculpture became so popular that a number of fakes have been made.
In addition to being a painter and sculptor, Remington was a rancher, part owner of a saloon, and a cowboy.",,http://www.imamuseum.org/art/collections/artwork/mountain-man-remington-frederic,Mountain Man,1861,1909,17223f318e16
Poppies,http://www.imamuseum.org/art/collections/artwork/poppies-vonnoh-robert-william,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/48/4884846c-29d3-479b-ab1e-c0992cebaf3f.jpg,"Vonnoh, Robert William",American,oil on canvas,,1888,"Poppies gives the effect of having been painted quickly and directly before the subject.
At a distance, the choppy strokes and daubs of color resolve into a luminous floral landscape.
Painted in France in 1888, this canvas is one of the earliest American responses to French Impressionism.","Mrs. McMorris (mother of the artist Daniel McMorris, close friend of Robert Vonnoh); private collection Kansas City, MO; Berry-Hill Galeries 1971",,,1858,1933,8d347651fe9c
Across the Harbor,http://www.imamuseum.org/art/collections/artwork/across-harbor-davies-arthur-bowen,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/1d/1da10d74-778e-417b-870f-fbc4ec9df6f1.jpg,"Davies, Arthur Bowen",American,oil on canvas,,1908,"Davies ?paintings exude a dream-like quality of detachment from the everyday world.
In Across the Harbor Davies painted a group of female figures, posing their stylized forms in the frieze-like composition he favored.
The color scheme and abrupt change of scale heighten the painting閳ユ ?sense of mystery.",,,,1862,1928,7945c267441e
Winter Landscape,http://www.imamuseum.org/art/collections/artwork/winter-landscape-kent-rockwell,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/57/57cbed86-64f2-4299-8ade-7e3881d83973.jpg,"Kent, Rockwell",American,oil on canvas,,1909,"From 1905 until 1910 Kent lived on Monhegan Island, Maine, where he painted this scene.
Despite the relatively serene conditions, Kent imbued the landscape with a sense of drama and magnitude.
The broad brushstrokes showcase the influence of Kent閳ユ ?teachers William Merritt Chase and Robert Henri.",,,,1882,1971,f05857eafe23
Portrait of Reginald Marsh,http://www.imamuseum.org/art/collections/artwork/portrait-reginald-marsh-brook-alexander,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/41/410ccb98-20db-4394-8a4b-605695833592.jpg,"Brook, Alexander",American,oil on canvas,,1929-1929,,,http://www.imamuseum.org/art/collections/artwork/portrait-mrs-addison-c-harris-beaux-cecilia,Portrait of Mrs. Addison C. Harris,1898,,7800a3f69742
Streetlight,http://www.imamuseum.org/art/collections/artwork/streetlight-richardson-constance,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9a/9ab14a5d-e5ad-48d5-88e0-92e74f8d3fac.jpg,"Richardson, Constance",American,oil on canvas,,1930,,,,,1905,,1246acada738
Preparing for the Matinee,http://www.imamuseum.org/art/collections/artwork/preparing-matinee-tarbell-edmund-charles,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/a6/a6c79ecd-100a-4252-8b75-49f54ab6417a.jpg,"Tarbell, Edmund Charles",American,oil on canvas,,1907,"The loose energetic brushwork in the woman's blouse and hair are elements of the Impressionist style.
Tarbell was a leading member of the Boston School of painters, known for their pictures of young women engaged in domestic activities.","Washington University, St. Louis 1909 (on loan to the City Art Museum); sold by Kende Galleries in New York May 4, 1945; J.W. Young Art Gallery at Chicago; purchased by John G. Rauch Sr. of Indianapolis; donated to the IMA by Mrs. John G. Rauch Sr.",,,1862,1938,2104d6872de8
The Love Song,http://www.imamuseum.org/art/collections/artwork/love-song-rockwell-norman,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/bb/bbf375d4-b735-4a84-9170-ebb8c7d28c29.jpg,"Rockwell, Norman",American,oil on canvas,,1926,"Love Song presents the artist's major theme, the different stages of life. ?Here, a young girl wistfully listens to music played by two elderly men. ?The painting's title is printed on the music sheet. ?An old map suggests rural America.
Rockwell, America's premiere illustrator, created more than 300 Saturday Evening Post covers, capturing the daily lives of average Americans.","Purchased from the artist by Freeman E. Hertzel, uncle of Anne Blackman; gift to the museum from Anne and Sidney Blackman through Carol Smithwick",,,1894,1978,caba935df2d8
The Artist&#039;s Party,http://www.imamuseum.org/art/collections/artwork/artists-party-delaney-joseph,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c6/c6dc7312-64d6-4e97-b187-6ba8e19f6e34.jpg,"Delaney, Joseph",American,oil on canvas,30 x 25 in.,1941-1943,"Delaney combines aggressive brushwork, exaggerated poses and a tendency toward caricature to suggest the group's animated conversation.
Delaney is shown with his back to the viewer talking to a man believed to be the Abstract Expressionist painter Jackson Pollock.",Collection of Derek Beard; ACA Galleries,,,1904,1991,8bb539b30447
Training for War,http://www.imamuseum.org/art/collections/artwork/training-war-william-h-johnson,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9d/9d08250a-d87a-4378-b9bf-7951e0b4d654.jpg,William H. Johnson,American,color silkscreen (pochoir) on paper,11 1/2 x 17 1/2 in.,about 1942,"Johnson's style consists of flat, simplified patterns presented in a na鑼倂e manner with a touch of humor.
The artist pokes fun at the army's regimentation and discipline.
Pochoir is a stencil technique characterized by crisp lines and brilliant colors.","Thurlow Tibbs, Washington, D.C.; purchased from dealer Craig F. Starr Associates",,,1901,1970,8604a0dedc16
Girl Sweeping,http://www.imamuseum.org/art/collections/artwork/girl-sweeping-paxton-william-mcgregor,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/89/89c601e3-868a-4a14-a1eb-50b85353b389.jpg,"Paxton, William McGregor",American,oil on canvas board,,about 1912,"Paxton, who was known for his fine draftsmanship, uses diffused light to soften contours in a manner similar to Impressionism.
His favorite subjects were female figures posed in elegant interiors.
Paxton was a member of the Boston School that flourished during the early 20th century.",...Hirschl and Adler Galleries New York; Sloan and Roman New York; purchased by Mrs. Harry Mallinson in 1971; donated to the IMA 2004,http://www.imamuseum.org/art/collections/artwork/glow-gold-gleam-pearl-paxton-william-mcgregor,"Glow of Gold, Gleam of Pearl",1869,1941,b5433c632904
Gamin,http://www.imamuseum.org/art/collections/artwork/gamin-savage-augusta,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/0d/0d8dbc31-d160-45bb-82fe-355a0f7bb5b5.jpg,Augusta Savage,American,painted plaster,9 1/8 x 5 3/4 x 4 1/8 in.,about 1930,,,,,1892,1962,a5c7b6eb355b
The Blue Tiger,http://www.imamuseum.org/art/collections/artwork/blue-tiger-pippin-horace,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/2a/2aaccac9-b500-488f-815b-43d919f1ac3c.jpg,"Pippin, Horace",American,oil on fabric,16 x 28 in.,1933,,,,,1888,1946,0e649097fba9
Early Morning Sunshine,http://www.imamuseum.org/art/collections/artwork/early-morning-sunshine-ritman-louis,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/40/40056c36-bbb5-49f8-b789-56862c460bd6.jpg,"Ritman, Louis",American,oil on canvas,,about 1913,"Painted in a fluid Impressionist manner, this composition is executed using broken color in a harmonious balance of blues, pinks, lavenders, and yellows.
Ritman spent almost two decades in Giverny, where he came under the influence of the Impressionist style.","Pennsylvania collection; sold at Christie's December 2 1988; Spanierman Gallery of New York; purchased by Jane and Andrew Paine, promised gift to the IMA 1997",,,1889,1963,8ea9799d51f0
Sunlight,http://www.imamuseum.org/art/collections/artwork/sunlight-benson-frank-weston,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/bd/bd1ffe23-8eb3-49a8-9198-983a14313a4c.jpg,"Benson, Frank Weston",American,oil on canvas,,1909,"The鑱絝igure閳ユ ?dress provides a blank canvas for Benson閳ユ ?brushstrokes in dazzling white, pink, and violet, accented by the blue and violet shadows typical of Impressionism.
The鑱絤odel is the artist閳ユ ?daughter Eleanor, who often joined her mother and sisters in posing for Benson閳ユ ?outdoor works around Wooster Farm, their summer retreat in Maine.
Benson was a key figure in Boston閳ユ ?art scene, both as a highly successful artist and director of the Museum of Fine Art閳ユ ?school. Like colleagues Edmund Tarbell and William Paxton, his purest Impressionist efforts are depictions of women and children in sun-drenched landscapes.","Purchased from the artist by the John Herron Art Institute, {1} now Indianapolis Museum of Art, in 1911 (11.1).

{1}Included in the Sixth Annual Exhibition of Works by American Artists at the John Herron Art Institute, 4 December 1910 -1 January 1911, cat. no. 253, and purchased out of this exhibition.  See Art Association of Indianapolis, Indiana, Annual Report, 1911, p. 13.",,,1862,1951,f8b6822f1f74
"Rainy Night, Etaples",http://www.imamuseum.org/art/collections/artwork/rainy-night-etaples-scott-william-edouard,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/73/73216c87-2ef8-4b98-b265-e192e9f38ede.jpg,"Scott, William Edouard",American,oil on canvas,,1912,"Indianapolis native William Scott studied in France with the celebrated African American artist Henry O. Tanner.
Etaples, Tanner閳ユ ?summer residence, was the subject of several of Scott閳ユ ?paintings.
Tanner閳ユ ?influence is evident in the blue-green palette, subdued tonality and dramatic light.",,,,1884,1964,192a0e892964
Mushrooms on a Blue Background,http://www.imamuseum.org/art/collections/artwork/mushrooms-blue-background-hartley-marsden,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/f6/f69f9dd9-ae80-47a0-be9d-0e01001f7e4c.jpg,"Hartley, Marsden",American,oil on masonite,15 x 18 in.,1929,"With its rapid brushwork and tilted perspective, this painting summons a strong sense of motion.
Hartley worked in France in the late 1920s, where he produced numerous still lifes.
The artist was a member of the Stieglitz Group of American Modernist artists.",Bernard Dannenberg Gallery in New York; Mrs. Francis Phipp Mallek from the estate of the artist,http://www.imamuseum.org/art/collections/artwork/melons-hartley-marsden,Melons,1877,1943,e735c2798627
Bacchante and Infant Faun,http://www.imamuseum.org/art/collections/artwork/bacchante-and-infant-faun-macmonnies-frederick-william,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/dd/dd7c46a9-f2eb-43e0-9c9b-f76cf27814ce.jpg,"MacMonnies, Frederick William",,bronze,H: 31 in.,modeled 1893-1894,,,,,,,6edcb465c736
Above the Clouds,http://www.imamuseum.org/art/collections/artwork/above-clouds-blakelock-ralph-albert,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/f6/f6bd5d71-b1ec-4f38-a527-a32bbb07cc42.jpg,"Blakelock, Ralph Albert",American,oil on canvas,,about 1875-1878,,,,,1847,1919,49935f48affa
Wash Day,http://www.imamuseum.org/art/collections/artwork/wash-day-adams-john-ottis,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c1/c1651f37-826e-4e5c-a7b1-57863320a24a.jpg,"Adams, John Ottis",American,oil on canvas,,1885,"Adams' skillful drawing technique is visible in the careful balance of horizontals and verticals.
This sunlit canvas is brighter than the dark scenarios preferred by the Royal Academy in Munich, where Adams studied in the 1880s.
Wash Day, painted in Munich, is the first work Adams sent to America for exhibition.",Owned by Winifred Brady Adams (wife of the artist); given to the museum by sons of the artist,,,1851,1927,6ff6511dee01
Portrait of Clara Fisher,http://www.imamuseum.org/art/collections/artwork/portrait-clara-fisher-inman-henry,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/2b/2be6e58e-273f-49da-83a1-ab0315b72356.jpg,"Inman, Henry",American,oil on canvas,,1828,,,,,1801,1846,f491700f7a48
Diana,http://www.imamuseum.org/art/collections/artwork/diana-saint-gaudens-augustus,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/9d/9d05ff7d-c133-46c7-869f-862d86d87471.jpg,"Saint-Gaudens, Augustus",American,bronze,H: 41 in.,"modeled about 1895, cast 1905",,,,,1848,1907,a47d3f256c36
"The Consecration, 1861",http://www.imamuseum.org/art/collections/artwork/consecration-1861-lambdin-george-cochran,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/db/db217dcb-0335-46ae-93dc-115d350a84f1.jpg,"Lambdin, George Cochran",American,oil on canvas,,1865,"The woman kisses the sword of her officer, dedicating it to a noble cause.
The symbolism of the gray-blue color scheme must have been obvious to the artist閳ユ ?postwar audience.
鑱絋his canvas recalled the romantic spirit in which many men went off to battle.","George Whitney, Philadelphia, Pennsylvania, 1866 (Member Board of Directors, PAFA); (Parke-Bernet Galleries, October 16, 1955); (Berry-Hill Gallery, New York, New York); private collection, New York; (Berry-Hill Gallery, New York, New York); (Parke-Bernet Galleries, October 10, 1969, #2914, #20A Illustrated); (Hamilton Gallery, New York, New York, October 16, 1971); IMA.",,,1830,1896,46025ed39089
Portrait of Robert Louis Stevenson,http://www.imamuseum.org/art/collections/artwork/portrait-robert-louis-stevenson-saint-gaudens-augustus,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/68/68d6d035-8eae-47b8-bd5c-43c6f0b6cc62.jpg,"Saint-Gaudens, Augustus",American,bronze,D: 34 in.,"modeled 1887-1888, cast 1910",,,,,1848,1907,3ecd2c1de964
Pool in the Adirondacks,http://www.imamuseum.org/art/collections/artwork/pool-adirondacks-blakelock-ralph-albert,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/ba/baebdcf6-34e5-40a5-add5-de24d807edbb.jpg,"Blakelock, Ralph Albert",American,oil on canvas,,about 1875-1878,,,,,1847,1919,8b6d34936bfd
Mountains and Valleys,http://www.imamuseum.org/art/collections/artwork/mountains-and-valleys-higgins-victor,http://www.imamuseum.org/sites/default/files/mercurycache/4_column/mars/c2/c236c255-9993-43a6-90a8-3bc297afbf76.jpg,"Higgins, Victor",American,oil on canvas,,about 1921,"Higgins exhibits the influence of cubism in his use of geometric shapes enhanced by strong contrasts of light and dark.
The artist was affected by the 1913 New York armory show, where he came in contact with European and American Modernism.",,http://www.imamuseum.org/art/collections/artwork/new-mexico-calvary-holy-week-procession-higgins-victor,New Mexico Calvary (Holy Week Procession),1884,1949,213205372d74
