Artist_Name,Process,Dimensions,Provenance,image,Artwork_Name,Artwork_Year,EA_id
Victoria Morton,Oil on canvas,Image: 16 x 14 in. (40.6 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Matthew Aberle",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.129&dim=300px,The Fountain in the Park,2001,d403f5aeda15
Arnold Newman,Gelatin silver print,Image: 20 x 16 in. (50.8 x 40.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.89&dim=300px,"Alberto Giacometti,  , 0",1954,2337b68b4748
Yoko Ono,"Bronze with patina, edition 6/9",11 7/8 x 8 7/8 x 1 3/4 in. (30.2 x 22.5 x 4.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Audrey and Sydney Irmas Charitable Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.16&dim=300px,Painting to Hammer a Nail In,1961,0195212bccae
Robert Arneson,Ceramic,16 x 16 x 13 in. (40.6 x 40.6 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the Lasky Charitable Lead Trust, Marshall P. Levine and Harlan B. Levine, Trustees, in honor of Morelle I. Levine and Norman D. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.40&dim=300px,Hear (Self-Portrait),1973,b8dd1791a9ed
Yoshitomo Nara,Oil stick on paper,Paper: 16 5/8 x 13 in. (42.2 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.101.2&dim=300px,Untitled,1999,7e7b90b34471
Arnold Newman,Gelatin silver print,Image: 20 x 16 in. (50.8 x 40.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.89&dim=300px,"Alberto Giacometti,  , 0",1954,6d314d4700e2
Arnold Newman,Gelatin silver print,Image: 14 x 11 in. (35.6 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.86&dim=300px,"Piet Mondrian,  , 0",1942,7545d4de13cc
George McNeil,Oil on canvas,68 x 56 in. (172.7 x 142.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of David J. Haddad",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.60&dim=300px,Pere Ubu and Friends,1982,8eaa0794576e
Dave Muller,Acrylic on paper,Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.7A-F&dim=300px,Quick Picks (twenty-six),2004,f7de0ab8d2fa
Marilyn Minter,Acrylic on aluminum,30 x 24 in. (76.2 x 61 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.58&dim=300px,Dilettette No. 3,1989,e660e31a082c
Marilyn Minter,Blueprint on paper,168 1/2 x 30 1/2 in. (428 x 77.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.38&dim=300px,Untitled (Sleep Drawing),1988,f1ddb21f5153
Matt Mullican,"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b/w, color, and polaroid photographs on board",96 x 48 in. (243.8 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.118&dim=300px,Untitled,1972,336c8647d3c2
Matt Mullican,Oil on canvas,72 x 192 in. (182.9 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Gerard Junior Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.101&dim=300px,Untitled (Yellow and Black City),1985,bb4186694fef
Matt Mullican,"Video, DVD-R, PAL, edition2/16",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by John Baldessari",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.8&dim=300px,Untitled (Matt Mullican Under Hypnosis: Geneva),2004,3631eef9699e
Matt Mullican,Black and white photograph,23 1/2 x 17 1/2 in. (59.7 x 44.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.125.9&dim=300px,Untitled,1998,9635b5190676
Vito Acconci,"Cinderblocks, stools, planks, light, audio",18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px,Under-History Lessons,1976,1f3fb8fc7c20
Vito Acconci,"6 prints, aquatint and photoetching, edition 11/25",Each: 23 1/2 x 31 in. (59.7 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px,3 Flags for 1 Space and 6 Regions,1979,439e217b61e7
Vito Acconci,"Rebar, plaster, canvas, steel cable, audio, and lights",288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of James Corcoran Gallery",http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.8&dim=300px,Adjustable Wall Bra,1990,fb01563d6238
Cindy Sherman,Gelatin silver print,10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Puchased with funds provided by the friends of Marsha Kleinman in her memory",http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.56&dim=300px,Untitled Film Still #65,1980,424f6e1a0b64
Matt Mullican,"Ink, collage, ballpoint pen, colored pencils, graphite on paper, and b/w, color, and polaroid photographs on board",96 x 48 in. (243.8 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.118&dim=300px,Untitled,1972,71e7a035cc6d
Matt Mullican,Oil on canvas,72 x 192 in. (182.9 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The Gerard Junior Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.101&dim=300px,Untitled (Yellow and Black City),1985,37bd0cd4d651
Matt Mullican,"Video, DVD-R, PAL, edition2/16",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by John Baldessari",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.8&dim=300px,Untitled (Matt Mullican Under Hypnosis: Geneva),2004,a17407d09615
Matt Mullican,Black and white photograph,23 1/2 x 17 1/2 in. (59.7 x 44.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.125.9&dim=300px,Untitled,1998,4fad63c5a430
Matt Mullican,"Video, DVD-R, PAL, edition 2/8",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by John Baldessari",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.9&dim=300px,"Shooting Close 2.2 (from Psycho Architecture: Experiments in the Studio, November 5-7, )",2001,05cd41708d53
George McNeil,Oil on canvas,68 x 56 in. (172.7 x 142.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of David J. Haddad",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.60&dim=300px,Pere Ubu and Friends,1982,83366a352ecb
Dave Muller,Acrylic on paper,Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.7A-F&dim=300px,Quick Picks (twenty-six),2004,9cce9ca3821e
Dave Muller,Acrylic on paper,60 x 40 in. (152.4 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.18&dim=300px,Re-Smith,1998,d58db7148b64
Sandeep Mukherjee,"Acrylic, color pencil, and needle on paper","Paper: 42 1/4 x 92 1/4 in. (107.3 x 234.3 cm)
Frame: 48 3/4 x 98 1/2 in. (123.8 x 250.2 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Gary and Tracy Mezzatesta and Susan Matheson",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.5&dim=300px,Untitled,2000,a70a3a50b8c3
Walter Niedermayr,"Color photograph, edition 5/6",42 1/2 x 159 in. (108 x 403.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.13A-C&dim=300px,Schnalstalgletscher V,1999,1bf4ea418d92
Chris Ofili,Watercolor and graphite on paper,Each: 9 1/2 x 6 1/4 in. (24.1 x 15.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.48A-I&dim=300px,Afro Muses: Harem 4,1995,db3370127c53
Sandeep Mukherjee,"Acrylic, color pencil, and needle on paper","Paper: 42 1/4 x 92 1/4 in. (107.3 x 234.3 cm)
Frame: 48 3/4 x 98 1/2 in. (123.8 x 250.2 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Gary and Tracy Mezzatesta and Susan Matheson",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.5&dim=300px,Untitled,2000,8dabd301415d
Paul Noble,Pencil and silverpoint on paper (2 sheets),"Each (Top Sheet): 59 x 78 3/4 in. (149.9 x 200 cm)
Each (Bottom sheet): 51 3/4 x 78 3/4 in. (131.4 x 200 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Beth Swofford and The Drawings Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.3&dim=300px,"Sea VI , 0",,e048f220d5d5
Wangechi Mutu,"Ink, collage, and sequins on mylar",50 x 43 in. (127 x 109.2 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Manfred and Jennifer Simchowitz",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.99&dim=300px,Pretty Ugly Dreamlike Glare,2003,767ef39e217c
Victoria Morton,Oil on canvas,Image: 16 x 14 in. (40.6 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Matthew Aberle",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.129&dim=300px,The Fountain in the Park,2001,4977cf70da06
Paul McCarthy,"Twenty two Christmas trees, table, 15 c-prints, 10 works on paper, cardboard boxes, Santa suit, carpet, stuffed monkey, chocolate, ketchup, paint, and Nobuyoshi Araki photograph","Overall dimensions variable
Photographs: 70 x 48 in. (177.8 x 121.9 cm)","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Eugenio Lopez",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.1&dim=300px,"Tokyo Santa, Santa&#039;s Trees",1999,2357f5c4e2b9
Michael McClard,"Acrylic, paper, plaster, steel and mesh",29 1/4 x 22 5/8 x 3 1/4 in. (74.3 x 57.5 x 8.3 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.70&dim=300px,Earth,1981,5b7c514f6c17
Vito Acconci,"Cinderblocks, stools, planks, light, audio",18 x 120 x 192 in. (45.7 x 304.8 x 487.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the National Endowment for the Arts, a Federal agency, and The Broad Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.1&dim=300px,Under-History Lessons,1976,5dbc0dd734f8
Vito Acconci,"6 prints, aquatint and photoetching, edition 11/25",Each: 23 1/2 x 31 in. (59.7 x 78.7 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=81.1A-F&dim=300px,3 Flags for 1 Space and 6 Regions,1979,50b3d0e514a3
Vito Acconci,"Rebar, plaster, canvas, steel cable, audio, and lights",288 x 96 x 60 in. (731.5 x 243.8 x 152.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of James Corcoran Gallery",http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.8&dim=300px,Adjustable Wall Bra,1990,37bc4a549f3a
Cindy Sherman,Gelatin silver print,10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Puchased with funds provided by the friends of Marsha Kleinman in her memory",http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.56&dim=300px,Untitled Film Still #65,1980,bd96b82cb666
Craig Kauffman,Sprayed acrylic lacquer on vacuum-formed plexiglas,"36 x 62 x 16 in. (91.4 x 157.5 x 40.6 cm)
Other (Flat): 22 x 50 x 16 in. (55.9 x 127 x 40.6 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Irving Blum",http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.4&dim=300px,Untitled,1969,0c40f33e3131
Mark Manders,"Ceramic, iron, wood, and four clamping screws",70 1/2 x 47 1/4 x 71 5/8 in. (179 x 120 x 182 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Rosette Delug",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.93&dim=300px,Isolated Landscape,2003,3497e00b2b89
George McNeil,Oil on canvas,68 x 56 in. (172.7 x 142.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of David J. Haddad",http://www.moca.org/museum/pc_media_viewer.php?acsnum=92.60&dim=300px,Pere Ubu and Friends,1982,ea77a58b5673
Dave Muller,Acrylic on paper,Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.7A-F&dim=300px,Quick Picks (twenty-six),2004,85e7ede62d53
Dave Muller,Acrylic on paper,60 x 40 in. (152.4 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.18&dim=300px,Re-Smith,1998,3cd5e749b13e
Dave Muller,Acrylic and ink on paper,12 x 9 in. (30.5 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.17&dim=300px,Smith,1998,755b77f9cfba
Victoria Morton,Oil on canvas,Image: 16 x 14 in. (40.6 x 35.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Matthew Aberle",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.129&dim=300px,The Fountain in the Park,2001,6330fcf19b49
Paul McCarthy,"Twenty two Christmas trees, table, 15 c-prints, 10 works on paper, cardboard boxes, Santa suit, carpet, stuffed monkey, chocolate, ketchup, paint, and Nobuyoshi Araki photograph","Overall dimensions variable
Photographs: 70 x 48 in. (177.8 x 121.9 cm)","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Eugenio Lopez",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.1&dim=300px,"Tokyo Santa, Santa&#039;s Trees",1999,c10b834a1cf3
Paul McCarthy,"Cibachrome print, edition 2/3",72 x 48 in. (182.9 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.172&dim=300px,Masks (Olive Oyl),1994,332cee6e5df7
Arnold Newman,Gelatin silver print,Image: 20 x 16 in. (50.8 x 40.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.89&dim=300px,"Alberto Giacometti,  , 0",1954,a193507af054
Arnold Newman,Gelatin silver print,Image: 14 x 11 in. (35.6 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.86&dim=300px,"Piet Mondrian,  , 0",1942,5fb65a73ab71
Arnold Newman,Gelatin silver print,Image: 10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.85&dim=300px,"Barnett Newman,  , 0",1970,b6eaa860f438
Helmut Newton,Silver gelatin print,24 x 20 in. (61 x 50.8 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.185&dim=300px,Patricia Faure,1965,e76cfa16b4cf
Robert Arneson,Ceramic,16 x 16 x 13 in. (40.6 x 40.6 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the Lasky Charitable Lead Trust, Marshall P. Levine and Harlan B. Levine, Trustees, in honor of Morelle I. Levine and Norman D. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.40&dim=300px,Hear (Self-Portrait),1973,07951610534b
Yoshitomo Nara,Oil stick on paper,Paper: 16 5/8 x 13 in. (42.2 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.101.2&dim=300px,Untitled,1999,7da0d74f82c8
Yoshitomo Nara,Oil stick on paper,Paper: 16 5/8 x 13 in. (42.2 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.101.1&dim=300px,Love is the Power,1999,372393443b15
Chris Ofili,Watercolor and graphite on paper,Each: 9 1/2 x 6 1/4 in. (24.1 x 15.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.48A-I&dim=300px,Afro Muses: Harem 4,1995,e87c23269b74
Chris Ofili,"Acrylic, collage, glitter, resin, pencil, map pins, and elephant dung on canvas",96 x 72 in. (243.8 x 182.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Broad Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.38A-C&dim=300px,"Monkey Magic - Sex, Money and Drugs",1999,e9a1b97520f1
Raphael Montanez Ortiz,Destroyed piano,Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.14&dim=300px,Henny-Penny Piano Destruction Concert,1966,161326c2099c
Ed Paschke,"Color lithograph, edition 18/40",34 1/4 x 23 7/8 in. (87 x 60.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of First Interstate Bank of California Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.1&dim=300px,Execo,1983,ad12fa4ba441
Damisn Ortega,Disassembled 1989 Volkswagen Beetle and C-print,"265 x 276 x 296 in. (673.1 x 701 x 751.8 cm)
C-print: 16 x 20 in. (40.6 x 50.8 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Eugenio Loacute;pez and the Jumex Fund for Contemporary Latin American Art",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.21A-B&dim=300px,Cosmic Thing,2002,2092c06e24e8
Patrick Nickell,"Cardboard, newspaper, string, masking tape, and paint",50 x 46 x 18 in. (127 x 116.8 x 45.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund and David Richards and Geoff Tuck",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.72&dim=300px,Untitled,1997,15a2098eb1f2
