Attribution,Title,Dated,Medium,Dimensions,Description,Classification
,Paul Revere Certification 1775,1775,,,manuscript - Paul Revere Certification 1775 - paper Paper,Arc- Manuscript
,Declaration of Independence 1777,1777,,,manuscript - Declaration of Independence 1777 - paper Paper,Arc- Manuscript
,Petition to John J. Floyd from Thomas Jones,"June 13, 1863",Paper,,"This is a petition to John J. Floyd (Judge, Georgia Supreme Court) from Thomas Jones on behalf of Sarah Harris and writ of Habeas corpus.",Arc- Manuscript
,Algonquin Manuscript - 1645,1645,,,"Hand-bound document written in French, entitled 馬elation du Voyage en l蚢nnee 1645 au Nom du Roy au Pays des Algoumequins Dans la Novelle France ou Canada, et de la maniere de vivre des sauvages?(Narrative of the Voyage made in year 1645 in Name of King",Arc- Manuscript
,,,,,,(not assigned)
,Letter to Archbishop Cisneros 1512,,,,"Paper Columbus, Diego",Arc- Manuscript
,Cortez Decree 1521,1521,,,manuscript - cortez - Cortez Decree 1521 cortez,Arc- Manuscript
,Letter to King Charles V,1519,Paper,,"This is a letter from Diego Columbus to Charles V, in which Diego outlines his future plans for colonization of the Spanish Indies.  He also voices his support of the crusade of the Spanish Friar, las Casas, who was at that time in Spain, campaigning for",Arc- Manuscript
,Letter from Benjamin Franklin and Silas Deane to Baron de Schulenburg,"Feb 14, 1777",Paper,,"This is a letter from Benjamin Franklin and Silas Deane, ""Commissioners Plenipotentiary for the U.S. of No. America,"" to Baron de Schulenburg.",Arc- Manuscript
,The Cherokee Advocate,"Feb. 26, 1898",Paper,,"The Cherokee Advocate newspaper from Feb. 26, 1898.",Arc- Newspaper
William S. Prettyman,Sooners passing through Cherokee Outlet,,,"Print Size: 6.75"" x 9.25""",Sepia-colored photograph of Sooners passing through Cherokee outlet waiting to cross swollen Salt Fork River railroad bridge seen at right.,Arc- Photograph
,Photo Postcard,,Paper,,"This is a photo postcard, printed in color with a reproduction of a Charley Russell watercolor of a saloon scene with three men lounging at a bar while another fires at the feet of still another.  Words at the bottom read, ""Dance! you short-horn dance!""",Arc- Photograph
,Ft. Reno ledgerbook,,,,book - unknown - Ft. Reno ledgerbook - drawings Drawings unknown,(not assigned)
,Codex Canadiensis,,,,sketch book - Codex Canadiensis - paper Paper,(not assigned)
,Confederate Treaty,"July 12, 1861",Paper,,"This is a Confederate Treaty (Albert Pike, Commissioner for Confederate States) signed by representatives of the Choctaw and Chickasaw Nations.",Arc- Treaty
,Confederate 20 Dollar Bill,"Sept. 2, 1861",Paper,,Confederate 20 Dollar Bill,Arc- Brochure
,Discharge Paper for Sidney S. Dailey,Aug. 1865,Paper,,This is a discharge paper for Sidney S. Dailey from military service.,Arc- Brochure
,Doctrina Cristiana,1543,Paper,,Doctrina Cristiana (Christian doctrine) is one of the first books printed in the America?  The Doctrina Cristiana was a text used by a bishop and other church officials to spread Christian theology to the native peoples.  Bishop Juan de Zumarraga is lis,Art- Miscellaneous
,Diego Truxillo Account of the Conquest of Peru,1532,Paper,,"Conquistador Diego de Trujillo?(Truxillo) eyewitness account of the conquest of the Inca?in Peru by Spain in the year 1532.  Trujillo describes the climate, food, and the native peoples.",Arc- Miscellaneous
Georgia O'Keefe,Antelope Head with Perdenal,,Oil on Canvas,32 1/2 x 36 1/4 x 3 1/2 in. (82.6 x 92.1 x 8.9 cm),"Oil on canvas by Georgia O'Keeffe.  Descriptive title ""Antelope Head with Perdenal.""",Art- Painting
Alfredo Zalce,Mercado de Flores,1996,Oil on Canvas,,"Zalce, Alfredo ""Mercado de Flores"" oil on canvas",Art- Painting
Sandy Scott,Above It All,1998,Bronze,,Outdoor bronze sculpture of an eagle with outstretched wings by Sandy Scott.,Art- Sculpture
,Large Heron Pair,,Bronze,,,Art- Sculpture
Jim Agius,Plains Grizzly (Black Bear),,Bronze,,,Art- Sculpture
Forest Hart,Twins,1996,Bronze,,"Bronze sculpture by Forest Hart, entitled ""Twins.""  Sculpture of a whitetail doe listening intently as her two small fawns explore about her legs.",Art- Sculpture
,The Strength of the Maker,,Bronze,,,Art- Sculpture
Jay Philip O'Meilia,Frontier Woman,,Bronze,,,Art- Sculpture
Silvestre Chacon,Simon Bolivar,,Bronze,,"Bronze bust of Columbian President Sim=n Bolfvar (1783-1830) by Silvestre Chac=n.  Bolivar was known as ""El Liberator"" by the people of South America, where he helped to liberate Venezuela, Columbia, Ecuador and Bolivia, the latter of which he is the name",Art- Sculpture
William Keith,Sierra Nevada Mountains,1876,Oil on Canvas,Overall: 40 x 71 3/4 x 3 1/4 in. (101.6 x 182.2 x 8.3 cm),"Keith, William - Sierra Nevada Mountains - oil on canvas.",Art- Painting
Alfred Jacob Miller,Fort Laramie,1851,Oil on canvas,Overall: 24 1/8 x 33 x 3 1/2 in. (61.3 x 83.8 x 8.9 cm),"Miller, Alfred Jacob - Fort Laramie - oil on canvas.",Art- Painting
Alfred Jacob Miller,Snake and Sioux Indians on Warpath,1856-1856,Oil on canvas,Overall: 33 1/2 x 40 1/2 x 2 in. (85.1 x 102.9 x 5.1 cm),"Miller, Alfred Jacob - Snake and Sioux Indians on Warpath - oil | canvas",Art- Painting
Charles Willson Peale,James Madison,,Oil on Canvas,Overall: 36 1/4 x 31 1/2 x 3 in. (92.1 x 80 x 7.6 cm),"""James Madison"" by Charles Willson Peale, oil on canvas.  Maker's Mark/Inscription: On verso, ""Jas. Madison, P.U.S., C.W. Peale, pinx."" Inscribed in C.W. Peale's hand in u.l. corner beyond the oval, ""58.""  Portrait image of Madison's head and shoulders, w",Art- Painting
John Wesley Jarvis,Black Hawk and His Son Whirling Thunder,1833,Oil on Canvas,Overall: 29 5/8 x 4 1/8 x 36 in. (75.2 x 10.5 x 91.4 cm),"Jarvis, John Wesley - Black Hawk and His Son Whirling Thunder - oil on canvas.
0,13495,0126.1179,126  1179,Art,Art- Painting,,,Albert Bierstadt,Bierstadt",Art- Painting
George de Forrest Brush,Mourning Her Brave,1883,Oil on Panel,Overall: 45 3/8 x 35 3/8 x 3 3/4 in. (115.3 x 89.9 x 9.5 cm),"Brush, George de Forrest - Mourning Her Brave - oil on panel.  Image of an American Indian woman standing on a snowy cliff, barefoot.  Above her lies the wrapped body of her deceased mate, and birds fly in the hazy gray sky.",Art- Painting
Charles Bird King,David Vann,,Oil on wood panel,Overall: 23 1/2 x 20 x 2 1/4 in. (59.7 x 50.8 x 5.7 cm),"King, Charles Bird - David Vann - oil | wood panel",Art- Painting
William Tylee Ranney,Boone's First View of Kentucky,1849,Oil on Canvas,Overall: 41 3/4 x 59 5/8 x 3 in. (106 x 151.4 x 7.6 cm),"Ranney, William Tylee - Boone's First View of Kentucky - oil | canvas",Art- Painting
George Inness,A Windy Day,1883-1883,Oil,Overall: 19 1/4 x 29 1/2 x 3 5/8 in. (48.9 x 74.9 x 9.2 cm),"Inness, George - Windy Day / A - oil",Art- Painting
Winslow Homer,Watching the Breakers,1891,Oil on Canvas,37 x 47 x 3 1/2 in. (94 x 119.4 x 8.9 cm),"""Watching the Breakers"" by Winslow Homer, oil on canvas.  Image of two women in 1890's period clothing standing on a rocky shoreline while white waves crash by and around them.  The woman on the left carries a basket, the woman on the right holds a red bl",Art- Painting
Albert Bierstadt,Sierra Nevada Morning,1870,Oil on Canvas,Overall: 71 x 101 x 4 in. (180.3 x 256.5 x 10.2 cm),"Bierstadt, Albert - Sierra Nevada Morning - oil on canvas.",Art- Painting
Thomas Eakins,Frank Hamilton Cushing,1895,Oil on Canvas,Overall: 90 x 60 in. (228.6 x 152.4 cm),"""Frank Hamilton Cushing"" by Thomas Eakins, oil on canvas.  Image of Cushing in American Indian clothing with associated implements on wall behind him.",Art- Painting
John James Audubon,The Wild Turkey,1845,Oil on Canvas,Overall: 53 1/4 x 40 1/2 x 4 in. (135.3 x 102.9 x 10.2 cm),"Audubon, John James - The Wild Turkey - oil | canvas",Art- Painting
Thomas Moran,Shoshone Falls on the Snake River,1900,Oil on Canvas,Overall: 71 x 144 1/2 x 4 3/4 in. (180.3 x 367 x 12.1 cm),"Moran, Thomas - Shoshone Falls on the Snake River - oil | canvas",Art- Painting
Frank Tenney Johnson,California or Oregon,1926,Oil on Canvas,Overall: 36 3/8 x 2 5/8 x 46 1/2 in. (92.4 x 6.7 x 118.1 cm),"Johnson, Frank Tenney - California or Oregon - oil on canvas.  Image of a man sitting atop a wagon pulled by two horses.  The man is facing the left of the image.  Standing near the wagon is a dog looking to the right.  In the background are hills and a r",Art- Painting
Henry F. Farny,The Sorcerer,1903,Oil on Canvas,Overall: 32 1/8 x 50 1/8 x 4 1/4 in. (81.6 x 127.3 x 10.8 cm),"Farny, Henry F. - Sorcerer / The - oil on canvas.",Art- Painting
Charles C. Schreyvogel,Breaking through the Line,,Oil on Canvas,Overall: 49 x 43 in. (124.5 x 109.2 cm),"Schreyvogel, Charles C. - Breaking through the Line - oil | canvas",Art- Painting
"# Hogue, Alexandre",Crucified Land,1939,Oil on Canvas,47 3/8 x 65 1/2 x 1 3/4 in. (120.3 x 166.4 x 4.4 cm),"""Crucified Land"" by Alexandre Hogue, oil on canvas.  Image of a skeletal eroded field bisected by a dry creek bed in the center foreground.  The worn tattered garments of a former scarecrow hang from a tilted cross in the upper left image quadrant.  In th",Art- Painting
William Robinson Leigh,A Close Call,1914,Oil on Canvas,"Image 40 1/2"" x 60 1/2""","Leigh, William Robinson - A Close Call (1914) - oil on canvas.",Art- Painting
Frederic Remington,An Episode of the Buffalo Hunt,1908,Oil on Canvas,Overall: 29 1/4 x 26 1/4 x 3 1/2 in. (74.3 x 66.7 x 8.9 cm),"Remington, Frederic - An Episode of the Buffalo Hunt - oil on canvas.",Art- Painting
Frederic Remington,The Stampede,1908,Oil on Canvas,Overall: 26 1/2 x 39 5/8 x 3 1/4 in. (67.3 x 100.6 x 8.3 cm),"Remington, Frederic - The Stampede - oil on canvas.  Image of an African American cowboy on horseback with stampeding cows in the background.  Rain is pouring and lightning flashes in the dark sky above.",Art- Painting
Mary Cassatt,Portrait of an Italian Lady,1879,Oil on Canvas,43 1/2 x 34 x 2 3/4 in. (110.5 x 86.4 x 7 cm),"""Portrait of an Italian Lady"" by Mary Cassatt, subtitled ""Madame Marie Del Sarte."" Oil on canvas.  Image of a seated woman in a black dress with white collar.  She is turned 3/4 to the viewer's left.  The work is unfinished.",Art- Painting
Joseph Henry Sharp,"Morning in Aspen Forest - Near Taos, Hondo Ca眔n",1939-1939,Oil on Canvas,Overall: 29 3/8 x 35 5/8 x 2 3/8 in. (74.6 x 90.5 x 6 cm),"Sharp, Joseph Henry - Morning in Aspen Forest - Near Taos, Hondo Ca眔n - oil | canvas Maker's Mark/Inscription: Morning in Aspen Forest-Near Taos, Hondo Ca眔n,1939-1940.  Near end of trail to Twining , old mining town. J.H. Sharp, in pencil on dust cover",Art- Painting
Joseph Henry Sharp,Studio Visitors,1910-1910,Oil on Canvas,Overall: 29 3/4 x 34 3/4 x 2 1/8 in. (75.6 x 88.3 x 5.4 cm),"Sharp, Joseph Henry - Studio Visitors - oil on canvas.  Maker's Mark/Inscription: On a piece of cardboard, nailed to the frame: -Apaches- (Studion Visitors) Apaches, Utes, Pueblos from along the Rio Grande, others from Oklahoma and the north came to Taos",Art- Painting
Oscar Edmund Berninghaus,Too Old For the Rabbit Hunt,1927-1927,Oil on Canvas,Overall: 34 1/2 x 39 5/8 x 2 1/2 in. (87.6 x 100.6 x 6.4 cm),"Berninghaus, Oscar Edmund - Too Old For the Rabbit Hunt - oil | canvas",Art- Painting
Ernest Leonard Blumenschein,Superstition,,Oil on Canvas,50 1/4 x 49 x 2 1/8 in. (127.6 x 124.5 x 5.4 cm),"Blumenschein, Ernest Leonard - Superstition - oil on canvas.  Image of a seated Native American man holding a dual-spouted vessel.  The wall behind the man is colorfully painted and hung with a ceremonial mask to the viewer's left and a crucifix to the vi",Art- Painting
Ernest Martin Hennings,In Mountain Foothills,,Oil on Canvas,Overall: 35 1/2 x 41 1/2 x 2 1/8 in. (90.2 x 105.4 x 5.4 cm),"Hennings, Ernest Martin - In Mountain Foothills - oil | canvas",Art- Painting
Robert Henri,"Gregorita, Indian of Santa Clara",1917,Oil,39 7/8 x 34 x 3 1/8 in. (101.3 x 86.4 x 7.9 cm),"Henri, Robert - Gregorita, Indian of Santa Clara - oil",Art- Painting
Oscar Edmund Berninghaus,Chamiso Along the Roadside,1947-1947,Oil on Linen Canvas,Overall: 24 1/2 x 29 1/2 x 3 3/8 in. (62.2 x 74.9 x 8.6 cm),"Berninghaus, Oscar Edmund - Chamiso Along the Roadside - oil",Art- Painting
Ernest Leonard Blumenschein,Ranchos Church with Indians,,Oil,Overall: 13 3/8 x 22 x 2 in. (34 x 55.9 x 5.1 cm),"Blumenschein, Ernest Leonard - Ranchos Church with Indians - oil",Art- Painting
Charles Marion Russell,Meats not Meat 'Till It's in the Pan,1915-1915,Oil on Canvas,Overall: 23 x 35 in. (58.4 x 88.9 cm),"Russell, Charles Marion - Meat's not Meat 'Till It's in the Pan - oil | canvas",Art- Painting
Juan Serrano,Mexicans Lassoing Bull,,Oil on Canvas,Overall: 25 x 40 1/8 x 2 3/8 in. (63.5 x 101.9 x 6 cm),"Serrano, Juan - Mexicans Lassoing Bull - oil | canvas",Art- Painting
Juan Soriano,Nina Muerta (Dead Infant),1944,Oil on board,26 x 40 1/4 x 2 1/8 in. (66 x 102.2 x 5.4 cm),"Soriano, Juan - Nina Muerta (Dead Infant) - oil on board.",Art- Painting
Carlos Orozco Romero,Cautivos,1940,Oil on Board,15 3/8 x 13 x 2 1/2 in. (39.1 x 33 x 6.4 cm),"Romero, Carlos Orozco - Cautivos - oil on board.",Art- Painting
Diego Rivera,Cabeza De Indio (Head of Indian),1937,Oil on Masonite,26 1/4 x 18 3/4 x 1 7/8 in. (66.7 x 47.6 x 4.8 cm),"Rivera, Diego - Cabeza De Indio (Head of Indian) - oil on Masonite.",Art- Painting
Joshua Reynolds,"Portrait of Syacust Ukah, 1762",1762,Oil on Canvas,Overall: 48 x 35 1/2 in. (121.9 x 90.2 cm),"Reynolds, Sir Joshua - Portrait of Syacust Ukah, 1762 - oil | canvas",Art- Painting
James Abbott McNeill Whistler,"Nocture, The Solent",1866,Oil on Canvas,Overall: 30 1/4 x 46 1/2 x 4 1/2 in. (76.8 x 118.1 x 11.4 cm),"Whistler, James Abbott McNeill - Nocturne, The Solent - oil on canvas.",Art- Painting
George Catlin,The Bear Dance (Sioux),1847,Oil on Canvas,27 1/2 x 34 1/8 x 3 3/8 in. (69.9 x 86.7 x 8.6 cm),"Catlin, George - The Bear Dance (Sioux) - oil on canvas.",Art- Painting
John Singer Sargent,The Arrival of American Troops at the Front,1918-1918,Oil on Canvas,Overall: 18 x 28 in. (45.7 x 71.1 cm),"Sargent, John Singer - Arrival of American Troops at the Front / The - oil | canvas",Art- Painting
James Auchiah,Four Dance Figures,1939,Tempera on Paper,Overall: 11 3/4 x 21 3/4 in. (29.8 x 55.2 cm),"Auchiah, James - Four Dance Figures - tempera | paper",Art- Painting
Acee Blue Eagle,Creek Chiefs,,Tempera,Overall: 15 1/2 x 16 in. (39.4 x 40.6 cm),"Blue Eagle, Acee - Creek Chiefs - tempera",Art- Painting
Woodrow Wilson Crumbo,Burial Ceremony-Spirit Assending,,Watercolor and Tempera on Paper,Overall: 14 1/2 x 28 in. (36.8 x 71.1 cm),"Crumbo, Woodrow Wilson - Burial Ceremony-Spirit Ascending - tempera | watercolor | paper",Art- Painting
Fred Beaver,Seminole Making Sofkey,,Tempera,Overall: 14 3/4 x 23 1/2 in. (37.5 x 59.7 cm),"Beaver, Fred - Seminole Making Sofkey - tempera.",Art- Painting
Paul J. Goodbear,Cheyenne War Dance,1939,Tempera,Overall: 28 1/4 x 18 1/2 in. (71.8 x 47 cm),"Goodbear, Paul J. - Cheyenne War Dance - tempera",Art- Painting
Allan Houser,Sneaking Out,,Tempera,Overall: 18 x 23 1/4 in. (45.7 x 59.1 cm),"Houser, Allan - Sneaking Out - tempera",Art- Painting
Robert G. Chase,The Market,1958,Watercolor,Overall: 17 x 23 3/4 in. (43.2 x 60.3 cm),"Chase, Robert G. - The Market - watercolor.",Art- Painting
Velino Shije Herrera,The Zuni Olla Girls,,Tempera,Overall: 28 x 38 in. (71.1 x 96.5 cm),"Herrera, Velino Shije - Zuni Olla Girls / The - tempera",Art- Painting
Olaf Carl Seltzer,"Illustrated Letter, Early Western Travelogue (Opus 7) ""The Long Trail""",21-Jun-32,Pen and Ink Watercolor on Paper,"Image 10 1/2"" x 7"" Frame 11"" x 7 1/2""","This is an illustrated letter by Olaf Seltzer.  The drawing depicts a train in the background that's steaming toward the foreground.  There are power lines pictured to the right side and five horses running across the train tracks, from right to left.",Art- Drawing
Charles Marion Russell,Friend Young Boy,,Ink and watercolor on paper,,letter,Art- Painting
,,1550 -- 1750 CE,Ceramic,9 1/4 x 7 5/8 in. (23.5 x 19.4 cm),Bottle -- decorated with red painted swastikas on white painted background Quapaw potters of the Protohistoric (Late Mississippian) era extended the ceramics technology of the lower Mississippi River Valley and continued ancestral Mississippian themes,"Anth- Ceramic, Plaster"
,,1000 -- 1600 CE,Ceramic,7 3/4 x 6 x 7 1/8 in. (19.7 x 15.2 x 18.1 cm),"Hump Backed Human Effigy Bell Plain (highly polished) pottery type -- Bell Plain is prevalent at sites along the Mississippi River in Arkansas.  It has finely crushed shell temper, a well polished to highly polished surface, and varies in color from sh","Anth- Ceramic, Plaster"
,,1200 -- 1500 CE,Earthenware,11 1/2 x 7 3/16 in. (29.2 x 18.3 cm),,"Anth- Ceramic, Plaster"
,,900 -- 1200 CE,Ceramic,4 1/2 x 9 1/2 in. (11.4 x 24.1 cm),,"Anth- Ceramic, Plaster"
,,500 BCE -- 700 CE,Earthenware,8 1/2 x 6 13/16 in. (21.6 x 17.3 cm),"54.7758  Ceramic Effigy Urns  Zapotec    Monte Alban, Oaxaca, Mexico  Earthenware  500 BC to AD 700    Ceramic figurines effigy effigies   Prehistoric      Mesoamerican  Mexico Mexican sculpture  Ritual Ceremonial   Art  Precolumbian Pre-columbian  art m","Anth- Ceramic, Plaster"
,,300 -- 900 CE,Clay,2 x 4 13/16 x 8 in. (5.1 x 12.3 x 20.3 cm),54.7767  Human Effigy Rattles  Maya  Ignacio Bernal #1400    Clay  AD 300 to 900       Mesoamerican  Mexico  Mexican Ritual Ceremonial effigys effigies Mayan sculpture  Art  Prehistoric     Precolumbian Pre-columbian  art mexican pre-columbian precolumb,"Anth- Ceramic, Plaster"
,,6000 -- 1000 BCE,Chalcedony,1 x 3 1/4 x 4 7/16 in. (2.5 x 8.3 x 11.2 cm),"61.902  Bannerstones  Archaic    Christian County, KY  chalcedony  Archaic:  6000 BC - 1000 BC      Prehistoric    Banner Stones   Native American Indian  indians    Objects Closed Storage",Anth- Stone
,,1000 BCE -- 700 CE,Stone,4 3/16 x 1 11/16 x 8 3/4 in. (10.6 x 4.2 x 22.2 cm),61.1007  Grooved Axes  Woodland      stone  Woodland Period -- 1000 BC - AD 700      Prehistoric      Native American Indian   Tools  Implements Eastern Woodlands stone Stone Tools  indians Michigan barb barbed    Objects Drawer 21,Anth- Stone
,,8000 -- 1000 BCE,Porphyry,1 15/16 x 1 13/16 x 4 5/16 in. (4.9 x 4.6 x 11 cm),"61.1147  Bird Stones  Archaic  Circular tag outlined in red: ""5   129""  Noble County,  Ind  stone -- Porphyry  Archaic Period (8000 to 1000 BC)      Eastern Woodlands   Jewelry  Adornment Implements Ritual Ceremonial Religious Religion Ceremony   Native",Anth- Stone
,,12000 -- 10000 BCE,Chert,3/8 x 1 5/16 x 3 3/4 in. (0.9 x 3.4 x 9.5 cm),"61.7095  Projectile Point (Clovis)s  Paleoindian    Madison County, Illinois  Chert  Late Paleolithic (10000 to 12000 BC)    Arrowheads Projectile Points   Prehistoric   Weapons  Darts  Native American Indian  indians arrow heads  arrowhead head    Objec",Anth- Stone
,,10000 -- 7000 BCE,Stone,1/4 x 1 1/4 x 2 7/16 in. (0.7 x 3.2 x 6.1 cm),"61.7176  Projectile Point (Folsom)s      Jersey County, IL  stone  Late Paleolithic -- Early Archaic:  10,000 BC -- 7,000 BC    Arrowheads Projectile Points   Prehistoric   Weapons  Darts  Native American Indian  indians arrow heads  arrowhead head    Ob",Anth- Stone
,,5000 -- 1000 BCE,Stone,9/16 x 2 3/16 x 5 1/4 in. (1.4 x 5.5 x 13.4 cm),"61.16989  Projectile Point (Smith)s    S-265  Lincoln County, Missouri   stone  Middle -- Late Archaic:  5,000 -- 1,000 BC    Arrowheads Projectile Points   Prehistoric   Weapons  Darts  Native American Indian  indians arrow heads  arrowhead head    Obje",Anth- Stone
,,2500 BCE -- 200 CE,Stone,3/16 x 1 13/16 x 4 7/16 in. (0.5 x 4.6 x 11.3 cm),61.18541  Projectile Point (Fulton Turkey Tail)s  Woodland      stone  Late Archaic - Early Woodland:  2500 BC -- 200 BC    Arrowheads Projectile Points   Prehistoric   Weapons  Darts  Native American Indian  indians arrow heads  arrowhead head    Object,Anth- Stone
,,1000 BCE -- 1000 CE,Stone,7/16 x 2 7/16 x 2 3/16 in. (1.1 x 6.2 x 5.5 cm),"61.91657  Projectile Point (Snyders)s  Woodland  S-3039    stone  Early to Late Woodland:  1,000 BC -- AD 1000    Arrowheads Projectile Points   Prehistoric   Weapons  Darts  Native American Indian  indians arrow heads  arrowhead head    Objects Drawer 1",Anth- Stone
,,1800s,"Corn Husk, Yarn, Leather",15 1/8 x 20 9/16 in. (38.5 x 52.2 cm),"71.20  Cornhusk Bags  Nez Perce  G-2082    corn husk, yarn, leather  19th Century      Late 19th Century  Late 1800s    Native American Indians Corn Husk Bag Bags  Art  sally    Objects Drawer 3N  Plateau","Anth- Basketry, Wicker-Work"
,,1800s,Ivory,2 1/2 x 1 3/8 x 16 in. (6.4 x 3.4 x 40.6 cm),"83.1184  Ivory Effigy Pipes  Aleut  Frank Engles Collection. #1167.  Kodiak Island, AK.   Ivory  19th Century      Native American Indians  Ritual Ceremonial Arctic  Eskimo Alaska tobacco ritual ceremonial  tobacco whale whales     Objects Enduring Spiri","Anth- Bone, Ivory, Antler"
,,ca. 1890-1900,"Leather, Glass Beads, Metal, Feathers, Cotton String",3 13/16 in. (9.7 cm),"84.304  Moccasinss  Sioux  G-648 & 114    Leather, glass beads, metal, feathers, cotton string.    ca. 1890-1900      Early 20th Century  Early 1900s    Native American Indians  Beadwork Beads Beaded bead work   Clothing  Apparel Clothes  Footwear Shoes",Anth- Composition
,,1800s,"Leather, Glass Beads",21 x 14 in. (53.3 x 35.6 cm),"84.613  Beaded Bags  Crow  Emil Lender's Collection G-1655    Leather, glass beads  19th Century      Native American Indians  Beadwork Beads Beaded bead work Saddle Possible Tipi Tepee Teepee    Objects Drawer 3B  Plains",Anth- Composition
,,Early 1900s,"Glass Beads, Cotton, Velvet, Yarn, Cotton String",14 1/2 x 43 in. (36.8 x 109.2 cm),"84.1718  Shoulder Bags  Chippewa      Glass beads, cotton, velvet, yarn, cotton string.   Early 20th Century    Bandolier Bags   Early 20th Century  Early 1900s    Native American Indians  Beadwork Beads Beaded bead work  Ojibwa Ojibway Ojibwe   Objects",Anth- Composition
,,ca. 1870,"Deer Skin, Beads, Mescal Seeds, Porcupine Quill",37 x 42 in. (94 x 106.7 cm),"84.1795  Girl's Dresss  Lakota Sioux      deer skin, beads, mescal seeds, porcupine quill  ca. 1870      Clothing  Apparel Clothes  Beadwork Beads Beaded bead work   Native American Indians   Late 19th Century  Late 1800s   Great Plains  child's children",Anth- Composition
,,Early 1900s,"Wood, Pigment, Wool, Cotton String, Feathers, Metal Bells",2 3/8 x 2 11/16 x 7 in. (6 x 6.8 x 17.8 cm),"84.2683  Kachinas  Zuni  John R. Wilson Collection.     Wood, pigment, wool, cotton string, feathers, metal bells.   Early 20th Century      Early 20th Century  Early 1900s  Native American Indians  Ritual Ceremonial dolls katsina kechina cachina ketsina",Anth- Composition
,,1800s,"Leather, Pigment",17 1/2 x 29 3/4 in. (44.5 x 75.6 cm),"89.100  Parfleches  Cheyenne      Leather, pigment  19th Century    Late 19th Century  Late 1800s    Native American Indians  Art    Objects Drawer 7K  Plains","Anth- Leather, Sinew"
,,700 -- 1500 CE,"Whelk Shell, Pigment",3/16 x 3 5/16 in. (0.5 x 8.5 cm),"90.453  Gorgets  Mississippian    Tennessee  whelk shell, pigment  AD 700 - 1500, Mississippian Period      Native American Indian   Prehistoric      Jewelry  Adornment  Eastern Woodlands  Ceremonial, Prestige, Ritual Moundbuilders Art, Ceremony, snake,","Anth- Shell, Horn, Mother of Pearl"
,,Early 1900s,"Seal Gut, Wood, Fur, Fish Skin, Cotton, Cotton String",1 1/2 x 4 x 8 3/4 in. (3.8 x 10.2 x 22.2 cm),"93.58  Dolls  Inuit  Frank Engles Collection. #1279.  Alaska  Seal gut, wood, fur, fish skin, cotton, cotton string.   Early 20th Century      Native American Indians  Stroud Cloth Strouding Eskimo Alaska Toys    Objects Drawer 25C  Arctic","Anth- Land, Water Animals, Miscellaneous"
