Subtype_of_Art,Type_of_Art,Title,Date_made,Credit,ArtistName,Inscription,Pic_URL,Dimensions,BirthDate,DeathDate,EA_id
oil on canvas,painting,"Ranch Scene, Monterey, California",1875,"Oakland Museum of California Kahn Collection, gift of Mr. and Mrs. Sidney L. Schwartz, to honor Dr. and Mrs. John J. Sampson and in memory of Mr. and Mrs. William E. Gump",William Hahn, TOM.  Wm. Hahn/Genre Painter 1829-1887.  1976.,http://collections.museumca.org/?q=system/files/imagecache/100_Square/0600606b.jpg,27 in HIGH x 38 in WIDE(68.58 cm HIGH x 96.52 cm WIDE),,,f2d42e634575
oil on canvas,painting,Yosemite Valley Scene,1876,Museum Donors Acquisition Fund,Gilbert Munger, Fresno Arts Ctr.  Views of Yosemite.  1982.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A66.176_DGAH_013_02.jpg,20 in HIGH x 28 in WIDE(50.80 cm HIGH x 71.12 cm WIDE),,,060876e87de2
oil on canvas,painting,View of Carquinez Strait,1877,"Gift of Mr. and Mrs. Frederick Matthew Terry in memory of Brother Cornelius, St. Mary's College",Carl Von Perbandt, Kaiser Ctr. 1973.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.22_DGAH_035_02.jpg,14 in HIGH x 24 in WIDE(35.56 cm HIGH x 60.96 cm WIDE),,,fac55fd68f7d
oil on canvas,painting,A Mountain Pool,1877,Gift of the Oakland Museum Association Tribute Fund in memory of Alpha Heath Rogers,Henry Chapman Ford,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A78.132_DGAH_041_02.jpg,24.25 in HIGH x 18 in WIDE(61.59 cm HIGH x 45.72 cm WIDE),,,2149885db24c
oil on canvas,painting,Lake Ralphine,1877,Anonymous gift in memory of Marlan L. Mel,Thomas Hill," Maxwell Galleries, S.F., CA ret: MAY 30, 1991",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A84.10.2_DGAH_043_02.jpg,13 in HIGH x 21 in WIDE(33.02 cm HIGH x 53.34 cm WIDE),1829.0,1908.0,9fac5a0f6b91
oil on canvas,painting,The Casco,1879,Gift of the Women's Board,William A. Coulter,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A57.7_DGAH_052_02.jpg,32 in HIGH x 48 in WIDE(81.28 cm HIGH x 121.92 cm WIDE),1849.0,1936.0,dc4cf6356953
oil on canvas,painting,San Francisco from Goat Island,1881,Gift of Miss Wooll and Mrs. Wood,Raymond Dabb Yelland,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A60.12.5_DGAH_091_02.jpg,12 in HIGH x 28.25 in WIDE(30.48 cm HIGH x 71.75 cm WIDE),,,a31945beefc8
oil on canvas,painting,New Year's Day in San Francisco's Chinatown,1881,Gift of Dr. A. Jess Shenson,Theodore Wores,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/2002.29.1_DGAH_190_02.jpg,29 in HIGH x 22 in WIDE(73.66 cm HIGH x 55.88 cm WIDE),,,e8c08597b0b8
oil on canvas,painting,Trying His Hand,1881,Museum Donors Acquisition Fund,Mary Ellen Jones,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A61.77_DGAH_162_02.jpg,24.87 in HIGH x 29.75 in WIDE(63.17 cm HIGH x 75.56 cm WIDE),,,60cffcddb913
oil on canvas,painting,In a Corner of My Studio,1882,Gift of Mrs. Theodore Wores,Theodore Wores," Gallery of California Art, The Oakland Museum of California/// Cal. Historical Soc.  Theodore Wores:  California Impressionist Painter.  1985. Dennis Calabi, Conserv., 1990.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A67.111.5_DGAH_024_02.jpg,55.5 in HIGH x 35.5 in WIDE(140.97 cm HIGH x 90.17 cm WIDE),,,c9138e89eaa2
oil on canvas,painting,Miners Playing Cards,1882,The Oakland Museum Kahn Collection,William Hahn, TOM.  William Hahn/Genre Painter 1829-1887.  1976.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.66_DGAH_135_02.jpg,16 in HIGH x 20 in WIDE(40.64 cm HIGH x 50.80 cm WIDE),,,7aa86f88e1a4
oil on canvas,painting,Circus  (It's My Turn),1882,The Oakland Museum Kahn Collection,William Hahn," TOM.  William Hahn/Genre Painter 1829-1887.  1976. San Mateo County Arts Council.  1977. CSU, Bakersfield.  Ca.  1979. Milwaukee Art Ctr.  Center Ring:  The Artist (An Exhibition of Two Centeries of Circus Art).  1981. The Hudson River Museum.  Domestic B",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.62_DGAH_119_02.jpg,34 in HIGH x 26.75 in WIDE(86.36 cm HIGH x 67.94 cm WIDE),,,85df7da396d6
oil on canvas,painting,"Pines, Lake Tahoe",1882,,Grafton Tyler Brown,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0020802.jpg,26 in HIGH x 16 in WIDE(66.04 cm HIGH x 40.64 cm WIDE),1841.0,1918.0,dc1604966019
oil on canvas,painting,"Alameda County Courthouse, East Oakland (Town East side of Lake Merritt looking west)",1882,The Oakland Museum Kahn Collection,Marius Dahlgren,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/0600490b.jpg,11 in HIGH x 17.5 in WIDE(27.94 cm HIGH x 44.45 cm WIDE),1844.0,1920.0,5691654fb901
oil on canvas,painting,Return from the Bear Hunt,1882,The Oakland Museum Kahn Collection,William Hahn," Whitney Museum.  Our American Frontier:  Images and Myths.  1973. TOM.  William Hahn, Genre Painter.  1976.//Twenty-Five Years of Collecting California. September 25,1994- January 8, 1995 (TOM).  The Edge - Oakland Museum of California, June 2 - October",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.39_DGAL_1068_01.jpg,55 in HIGH x 89 in WIDE(139.70 cm HIGH x 226.06 cm WIDE),,,2a1c5be98ff5
oil on canvas,painting,My Old Shop,1884,Gift of Mr. & Mrs. Victor Reiter,Jules Francis Pages,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/A69.36.1_DGAH_072_02.jpg,24 in HIGH x 16 in WIDE(60.96 cm HIGH x 40.64 cm WIDE),,,de470674b6f5
oil on wood panel,painting,Steelhead Salmon,1885,The Oakland Museum Kahn Collection,Samuel Marsden Brookes," U.S.C., Los Angeles.  Reality and Deception.  1974-75. California State College, Bakersfield.  1979. Philbrook Art Center. Oklahoma, Ne.  Painters of the Humble Truth.  1981-82. The Edith c. Blum Art Institute, Bard College, Food/Art/USA, Sep 4 - Nov 25,",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.100_DGAH_022_02.jpg,40 in HIGH x 30 in WIDE(101.60 cm HIGH x 76.20 cm WIDE),,,69613c730586
oil on canvas,painting,Moonrise Over Seacoast at Pacific Grove,1886,Gift of Mrs. Warren Olney,Raymond Dabb Yelland,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A83.63_DGAH_026_02.jpg,40 in HIGH x 60 in WIDE(101.60 cm HIGH x 152.40 cm WIDE),,,3273a9c80756
oil on canvas,painting,Pomo Indians Camped at Fort Ross,1886,The Oakland Museum Kahn Collection,Carl Von Perbandt, Stanford University.  Landscape exhibition.  1975.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A68.163_DGPT_084_02.jpg,54 in HIGH x 84 in WIDE(137.16 cm HIGH x 213.36 cm WIDE),,,418e78f3f2d5
oil on wood panel,painting,Landscape-Paris,1886,Gift of the Art Guild,Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1972. TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/100_Square/A65.13.19_DGMA_064_02.jpg,7.87 in HIGH x 12 in WIDE(19.99 cm HIGH x 30.48 cm WIDE),1860.0,1945.0,a098e8604ba5
oil on canvas,painting,Young Woman with Flowers,1887,,Percy Gray,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0027025.jpg,16.5 in HIGH x 12.5 in WIDE(41.91 cm HIGH x 31.75 cm WIDE),,,9c2a21c7ad40
oil on canvas,painting,"View from Goat Island, San Francisco Bay",1887,The Oakland Museum Kahn Collection,Marius Dahlgren, San Diego Museum of Art.  The Golden Land.  1986.,http://collections.museumca.org/?q=system/files/imagecache/100_Square/0600628b.jpg,30.5 in HIGH x 50 in WIDE(77.47 cm HIGH x 127.00 cm WIDE),1844.0,1920.0,281c427ad9b1
oil on canvas,painting,Imogen and Arviragus,1887,Gift of the Art Guild,Arthur Mathews," TOM.  Mathews Exhibition.  1972. TOM.  Mathews Exhibition.  1985.//Twenty-Five Years of Collecting California. September 25,1994- January 8, 1995 (TOM)",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.13.1_DGAH_074_02.jpg,34.5 in HIGH x 46.25 in WIDE(87.63 cm HIGH x 117.47 cm WIDE),1860.0,1945.0,9bb96d0c5948
oil on canvas,painting,California Miner with Pack Horse,1887,The Oakland Museum Kahn Collection and the Museum Donors Acquisition Fund,Henry Raschen," Gold Fever! The Lure and Legacy of the California Gold Rush.  Jan 24, 1998 - Oct. 31, 1999 Palm Springs Desert Museum.  Western Drawings and Paintings.  Mar 7 - June 8, 1986.                                  Art Programs Inc. Early California exhibit, Apr",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A78.197_DGPT_089.2_02.jpg,40 in HIGH x 30 in WIDE(101.60 cm HIGH x 76.20 cm WIDE),,,681cd5ecc36e
oil on canvas,painting,Arranging Chrysanthemums,1888,Gift of the of the Oakland Museum of California Women's Board in Memory of Janice Hughes Vohs,Alice B. Chittenden,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/2000.22.1_DGAH_075_02.jpg,44 in HIGH x 32 in WIDE(111.76 cm HIGH x 81.28 cm WIDE),,,9443ff9be751
oil on canvas,painting,Lake Temescal,1890,Gift of Mr. and Mrs. Richard M. Logan,J.H.E. Partington, TOM. Director's Ofc. 1982.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A79.35_DGAH_100_02.jpg,20 in HIGH x 30 in WIDE(50.80 cm HIGH x 76.20 cm WIDE),,,923f6964984a
oil on canvas,painting,Indian Encampment near Mount Shasta,1890-1910,,A. Cedro,,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0029413.jpg,36 in HIGH x 66 in WIDE(91.44 cm HIGH x 167.64 cm WIDE),,,cd954b648917
oil on canvas,painting,Still Life,1891,Gift of Mrs. Sol Upsher,Emil Carlsen," AOL75, Vance Jordan Fine Art Inc.: Quiet Magic: The Still Life Paintings of Emil Carlsen  Oct 28 - Dec. 10, 1999// Crocker Art Museum: Bountiful Harvest - 19th Century Still Life Painting (Nov 15, 1991 - Jun 15, 1992).",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A62.102_DGAH_112_02.jpg,35 in HIGH x 43 in WIDE(88.90 cm HIGH x 109.22 cm WIDE),,,f75760268c0b
oil on canvas,painting,Grand Canyon of the Yellowstone from Hayden Point,1891,Oakland Museum Founders Fund,Grafton Tyler Brown, 15TOM.  Hist. Dept. Ca.  Grafton Tyler Brown exhibition.  1972. TOM.  Spec. Exhib. and Ed. Dept.  Ca.  Blacks in the Westward Movement. 1975. MET.  N.Y.C.  Selections of 19th Century Afro-American Art.  1976. USC Art Galleries.  L.A.  Pack-In Painters of,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A68.72_DGAH_116_02.jpg,24 in HIGH x 16 in WIDE(60.96 cm HIGH x 40.64 cm WIDE),1841.0,1918.0,fc5588107898
oil on canvas,painting,Still Life,1891,Gift of Mrs. Paul Wormser,Emil Carlsen," TransAmerican Corp.  1974. Cal. State College, Bakersfield.  1979.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A57.41.1_DGAH_111_02.jpg,33 in HIGH x 33 in WIDE(83.82 cm HIGH x 83.82 cm WIDE),,,777e31aaa921
oil on canvas,painting,"San Francisco in July, 1849",1891,"Oakland Museum of California, gift of the Women's Board",George Henry Burgess," Gold Fever! The Lure and Legacy of the California Gold Rush.  Jan 24, 1998 - Oct. 31, 1999 Mark Hopkins Institute of Art, S.F.  Loan Exhibition.  1900. Golden Gate International Exposition, Wells Fargo exhibit in S.F. Bldg., S.F.  1939-40. Amon Carter Mus",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0027283.jpg,62 in HIGH x 132.75 in WIDE(157.48 cm HIGH x 337.18 cm WIDE),1830.0,1905.0,7653d4a2a78f
oil on canvas,painting,Outdoor Study on Strawberry Creek,1892,Miriam Dungan Cross Memorial Fund,Edwin Deakin, Mayor Lionel Wilson of Oakland on the occasion of President Jimmy Carter's stay at his house. 1980. San Diego Museum of Art.  The Golden Land.  1986.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A75.114_DGAH_011_02.jpg,24 in HIGH x 16 in WIDE(60.96 cm HIGH x 40.64 cm WIDE),,,14adbcdc6da2
oil on canvas,painting,Chinese Tea Room,1892,Gift of the Estate of George Roland Therkof,Henry Alexander," Perspectives Gallery: Looking Back, Early San Francisco Chinatown. SFMMA.  Henry Alexander.  1940.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A83.23_DGAH_138_02.jpg,30 in HIGH x 36 in WIDE(76.20 cm HIGH x 91.44 cm WIDE),,,ae938a04a99e
oil on canvas,painting,Camp Teller,1892,The Oakland Museum Kahn Collection,Henry Deidrich Gremke," National Museum of Amer. Art, The Promised Land: Images of Westward Expansion, 1820-1910. Mar 15, 1991 - June 16, 1991.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.16.22_DGAH_089_02.jpg,48.25 in HIGH x 24 in WIDE(122.55 cm HIGH x 60.96 cm WIDE),,,d4db9cf11504
oil on canvas,painting,"Bridal Veil Falls, Yosemite Valley",1892,Gift of Mrs. Leon Bocqueraz,Thomas Hill," Yosemite Park and Curry Co., 1962 Transamerica Pyramid, 1974 Lowe Museum - Univ of Miami, 19th C. American Topographic Painters, 1975 Fresno Arts Center, Survey of American Painting, 1977 Art Programs, S. F.  A Sense of Place - California Landscape Painti",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A61.5.1_DGAH_030_02.jpg,53 in HIGH x 35 in WIDE(134.62 cm HIGH x 88.90 cm WIDE),1829.0,1908.0,4fbe0b977d6d
oil on wood panel,painting,"Portrait of Woman in Park  (study for Picnic at El Campo)|Summer (title added to reflect article in the Examiner from the 1800's discovered by H. Jones, 8/03)",1893,Gift of the Art Guild,Arthur Mathews | Lucia Mathews," TOM.  Impressionism:  The California View, 1890-1930.  1981. TOM.  Mathews Exhibition.  1985.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.13.20_DGMA_066_02.jpg,18 in HIGH x 12.63 in WIDE(45.72 cm HIGH x 32.08 cm WIDE),1860.0,1945.0,3e48f0eb9131
oil on canvas,painting,Pathway through the Redwoods,1894,"Oakland Museum of California, gift of Mrs. Leon Bocqueraz",Lorenzo Palmer Latimer," Steven Harris.  Piedmont, Ca. 1972.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A60.32.4_DGAH_113_02.jpg,36 in HIGH x 24 in WIDE(91.44 cm HIGH x 60.96 cm WIDE),,,13fb421abf52
oil on cardboard,painting,Fruitvale Meadows,1894,Gift of Mr. William Raymond Yelland,Raymond Dabb Yelland," California Historical Society - S.F., Raymond Dabb Yelland Exhibition, 1964 WAAM Traveling Exhibition, Small Paintings: 19th Century California Landscape, 1972 - 1973 Art Programs, S.F.  A Sense of Place - California Landscape Painting 1870-1930.  1978. C",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0000876.jpg,14 in HIGH x 22 in WIDE(35.56 cm HIGH x 55.88 cm WIDE),,,9fecd33775d7
oil on canvas,painting,To-Tole (The Star),1894,Gift of Mrs. Leon Bocqueraz,Grace Carpenter Hudson," Grace Hudson: a California Romantic, Grace Hudson Museum, Ukiah, 9/24/1996-3/10/1997",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A61.5.3_DGPT_095_02.jpg,19.25 in HIGH x 10.25 in WIDE(48.89 cm HIGH x 26.03 cm WIDE),1865.0,1937.0,16438f2690c9
oil on canvas,painting,California  (In California),1894,"Oakland Museum of California, gift of the estate of Helen Hathaway White and the Women's Board",George Inness," LACMA: Made in California, 2000. SFAA, Loan Collection from Irving M. Scott and Charles Crocker.  1891. //  Fine Arts Bldg. N.Y.C.  Inness Memorial Exhibition.  1894. // Fifth Avenue Art Galleries. N.Y.C.  Inness Executor's Sale.  1895. // TOM.  George In",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A75.131_DGAH_029_02.jpg,60 in HIGH x 48 in WIDE(152.40 cm HIGH x 121.92 cm WIDE),,,df6336f136ae
oil on canvas,painting,"The Fortune Teller, San Francisco, Chinatown",1898,Museum Donors Acquisition Fund,NELSON A. PRIMUS," Perspectives Gallery: Looking Back, Early San Francisco Chinatown. TOM.  Black Perspective.  1989.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A75.132_DGAH_174_02.jpg,10.25 in HIGH x 8.25 in WIDE(26.03 cm HIGH x 20.95 cm WIDE),,,3189b6ddf9d7
paper,painting,Pasadena (Landscape with Eucalyptus and Flowers),1898,Gift of Fred and Nancy Humiston,Benjamin C. Brown,,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0018326.jpg,,,,9bb7c9255696
