artworkTitle,artistName,nationality,birthDate,deathDate,dateOfEndOfCreation,medium,dimensions,classification,creditLine
Prescience,Charles Houghten Howard,American,1899,1978,1942,Oil on canvas,28 1/4 x 40 1/2in. (71.8 x 102.9cm),Paintings,"Arthur Hoppock Hearn Fund, 1942"
Stage Fort across Gloucester Harbor,Fitz Henry Lane,,1804,1865,1862,Oil on canvas,38 x 60 in. (96.5 x 152.4 cm),Paintings,"Purchase, Rogers and Fletcher Funds, Erving and Joyce Wolf Fund, Raymond J. Horowitz Gift, Bequest of Richard De Wolfe Brixey, by exchange, and John Osgood and Elizabeth Amis Cameron Blanchard Memorial Fund, 1978"
Knowledge of the Past Is the Key to the Future: Some Afterthoughts on Discovery,Robert Colescott,American,1925,2009,1986,Acrylic on canvas,"H. 90, W. 114 inches (228.6 x 249.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1987"
East River from the Shelton Hotel,Georgia O'Keeffe,American,1887,1986,1928,Oil on canvas,12 x 32 in. (30.5 x 81.3 cm),Paintings,"Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986"
J. W. Gale,Anson Dickinson,,1779,1852,1807?,Watercolor on ivory,Sight: 2 15/16 x 2 1/4 in. (7.5 x 5.7 cm),Paintings,"Bequest of Mary Anna Palmer Draper, 1914"
Reclining Girl,Jules Pascin,,1885,1930,1921,Oil on canvas,"H. 36-1/2, W. 28-3/4 inches (92.7 x 73 cm)",Paintings,"Gift of Mrs. Yasuo Kuniyoshi, 1992"
Afternoon Still Life,Catherine Murphy,American,1946,,1976,Oil on canvas,"H. 36, W. 31-1/8 inches (91.4 x 79.1 cm.)",Paintings,"Gift of Patrica and Henry Tang, 1986"
A Brittany Beadle閳ユ摬ketch from Nature,John La Farge,American,1835,1910,1856,Watercolor and gouache with graphite on brown wove paper,5 3/4 x 4 in. (14.6 x 10.2 cm),Drawings,"Gift of Mrs. William G. Peckham, 1951"
"Excursionists, Nahant",Maurice Brazil Prendergast,American,1858,1924,1897,"Watercolor, gouache, and graphite on off-white wove paper",19 1/2 x 14 3/16 in. (49.5 x 36 cm),Drawings,"The Lesley and Emma Sheafer Collection, Bequest of Emma A. Sheafer, 1973"
"Prototype, Number 1",Joe Zucker,American,1941,,1980,Acrylic and rhoplex on canvas,"H. 48-1/2, W. 96 inches (123.2 x 243.8 cm.)",Paintings,"Gift of Barbara and Eugene Schwartz, 1988"
Henry Pearson,Will Barnet,American,1911,2012,1967,Oil on canvas,"H. 39-3/4, W. 32-1/2 inches (101 x 82.6 cm.)",Paintings,"Gift of Mrs. Will Barnet, 1981"
Waterlilies,Alfred Levitt,American,1894,2000,1946,Watercolor and gouache on paper,"H. 11-1/8, W. 15-1/8 inches (28.3 x 38.4 cm.)",Drawings,"Gift of the artist, 1985"
Boy with Baseball,George Luks,American,1866,1933,1925?,Oil on canvas,30 x 25 in. (76.2 x 63.5 cm),Paintings,"The Edward Joseph Gallagher III Memorial Collection, Gift of Edward Joseph Gallagher, Jr., 1954"
The Seven Deadly Sins: Lust,Paul Cadmus,American,1904,1999,1945,Egg tempera on Masonite,24 1/4 x 11 3/4in. (61.6 x 29.8cm),Paintings,"Gift of Lincoln Kirstein, 1993"
The Cup of Love,Elihu Vedder,American,1836,1923,1887,Oil on wood,12 x 10 in. (25.4 x 30.5 cm),Paintings,"Gift of Mrs. Harold G. Henderson, 1976"
Riders on the Heath,John Singer Sargent,American,1856,1925,1872,Watercolor and gouache on off-white wove paper,8 1/4 x 14 in. (21 x 35.6 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950"
The Pleiades,Elihu Vedder,American,1836,1923,1885,Oil on canvas,24 1/8 x 37 5/8 in. (61.3 x 95.6 cm),Paintings,"Gift of George A. Hearn, 1910"
Weather Vanes,Hananiah Harari,American,1912,2000,1940,Oil on canvas,"H. 13-1/8, W. 10-1/8 inches (33.8 x 25.7 cm.)",Paintings,"Gift of Murray D. Garson, in memory of Margaret S. Garson, 1981"
"Untitled, Number 8",Katherine Porter,American,1941,,1987,Oil on paper,"H. 28, W. 20 inches (71.1 x 50.8 cm.)",Drawings,"Gift of Lisa Roumell, 1991"
Sanford Robinson Gifford,Eastman Johnson,American,1824,1906,1880,Oil on academy board,26 3/4 x 22 1/8 in. (67.9 x 56.2 cm),Paintings,"Gift of Richard Butler, 1888"
Magister,Victor Candell,American,1903,1977,1950,Oil on canvas,30 x 43 1/4 in. (76.2 x 109.9 cm),Paintings,"Gift of Helen Meredith Norcross, 1955"
The Flower Girl,Charles Cromwell Ingham,,1786,1863,1846,Oil on canvas,36 x 28 3/8 in. (91.4 x 72.1 cm),Paintings,"Gift of William Church Osborn, 1902"
Just Love,Frederick J. Brown,American,1945,2012,1986,Oil on canvas,"H. 112, W. 89 inches (284.5 x 226.1 cm.)",Paintings,"Gift of Mr. and Mrs. Joel Mallin, 1987"
Untitled,Franz Kline,American,1910,1962,1952,Enamel on canvas,53 3/8 x 68 in. (135.6 x 172.7 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
Erie Underpass,Niles Spencer,American,1893,1952,1949,Oil on canvas,"H. 28, W. 36 inches (71.1 x 91.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950"
Fleeting Time Thou Hast Left Me Old,Ivan Albright,American,1897,1983,1929,Oil on canvas,"H. 30-1/4, W. 20-1/4 inches (76.8 x 51.4 cm.)",Paintings,"George A. Hearn Fund, 1950"
Egyptian Woman with Earrings,John Singer Sargent,American,1856,1925,1891,Oil on canvas,28 x 24 1/2 in. (53.3 x 64.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950"
"Design for 4 seat Phaeton, no top, no. 936",Brewster,American,,,1870,"Graphite, pen and black ink, watercolor and guache with gum arabic",sheet: 6 3/16 x 8 5/8 in. (15.7 x 21.9 cm),Drawings,"Gift of William Brewster, 1923"
Edward Joseph Gallagher III,Nancy Ellen Craig,American,1927,,1957,Oil on canvas,"H. 48, W. 34 inches (121.9 x 86.4 cm.)",Paintings,"The Edward Joseph Gallagher III Memorial Collection, Gift of Edward J. Gallagher, Jr., 1957"
Morning Becomes Elektra,Kevin Moss,American,1957,,1984,Oil on Masonite,"H. 59, W. 73 inches (149.9 x 105.4 cm.)",Paintings,"Edith C. Blum Fund,1985"
Four Bathers,Bob Thompson,American,1937,1966,1962,Oil on wood,"H. 23-1/2, W. 20 inches (59.7 x 50.8 cm.)",Paintings,"Gift of Patricia and Francis Mason, 1986"
The Marquis de Lafayette,Rembrandt Peale,American,1778,1860,1825,Oil on canvas,34 1/2 x 27 3/8 in. (87.6 x 69.5 cm),Paintings,"Rogers Fund, 1921"
Heart On,Joan Snyder,American,1940,,1975,"Oil, acrylic, paper, fabric, cheesecloth, papier mach ? mattress batting, and thread on canvas","H. 72, W. 96 inches (182.9 x 243.8 cm.)",Paintings,"Gift of Mr. and Mrs. Donald Rugoff, 1981"
James Badger,Joseph Badger,,1708,1765,1760,Oil on canvas,42 1/2 x 33 1/8 in. (108 x 84.1 cm),Paintings,"Rogers Fund, 1929"
Windflowers,Ruger Donoho,American,1858,1916,1912,Oil on canvas,30 x 36 in. (76.2 x 91.4 cm),Paintings,"Rogers Fund, 1917"
Christ and Two Disciples on the Road to Emmaus (from Sketchbook),James McNeill Whistler,American,1834,1903,1855,"Brown ink, white gouache and graphite on brown wove paper",3 7/8 x 3 1/2 in. (9.8 x 8.9 cm),Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970"
Melon,Joseph Hirsch,American,1910,1981,1962,Oil on canvas,H. 13 1/4 x W. 16 1/4 in. (33.7 x 41.3 cm),Paintings,"Gift of Rita and Daniel Fraad, 1978"
Portrait of a Gentleman,James Peale,American,1749,1831,1794,Watercolor on ivory,2 1/4 x 1 3/4 in. (5.8 x 4.6 cm),Paintings,"Gift of Gloria Manney, 2006"
14th Street Theatre,Perkins Harnly,American,1901,1986,1940?,Gouache on paper,"H. 17-1/3, W. 22 inches (44.2 x 55.9 cm.)",Drawings,"Gift of New York City W. P. A., 1943"
"The Fable of the Miller, His Son, and the Donkey",Elihu Vedder,American,1836,1923,1868,Oil on canvas,6 1/2 x 10 3/4 in. (16.5 x 27.3 cm),Paintings,"Gift of John V. and Enza Tomassi Kiskis, 1992"
Athletic Contest,Max Weber,,1881,1961,1915,Oil on canvas,"H. 40-1/2, W. 55-1/4 inches (102. 9 x 140.3 cm.)",Paintings,"George A. Hearn Fund, 1967"
Bessie Potter,William Merritt Chase,American,1849,1916,1895?,Oil on canvas,32 x 25 5/8 in. (81.3 x 65.1 cm),Paintings,"Bequest of Bessie Potter Vonnoh Keyes, 1954"
In the City III,George Peck,American,1941,,1984,Oil and wood on canvas,"H. 40, W. 35 inches (101.6 x 88.9 cm.)",Paintings,"Edith C. Blum Fund, 1985"
James O. Owens,John Wood Dodge,,1807,1893,1832,Watercolor on ivory in gilded copper locket; hair reserve verso,2 5/16 x 1 7/8 in. (5.9 x 4.8 cm),Paintings,"Dale T. Johnson Fund, 2006"
Study for Four Seasons,David Novros,American,1941,,1974,Oil on paper,21 3/4 x 29 1/4 in. (55.2 x 74.3 cm),Drawings,"Gift of The Mercer Trust, John B. Elliot Collection, 2002"
Nude,Leon Kroll,American,1884,1974,1934,Oil on canvas,"H. 48, W. 36 inches (121.9 x 91.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1949"
Clouds and Water,Arthur Dove,American,1880,1946,1930,"Oil on canvas, with selective varnish",29 5/8 x 39 5/8 in. (75.2 x 100.6 cm),Paintings,"Alfred Stieglitz Collection, 1949"
Faded Poppy,Gandy Brodie,American,1924,1975,1972,Oil on Masonite,"H. 27-15/16, W. 21-13/16 inches (68.4 x 55.5 cm.)",Paintings,"George A. Hearn Fund, 1974"
The Falls of Niagara,Edward Hicks,,1780,1849,1825?,Oil on canvas,31 1/2 x 38 in. (80 x 96.5 cm),Paintings,"Gift of Edgar William and Bernice Chrysler Garbisch, 1962"
"Sellar Alp, Dolomites",John Singer Sargent,American,1856,1925,1914,Watercolor and gouache on white wove paper,10 x 14 in. (25.4 x 35.6 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950"
Stephen Hooper,Henry Pelham,,1749,1806,1773,Watercolor on ivory in gold locket,1 13/16 x 1 7/16 in. (4.6 x 3.7 cm),Paintings,"Fletcher Fund, 1925"
Design for a window,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, gouache, and graphite on cut white wove paper trimmed into shapes",Overall: 27 15/16 x 21 15/16 in. (71 x 55.7 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Flower Castle,Joe Brainard,American,1942,1994,1977,"Cut and pasted printed papers, ink, and gouache on paper, mounted on paper board",6 5/8 x 4 5/8 in. (16.8 x 11.7 cm),Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997"
Nocturne,Joseph Stella,,1877,1946,1928,Oil on canvas,"H. 25-1/2, W. 32-1/4 inches (64.8 x 81.9 cm.)",Paintings,"Gift of Carl D. Lobell, 1996"
Dressing for the Carnival,Winslow Homer,American,1836,1910,1877,Oil on canvas,20 x 30in. (50.8 x 76.2cm) Framed: 31 9/16  ?41 1/2  ?5 7/8 in. (80.1  ?105.4  ?14.9 cm),Paintings,"Amelia B. Lazarus Fund, 1922"
[Shack with Broken Windows],Walker Evans,American,1903,1975,1960s,Tempera on paper,47.6 x 40.0 cm (18 3/4 x 15 3/4 in. ),Paintings,"Walker Evans Archive, 1994"
Lizzie at the Table,Fairfield Porter,American,1907,1975,1958,Oil on canvas,"H. 36-1/2, W. 45-1/2 inches (92.7 x 115.6 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993"
Frame Extension,Jules Olitski,,1922,2007,1966,Acrylic on canvas,"H. 116, W. 96 inches (249.6 x 243.8 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1975"
Expressman,Norman Rockwell,American,1894,1978,1924,Oil on Masonite,"H. 29-3/4, W. 23-1/2 inches (75.6 x 59.7 cm.)",Paintings,"Gift of Continental Group, 1981"
"Deep Lake, Canada",Eugene Speicher,American,1883,1962,1933,Oil on canvas,27 x 35in. (68.6 x 88.9cm) 33 x 41 x 2 in. (83.8 x 104.1 x 5.1 cm) (Frame),Paintings,"George A. Hearn Fund, 1934"
Easter Monday,Willem de Kooning,,1904,1997,1956,Oil and newspaper transfer on canvas,96 x 74in. (243.8 x 188cm) 99 1/4 x 76 1/4 x 3 3/8 in. (252.1 x 193.7 x 8.6 cm) (Frame),Paintings,"Rogers Fund, 1956"
Albert Pinkham Ryder,Marsden Hartley,American,1877,1943,1938,Oil on Masonite,"H. 28, W. 22 inches (71.1 x 55.9 cm.)",Paintings,"Edith and Milton Lowenthal Collection, Bequest of Edith Abrahamson Lowenthal, 1991"
Design for mosaic tablet behind an altar,Louis Comfort Tiffany,American,1848,1933,early20thcentury,"Watercolor, white gouache, black ink, and graphite on paper mounted on board in original shaped mat",Overall: 26 1/8 x 33 1/8 in. (66.4 x 84.1 cm) Design: 19 x 28 3/4 in. (48.3 x 73 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Harmony in Yellow and Gold: The Gold Girl閳ユ摕onnie Gilchrist,James McNeill Whistler,American,1834,1903,1877,Oil on canvas,85 3/4 x 43 1/8 in. (217.8 x 109.5 cm),Paintings,"Gift of George A. Hearn, 1911"
Matthew Clarkson,Samuel Lovett Waldo,,1783,1861,1823,Oil on wood,33 x 25 5/8 in. (83.8 x 65.1 cm),Paintings,"Gift of Mr. and Mrs. William A. Moore, 1923"
Kitzker,Franz Kline,American,1910,1962,1946?,Oil on canvas,"H. 19, W. 27 inches (48.3 x 68.6 cm)",Paintings,"Gift of Rufus F. Zogbaum, 1998"
East River,Richard Pousette-Dart,American,1916,1992,1939,Oil on Masonite,36-1/2 x 48-1/2 inches (92.7 x 123.2 cm.),Paintings,"Gift of The Estate of Richard Pousette-Dart, in memory of William S. Lieberman, 2005"
East River,Samuel Halpert,American,1884,1930,1914,Oil on canvas,"H. 30-1/8, W. 34-1/8 in. (76.5 x 86.7 cm)",Paintings,"Gift of Dr. Wesley and Mrs. Carolyn M. Halpert, in honor of Olga Raggio, 1999"
Untitled,Royce Howes,American,1950,,1986,Oil on wood,"H. 27-1/2, W. 30 inches (69.9 x 76.2 cm.)",Paintings,"Edith C. Blum Fund, 1986"
Woman,Willem de Kooning,,1904,1997,1966,"Oil on paper, mounted on cardboard","H. 38, W. 23-3/4 inches (96.5 x 60.3 cm.)",Paintings,"Gift of Longview Foundation, Inc., in memory of Audrey Stern Hess, 1975"
Ivory-billed Woodpeckers,Joseph Bartholomew Kidd,,1808,1889,1831,Oil on canvas,39 1/4 x 26 1/4 in. (99.7 x 66.7 cm),Paintings,"Rogers Fund, 1941"
Portrait of a Man,Samuel Lovett Waldo,,1783,1861,1820?,Oil on canvas,30 1/8 x 25 1/8 in. (76.5 x 63.8 cm),Paintings,"Gift of George H. Story, 1906"
The Baker's Wagon,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
The Passing of Summer,Harry W. Watrous,American,1857,1940,1912,Oil on canvas,36 3/16 x 30 in. (91.9 x 76.2 cm),Paintings,"George A. Hearn Fund, 1912"
Firemen's Washing Day,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 x 9 1/8 in. (15.2 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
Cat and Cone,Joe Brainard,American,1942,1994,1976,"Cut and pasted printed and painted papers, and gouache on paper","H. 6, W. 4 inches (15.2 x 10.2 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997"
Jerry on a Stool,Fairfield Porter,American,1907,1975,1957,Oil on canvas,"H. 38, W. 20-1/2 inches (96.5 x 52.1 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993"
The Bowery,Reginald Marsh,American,1898,1954,1930,Tempera on Masonite,48 x 36in. (121.9 x 91.4cm),Paintings,"Arthur Hoppock Hearn Fund, 1932"
Stepping Out,Roy Lichtenstein,American,1923,1997,1978,Oil and Magna on canvas,86 x 70 in. (218.4 x 177.8 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, Arthur Hoppock Hearn Fund, Arthur Lejwa Fund, in honor of Jean Arp; and The Bernhill Fund, Joseph H. Hazen Foundation Inc., Samuel I. Newhouse Foundation Inc., Walter Bareiss, Marie Bannon McHenry, Louise Smith, and Stephen C. Swid Gifts, 1980"
Mrs. Jacob Motte (Rebecca Brewton),Jeremiah Theus,,1716,1774,1758?,Watercolor on ivory,1 3/8 x 1 1/4 in. (3.5 x 3.2 cm),Paintings,"Purchase, Bequest of Edgar William and Bernice Chrysler Garbisch, by exchange, 1997"
Carolyn Mishner,Hugh Bridport,,1794,1868,1825?,"Watercolor on ivory in rolled gold, chased and cast gilt metal locket with beaded front and rear bezels; hair in verso reserve",2 1/2 x 2 1/16 in. (6.2 x 5.2 cm),Paintings,"Purchase, Gift of Martin Birnbaum, by exchange, 1985"
The City,Joseph Floch,,1895,1977,1956,Oil on canvas,"H. 30-1/4, W. 29 inches (76.8 x 73.7 cm.)",Paintings,"Hugo Kastor Fund, 1956"
Blue Nude,Milton Avery,American,1885,1965,1947,Oil on canvas,"H. 40, W. 65 inches (101.6 x 165.1 cm.)",Paintings,"Gift of The Woodward Foundation, 1976"
Mrs. Edward Kellogg,Samuel Lovett Waldo,,1783,1861,1832,Oil on wood,33 3/8 x 25 3/8 in. (84.8 x 64.5 cm),Paintings,"Gift of Mrs. Mary E. Kellogg Putnam, 1899"
Sator Arepo Tenet Opera Rotas,Gary Stephan,American,1942,,1982,Oil on canvas,"H. 89, W. 84 inches (226.1 x 213.4 cm.)",Paintings,"Purchase, George A. Hearn Fund and Mr. and Mrs. Eugene M. Schwartz Gift, 1982"
Mona Lisa,Andy Warhol,American,1928,1987,1963,Acrylic and silkscreen on canvas,"H. 44, W. 29 inches (111.8 x 73.7 cm)",Natural Substances,"Gift of Henry Geldzahler, 1965"
Waldron Williams,Eugene Speicher,American,1883,1962,1913,Oil on canvas,"H. 43, W. 35 inches (109.2 x 88.9 cm.)",Paintings,"Gift of Mrs. John T. Terry, 1970"
"Design for ""Angel of Faith"" window",Frederick Wilson 1858-1932,,1858,1932,1896?,Watercolor and gouache on paper mounted on board,Overall: 14 1/4 x 8 in. (36.2 x 20.3 cm) Other (Design): 7 3/8 x 2 11/16 in. (18.7 x 6.8 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
Self-Portrait,Lee Krasner,American,1908,1984,1929?,Oil on canvas,30 1/2 x 32 1/2in. (77.5 x 82.6cm) 34 1/8 x 36 1/8 x 2 1/8 in. (86.7 x 91.8 x 5.4 cm) (Frame),Paintings,"Gift of Eda Mirsky Mann, 1988"
George Washington,Gilbert Stuart,American,1755,1828,1800,Oil on canvas,29 x 23 3/4 in. (73.7 x 60.3 cm),Paintings,"Bequest of Richard De Wolfe Brixey, 1943"
Portrait of a Gentleman,Nathaniel Rogers,American,1788,1844,1820?,Watercolor on ivory in gold locket,2 3/4 x 2 1/4 in. (7 x 5.7 cm),Paintings,"Gift of Ms. Judith Hernstadt, 2001"
The Coal Loader,C. K. Chatterton,American,1880,1973,1909,Gouache on paper,"H. 23, W. 18 inches (58.4 x 45.7 cm.)",Drawings,"Gift of Mrs. John M. Van de Water, 1982"
Homage to the Square: Enfolding,Josef Albers,,1888,1976,1965,Oil on Masonite,"H. 24, W. 24 inches (61 x 61 cm.)",Paintings,"Gift of the artist, 1969"
Portrait of the Artist,Thomas Sully,American,1783,1872,1821,Oil on canvas,17 1/8 x 14 in. (43.5 x 35.6 cm),Paintings,"Gift of Mrs. Rosa C. Stanfield, in memory of her father, Henry Robinson, 1894"
George Washington,Rembrandt Peale,American,1778,1860,1846?,Oil on canvas,36 x 29 in. (91.4 x 73.7 cm),Paintings,"Bequest of Frances Mead, 1926"
Arques-la-Bataille,John Henry Twachtman,American,1853,1902,1884?,Oil on canvas,18 1/4 x 25 7/8in. (46.4 x 65.7cm),Paintings,"Purchase, The Charles Engelhard Foundation Gift, 1991"
A Rose,Thomas Anshutz,American,1851,1912,1907,Oil on canvas,58 x 43 7/8 in. (147.3 x 111.4 cm),Paintings,"Marguerite and Frank A. Cosgrove Jr. Fund, 1993"
Fish,William Merritt Chase,American,1849,1916,by1910,Oil on canvas,29 x 36 in. (73.7 x 91.4 cm),Paintings,"Gift of Edward G. Kennedy, in memory of William Merritt Chase, 1925"
Bull's Head Tavern,William P. Chappel,American,1800,1880,1870s,Oil on slate paper,6 7/16 x 9 1/8 in. (16.4 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
"Girls Carrying a Canoe, Vaiala in Samoa",John La Farge,American,1835,1910,1891,"Watercolor, gouache, and graphite on off-white wove paper",17 15/16 x 21 7/8 in. (45.6 x 55.6 cm),Drawings,"Purchase, Mrs. Arthur Hays Sulzberger Gift, in memory of Mr. Arthur Hays Sulzberger, 1970"
White Mules on a Bridge,Anne Goldthwaite,American,1869,1944,1940?,Oil on canvas,24 7/8 x 30 in. (61.8 x 76.2 cm),Paintings,"Gift of Estate of Anne Goldthwaite, 1945"
The Reverend John Brodhead Romeyn,Samuel Lovett Waldo,,1783,1861,1820,Oil on canvas,30 1/4 x 25 1/4 in. (76.8 x 64.1 cm),Paintings,"Bequest of Elizabeth H. J. Cowdrey, 1929"
Spring: Margot Standing in a Garden (Fillette dans un jardin),Mary Cassatt,American,1844,1926,1900,Oil on canvas,26 3/4 x 22 3/4 in. (67.9 x 57.8 cm),Paintings,"Bequest of Ruth Alms Barnard, 1981"
American Interior,Charles Sheeler,American,1883,1965,1935,Gouache and graphite on paper,"H. 8-3/4, W. 9-3/4 inches (22.2 x 24.8 cm.)",Drawings,"George A. Hearn Fund, 1941"
An Incident of Whaling,William Bradford,American,1823,1892,,Oil on canvas,22 x 36 in. (55.9 x 91.4 cm),Paintings,"Bequest of DeLancey Thorn Grant, in memory of her mother, Louise Floyd-Jones Thorn, 1990"
Dandelion Seed Balls and Trees,Charles Burchfield,American,1893,1967,1917,"Watercolor, gouache, and graphite on paper","H. 22-1/4, W. 18-1/4 inches (56.5 x 46.4 cm.)",Drawings,"Arthur Hoppock Hearn Fund, 1940"
The Seven Deadly Sins: Gluttony,Paul Cadmus,American,1904,1999,1949,Egg tempera on cardboard,"H. 24, W. 11-7/8 inches (61 x 30.2 cm.)",Paintings,"Gift of Lincoln Kirstein, 1993"
Mrs. Thomas Brewster Coolidge,Chester,American,1792,1866,1827?,Oil on canvas,36 1/4 x 28 in. (92.1 x 71.1 cm),Paintings,"Rogers Fund, 1920"
