Attribution,Begin Date,End Date,Title,Dated,Medium,Dimensions,production_id
Lyonel Feininger,1871,1956,Schlossgasse,1915,Oil on canvas,"39 1/2 x 31 1/4 in. (100.3 x 79.4 cm)
Framed: 49 1/2 x 41 1/2 x 2 in. (125.7 x 105.4 x 5.1 cm)",eb6b97634b67
Arshile Gorky,1902,1948,Composition (Still Life),1936,Oil on canvas,34 x 26 in. (86.4 x 66 cm),044dd175ab65
Francis Guy,1760,1820,Winter Scene in Brooklyn,1820,Oil on canvas,"58 x 106 in. (147.3 x 269.2 cm)
Framed: 67 x 113 1/4 x 3 1/4 in. (170.2 x 287.7 x 8.3 cm)",f020891c192d
John Haberle,1856,1933,Small Change,1887,Oil on canvas,"9 1/4 x 7 1/4 in. (23.5 x 18.4 cm)
Framed: 18 1/2 x 16 3/4 x 1 1/4 in. (47 x 42.5 x 3.2 cm)",610155df526c
Marsden Hartley,1877,1943,Hall of the Mountain King,1908,Oil on canvas,"30 x 30 in. (76.2 x 76.2 cm)
Framed: 41 3/4 x 42 1/8 x 2 in. (106 x 107 x 5.1 cm)",b1f2951da2e2
Martin Johnson Heade,1819,1904,"Cattleya Orchid, Two Hummingbirds and a Beetle",1875,Oil on canvas,"14 1/4 x 22 1/4 in. (36.2 x 56.5 cm)
Framed: 24 x 31 1/2 x 4 in. (61 x 80 x 10.2 cm)",654857a338a9
Robert Henri,1865,1929,Jessica Penn in Black with White Plumes,1908,Oil on canvas,"77 x 38 in. (195.6 x 96.5 cm)
Framed: 83 x 45 3/8 x 2 3/4 in. (210.8 x 115.3 x 7 cm)",2f0d173a876b
Winslow Homer,1836,1910,Spring,1878,Watercolor and pencil on paper,"11 1/4 x 8 3/4 in. (28.6 x 22.2 cm)
Framed: 17 x 15 x 3 in. (43.2 x 38.1 x 7.6 cm)",25569a735a63
Charles Bird King,1785,1862,"Ottoe Half Chief, Husband of Eagle of Delight",1822,Oil on panel,"18 x 14 1/2 in. (45.7 x 36.8 cm)
Framed: 23 1/2 x 20 1/4 x 2 in. (59.7 x 51.4 x 5.1 cm)",80cc2ffdfeb2
John Koch,1909,1978,Studio‹End of Day,1961,Oil on canvas,"60 x 60 in. (152.4 x 152.4 cm)
Framed: 65 x 65 x 2 in. (165.1 x 165.1 x 5.1 cm)",a435899fd575
Yasuo Kuniyoshi,1889,1953,Little Joe with Cow,1923,Oil on canvas,"28 x 42 in. (71.1 x 106.7 cm)
Framed: 37 x 50 3/4 x 3 in. (94 x 128.9 x 7.6 cm)",caac77128b70
Roy Lichtenstein,1923,1997,Standing Explosion (Red),1966,Porcelain enamel on steel,38 x 25 x 30 in. (96.5 x 63.5 x 76.2 cm),338aa91c3929
Paul Manship,1885,1966,Group of Bears,1932,Bronze,"88 x 72 x 56 in., 2200 lb. (223.5 x 182.9 x 142.2 cm, 997.9 kg)",c601c0ea4cbd
Thomas Moran,1837,1926,Valley of the Catawissa in Autumn,1862,Oil on canvas,"39 3/4 x 63 1/2 in. (101 x 161.3 cm)
Framed: 46 1/4 x 70 1/2 x 2 1/2 in. (117.5 x 179.1 x 6.4 cm)",3f546765c6f6
Samuel Finley Breese Morse,1791,1872,Marquis de Lafayette,1825,Oil on canvas,"29 3/4 x 24 3/4 in. (75.6 x 62.9 cm)
Framed: 42 x 37 x 4 3/4 in. (106.7 x 94 x 12.1 cm)",31493666ae07
Maxfield Parrish,1870,1966,The Lantern Bearers,1908,Oil on canvas mounted on board,"40 x 32 in. (101.6 x 81.3 cm)
Framed: 46 1/4 x 38 1/4 x 2 in. (117.5 x 97.2 x 5.1 cm)",6018e1f1f798
Charles Willson Peale,1741,1827,George Washington,1780,Oil on canvas,"50 x 40 in. (127 x 101.6 cm)
Framed: 57 3/4 x 48 1/4 x 2 1/4 in. (146.7 x 122.6 x 5.7 cm)",4eb055737849
Fairfield Porter,1907,1975,October Interior,1963,Oil on canvas,"56 x 72 in. (142.2 x 182.9 cm)
Framed: 58 x 74 x 2 1/2 in. (147.3 x 188 x 6.4 cm)",cd2c2054e31d
Norman Rockwell,1894,1978,Rosie the Riveter,1943,Oil on canvas,"52 x 40 in. (132.1 x 101.6 cm)
Framed: 62 x 50 x 3 1/4 in. (157.5 x 127 x 8.3 cm)",d0faa209657a
John Singer Sargent,1856,1925,Portrait of Carolus Duran,1879,Ink and pencil on paper,"image size: 13 1/2 x 10 3/4 in. (34.3 x 27.3 cm)
sheet size: 16 3/4 x 12 3/4 in. (42.5 x 32.4 cm)
Framed: 24 x 20 x 1 in. (61 x 50.8 x 2.5 cm)",c228dcc59f37
Charles Sheeler,1883,1965,Amoskeag Mills #2,1948,Oil on canvas,"28 1/2 x 24 in. (72.4 x 61 cm)
Framed: 35 3/4 x 32 x 1 1/4 in. (90.8 x 81.3 x 3.2 cm)",8975434d0afd
Everett Shinn,1876,1953,A French Music Hall,1906,Oil on canvas,"24 x 29 1/2 in. (61 x 74.9 cm)
Framed: 34 x 40 x 4 in. (86.4 x 101.6 x 10.2 cm)",1e3a1410410d
John Mix Stanley,1814,1872,The Buffalo Hunt,1855,Oil on canvas,"29 3/4 x 39 in. (75.6 x 99.1 cm)
Framed: 41 1/2 x 51 x 6 in. (105.4 x 129.5 x 15.2 cm)",c46286f4a69a
Harry Sternberg,1904,2001,Thomas Hart Benton,1944,Screen print on paper,"18 5/8 x 12 1/4 in. (47.3 x 31.1 cm)
Framed: 27 x 20 x 2 in. (68.6 x 50.8 x 5.1 cm)",61ba4151d39d
Gilbert Stuart,1755,1828,George Washington [The Constable-Hamilton Portrait],1797,Oil on canvas,"50 x 40 in. (127 x 101.6 cm)
Framed: 59 x 46 3/4 x 4 1/2 in. (149.9 x 118.7 x 11.4 cm)",65de7d226d4f
Arthur Fitzwilliam Tait,1819,1905,The Life of a Hunter: A Tight Fix,1856,Oil on canvas,"40 x 60 in. (101.6 x 152.4 cm)
Framed: 58 1/2 x 78 x 7 in. (148.6 x 198.1 x 17.8 cm)",ee129104f683
Bumpei Usui,1898,1991,Still Life: Kuniyoshi's Studio,1930,Oil on canvas,"50 x 32 in. (127 x 81.3 cm)
Framed: 57 1/4 x 39 1/4 in. (145.4 x 99.7 cm)",58170cb69c50
Andy Warhol,1928,1987,Dolly Parton,1985,Synthetic polymer and screen print on canvas,42 x 42 in. (106.7 x 106.7 cm),45c9bfda1677
Attributed to Susan Catherine Waters,1823,1900,Portrait of a Girl and Her Dog in a Grape Arbor,1855,Oil on canvas,40 x 28 in. (101.6 x 71.1 cm),d58539486a1a
Max Weber,1881,1961,My Studio in Paris,1907,Oil on canvas,"23 3/4 x 28 3/4 in. (60.3 x 73 cm)
Framed: 31 1/8 x 36 1/8 x 2 3/4 in. (79.1 x 91.8 x 7 cm)",1a893ff7d3c0
Richard Caton Woodville,1825,1855,War News from Mexico,1848,Oil on canvas,"27 x 25 in. (68.6 x 63.5 cm)
Framed: 38 3/4 x 36 1/4 x 5 in. (98.4 x 92.1 x 12.7 cm)",8b39ec7a55c8
