artworkTitle,artistName,nationality,birthDate,deathDate,dateOfStartOfCreation,dateOfEndOfCreation,medium,dimensions,classification,creditLine,production_id
Sanford Robinson Gifford,Eastman Johnson,American,1824,1906,1880,1880,Oil on academy board,26 3/4 x 22 1/8 in. (67.9 x 56.2 cm),Paintings,"Gift of Richard Butler, 1888",5b9a758a052f
Magister,Victor Candell,American,1903,1977,1950,1950,Oil on canvas,30 x 43 1/4 in. (76.2 x 109.9 cm),Paintings,"Gift of Helen Meredith Norcross, 1955",e667a4a23e0f
Just Love,Frederick J. Brown,American,1945,2012,1986,1986,Oil on canvas,"H. 112, W. 89 inches (284.5 x 226.1 cm.)",Paintings,"Gift of Mr. and Mrs. Joel Mallin, 1987",95981ea584fe
Erie Underpass,Niles Spencer,American,1893,1952,1949,1949,Oil on canvas,"H. 28, W. 36 inches (71.1 x 91.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",373b54cc48ee
Fleeting Time Thou Hast Left Me Old,Ivan Albright,American,1897,1983,1928,1929,Oil on canvas,"H. 30-1/4, W. 20-1/4 inches (76.8 x 51.4 cm.)",Paintings,"George A. Hearn Fund, 1950",c38a1271d698
Egyptian Woman with Earrings,John Singer Sargent,American,1856,1925,1890,1891,Oil on canvas,28 x 24 1/2 in. (53.3 x 64.1 cm),Paintings,"Gift of Mrs. Francis Ormond, 1950",95263f76e5ab
Four Bathers,Bob Thompson,American,1937,1966,1961,1962,Oil on wood,"H. 23-1/2, W. 20 inches (59.7 x 50.8 cm.)",Paintings,"Gift of Patricia and Francis Mason, 1986",f37e758fd781
The Marquis de Lafayette,Rembrandt Peale,American,1778,1860,1825,1825,Oil on canvas,34 1/2 x 27 3/8 in. (87.6 x 69.5 cm),Paintings,"Rogers Fund, 1921",c256c82bc0e0
Windflowers,Ruger Donoho,American,1858,1916,1912,1912,Oil on canvas,30 x 36 in. (76.2 x 91.4 cm),Paintings,"Rogers Fund, 1917",928d317bd397
Christ and Two Disciples on the Road to Emmaus (from Sketchbook),James McNeill Whistler,American,1834,1903,1854,1855,"Brown ink, white gouache and graphite on brown wove paper",3 7/8 x 3 1/2 in. (9.8 x 8.9 cm),Drawings,"Gift of Margaret C. Buell, Helen L. King, and Sybil A. Walk, 1970",ab981061f89d
Melon,Joseph Hirsch,American,1910,1981,1962,1962,Oil on canvas,H. 13 1/4 x W. 16 1/4 in. (33.7 x 41.3 cm),Paintings,"Gift of Rita and Daniel Fraad, 1978",1d1d217cdb73
Portrait of a Gentleman,James Peale,American,1749,1831,1794,1794,Watercolor on ivory,2 1/4 x 1 3/4 in. (5.8 x 4.6 cm),Paintings,"Gift of Gloria Manney, 2006",661ea420d608
14th Street Theatre,Perkins Harnly,American,1901,1986,1940,1940,Gouache on paper,"H. 17-1/3, W. 22 inches (44.2 x 55.9 cm.)",Drawings,"Gift of New York City W. P. A., 1943",6904249a09b4
"The Fable of the Miller, His Son, and the Donkey",Elihu Vedder,American,1836,1923,1867,1868,Oil on canvas,6 1/2 x 10 3/4 in. (16.5 x 27.3 cm),Paintings,"Gift of John V. and Enza Tomassi Kiskis, 1992",99cba9d2c9d6
Bessie Potter,William Merritt Chase,American,1849,1916,1895,1895,Oil on canvas,32 x 25 5/8 in. (81.3 x 65.1 cm),Paintings,"Bequest of Bessie Potter Vonnoh Keyes, 1954",3596fd5c863c
Nude,Leon Kroll,American,1884,1974,1933,1934,Oil on canvas,"H. 48, W. 36 inches (121.9 x 91.5 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1949",f3c90208cc47
Clouds and Water,Arthur Dove,American,1880,1946,1930,1930,"Oil on canvas, with selective varnish",29 5/8 x 39 5/8 in. (75.2 x 100.6 cm),Paintings,"Alfred Stieglitz Collection, 1949",71f60ee2a1b5
Faded Poppy,Gandy Brodie,American,1924,1975,1970,1972,Oil on Masonite,"H. 27-15/16, W. 21-13/16 inches (68.4 x 55.5 cm.)",Paintings,"George A. Hearn Fund, 1974",f129708760d7
"Sellar Alp, Dolomites",John Singer Sargent,American,1856,1925,1913,1914,Watercolor and gouache on white wove paper,10 x 14 in. (25.4 x 35.6 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",8da36b2d0833
Design for a window,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, gouache, and graphite on cut white wove paper trimmed into shapes",Overall: 27 15/16 x 21 15/16 in. (71 x 55.7 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",fa4abe6ac052
Flower Castle,Joe Brainard,American,1942,1994,1977,1977,"Cut and pasted printed papers, ink, and gouache on paper, mounted on paper board",6 5/8 x 4 5/8 in. (16.8 x 11.7 cm),Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997",899bac6301a6
Dressing for the Carnival,Winslow Homer,American,1836,1910,1877,1877,Oil on canvas,20 x 30in. (50.8 x 76.2cm) Framed: 31 9/16 ?41 1/2 ?5 7/8 in. (80.1 ?105.4 ?14.9 cm),Paintings,"Amelia B. Lazarus Fund, 1922",041607e57c19
[Shack with Broken Windows],Walker Evans,American,1903,1975,1950s,1960s,Tempera on paper,47.6 x 40.0 cm (18 3/4 x 15 3/4 in. ),Paintings,"Walker Evans Archive, 1994",19f405a6f31c
Lizzie at the Table,Fairfield Porter,American,1907,1975,1958,1958,Oil on canvas,"H. 36-1/2, W. 45-1/2 inches (92.7 x 115.6 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993",dbc7bf9303e8
Expressman,Norman Rockwell,American,1894,1978,1924,1924,Oil on Masonite,"H. 29-3/4, W. 23-1/2 inches (75.6 x 59.7 cm.)",Paintings,"Gift of Continental Group, 1981",f5762f2ba57a
"Deep Lake, Canada",Eugene Speicher,American,1883,1962,1933,1933,Oil on canvas,27 x 35in. (68.6 x 88.9cm) 33 x 41 x 2 in. (83.8 x 104.1 x 5.1 cm) (Frame),Paintings,"George A. Hearn Fund, 1934",7e665f2119ed
Albert Pinkham Ryder,Marsden Hartley,American,1877,1943,1938,1938,Oil on Masonite,"H. 28, W. 22 inches (71.1 x 55.9 cm.)",Paintings,"Edith and Milton Lowenthal Collection, Bequest of Edith Abrahamson Lowenthal, 1991",7935411f6daf
Design for mosaic tablet behind an altar,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Watercolor, white gouache, black ink, and graphite on paper mounted on board in original shaped mat",Overall: 26 1/8 x 33 1/8 in. (66.4 x 84.1 cm) Design: 19 x 28 3/4 in. (48.3 x 73 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",3d2e48129908
Harmony in Yellow and Gold: The Gold Girl鈥擟onnie Gilchrist,James McNeill Whistler,American,1834,1903,1876,1877,Oil on canvas,85 3/4 x 43 1/8 in. (217.8 x 109.5 cm),Paintings,"Gift of George A. Hearn, 1911",75daec0c48d9
Kitzker,Franz Kline,American,1910,1962,1946,1946,Oil on canvas,"H. 19, W. 27 inches (48.3 x 68.6 cm)",Paintings,"Gift of Rufus F. Zogbaum, 1998",04c304025c11
East River,Richard Pousette-Dart,American,1916,1992,1939,1939,Oil on Masonite,36-1/2 x 48-1/2 inches (92.7 x 123.2 cm.),Paintings,"Gift of The Estate of Richard Pousette-Dart, in memory of William S. Lieberman, 2005",ea5d76e61e16
East River,Samuel Halpert,American,1884,1930,1913,1914,Oil on canvas,"H. 30-1/8, W. 34-1/8 in. (76.5 x 86.7 cm)",Paintings,"Gift of Dr. Wesley and Mrs. Carolyn M. Halpert, in honor of Olga Raggio, 1999",5e6bf496fe35
The Baker's Wagon,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 1/8 x 9 1/4 in. (15.6 x 23.5 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",70e33b676f7f
The Passing of Summer,Harry W. Watrous,American,1857,1940,1912,1912,Oil on canvas,36 3/16 x 30 in. (91.9 x 76.2 cm),Paintings,"George A. Hearn Fund, 1912",abaa81ab3ab6
Firemen's Washing Day,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 x 9 1/8 in. (15.2 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",d3a9502afdf9
Cat and Cone,Joe Brainard,American,1942,1994,1976,1976,"Cut and pasted printed and painted papers, and gouache on paper","H. 6, W. 4 inches (15.2 x 10.2 cm.)",Drawings,"Gift of Stanley Posthorn, in memory of the artist, 1997",46083b4712a6
Jerry on a Stool,Fairfield Porter,American,1907,1975,1957,1957,Oil on canvas,"H. 38, W. 20-1/2 inches (96.5 x 52.1 cm.)",Paintings,"Bequest of Arthur M. Bullowa, 1993",d3d17eedcc02
The Bowery,Reginald Marsh,American,1898,1954,1930,1930,Tempera on Masonite,48 x 36in. (121.9 x 91.4cm),Paintings,"Arthur Hoppock Hearn Fund, 1932",7f56666596a3
Stepping Out,Roy Lichtenstein,American,1923,1997,1978,1978,Oil and Magna on canvas,86 x 70 in. (218.4 x 177.8 cm),Paintings,"Purchase, Lila Acheson Wallace Gift, Arthur Hoppock Hearn Fund, Arthur Lejwa Fund, in honor of Jean Arp; and The Bernhill Fund, Joseph H. Hazen Foundation Inc., Samuel I. Newhouse Foundation Inc., Walter Bareiss, Marie Bannon McHenry, Louise Smith, and Stephen C. Swid Gifts, 1980",296aa53b4f29
Blue Nude,Milton Avery,American,1885,1965,1947,1947,Oil on canvas,"H. 40, W. 65 inches (101.6 x 165.1 cm.)",Paintings,"Gift of The Woodward Foundation, 1976",aec37d0c1f0f
Mona Lisa,Andy Warhol,American,1928,1987,1963,1963,Acrylic and silkscreen on canvas,"H. 44, W. 29 inches (111.8 x 73.7 cm)",Natural Substances,"Gift of Henry Geldzahler, 1965",307d550784d3
Waldron Williams,Eugene Speicher,American,1883,1962,1913,1913,Oil on canvas,"H. 43, W. 35 inches (109.2 x 88.9 cm.)",Paintings,"Gift of Mrs. John T. Terry, 1970",ded89027b287
Self-Portrait,Lee Krasner,American,1908,1984,1929,1929,Oil on canvas,30 1/2 x 32 1/2in. (77.5 x 82.6cm) 34 1/8 x 36 1/8 x 2 1/8 in. (86.7 x 91.8 x 5.4 cm) (Frame),Paintings,"Gift of Eda Mirsky Mann, 1988",93d3ebecbb97
George Washington,Gilbert Stuart,American,1755,1828,1798,1800,Oil on canvas,29 x 23 3/4 in. (73.7 x 60.3 cm),Paintings,"Bequest of Richard De Wolfe Brixey, 1943",5f7fddc912e0
Portrait of a Gentleman,Nathaniel Rogers,American,1788,1844,1820,1820,Watercolor on ivory in gold locket,2 3/4 x 2 1/4 in. (7 x 5.7 cm),Paintings,"Gift of Ms. Judith Hernstadt, 2001",b1da04f7794b
The Coal Loader,C. K. Chatterton,American,1880,1973,1909,1909,Gouache on paper,"H. 23, W. 18 inches (58.4 x 45.7 cm.)",Drawings,"Gift of Mrs. John M. Van de Water, 1982",511ef0905681
Portrait of the Artist,Thomas Sully,American,1783,1872,1821,1821,Oil on canvas,17 1/8 x 14 in. (43.5 x 35.6 cm),Paintings,"Gift of Mrs. Rosa C. Stanfield, in memory of her father, Henry Robinson, 1894",56535bfe42ab
George Washington,Rembrandt Peale,American,1778,1860,1846,1846,Oil on canvas,36 x 29 in. (91.4 x 73.7 cm),Paintings,"Bequest of Frances Mead, 1926",a672d5c6621b
Arques-la-Bataille,John Henry Twachtman,American,1853,1902,1884,1884,Oil on canvas,18 1/4 x 25 7/8in. (46.4 x 65.7cm),Paintings,"Purchase, The Charles Engelhard Foundation Gift, 1991",9a68ff1931f7
A Rose,Thomas Anshutz,American,1851,1912,1907,1907,Oil on canvas,58 x 43 7/8 in. (147.3 x 111.4 cm),Paintings,"Marguerite and Frank A. Cosgrove Jr. Fund, 1993",550545e388c7
Fish,William Merritt Chase,American,1849,1916,1910,1910,Oil on canvas,29 x 36 in. (73.7 x 91.4 cm),Paintings,"Gift of Edward G. Kennedy, in memory of William Merritt Chase, 1925",d1738d7b941e
Bull's Head Tavern,William P. Chappel,American,1800,1880,1870s,1870s,Oil on slate paper,6 7/16 x 9 1/8 in. (16.4 x 23.2 cm),Paintings,"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",b501b853423b
"Girls Carrying a Canoe, Vaiala in Samoa",John La Farge,American,1835,1910,1891,1891,"Watercolor, gouache, and graphite on off-white wove paper",17 15/16 x 21 7/8 in. (45.6 x 55.6 cm),Drawings,"Purchase, Mrs. Arthur Hays Sulzberger Gift, in memory of Mr. Arthur Hays Sulzberger, 1970",d568561c2d05
White Mules on a Bridge,Anne Goldthwaite,American,1869,1944,1930,1940,Oil on canvas,24 7/8 x 30 in. (61.8 x 76.2 cm),Paintings,"Gift of Estate of Anne Goldthwaite, 1945",56c33a36913b
Spring: Margot Standing in a Garden (Fillette dans un jardin),Mary Cassatt,American,1844,1926,1900,1900,Oil on canvas,26 3/4 x 22 3/4 in. (67.9 x 57.8 cm),Paintings,"Bequest of Ruth Alms Barnard, 1981",0b0adec0c37a
American Interior,Charles Sheeler,American,1883,1965,1935,1935,Gouache and graphite on paper,"H. 8-3/4, W. 9-3/4 inches (22.2 x 24.8 cm.)",Drawings,"George A. Hearn Fund, 1941",833da07cd238
Dandelion Seed Balls and Trees,Charles Burchfield,American,1893,1967,1917,1917,"Watercolor, gouache, and graphite on paper","H. 22-1/4, W. 18-1/4 inches (56.5 x 46.4 cm.)",Drawings,"Arthur Hoppock Hearn Fund, 1940",abb6344501f0
The Seven Deadly Sins: Gluttony,Paul Cadmus,American,1904,1999,1949,1949,Egg tempera on cardboard,"H. 24, W. 11-7/8 inches (61 x 30.2 cm.)",Paintings,"Gift of Lincoln Kirstein, 1993",cd652b8378d9
Mrs. Thomas Brewster Coolidge,Chester,American,1792,1866,1827,1827,Oil on canvas,36 1/4 x 28 in. (92.1 x 71.1 cm),Paintings,"Rogers Fund, 1920",ddd3eff549a6
George Washington: Design for an Engraving,Alonzo Chappel,American,1828,1887,1860,1860,Oil on paper mounted on paper and unstretched canvas,16 5/8 x 12 5/8 in. (42.2 x 32.1 cm),Paintings,"Gift of William H. Huntington, 1883",6b1afad90e15
To A Water Lily,I.J. Belmont,American,1877,1964,1915,1915,Oil on canvas,"H. 20, W. 14 inches (50.8 x 35.6 cm.)",Paintings,"Gift of Elsie K. Belmont, 1979",a68d093fe27a
Beckmann Catalogue,Warren Brandt,American,1918,2002,1986,1986,Oil on canvas,"H. 40-1/4, W. 54-1/2 inches (102.2 x 138.4 cm.)",Paintings,"Gift of the artist, 1991",8b4a54342b02
Camouflaged Field in France,John Singer Sargent,American,1856,1925,1918,1918,"Watercolor, gouache, graphite, and wax crayon on white wove paper",13 5/16 x 20 15/16 in. (33.8 x 53.2 cm),Drawings,"Gift of Mrs. Francis Ormond, 1950",4162bf1dc0a0
Design for hanging wall-mounted lantern,Louis Comfort Tiffany,American,1848,1933,late19th,early20thcentury,"Gouache, colored pencil, and graphite on off-white tracing paper on a light weight multi-ply paper board",Overall: 22 1/16 x 15 in. (56 x 38.1 cm) Other (Design): 13 7/8 x 10 5/16 in. (35.2 x 26.2 cm),Drawings,"Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967",40395a9e5b8f
"Study for ""Nijinsky""",Franz Kline,American,1910,1962,1950,1950,"Ink and oil paint on paper, mounted to paperboard",8 1/2 x 7 in. (21.6 x 17.8 cm),Drawings,"Anonymous Gift, in memory of Barbara Butler Weisl, 2005",eabe1172a6fc
Pelvis II,Georgia O'Keeffe,American,1887,1986,1944,1944,Oil on canvas,"H. 40, W. 30 inches (101.6 x 76.2 cm.)",Paintings,"George A. Hearn Fund, 1947",49e3981b3a75
"Turkish Fountain with Garden (from Louis C. Tiffany Estate, Oyster Bay)",Jane Peterson,American,1876,1965,1910,1910,Oil and charcoal on canvas,24 1/4 x 18 in. (61.6 x 45.7 cm),Paintings,"Gift of Caryl and Martin Horwitz, 1991",b8106381ac97
Cloud Study; Lake [Maggiore?] and Village (from Sketchbook),Jervis McEntee,American,1828,1891,1869,1869,"Graphite, gouache and watercolor, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",1eadd26eb636
Woman Reading,Boris Grigoriev,Russian,1886,1939,1922,1922,Oil on canvas,21 1/4 x 25 5/8 in. (54 x 65.1cm),Paintings,"Gift of Humanities Fund Inc., 1972",1d272437a1ee
Landscape,George Inness,American,1825,1894,1884or1889,1884or1889,Oil on canvas,9 x 12 3/4 in. (22.9 x 31.2 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",bdedfe1ef383
Pier 5,Jacob Glushakow,American,1914,2000,1945,1945,Oil on Masonite,"H. 23-1/2, W. 30-1/4 inches (59.7 x 76.8 cm.)",Paintings,"Gift of Mr. and Mrs. Herbert S. Denenberg, 1991",2f059acea081
Rainy Day in Camp,Winslow Homer,American,1836,1910,1871,1871,Oil on canvas,20 x 36 in. (50.8 x 91.4 cm),Paintings,"Gift of Mrs. William F. Milton, 1923",371c08970d26
Speedboat's Wake,Milton Avery,American,1885,1965,1959,1959,Oil on canvas,"H. 53-3/4, W. 71-1/2 inches (136.5 x 181.6 cm.)",Paintings,"Gift of Milton and Sally Avery Arts Foundation, 1989",e6ed6209d4b2
Old Tombstones,Arthur Dove,American,1880,1946,1935,1935,"Watercolor, gouache, and ink on paper",5 x 7 in. (12.7 x 17.8 cm),Drawings,"Alfred Stieglitz Collection, 1949",48511f3a4395
Fall in Provincetown,Houghton Cranford Smith,American,1887,1983,1913,1913,Oil on cardboard,"H. 10, W. 10 inches (25.4 x 25.4 cm.)",Paintings,1991,e3fd2a84ac6c
Arrangement in Black: Girl Reading,James McNeill Whistler,American,1834,1903,1880,1890,Oil on wood,12 x 9 in. (22.9 x 30.5 cm),Paintings,"Bequest of Miss Adelaide Milton de Groot (1876?967), 1967",d97b3d5b62e0
"Torre dei Schiavi, The Roman Campagna (from Cropsey Album)",Jasper Francis Cropsey,American,1823,1900,1853,1853,"Graphite, white gouache, and brown and gray ink washes on dark buff wove paper",4 1/8 x 5 11/16 in. (10.5 x 14.4 cm),Drawings,"Purchase, Charles and Anita Blatt Gift, 1970",52eeeeed25e7
Portrait of my Mother,Philip Guston,American,1913,1980,1931,1931,Oil on canvas,"H. 16-3/8, W. 15-5/8 inches (41.6 x 39.7 cm.)",Paintings,"Purchase, Gift of Jane and Robert Carroll and Eliot and Wilson Nolen, 1997",b7e7148e7b44
The Willow Tree and the Cow,Walt Kuhn,American,1877,1949,1923,1923,Oil on canvas,"H. 30, W. 25 inches (76.2 x 63.5 cm.)",Paintings,"Gift of Jane and Robert E. Carroll, 1991",4b728858c139
Country Store,Reginald Wilson,American,1909,1993,1939,1939,Gouache on paper,"H. 14-7/8, W. 20 inches (37.8 x 50.8 cm.)",Drawings,"Gift of New York City W. P. A., 1943",446cba0be0c4
"Fortune: A Study for ""The Discoverer""",William Morris Hunt,American,1824,1879,1878,1878,Oil on paper,37 x 25 1/2 in. (94 x 64.1 cm),Paintings,"Rogers Fund, 1911",fc83ea74e645
The Last Parade,Joyce Treiman,American,1922,1991,1987,1987,Oil on canvas,"H. 70, W. 70 inches (177.8 x 177.8 cm.)",Paintings,"Anonymous Gift, 1989",75af0e942c50
Self-Portrait,Robert De Niro,American,1922,1993,1951,1951,Oil on canvas,"H. 35-1/8, W. 30 inches (89.2 x 76.2 cm.)",Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006",4ab992861d31
Adventure,Arthur B. Davies,American,1862,1928,1914,1918,Oil on canvas,18 1/8 x 30 1/8 in. (46 x 76.5 cm),Paintings,"Bequest of Lillie P. Bliss, 1931",c5318bfdb5fc
Outline Sketch of Mountains (from Sketchbook),Jervis McEntee,American,1828,1891,1869,1869,"Graphite, white gouache, on blue paper",4 1/2 x 9 in. (11.4 x 22.9 cm),Drawings,"Morris K. Jesup Fund, 1982",1a227d615c2b
Self-portrait,James Peale,American,1749,1831,1789,1789,Watercolor on ivory,1 3/4 x 1 1/4 in. (4.4 x 3.2 cm),Paintings,"Gift of Gloria Manney, 2006",7f6add2ce1eb
"Number 28, 1950",Jackson Pollock,American,1912,1956,1950,1950,Enamel on canvas,68 1/8 x 105 in. (173 x 266.7 cm),Paintings,"The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, in honor of her grandchildren, Ellen Steinberg Coven and Dr. Peter Steinberg, 2006",4365ffc9214c
"Grey Tree, Lake George",Georgia O'Keeffe,American,1887,1986,1925,1925,Oil on canvas,36 x 30in. (91.4 x 76.2cm),Paintings,"Alfred Stieglitz Collection, Bequest of Georgia O'Keeffe, 1986",aa8078c6798b
A Bit of War History: The Recruit,Thomas Waterman Wood,American,1823,1903,1866,1866,Oil on canvas,28 1/4 x 20 1/4 in. (71.8 x 51.4 cm) (framed with 84.12a and 84.12c),Paintings,"Gift of Charles Stewart Smith, 1884",00df5837ef71
Men and Machine,Stuart Davis,American,1892,1964,1934,1934,Oil on canvas,"H. 32, W. 40 inches (81.3 x 101.6 cm.)",Paintings,"Gift of Mr. and Mrs. Jay R. Braus, 1981",3e9927f28d37
Hagar and Ishmael,Benjamin West,American,1738,1820,"1776,reworked1803","1776,reworked1803",Oil on canvas,76 x 54 1/2 in. (193 x 138.4 cm),Paintings,"Maria DeWitt Jesup Fund, 1923",7bbac0f493ef
Gabriel,Franklin Watkins,American,1894,1972,1935,1935,Oil on canvas,"H. 36, W. 40 inches (91.4 x 101.6 cm.)",Paintings,"Arthur Hoppock Hearn Fund, 1950",5a7162fa7bf6
