title,name,nationality,birthDate,deathDate,production_id
Still Life with Fish,William Merritt Chase,American,1849,1916,0b862df12098
Loch Long,Robert Scott Duncanson,American,1821,1872,6fbaf030678f
Louisa Fletcher,Mary S. Blumenschein,American,1869,1958,0efff4b64a0b
"Orange Road, Tarpon Springs",George Inness,American,1825,1894,729b2996375e
Study of a Young Woman,William Merritt Chase,American,1849,1916,e00cca9ba238
Still Life with Hummingbird,William Merritt Chase,American,1849,1916,93e07e49fedf
After the Shower,William Merritt Chase,American,1849,1916,95d63561742d
The Valley in the Sea,Edward Moran,American,1829,1901,1acadb126574
Portrait of a Family,Gilbert Stuart,American,1755,1828,880b6a423483
The Rainbow,George Inness,American,1825,1894,29daedc32f28
Portrait of a German Tragedian,Ernest Leonard Blumenschein,American,1874,1960,40e65db8a3d8
Our Flag,Frederic Edwin Church,American,1826,1900,c43a03d3524f
November Morning,Dwight William Tryon,American,1849,1925,90ec24da22c4
Hurricane,John Marin,American,1870,1953,de8a38318d33
Whaler and Fishing Vessels near the Coast of Labrador,William Bradford,American,1823,1892,6af54974182b
Margaret MacKittrick,Abbott Handerson Thayer,American,1849,1921,083e868cf821
Seated Nude,David K. Rubins,American,1902,1985,15b25f31748c
The Bloom of the Grape,T.C. Steele,American,1847,1926,3d3a87567d26
"Chinese Fishing Village, Monterey Bay, California",Bolton Coit Brown,American,1864,1936,ded53b8de2b6
Still Life,Abbott Handerson Thayer,American,1849,1921,7e05b2e506bc
Melons,Marsden Hartley,American,1877,1943,4cfc78106caf
Marianne Ashley Walker,Gilbert Stuart,American,1755,1828,d57863ae3275
"Summer, Lake Ontario",Jasper Francis Cropsey,American,1823,1900,6c3f2d2d2f9a
Green Apples with Gray Curtain,Walt Kuhn,American,1880,1949,53a60edbf490
New York,John Bradley Storrs,American,1885,1956,908e9e73c24b
Landscape with Covered Wagon,Asher Brown Durand,American,1796,1886,72d65af645d9
The Boat Builders,Winslow Homer,American,1836,1910,1a8898b0fa3c
Jimson Weed,Georgia O&#039;Keeffe,American,1887,1986,228e9be9f213
He Is Risen (The Passion of Christ Series),Romare Howard Bearden,American,1914,1988,a61d2e8fa872
U.S.A.,John Haberle,American,1856,1933,8c641082421c
George Washington at Princeton,Charles Willson Peale,American,1741,1827,6320d5562e1d
Reflections,Arthur Garfield Dove,American,1880,1946,706b3e72d3b9
Landscape,Worthington Whittredge,American,1820,1910,d18134b3ca2f
Portrait of Dr. George Henry Alexander Clowes,Pietro Pezzati,American,1902,1993,7246dc04ae25
Scene on the Wabash,George Winter,American,1810,1876,ab1c6a7c3866
Nymph and Fawn,Isidore Konti,American,1862,1938,499e2ac6e337
Stumbling Man,David K. Rubins,American,1902,1985,3f5f0cacd66b
"Sundial, Boy with Spider",Willard D. Paddock,American,1873,1956,41a2fc7cfae8
Sunlit Window,Louis Ritman,American,1889,1963,ac1ad734ad9a
"Glimpse of the Harbor, Gloucester",Maurice Brazil Prendergast,American,1859,1934,d0e5dc8a8add
New Year&#039;s Shooter,George Benjamin Luks,American,1866,1933,d8dac2a6c2e9
Portrait of a Boy,George Wesley Bellows,American,1882,1925,561acba6e916
First Touch of Autumn,William Merritt Chase,American,1849,1916,3fc6912e64e1
New Mexico Calvary (Holy Week Procession),Victor Higgins,American,1884,1949,d6b8097add8d
Portrait of Mrs. Robert Reid,Robert Reid,American,1862,1929,01f8fb73126a
Brook in Summer,Jacob Cox,American,1810,1892,248aebe7bbdc
Calypso,George Hitchcock,American,1850,1913,f9a365770424
Portrait of Charles H. Brewer (Boy Fishing with Dog),Jacob Cox,American,1810,1892,12cf16c9261c
Alaska,Albert Bierstadt,American,1830,1902,9400239e5c87
His Majesty Receives,William Holbrook Beard,American,1824,1900,57da0daa3b81
Lake Shawangunk,Worthington Whittredge,American,1820,1910,fc3718887c4e
Pleasant Run,T.C. Steele,American,1847,1926,996a624daee6
Portrait of James Whitcomb Riley,John Singer Sargent,American,1856,1925,ac167dbd44fe
The Harbor Light,Birge Harrison,American,1854,1929,edc02fba4ba1
The Pianist (Stanley Addicks),Thomas Eakins,American,1844,1916,383248d849eb
An August Sunset - Prairie Dell,John Ottis Adams,American,1851,1927,f9a79e019e99
Old Market Woman,William J. Forsyth,American,1854,1935,157f2db636cd
Landscape near Dachau,Joseph Frank Currier,American,1843,1909,265c98f649e9
Frog Fountain,Janet Scudder,American,1873,1940,aed3a385b0c3
Crocuses,William J. Forsyth,American,1854,1935,b9d6370117ea
Portrait of Edith Whitehill Clowes,Pietro Pezzati,American,1902,1993,f3218c2b42f0
Landscape,William M. Hart,American,1823,1894,7016f5968cd1
Portrait Medallion (Louise Hartshorne Moore),Janet Scudder,American,1873,1940,0e33f0b0bc78
Wyoming Desert,Wilhelm J. Riess,American,1856,1919,32049ed7f7dd
Portrait of Jules Bastien-Lepage,Augustus Saint-Gaudens,American,1848,1907,3973457ea1c6
On the Balcony,Olive Rush,American,1873,1966,dfb94ab5c930
Fruit Still Life,Jacob Cox,American,1810,1892,3b629c810832
Portrait of Evans Woolen,David K. Rubins,American,1902,1985,fa0e094edf8b
Reclining Nude,Frank Duveneck,American,1848,1919,262f54899735
"Bust of Horace A. Shonle, Jr.",Elmer H. Daniels,American,1905,1986,0b8f9dc93431
Plaster Cast of Bronze Bust of Evans Woolen,David K. Rubins,American,1902,1985,fec29d50af11
Scene in Switzerland,James F. Gookins,American,1840,1904,e4a625fa406d
Rocky Mountain Scene,Clifton A. Wheeler,American,1883,1953,d24e0b413c3e
"Toledo Spain, Afternoon Sun",Anna Richards Brewster,American,1870,1952,2bb07e8183d5
Running for Anchorage,Henry Chase,American,1853,1889,7cebbb7b53a7
Hill and Hollow,Lewis H. Meakin,American,1850,1917,41e1468cea0b
Riverboat,Donald Mattison,American,1905,1975,c806b84452c6
Portrait of Caroline Marmon Fesler,David K. Rubins,American,1902,1985,09678b3d637b
Study Head (Old Man),Samuel G. Richards,American,1853,1893,f1771462949b
Old Peasant Woman,Samuel G. Richards,American,1853,1893,294b0e9a9a84
Study Head (Bearded Man),Samuel G. Richards,American,1853,1893,cbaf9d4dc83f
"Chief Flat Iron, Sioux",Joseph Henry Sharp,American,1859,1953,f3685a4f54f6
On The Brandywine,Alexander Theobald van Laer,American,1857,1920,425e4ebb2916
Street Scene,Eugene Paul Ullman,American,1877,1953,aa95f5074191
Munich Girl,T.C. Steele,American,1847,1926,8a28b88c6ed6
Scene on the Wabash (near Pipe Creek),George Winter,American,1810,1876,6dac5d47d8e0
Monarch Beech,John Elwood Bundy,American,1853,1933,83b1af5c3dc9
Apache,Bert Greer Phillips,American,1868,1956,2fdd15182446
Study of a Hat,Susan Merrill Ketcham,American,1841,1930,9de0696aaf44
Family Picnic,John R. Grabach,American,1886,1981,80723be2f1ba
Portrait of Edward Loftus,Gilbert Stuart,American,1755,1828,68697e0594f5
Portrait of Booth Tarkington,Louis Betts,American,1873,1961,c4523b3900bd
In the Meadow,George Inness,American,1825,1894,4e49597168ee
Portrait of William Henry Harrison,Samuel Finley Breese Morse,American,1791,1872,a2a1bb491031
December Mists,Henry R. MacGinnis,American,1875,1962,0295d9f5e526
Vice-Admiral Edward Hughes,Gilbert Stuart,American,1755,1828,c7d90d1fc987
Thornberry&#039;s Pasture,John Ottis Adams,American,1851,1927,619cc76baa3e
A Young Woman,Willard LeRoy Metcalf,American,1858,1925,71cced44f9b5
Circus Poster,Robert Weaver,American,1924,1994,48e11cd60944
Blanche Sully,Thomas Sully,American,1783,1872,31f3910af485
Landscape near Lafayette,George Winter,American,1810,1876,eb4322bdedd8
Portrait of Joel Barlow,Robert Fulton,American,1765,1815,13d355d91c16
"Late Afternoon, Dachau Moor",T.C. Steele,American,1847,1926,2e6d802828cf
Portrait of Thomas Lakin,T.C. Steele,American,1847,1926,ce0a639134f3
Education of Trooper Brown,Newell Convers Wyeth,American,1882,1945,c8d4c1f0f22f
Carnival,Donald Mattison,American,1905,1975,3ba71dd36da4
"Portrait of Martha Wysor Marsh and Son, John Edwin",John Ottis Adams,American,1851,1927,4c87bf33da14
A Summer Morning,Otto Stark,American,1859,1926,9b82321665dd
Study for Indian in Buffalo Hunt by Indians,Charles Ferdinand Wimar,American,1828,1862,16a380cdedfe
"Hanging Moss, St. Petersburg",John Ottis Adams,American,1851,1927,9901eb9de595
A Night in Central Park,Orlando Rouland,American,1871,1945,a52660d78e8e
Figure Study (Old Man),John Ottis Adams,American,1851,1927,0343db6fe6ab
Saco Valley,George Inness,American,1825,1894,cf37aac6f39b
Untitled,Albert Bierstadt,American,1830,1902,6ccce474c360
Will-O-The-Wisp,George Jo Mess,American,1898,1962,1a0c73804fb5
Portrait of Reverend Nathaniel A. Hyde,T.C. Steele,American,1847,1926,aca172421ab1
Young Girl with Child,Elizabeth Jane Gardner Bouguereau,American,1837,1922,5ead53900459
In the Studio,William Majors,American,1930,1982,15d85e6c45aa
Reading (Lady on a Deck Chair),Blanche Stillson,American,1890,1977,eac5b1d2c4d4
Landscape with Cows and Hillside,Richard Buckner Gruelle,American,1851,1914,e666b968de80
Gray Day in Normandy,George Ames Aldrich,American,1872,1941,b72f2300bf53
Portrait of Alexander Ernestinoff,Wayman Adams,American,1883,1959,31e7b3179bfb
Portrait of Anton Scherrer,Wayman Adams,American,1883,1959,ad0c5c2caad6
Woman in White,William Merritt Chase,American,1849,1916,d7efcf424155
"The Artist&#039;s Mother, Sarah Swaim Chase",William Merritt Chase,American,1849,1916,278b045aeaa6
"Portrait of My Father, David H. Chase",William Merritt Chase,American,1849,1916,a34be02b9637
Moses Swaim,William Merritt Chase,American,1849,1916,31ccf5111e18
The Temple of Philae,Franklin D. Briscoe,American,1844,1903,d03c1592892e
Halloween Carnival,Henrik Martin Mayer,American,1909,1972,3cc42720c42c
Crest of the Wave,Harriet Whitney Frishmuth,American,1880,1980,4c98c6db41ab
Out of Work,Ellen M. Ingraham,American,1832,1917,57444b11ee1d
Jacob and His Sheep,Helen West Heller,American,1870,1955,d2d80002eb1d
Jacob&#039;s Angel,Helen West Heller,American,1870,1955,59c1f541706f
Baseball,Helen West Heller,American,1870,1955,a1458cfb4373
Borzois and I,Helen West Heller,American,1870,1955,336999c79e7d
Untitled Landscape,John W. Hardrick,American,1891,1968,24169131afdd
Winter Landscape,John W. Hardrick,American,1891,1968,bb56a441f5fd
"Henry James, Sr.",Frank Duveneck,American,1848,1919,aa4e3e52286c
Portrait of Squire Duveneck,Frank Duveneck,American,1848,1919,8fb6ea9d6ef6
The Painter Man,William J. Forsyth,American,1854,1935,be26c9808686
Portia in a Pink Blouse,Guy Pène Du Bois,American,1884,1958,c3f8c4ff67d7
The Black Barn,Charles Ephraim Burchfield,American,1893,1967,b50d0a23b9ee
The Family Cow,William Merritt Chase,American,1849,1916,c5162fddf450
Still Life: Brass Bowl,William Merritt Chase,American,1849,1916,ec5061fa1ace
Red Snapper,William Merritt Chase,American,1849,1916,69cbb8620303
Still Life - Brass Kettle and Catfish,William Merritt Chase,American,1849,1916,97fc2d590f7f
The Art Jury,Wayman Adams,American,1883,1959,210bd890117d
Morning--Old Schofield&#039;s Mill,T.C. Steele,American,1847,1926,d5791ba417fb
First Snow of Winter,C. C. Bohm,American,1894,1971,05c8b6c51a5b
Portrait of Madame Fisher,Eugene Paul Ullman,American,1877,1953,76bafd9fc267
Portrait of Dr. Charles G. McLean,Jacob Cox,American,1810,1892,bafd20a09cf7
Waiting and Mad,Charles Marion Russell,American,1864,1926,1b17d68957e6
Francisco Martinez,Joseph Henry Sharp,American,1859,1953,c6c1316d45f5
Bethlehem,Lauren Ford,American,1891,1973,09e851f5e30b
Mountain Man,Frederic Remington,American,1861,1909,db17c22c986a
The Electric Forest,David Alfaro Siqueiros,Mexican,1896,1974,243747c4d524
Whitewater Rapids,William J. Forsyth,American,1854,1935,42efaf57903f
The Constitutional Elm,William J. Forsyth,American,1854,1935,ae1ed7e0bbc3
The Restless Sea,Edgar Alwin Payne,American,1883,1947,26b972794530
In the Catskills,Clifton A. Wheeler,American,1883,1953,33f5a2a27830
The Sycamores (Broad Ripple),John Washington Love,American,1850,1880,d278b6cfcbf6
Temperance Pledge,John G. Dunn,American,1820,1858,5078d21d6133
Landscape near Indianapolis,Jacob Cox,American,1810,1892,2b86fb1c748f
Young German Girl (Gretchen?),Samuel G. Richards,American,1853,1893,cd6c3eaf9b98
Old Johnnie&#039;s Wife,Robert Henri,American,1865,1929,912997f78d27
Portrait of the Artist&#039;s Wife,James F. Gookins,American,1840,1904,f7c3e12232af
Portrait of Dr. Lewis D. Lyons,Barton Stone Hays,American,1826,1914,d6d699dbc38b
Oaks at Vernon,T.C. Steele,American,1847,1926,f9302e2954dd
Road in Early Spring,Charles Ephraim Burchfield,American,1893,1967,39cb67702428
Bust of President Benjamin Harrison,Adolph Alexander Weinman,American,1870,1952,54980c8fbd45
The Bacidae,Sarah Paxton Ball Dodson,American,1847,1906,4e4e5765b979
The Jade Bowl,Dines Carlsen,American,1901,1966,76c9c9d1fb80
Portrait of Helen Miller (Mrs. Charles G. McLean),Rembrandt Peale,American,1778,1860,4a24b9bb62d1
Indian Hunter with Dog,Paul Manship,American,1885,1966,9fd77b8b9011
Liberty Loan Parade,Arthur Clifton Goodwin,American,1864,1929,6ed02b2bfa23
Untitled,Alexander Calder,American,1898,1976,eb17836bedbc
Portrait of a Young Woman,Edward August Bell,American,1862,1953,237a868833e2
A Break: Playing Cards,Julian Scott,American,1846,1901,fac864a255f4
Portrait of a Young Woman,Gilbert Stuart,American,1755,1828,6f3d04d95380
Venus Anadyomene,Paul Manship,American,1885,1966,e4a02f08c097
An Anxious Mother,Percival De Luce,American,1847,1914,a3e531b063ca
Untitled (The Birth),Jacob Lawrence,American,1917,2000,7ead8742d30e
Afternoon Tea,Richard Emile Miller,American,1875,1943,fb03c3e2ebeb
"Rooftops, New York City",Edward F. Fisk,American,1886,1944,395258ff9a95
The Statuette,Edward August Bell,American,1862,1953,b0e1268f0072
Blue Monday,Floyd D. Hopper,American,1909,1984,27e0925ec380
"The Park, Salem",Maurice Brazil Prendergast,American,1859,1934,6b3191a61654
Praying Angel,Robert W. Davidson,American,1904,1982,2faf41d2f8ef
Thames Nocturne,James Abbott McNeill Whistler,American,1834,1903,6cd121f2bb59
"Sketch, Hyannisport",Charles Webster Hawthorne,American,1872,1930,999d4d2e32b1
Young Girls,Mary Cassatt,American,1845,1926,7dc018bfb012
Hauptmann Must Die,Reginald Marsh,American,1898,1954,886f67c51a3c
Indian Girl with Parrot and Hoop,Victor Higgins,American,1884,1949,5c26728e4eb5
Hotel Lobby,Edward Hopper,American,1882,1967,e961eac2671c
Portrait of Marie Jane Andrew,Joseph R. Mason,American,1808,1842,d4759f3aa640
Portrait Medallion,Janet Scudder,American,1873,1940,f04a1b24b195
A Winter Morning,Frank T. Hutchens,American,1869,1937,e2cdbba1f611
"Barnes Cabin on Owl Creek, Brown County",John William Vawter,American,1871,1914,44c4a9014144
Diana,Edward F. McCartan,American,1879,1947,2d35c2778f45
Zinnias and Leaves,Leota Williams Loop,American,1893,1961,bd57c02dc6fc
Fisherman&#039;s Lore,George Jo Mess,American,1898,1962,e73db0cee735
Young Brittany Girl,Charles Sprague Pearce,American,1851,1914,d77d69ca20d3
Weathervane: Goddess of Liberty,Henry Leach,American,1809,1885,941e52ddb243
Portrait of Mary Ethell Gertrude Walker,John Ottis Adams,American,1851,1927,18bf29b45718
Women Dressing,William McGregor Paxton,American,1869,1941,cef73f8cb0ae
Reclining Nude,David K. Rubins,American,1902,1985,4047b9be96a7
Seascape,James Abbott McNeill Whistler,American,1834,1903,9b24b3abc648
The Elopement,Emery D. Horsky,American,1885,1964,e6f6d20bc198
Portrait Medallion (Mildred Barnes),Janet Scudder,American,1873,1940,6eb2d74a0298
Portrait Medallion (Alice Jones),Janet Scudder,American,1873,1940,9fdff873bb46
Medal: Admission of Indiana to the Union,Janet Scudder,American,1873,1940,ebf4064e9a88
Marine,Frank Duveneck,American,1848,1919,1b487266d8da
General Lew Wallace,Stephen Seymour Thomas,American,1868,1956,f90b630ed4fa
Head of a Boy,John Washington Love,American,1850,1880,1932cb71c3aa
"Vista Terreno, Palm de Malloria",William J. Potter,American,1883,1964,f2ce809ebe63
Portrait of Ella Marvin,James Ormsbee Chapin,American,1887,1975,687ec371e177
Landscape: The River,Willard LeRoy Metcalf,American,1858,1925,e5f5822f6e68
Farmyard Scene,Jacob Cox,American,1810,1892,615e1a001a1d
Portrait of Amelia Studley,Joseph Easton,American,1829,1875,ced089f75d3c
Children&#039;s Heads,Mary Cassatt,American,1845,1926,7f7f224881bf
Harp of Mystery,Adolph Robert Shulz,american,1869,1963,7d40582fb8dd
Daybreak,Emanuel Glicen Romano,American,1897,1984,1bae60b8a666
Marie and Baby,Robert Henri,American,1865,1929,706e988006f4
"The Beach Scituate, Massachusetts",Thomas Buford Meteyard,American,1865,1928,c196bb38d9ac
"Summer Landscape Falls Village, Connecticut",Dines Carlsen,American,1901,1966,d871265a41bd
Unfinished Landscape (American Lake Scene at Sunset),Thomas Cole,American,1801,1848,2cdde75ee615
Landscape,Alexander Helwig Wyant,American,1836,1892,bcfb0ab27bf4
Strawberries,Barton Stone Hays,American,1826,1914,8dce95443315
Portrait of Eusebia Sewell,Barton Stone Hays,American,1826,1914,05fb9f437922
Portrait of William Sewell,Barton Stone Hays,American,1826,1914,ec48b0b8317a
Fairy Marauders,James F. Gookins,American,1840,1904,776122d53840
Across Silvery Waters,Frank V. Dudley,American,1868,1957,9ff0957f214e
Dionysus,Paul Manship,American,1885,1966,b12ec4831248
Snow Leopard,Malvina Hoffman,American,1887,1966,3e37d522d079
Promenade,Alexander Archipenko,American,1887,1964,a79f9d7011dd
"Village of Schliersee, Highlands",T.C. Steele,American,1847,1926,e94ab22de00c
On the Edge of the Wood at Twilight,John Elwood Bundy,American,1853,1933,2df24d20788a
The Red Maple,L. Clarence Ball,American,1858,1915,c86931e3402f
Cows,William J. Forsyth,American,1854,1935,e197549591a9
Promenade,Guy Pène Du Bois,American,1884,1958,ce0ea75a1d81
Nude Reaching,Isabel Bishop,American,1902,1988,83d5e3e49d7d
The Big Brass Bowl,William Merritt Chase,American,1849,1916,33951480596a
Portrait of Catherine (Eddy) Beveridge - Lady Primrose Portrait,Cecilia Beaux,American,1855,1942,00a849647fa4
The Old Mills on the Somme,Walter Elmer Schofield,American,1867,1944,e8c02951b6e0
Seascape,C. C. Bohm,American,1894,1971,59decc1a6b3e
The Visitor,Katherine H. Wagenhals,American,1883,1966,c58c31f95dac
Passing Shower,Louise D. Hibben,American,1895,1974,f4c80b648445
The Whistling Boy,Joseph Frank Currier,American,1843,1909,6c3a1b1e898c
Head of Margot,Mary Cassatt,American,1845,1926,84e291b9472f
Provincetown Fisherman,Charles Webster Hawthorne,American,1872,1930,c6caa5bc9f75
Bacchanal (The Four Seasons),Eugene Francis Savage,American,1883,1966,9e338404d967
"Glow of Gold, Gleam of Pearl",William McGregor Paxton,American,1869,1941,a75cfb9d15a1
Portrait of Charles Ballard as a Boy,Ivan Gregorovitch Olinsky,American,1878,1962,2a13c45bef19
Portrait of John Washington Love,Dewey Bates,American,1851,1899,da79f84cacfa
