Artist_Name,Process,Dimensions,Provenance,image,Artwork_Name,Artwork_Year,production_id
Arnold Newman,Gelatin silver print,Image: 14 x 11 in. (35.6 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.86&dim=300px,"Piet Mondrian,  , 0",1942,00603bda0737
Dave Muller,Acrylic on paper,Each (6 parts): 84 x 36 in. (213.4 x 91.4 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.7A-F&dim=300px,Quick Picks (twenty-six),2004,6eb3ad33627e
Marilyn Minter,Blueprint on paper,168 1/2 x 30 1/2 in. (428 x 77.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.38&dim=300px,Untitled (Sleep Drawing),1988,779ce0cf25f0
Matt Mullican,Black and white photograph,23 1/2 x 17 1/2 in. (59.7 x 44.5 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Audrey M. Irmas",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.125.9&dim=300px,Untitled,1998,447ad4adc3af
Cindy Sherman,Gelatin silver print,10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Puchased with funds provided by the friends of Marsha Kleinman in her memory",http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.56&dim=300px,Untitled Film Still #65,1980,0522e323ad8a
Matt Mullican,"Video, DVD-R, PAL, edition 2/8",Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by John Baldessari",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.9&dim=300px,"Shooting Close 2.2 (from Psycho Architecture: Experiments in the Studio, November 5-7, )",2001,68eeb114a54a
Dave Muller,Acrylic on paper,60 x 40 in. (152.4 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.18&dim=300px,Re-Smith,1998,687966bdfd70
Sandeep Mukherjee,"Acrylic, color pencil, and needle on paper","Paper: 42 1/4 x 92 1/4 in. (107.3 x 234.3 cm)
Frame: 48 3/4 x 98 1/2 in. (123.8 x 250.2 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Gary and Tracy Mezzatesta and Susan Matheson",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.5&dim=300px,Untitled,2000,efa23bb6f01a
Walter Niedermayr,"Color photograph, edition 5/6",42 1/2 x 159 in. (108 x 403.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.13A-C&dim=300px,Schnalstalgletscher V,1999,02a131ca7210
Chris Ofili,Watercolor and graphite on paper,Each: 9 1/2 x 6 1/4 in. (24.1 x 15.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.48A-I&dim=300px,Afro Muses: Harem 4,1995,e53d45dd9f30
Wangechi Mutu,"Ink, collage, and sequins on mylar",50 x 43 in. (127 x 109.2 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Manfred and Jennifer Simchowitz",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.99&dim=300px,Pretty Ugly Dreamlike Glare,2003,692e5d7b3e50
Paul McCarthy,"Twenty two Christmas trees, table, 15 c-prints, 10 works on paper, cardboard boxes, Santa suit, carpet, stuffed monkey, chocolate, ketchup, paint, and Nobuyoshi Araki photograph","Overall dimensions variable
Photographs: 70 x 48 in. (177.8 x 121.9 cm)","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Eugenio Lopez",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.1&dim=300px,"Tokyo Santa, Santa&#039;s Trees",1999,367c9c72cd1f
Michael McClard,"Acrylic, paper, plaster, steel and mesh",29 1/4 x 22 5/8 x 3 1/4 in. (74.3 x 57.5 x 8.3 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.70&dim=300px,Earth,1981,cd1617a637ab
Craig Kauffman,Sprayed acrylic lacquer on vacuum-formed plexiglas,"36 x 62 x 16 in. (91.4 x 157.5 x 40.6 cm)
Other (Flat): 22 x 50 x 16 in. (55.9 x 127 x 40.6 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Irving Blum",http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.4&dim=300px,Untitled,1969,f4a34078a88d
Mark Manders,"Ceramic, iron, wood, and four clamping screws",70 1/2 x 47 1/4 x 71 5/8 in. (179 x 120 x 182 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Rosette Delug",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.93&dim=300px,Isolated Landscape,2003,2930dedaf64e
Dave Muller,Acrylic and ink on paper,12 x 9 in. (30.5 x 22.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee, 2002",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.17&dim=300px,Smith,1998,6096674d4e9d
Paul McCarthy,"Cibachrome print, edition 2/3",72 x 48 in. (182.9 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.172&dim=300px,Masks (Olive Oyl),1994,a6dd8cc9aa13
Arnold Newman,Gelatin silver print,Image: 10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.85&dim=300px,"Barnett Newman,  , 0",1970,15fda04830c0
Helmut Newton,Silver gelatin print,24 x 20 in. (61 x 50.8 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.185&dim=300px,Patricia Faure,1965,12ccb070c6c9
Yoshitomo Nara,Oil stick on paper,Paper: 16 5/8 x 13 in. (42.2 x 33 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.101.1&dim=300px,Love is the Power,1999,29182ce6d1b2
Chris Ofili,"Acrylic, collage, glitter, resin, pencil, map pins, and elephant dung on canvas",96 x 72 in. (243.8 x 182.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Broad Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.38A-C&dim=300px,"Monkey Magic - Sex, Money and Drugs",1999,f67d69e93888
Raphael Montanez Ortiz,Destroyed piano,Dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=98.14&dim=300px,Henny-Penny Piano Destruction Concert,1966,ff96301c1e7d
Ed Paschke,"Color lithograph, edition 18/40",34 1/4 x 23 7/8 in. (87 x 60.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of First Interstate Bank of California Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.1&dim=300px,Execo,1983,3728dabdcb31
Damisn Ortega,Disassembled 1989 Volkswagen Beetle and C-print,"265 x 276 x 296 in. (673.1 x 701 x 751.8 cm)
C-print: 16 x 20 in. (40.6 x 50.8 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Eugenio Loacute;pez and the Jumex Fund for Contemporary Latin American Art",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.21A-B&dim=300px,Cosmic Thing,2002,2ed68de4d481
Patrick Nickell,"Cardboard, newspaper, string, masking tape, and paint",50 x 46 x 18 in. (127 x 116.8 x 45.7 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund and David Richards and Geoff Tuck",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.72&dim=300px,Untitled,1997,f72d97454356
Wangechi Mutu,"Collage, ink, and acrylic on Mylar",22 x 17 in. (55.9 x 43.2 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee and Alexander and Rebecca Stewart",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.18&dim=300px,Untitled,2002,dfea9f5c9264
Damian Moppett,Silver gelatin print,"32 1/2 x 34 in. (82.6 x 86.4 cm)
Paper: 19 1/2 x 22 in. (49.5 x 55.9 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Patrick Painter in honor of Kathleen Bartels",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.14&dim=300px,Untitled,1995,a5738f37a6a8
Matt Mullican,Pencil on paper,40 3/4 x 52 3/4 in. (103.5 x 134 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.180&dim=300px,2 City Plans,1988,d74f1b94a266
Carl Andre,Ink on graph paper,10 7/8 x 8 3/8 in. (27.6 x 21.3 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.75&dim=300px,Letter to Yvonne Rainer,1967,b34f6df5c2ad
Josef Albers,Lithograph on paper,Frame: 21 1/2 x 21 1/2 x 1 1/2 in. (54.6 x 54.6 x 3.8 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Martha Bertonneau Padve",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.81&dim=300px,White Line Square VII,1966,43a3441f58b4
Carl Andre,Aluminum blocks,"Each: 1 x 2 x 2 in. (2.5 x 5.1 x 5.1 cm)
4 x 10 x 10 in. (10.2 x 25.4 x 25.4 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.7&dim=300px,100 Aluminum Solid,1964,5d462770c7ed
Elizabeth Murray,Oil on canvas,111 3/4 x 114 in. (283.8 x 289.6 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.74&dim=300px,Heart and Mind,1981,8f765e5eaaf3
Diana Michener,"Silver print, edition 6/7",17 x 13 3/8 in. (43.2 x 34 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Bruce and Nancy Berman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.97&dim=300px,Sympus,1987,ffcd1f2ee612
Paul McCarthy,"Cibachrome print, edition 2/3",72 x 48 in. (182.9 x 121.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.169&dim=300px,Masks (Arafat),1994,e8ebbe16aee3
Jules Olitski,Acrylic on canvas,132 3/4 x 258 in. (337.2 x 655.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Robert A. Rowan",http://www.moca.org/museum/pc_media_viewer.php?acsnum=80.3&dim=300px,Tender Boogus,1967,c8b79be2d37e
Jennifer Pastor,Ink on paper,27 x 22 in. (68.6 x 55.9 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee and Gail and Tony Ganz",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.57&dim=300px,Untitled (Drawing for Fall),1994,35c03e1bf860
Philippe Perrot,Oil and betadine on canvas,38 3/16 x 77 15/16 in. (97 x 198 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Buddy Taub Foundation, Jill and Dennis Roach, Directors",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.39&dim=300px,Migraine,2004,b01a832ac043
Eileen Quinlan,Silver gelatin matte fiber finish print,Image: 40 x 30 in. (101.6 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.70&dim=300px,Smoke &amp; Mirrors #205,2007,6bc0aec96a4a
Kim Abeles,"Fabric, wood chairs, wood poles, paint, flags",59 x 62 x 18 in.,"The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.134&dim=300px,In Search of A Chair,1981,dd85d61a6752
Lari Pittman,"Matte oil, aerosol lacquer, and cel-vinyl on gessoed canvas over wood panel",102 x 76 in. (259.1 x 193 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Rosette V. Delug",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.1&dim=300px,Untitled #12,2003,6e70de26ae70
Jules Olitski,Acrylic on canvas,76 x 5 1/4 in. (193 x 13.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of William A. Palmer",http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.39&dim=300px,6th Move,1969,3b8c03e729e0
Jennifer Pastor,Ink and pencil on paper,"18 x 12 1/4 in. (45.7 x 31.1 cm)
Paper: 16 x 11 in. (40.6 x 27.9 cm)","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.262&dim=300px,Moth (Study for Spring),1996,171b46c80ead
Louise Nevelson,Wood painted black,114 x 124 x 16 in. (289.6 x 315 x 40.6 cm),"The Museum of Contemporary, Los Angeles
Gift of the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.14&dim=300px,Sky Cathedral/Southern Mountain,1959,9a4fce12aa08
Rika Noguchi,C-print,49 3/4 x 38 in. (126.4 x 96.5 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.37&dim=300px,A Prime #13,1997,84f1475a0fde
Wangechi Mutu,"Ink, acrylic, and collage on mylar",87 x 52 1/2 in. (221 x 133.4 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Dallas Price-Van Breda",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.23&dim=300px,She&#039;s Egungun Again,2005,126fe91ccae5
Robert Motherwell,Red and blue ink on rice paper,9 x 11 in. (22.9 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Steven Roth",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.54&dim=300px,Lyric Suite (D65-),2578,0da8513c2975
Richard Meier,Collage on paper,9 1/2 x 9 1/4 in. (24.1 x 23.5 cm),"The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.143&dim=300px,Untitled,1987,9866bc70b606
Paul McCarthy,Graphite and ink on paper,"Each: 8 1/2 x 11 in. (21.6 x 27.9 cm)
Frame: 46 1/2 x 82 1/2 x 1 1/2 in. (118.1 x 209.6 x 3.8 cm)","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.72A-Z&dim=300px,Stoned Blue Drawings,1968,b6ef2c28bc55
Malcolm Morley,Oil and wax on canvas,130 x 78 in. (330.2 x 198.1 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Contemporary Art Associates and Audrey and Sydney Irmas",http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.107&dim=300px,"The Sky Above, The Mud Below",1988,bf8729d098f3
Elizabeth Murray,Pastel on paper,30 3/4 x 25 x 2 3/4 in. (78.1 x 63.5 x 7 cm),"The Museum of Contemporary Art, Los Angeles
Gift from the Collection of Regina and William Fadiman",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.99&dim=300px,Untitled Twist Drawing #2,1988,d4924c3d7412
Carl Andre,"Xerox poem pages, edition 15/75",8 1/2 x 11 in. (21.6 x 27.9 cm),"The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.2&dim=300px,Yucatan,1973,e7460e578a3f
Josef Albers,Oil on paper on board,17 1/4 x 23 1/8 in. (43.8 x 58.7 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift from the Collection of Laura-Lee and Robert Woods",http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.67&dim=300px,"Variant: Violet, Red Against Blue",1947,0c51d1a940e6
Dan Asher,Ball point pen on paper,17 7/8 x 13 7/8 in. (45.4 x 35.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.128.2&dim=300px,Untitled,1994,5d2f3e1da575
Cindy Sherman,Color coupler print,40 x 30 in. (101.6 x 76.2 cm),"The Museum of Contemporary Art, Los Angeles
Gift of William J. and Maria Bell",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.130&dim=300px,Untitled #118,1983,92350f534ff0
Richard Diebenkorn,Oil on canvas,65 1/4 x 92 in. (165.7 x 233.7 cm),"Collection of Lenore S. and Bernard A. Greenberg
Partial gift to The Museum of Contemporary Art, Los Angeles",http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.84&dim=300px,Ocean Park 131,1985,3ac6c65f6b31
Michael Asher,Heat-formed Plexiglas,13 3/4 x 14 1/2 x 1 1/2 in. (34.9 x 36.8 x 3.8 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.81&dim=300px,no title,1966,b05ad4808e1c
Josef Albers,Oil on masonite,"15 5/8 x 15 5/8 in. (39.7 x 39.7 cm)
Frame: 16 1/4 x 16 1/4 in. (41.3 x 41.3 cm)","The Museum of Contemporary, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.1&dim=300px,Study for Homage to a Square,1954,46f4e78bad3c
Malcolm Morley,Oil on canvas,32 x 44 in. (81.3 x 111.8 cm),"The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.72&dim=300px,A Tropical Swimming Hole (Florida),1978,3e1a27793e5b
Allan McCollum,Silver gelatin print,62 x 45 x 3 in. (157.5 x 114.3 x 7.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of the artist",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.13&dim=300px,Perpetual Photo,1982,b9190156f53c
Marlene McCarty,Graphite and ballpoint pen on paper,120 x 160 in. (304.8 x 406.4 cm),"The Museum of Contemporary Art, Los Angeles
Partial and promised gift of David Teiger",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.60&dim=300px,"Melinda Loveless, Toni Lawrence, Hope Rippey, Laurie Tackett, and Shanda Sharer - January 11,  (1:39 am)",1992,688216a01e98
Arnold Newman,Gelatin silver print,Image: 10 x 8 in. (25.4 x 20.3 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Marsha N. Levine",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.90&dim=300px,"Edward Kienholz,  , 0",1967,46dab9b97525
Kelly Nipper,"Four framed chromogenic prints, edition 3/6",50 x 65 in. (127 x 165.1 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.21.3&dim=300px,shotgun and a figure 8 (detail 3),2000,844ef3ba5654
Claes Oldenburg,"Lithograph with watercolor on Arches paper, edition 15/75","28 x 40 in. (71.1 x 101.6 cm)
Other (Mounted on paper): 31 x 42 in. (78.7 x 106.7 cm)","The Museum of Contemporary Art, Los Angeles
Gift of The American Art Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.2.6&dim=300px,Proposal for a Civic Monument in the Form of Two Windows,1982,3bbe0bbcfac0
Bill Owens,Gelatin silver print,Paper: 8 x 10 in. (20.3 x 25.4 cm),"The Museum of Contemporary Art, Los Angeles
Gift of Gary A. Richwald, MD, MPH in memory of Ann and Marvin Richwald",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.69.41&dim=300px,Untitled,1972,53d6a87b520d
Jules Olitski,Acrylic on canvas,84 x 164 in. (213.4 x 416.6 cm),"The Museum of Contemporary Art, Los Angeles
Gift of William J. Hokin",http://www.moca.org/museum/pc_media_viewer.php?acsnum=84.14&dim=300px,Absalom Passage,1973,6fd20264397a
Richard Pettibone,Oil on canvas,22 parts: dimensions variable,"The Museum of Contemporary Art, Los Angeles
Gift of The Marcia Simon Weisman Foundation",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.18A-V&dim=300px,Weisman Collection,1965,70a00954e859
Stephen G. Rhodes,c-print with paint,Image: 30 x 40 in. (76.2 x 101.6 cm),"The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Photography Committee",http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.13&dim=300px,Excerpt (Gray),2007,1ccc74980586
