Subtype_of_Art,Type_of_Art,Title,Date_made,Credit,ArtistName,Inscription,Pic_URL,Dimensions,BirthDate,DeathDate,production_id
Oil on canvas,Paintings,"Bridal Veil Falls, Yosemite Valley",1892,Gift of Mrs. Leon Bocqueraz,Thomas Hill," Yosemite Park and Curry Co., 1962 Transamerica Pyramid, 1974 Lowe Museum - Univ of Miami, 19th C. American Topographic Painters, 1975 Fresno Arts Center, Survey of American Painting, 1977 Art Programs, S. F.  A Sense of Place - California Landscape Painti",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A61.5.1_DGAH_030_02.jpg,53 in HIGH x 35 in WIDE(134.62 cm HIGH x 88.90 cm WIDE),1829,1908,2eb82437098a
Oil on wood panel,Paintings,"Portrait of Woman in Park  (study for Picnic at El Campo)|Summer (title added to reflect article in the Examiner from the 1800's discovered by H. Jones, 8/03)",1893,Gift of the Art Guild,Arthur Mathews | Lucia Mathews," TOM.  Impressionism:  The California View, 1890-1930.  1981. TOM.  Mathews Exhibition.  1985.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.13.20_DGMA_066_02.jpg,18 in HIGH x 12.63 in WIDE(45.72 cm HIGH x 32.08 cm WIDE),1860,1945,ae4d2e706148
Oil on canvas,Paintings,To-Tole (The Star),1894,Gift of Mrs. Leon Bocqueraz,Grace Carpenter Hudson," Grace Hudson: a California Romantic, Grace Hudson Museum, Ukiah, 9/24/1996-3/10/1997",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A61.5.3_DGPT_095_02.jpg,19.25 in HIGH x 10.25 in WIDE(48.89 cm HIGH x 26.03 cm WIDE),1865,1937,36e83acc857a
Oil on wood panel,Paintings,Sand Dunes and Beach Umbrellas,1899,Gift of Mr. Harold Wagner,Lucia Mathews, TOM.  Mathews Exhibition.  1972. SFMMA.  The Modern Era...  1976. TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.99_DGMA_029_02.jpg,10.25 in HIGH x 8.63 in WIDE(26.03 cm HIGH x 21.92 cm WIDE),1870,1955,6b0fb8c7c975
Oil on canvas,Paintings,Portrait of Miss Louise Schwamm,1899,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews," TOM.  Mathews Exhibition.  1985.                                                Eli Wilner Gallery, NYC.  exh. of frames.  1988.                        Eli Wilner Gallery, NYC.  exh. of frames. (this time at the Met in NYC) 1990.  The Parrish Art Museum, Dec 22, 1990 - Feb 3, 1991.  WHERE: Telfair Academy of Arts & Sciences,  1993.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.10_DGMA_129.1_02.jpg,28 in HIGH x 23.5 in WIDE(71.12 cm HIGH x 59.69 cm WIDE),1860,1945,fc98ff7fa5bd
Oil on wood panel,Paintings,"Park Scene, Paris",1899,Gift of Mr. Harold Wagner,Lucia Mathews," TOM.  Mathews Exhibition.  1972. (Cat.) TOM.  Mathews Exhibition.  1985.//Twilight and Reverie: California Tonalist Paintings 1890 - 1930 (TOM) 2/11/95 - 5/14/95, Laguna Art Museum 6/23 - 10/8/95",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.24_DGMA_010_02.jpg,3.87 in. HIGH x 5.87 in. WIDE,1870,1955,be6c9d394d52
Oil on paperboard,Paintings,"River Seine, Paris",1899,Gift of Mr. Harold Wagner,Lucia Mathews," TOM.  Mathews Exhibition.  1972. (Cat.) TOM.  Mathews Exhibition.  1985.//Twilight and Reverie: California Tonalist Paintings 1890 - 1930 (TOM) 2/11/95 - 5/14/95, Laguna Art Museum 6/23 - 10/8/95",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.23_DGMA_009_02.jpg,3.87 in. HIGH x 5.87 in. WIDE,1870,1955,179dfca29ed5
Oil on canvas,Paintings,Cypress Grove,1903,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews," TOM.  Mathews Exhibition.  1972.  (Cat.) WMAA.  N.Y.  1978. TOM.  Mathews Exhibition.  1985.//Twilight and Reverie: California Tonalist Paintings 1890 - 1930 (TOM) 2/11/95 - 5/14/95, Laguna Art Museum 6/23 - 10/8/95",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.7_DGMA_123_02.jpg,48 in HIGH x 52 in WIDE(121.92 cm HIGH x 132.08 cm WIDE),1860,1945,56fae72d7367
Oil on wood panel,Paintings,California,1905,Bequest of Harald J. Wagner,Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A79.25.19_DGMA_206_02_0.jpg,72.25 in HIGH x 64 in WIDE(183.51 cm HIGH x 162.56 cm WIDE),1860,1945,09ac2f05dba6
Frame,Paintings,California,1905,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews," Aftershock! Voices from the 1906 Earthquake and Fire. Great Hall, April 1 - August 13, 2006. | LACMA: Made in California, 2000. PPIE. TOM.  Mathews Exhibition.  1972.  (Cat.) Triton Museum.  Santa Clara, Ca.  The Seat of American Invention.  1977. Brooklyn Museum.  N.Y.  The American Renaissance.  1979. TOM.  Mathews Exhibition.  1985. Eli Wilner Gallery, NYC.  exh. of frames.  1988. The Parrish Art Museum, Dec 22, 1990 - Feb 3, 1991. Eli Wilner Gallery, NYC.  exh. of frames.  (this time at the Met in NYC).  1990./// Facing Eden: One Hundred Years of Landscape Art in the San Francisco Bay Area, M.H. de Young Memorial Museum 6/24/95- 11/26/95",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.4_DGMA_120_02.jpg,47.5 in. HIGH x 38 in. WIDE,1860,1945,7c7c845820ec
Oil on canvas,Paintings,Mandarin Robe  (The Mandarin) | Mandarin Robe,1910,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews," Panama-Pacific International Exposition.  S.F., Ca.  1915. TOM.  Mathews Exhibition.  1972.  (Cat.) SFMMA.  1976. NCFA.  1976. TOM.  Mathews Exhibition.  1985.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A66.196.3_DGMA_119_02_0.jpg,26 in. HIGH x 23 in. WIDE,1860,1945,431a230387af
Oil on canvas,Paintings,Joaquin Miller Home,1915,Gift of Louis B. Siegriest,Selden Connor Gile," TOM.  Impressionism:  The California View.  1981.                                                             TOM.  Impressionism:  The California View.  1981, Laguna Beach Museum of Art, 1/15/82 to 2/21/82.                      TOM.  Impressionism:  The",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A73.52.42_DGAH_109_02.jpg,11.5 in HIGH x 14.5 in WIDE(29.21 cm HIGH x 36.83 cm WIDE),1877,1947,ccf0842491e2
Oil on canvas,Paintings,"View from Skyline Boulevard, San Francisco",1915,"The Oakland Museum of California, Gift of Concours d'Antiques, Art Guild",Arthur Mathews | Lucia Mathews," TOM.  Mathews Exhib.  1972.  Catalog #33.  Triton Museum.  Two Artists Look at California.  1976. WAAM.  Our Environment.  1980-82. TOM.  Mathews Exhibition.  1985. San Diego Museum of Art.  The Golden Land.  1986.//M.H. deYoung Museum, Facing Eden:100 Ye",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A72.8.2_DGMA_178_02.jpg,30 in HIGH x 40 in WIDE(76.20 cm HIGH x 101.60 cm WIDE),1860,1945,b91e66fcf5bc
Oil on canvas,Paintings,Rhododendron Field,1915,Gift of Dr. William S. Porter,Joseph Raphael," Henry Art Gallery, Univ. of Wash., Seattle.  American Impressionism.  1980 (t). TOM.  Impressionism: The California View, 1890-1930.  1981-82 (t). Whitney Museum of American Art.  Reflections of Nature:  Flowers in American Art.  1984.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A53.256_DGAH_098_02.jpg,30 in HIGH x 40 in WIDE(76.20 cm HIGH x 101.60 cm WIDE),1869,1950,e1f2dcc3bfc1
Oil on wood panel,Paintings,"Scene, Panama-Pacific International Exposition, San Francisco",1915,Gift of Mr. Harold Wagner,Lucia Mathews, TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.1_DGMA_002_02.jpg,3.87 in HIGH x 5.87 in WIDE(9.83 cm HIGH x 14.91 cm WIDE),1870,1955,35a7f60b5916
Oil on wood panel,Paintings,"Scene, Panama-Pacific International Exposition, San Francisco",1915,Gift of Mr. Harold Wagner,Lucia Mathews, TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.3_DGMA_003.2_02.jpg,5.87 in HIGH x 3.87 in WIDE(14.91 cm HIGH x 9.83 cm WIDE),1870,1955,88c5584bee9a
Oil on wood panel,Paintings,"Scene, Panama-Pacific International Exposition, San Francisco",1915,Gift of Mr. Harold Wagner,Lucia Mathews, TOM.  Mathews Exhibition.  1972. TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.4_DGMA_004.2_02.jpg,3.87 in HIGH x 5.87 in WIDE(9.83 cm HIGH x 14.91 cm WIDE),1870,1955,ce95b6728332
Oil on wood panel,Paintings,Sketch,1915,Gift of Mr. Harold Wagner,Lucia Mathews, Fine Arts Museum of San Francisco.  Cityscape Exhibition.  1977. M. H. de Young Museum.  1977.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.7_DGMA_005_02.jpg,5.87 in HIGH x 3.87 in WIDE(14.91 cm HIGH x 9.83 cm WIDE),1870,1955,965d5cb890de
Oil on canvas,Paintings,Sacred and Profane Love,1915,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews," Panama Pacific International Exposition, titled The Carnation, 1915.  TOM, Mathews Exhibition, 1972.  (Cat.) TOM, Mathews Exhibition, 1985. Eli Wilner & Co/Metro. Museum of N.Y., July 15 - Sept 9, 1990 (see inhouse note). Greenville County Museum of Art, Regional American Painting to 1920,  Nov 6 - Dec 30, 1990.  OMCA, Great Hall, California as Muse: The Art of Arthur and Lucia Mathews 10/28/2006 - 03/25/2007; traveling to Norton Museum of Art and Akron Art Museum; Fall 2007 - Fall 2008.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.19_DGMA_138.1_02.jpg,38.5 in HIGH x 50.75 in WIDE(97.79 cm HIGH x 128.90 cm WIDE),1860,1945,5a56e871f589
Oil on canvas,Paintings,Untitled  ((Ladies kneeling near fountain)),1917,Gift of the Estate of Margaret Kleinhans,Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A80.120.2_DGMA_213_02.jpg,38 in HIGH x 50 in WIDE(96.52 cm HIGH x 127.00 cm WIDE),1860,1945,e3c6fb0b1250
Oil on canvas,Paintings,Red Von Eichman,1920,Gift of Louis Siegriest,Selden Connor Gile, TOM.  California Artists:  A Group Portrait in Mixed Media.  1987-1988. de Young.  CA Colorists:  Ptgs. of the Society of Six.  1989.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A75.143.5_DGAH_084_02.jpg,20 in HIGH x 16 in WIDE(50.80 cm HIGH x 40.64 cm WIDE),1877,1947,c8e3e891d6e0
Oil on cardboard,Paintings,Chinatown Street Scene #1,1923,Gift of Louis Siegriest,Bernard Von Eichman," LACMA: Made in California, 2000. TOM.  Society of Six.  1972. SFMMA.  Painting & Sculpture in California:  The Modern Era.  1977. Piedmont Art in the Park Festival.  1973. de Young.  CA Colorists:  Ptgs. of the Society of Six.  1989.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A75.143.12_DGAH_082_02_0.jpg,19.25 in HIGH x 16.25 in WIDE(48.89 cm HIGH x 41.27 cm WIDE),1899,1970,8d2f41a96e12
Oil on canvas,Paintings,Sunny Cove,1928,Gift of Louis B. Siegriest,August Gay," Piedmont, Ca.  Art in the Park Festival.  1973. TOM.  Impressionism: The California View. 1981. Catalogue.                                                      TOM.  Impressionism: The California View, Laguna Beach Museum of Art, 1/15/82 to 2/21/82.                                 Tom.  Impressionism: The California View, Crocker Art Museum, 3/28/82 to 5/2/82.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0602071b.jpg,11.25 in HIGH x 14 in WIDE(28.57 cm HIGH x 35.56 cm WIDE),1890,1949,1a5241475637
Oil on canvas,Paintings,Monterey Cypress,1930,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/100_Square/z0034532.jpg,26 in HIGH x 30 in WIDE(66.04 cm HIGH x 76.20 cm WIDE),1860,1945,bb5a2e8e9885
Oil on wood panel,Paintings,Summer Day,1930,Gift of the Art Guild,Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1985. TOM.  Small Landscapes (perspectives show)  1988.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.13.18_DGMA_063_02.jpg,14 in HIGH x 12.5 in WIDE(35.56 cm HIGH x 31.75 cm WIDE),1860,1945,754f33708925
Oil on canvas,Paintings,Monterey Cypress | Monterey Cypress #1,1930,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews," TOM.  Mathews Exhibition.  1972.  (Cat.) Foremost-McKesson.  S.F., Ca.  1975. Chamber of Commerce.  Oakland, Ca.  1977. WAAM.  N.Y.  California Landscapes.  1978. Crocker Art Museum.  Sacramento, Ca.  From Exposition to Exposition.  1981. TOM.  Mathews Exhibition.  1985. San Diego Museum of Art.  The Golden Land.  1986.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.2_DGMA_118.2_02.jpg,25.5 in. HIGH x 29.5 in. WIDE,1860,1945,10bb01fb1791
Gouache,Paintings,"Melody of Wave  (Pyramid Lake, Nevada)",1933,The Oakland Museum Founders Fund,Chiura Obata," Civic Arts Gallery, Walnut Creek, 1973 See's, 1977 TOM, Watercolors from the California Collection, 1977 Art Programs Inc., 1980//Palo Alto Cultural Center? 1993? 1994?//  California State University, Chico: 3/10 - 4/9/1994.// A Half-Century of Hope and S",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0600839b.jpg,15.75 in HIGH x 22 in WIDE(40.00 cm HIGH x 55.88 cm WIDE),1885,1975,d5a5f74b1568
Oil on canvas,Paintings,Monterey Cypress,1933,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews," TOM.  Mathews Exhibition.  1972.  (Cat.) I. Magnin.  1976. Athenian Nile Club.  1980. White House, Washington, DC.  1981. TOM.  Mathews Exhibition.  1985. American Embassy, Canberra, Australia.  1986- Fresno Met. Museum, 1990.",http://collections.museumca.org/?q=system/files/imagecache/100_Square/A66.196.15_DGMA_134.2_02.jpg,38.25 in HIGH x 34.25 in WIDE(97.15 cm HIGH x 86.99 cm WIDE),1860,1945,3a68afc976ca
Tempera,Paintings,Mother and Cat|Miyo and Cat,1941,Gift of the Collectors Gallery,Mine Okubo," SFMA.  61st Annual Exh. of Painting & Sculpture of SFAA.  1941. TOM.  Mine Okubo:  An American Experience.  1972.   (later travelled under auspices of WAAM, 1974-1975) //  The Japan Society of Boston, Inc. Mar 10 - Apr 23, 1993.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A72.74_DGPT_085_02.jpg,29.75 in HIGH x 24 in WIDE(75.56 cm HIGH x 60.96 cm WIDE),1912,2001,b6fcf898dea8
Oil on canvas,Paintings,Untitled,1949,Gift of the Women's Board of the Oakland Museum Association,Richard Diebenkorn," Albright-Knox.  Retrospective.  1976-77. Hara Museum, Tokyo.  RD:  Ptgs. & Works on Paper.  1989.                                                        SFMOMA, RETROSPECTIVE, Nov 19,1992 - Jan 24, 1993.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.195_DGAH_147_02.jpg,45 in HIGH x 36 in WIDE(114.30 cm HIGH x 91.44 cm WIDE),1922,1993,4bd01582f81c
Oil on canvas,Paintings,Berkeley No. 20,1954,Gift of the Estate of Howard E. Johnson,Richard Diebenkorn," Washington Gallery of Modern Art.  Diebenkorn Retrospective.  1964. American Federation of the Arts.  7th International Art Exhibition, Mainichi, Tokyo.  1963.                            Whitechapel, London - Diebenkorn Retrospective, Jan 10 - Mar 8, 1992",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A84.45.1_DGAH_145_02.jpg,70 in HIGH x 61.25 in WIDE(177.80 cm HIGH x 155.57 cm WIDE),1922,1993,1bf3716d74f1
Oil on canvas,Paintings,Women in a Landscape,1958,Anonymous Donor Program of the American Federation of the Arts,David Park," Univ. Art Gallery, U.C. Berkeley, Ca.  David Park Memorial Exhibition: The University Years 1955-60 (t).  1964. SBMA, Ca.  David Park: His World.  1968. Maxwell Galleries Ltd., S.F.  David Park.  1970. Newport Harbor Art Museum, Newport Beach, Ca.  David",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A60.35.1_DGAH_001_02.jpg,50 in HIGH x 56 in WIDE(127.00 cm HIGH x 142.24 cm WIDE),1911,1960,aef3f43e3989
Oil on canvas,Paintings,Woman with Chin in Hand,1958,Gift of the Estate of Howard E. Johnson,Richard Diebenkorn, TOM.  Recent Acquisitions.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0600552b.jpg,13 in HIGH x 11.5 in WIDE(33.02 cm HIGH x 29.21 cm WIDE),1922,1993,7b4c308e805d
Oil on canvas,Paintings,Street,1961,Gift of the Estate of Howard E. Johnson,Richard Diebenkorn," Hara Museum, Tokyo.  RD:  Ptgs. & Works on Paper.  1989.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/0600551b.jpg,48 in HIGH x 51.25 in WIDE(121.92 cm HIGH x 130.17 cm WIDE),1922,1993,ac43b9074a25
Oil on canvas,Paintings,Girl Sitting,1962,Gift of Dr. Samuel West,Joan Brown," UAM, U.C. Berkeley, Ca.  Joan Brown.  1974. De Saisset Museum, Univ. of Santa Clara.  Northern California Art of the Sixties.  1982. Grey Art Gallery, NY.  The Figurative Mode:  Northern California Painting 1955-1965.  1984. TOM.  Art in the San Francisco",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0029853.jpg,60 in HIGH x 47.75 in WIDE(152.40 cm HIGH x 121.28 cm WIDE),1938,1990,e202d1b5f194
Oil on canvas,Paintings,Spring Nude,1962,Gift of the artist in memory of Edna Stoddard Siegriest,Nathan Oliveira," TOM.  Nathan Oliveira: Paintings, 1959-1973.  1973. Cheney Cowles Memorial Museum. Spokane, Wa.  1978. SFMMA.  Nathan Oliveira Retrospective.  SEPT 1984-AUG 1, 1985.SFMMA.  BAY AREA FIGURATIVE: 1950-65, DEC 14, 1989 THRU 1990 (TRAVELING). Saint Mary",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A66.175_DGAL_1114_01.jpg,96 in HIGH x 76 in WIDE(243.84 cm HIGH x 193.04 cm WIDE),1928,2010,c2772c440ae3
Oil on canvas,Paintings,Seated Nude--Arm on Knee,1962,Gift of the Estate of Howard E. Johnson,Richard Diebenkorn," Hara Museum, Tokyo.  RD:  Ptgs & Works on Paper.  1989./ Cal State LA ?",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0029565.jpg,51.25 in HIGH x 45.75 in WIDE(130.17 cm HIGH x 116.20 cm WIDE),1922,1993,9aa4ddc48d29
Oil on canvas,Paintings,Mama Cat and Pete in Tree,1966,Gift of the Estate of the artist,Mine Okubo," TOM, Mine Okubo: An American Experience, 1972.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/2008.32.26_1.jpg,40.625 in HIGH x 53.5 in WIDE x 1.125 in DEEP(103.19 cm HIGH x 135.89 cm WIDE x 2.86 cm DEEP),1912,2001,0c87cea52047
Oil on canvas,Paintings,Ocean Park No. 107,1978,Gift of the Women's Board,Richard Diebenkorn," TOM.  10 x 10.  1979. Whitney Museum.  1981 Biennial Exhib.  1981. The Museum of Contemporary Art  DEC 10, 1986 - JAN 10, 1988. // Whitechapel, London - Diebenkorn Retrospective, Jan 10 - Mar 8, 1992. // Richard Diebenkorn  Whitney Museum of American Art,",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A79.48_DGAH_144_02.jpg,93 in HIGH x 76 in WIDE(236.22 cm HIGH x 193.04 cm WIDE),1922,1993,38cd567ac1cb
Oil on wood panel,Paintings,Reclining Woman in Red Dress Reading,1887,Gift of the Art Guild,Arthur Mathews | Lucia Mathews," TOM.  Mathews Exhibition.  1972. TOM.  Mathews Exhibition.  1985.  Twenty-Five Years of Collecting California. September 25,1994- January 8, 1995 (TOM).  California as Muse: the Art of Arthur and Lucia Mathews, OMCA, Great Hall, 10/28/2006 - 03/25/2007.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/z0034469.jpg,8.38 in HIGH x 10.38 in WIDE(21.29 cm HIGH x 26.37 cm WIDE),1860,1945,015381d10833
Oil on canvasboard,Paintings,Paris Studio Interior  (Studio Interior with Figures); A Studio Corner,1887,Gift of the Art Guild,Arthur Mathews," Twenty-Five Years of Collecting California. September 25,1994- January 8, 1995 (TOM) | TOM.  Mathews Exhibition.  1972. San Jose Museum of Art.  Ca.  Americans in Paris.  1975. The Detroit Institute of Arts, Detroit, MI., American Art and the Quest for Unity, 1876-1893, 1983. TOM: Mathews Exhibition, 1985.",http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A65.13.17_DGMA_062_02_0.jpg,20 in. HIGH x 24 in. WIDE,1860,1945,dfa40eea773c
Oil on canvas,Paintings,The Three Fates  (The Web),1895,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews, PPIE. TOM.  Mathews Exhibition.  1972.  (Cat.).   Fresno Arts Center.  Ca.  Survey of American Painting.  1977. TOM.  Mathews Exhibition.  1985.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A66.196.1_DGMA_117.jpg,26.5 in HIGH x 23.25 in WIDE(67.31 cm HIGH x 59.05 cm WIDE),1860,1945,e9161bb326bb
Oil on wood panel,Paintings,Self-Portrait,1899,Gift of Mr. Harold Wagner,Lucia K. Mathews, TOM.  Mathews Exhibition.  1972. TOM.  Mathews Exhibition.  1985. TOM.  California Artists:  A Group Portrait in Mixed Media.  1987-1988.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A64.59.100_DGMA_030_02_0.jpg,10 in HIGH x 10.625 in WIDE(25.40 cm HIGH x 26.99 cm WIDE),1870,1955,44614731e8e4
Oil on canvas,Paintings,Portrait of Lucia K. Mathews,1899,"Gift of Concours d'Antiques, the Art Guild",Arthur Mathews | Lucia Mathews, TOM.  Mathews Exhibition.  1972.  (Cat.) TOM.  Mathews Exhibition.  1985. TOM.  California Artists:  A Group Portrait in Mixed Media.  1987-1988.,http://collections.museumca.org/?q=system/files/imagecache/collection_image2/A66.196.14_DGMA_133_02.jpg,14 in HIGH x 12 in WIDE(35.56 cm HIGH x 30.48 cm WIDE),1860,1945,d49329395fd7
