TITLE,AUTHOR,IMAGE__IMAGESRC,DESCRIPTION,VIDEO,production_id
Between Science and Magic,Diana Thater,https://smmoa.org/wp-content/uploads/2012/06/Greg-PresentsJosephine-Greg.jpg,"Working in film, video, and installation, Diana Thater has been an innovator in her medium for 20 years and is best known for creating complex visual and spatial environments. Between Science and Magic is a simple, and beautiful, interpretation of  movie magic -a century-old expression that still conjures the mythology of Hollywood filmmaking. Thater s project is conceived as a brief history of cinema.\nThater s new and innovatory piece recreates, and repositions, a seminal moment in Los Angeles history, when downtown LA was being dreamed into a gilded metropolis and a theater district was built to rival New York s Great White Way. Renowned magician Greg Wilson appears as if filmed within the famed Los Angeles Theatre, the most elaborate of the movie palaces built between 1911 and 1931 on Los Angeles s now-defunct  theater row.  Thus, the viewer experiences a palpable tension between past and present. The repeated performance of an archetypal magic trick-pulling a rabbit out of a hat-is captured in tones of black, white, and grey; only the magician s skin tone and the rabbit s eyes have a trace of color.\nA pioneering filmmaker, Thater s work is held in many public collections including the Solomon R. Guggenheim Museum, New York; Tate, London; the Whitney Museum of American Art, New York; the Art Institute of Chicago; and the Museum of Contemporary Art, Los Angeles. She has been the subject of solo exhibitions at such prestigious institutions as the Vienna Secession; The Museum of Modern Art, New York; the Kunsthalle Basel; and The Renaissance Society, Chicago. Most recently, Thater s gorillagorillagorilla-a poignant study of human and animal behavior-was premiered at the Kunsthaus Graz, in collaboration with the Museum of Natural History in London, to celebrate the bicentenary of Charles Darwin s birth. Between Science and Magic is Thater s first solo exhibition in Los Angeles in over 10 years.\nSupport for the exhibition is generously provided by The Broad Art Foundation, The Audrey and Sydney Irmas Charitable Foundation, and The Suzanne Nora Johnson and David Gordon Johnson Foundation.\n\n								",https://smmoa.org/audio/diana-thater-between-science-and-magic/,3e1a550d86bc
Seeing While Seeing,Jeffrey Wells,https://smmoa.org/wp-content/uploads/2012/06/Jeffrey-Wells-Install-01OnWeb.jpg,"Jeffrey Wells  work stems from wanting to explore and exploit the optical phenomenon that happens to us while doing something as simple as staring at a white wall. His video projections are participatory performances that use light, time and optics to create an element of surprise. For Seeing While Seeing, Wells will create a series of new, site-specific, projected works that mimic a variety of visual phenomena from after-effects and aura to color and shape-shifts the room will literally come alive with his animated projections. Each work makes you question whether what you see is real or is just an animated effect.\nWells received his M.F.A from UCLA in 2006, and lives and works in Joshua Tree, California.\n								",https://smmoa.org/audio/project-room-1-jeffrey-wells-seeing-while-seeing/,0bd6a58d1128
A Collaboration between Kim Schoenstadt and Rita McBride,Tell Me Something Good,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"Inspired by the conceptual art exhibition鑱紸rt By Telephone?Museum of Contemporary Art, Chicago, 1969), in which participants phoned in their specifications for their works of art, artists Kim Schoenstadt and Rita McBride will exchange instructions to create their respective artworks in their first two-person U.S. Museum exhibition.鑱絋ell Me Something Good: A Collaboration between Kim Schoenstadt and Rita McBride鑱給pens at the Santa Monica Museum of Art on September 12 and will be on view through December 5, 2009.\nThe original 1969鑱紸rt By Telephone鑱絯as curated by Jan van der Marck. Its basic premise was to invite international and out-of-state artists to phone instructions that would be executed bymuseum installers. Schoenstadt and McBride have created their  exchange  as a variation of the 1969 project, with each phoning the other with instructions for a work. At SMMoA, Schoenstadt will create McBride s work according to the instructions   photographs of all the gas stations along California Highway 1 between Los Angeles International Airport and Point Dume. McBride was asked by Schoenstadt to choose a discarded drawing from her studio and load it into a fax machine, then ask the Gallery to fax the floor plans of their proposed exhibition space. The combination of interposed drawing and architectural plan provided the final composition. This work was shown at New York gallery Alexander and Bonin from May 9 through June 13, 2009.\nThe project takes up the  telephone game  idea of transforming visual information into language and back to visual, and also embraces the conceptual promise that  anyone  can make an art work based on the idea of the systemic production of art according to instruction. In the current era of instant messaging and social media, Schoenstadt and McBride use the telephone as a means of communication to initiate their conceptual works that explore the ramifications of what happens when an artist gives up control over his or her project. With its focus on collaboration and exploration of the nature of authorship, this exhibition is the perfect complement to the Allen Ruppersberg exhibition, which runs concurrently at SMMoA.\nSchoenstadt received a BFA from Pitzer College, California, and has participated in many solo and two-person exhibitions and projects in Europe and the U.S., including the Museum of Contemporary Art, Chicago, and the Institute of Contemporary Art, London. Her body of work centers around the exploration of drawing, and frequently includes series in which the final product is arrived at by chance or by instructions provided either via the audience or other artists; her works are often site-specific. Schoenstadt lives and works in Venice, California.\nMcBride received a BA from Bard College, New York, and an MFA from California Institute of the Arts, Valencia. She is the recipient of many awards and residencies, including the prestigious Guggenheim Memorial Foundation Fellowship (2002). Her projects vary greatly from unorthodox books to large-scale sculptures. Her work has been shown at the SculptureCenter, New York, and she has had several solo museum exhibitions throughout Europe. McBride lives and works in D鐪塻seldorf, Germany where she is a professor at the Kunstakademie D鐪塻seldorf.\nThe catalog accompanying the project is a recording of each artist s instructions on a vinyl record, just as it was for the original 1969鑱紸rt By Telephone. The record will be playing in the Project Room as part of the installation; a limited edition of signed copies will be available for sale.鑱絋ell Me Something Good: A Collaboration between Kim Schoenstadt and Rita McBride鑱絠s organized by the Santa Monica Museum of Art and curator Lisa Melandri, Deputy Director for Exhibitions and Programs.\n								",https://smmoa.org/audio/tell-me-something-good-a-collaboration-between-kim-schoenstadt-and-rita-mcbride/,2ed46a007b62
You and Me or The Art of Give and Take,Allen Ruppersberg,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"The Santa Monica Museum of Art presents鑱紸llen Ruppersberg: You and Me or The Art of Give and Take.鑱紸mong the first generation of American conceptual artists that also includes John Baldessari, Douglas Huebler, and Bruce Nauman who redefined artistic practice during the 1970s, this exhibition features two new major interactive installations created especially for the occasion.鑱紸llen Ruppersberg: You and Me or The Art of Give and Take鑱給pens on September 12 and continues through December 19, 2009.\n We are delighted to present this exhibition at SMMoA,  states Elsa Longhauser, Executive Director.  Al is a  vernacular anthropologist  whose artistic interests and sensibilities have been indelibly shaped by the spirit and ethos of Southern California. \nRuppersberg s vast oeuvre includes paintings, prints, photographs, sculptures, installations and books that explore the intersection of art, literature, and life. His work is often participatory, like that of Allan Kaprow and others, and he finds source material in the everyday. Ruppersberg s vast collection of early to mid-twentieth-century cultural ephemera-which includes calendars, snapshots, magazines, comic books, newspaper clippings, postcards, posters, and instructional films-form the basis of much of his recent work.\nAs a teacher and artist, Ruppersberg has also influenced several Los Angeles artists of the generation following his, including, most notably, Jim Shaw and Mike Kelley, whose works also deal with the American vernacular. East Coast artist Rachel Harrison, who incorporates a deluge of cultural debris in her sculptures-celebrity magazines, costume jewelry, canned goods, and wigs-has acknowledged Ruppersberg s importance in the development of her own work. Ruppersberg has always had a strong, independent vision shaped first by growing up in America s heartland and also by spending months and years living and working in New York and Europe, where his work has been shown in an array of major museums.\nTwo new large-scale installations in this exhibition continue to expand Ruppersberg s use of imagery culled from his vast archive of twentieth-century ephemera.鑱絋he Never Ending Book Part 2/Art and Therefore Ourselves?2009), is a selection of more than 15,000 pages of Xeroxed images from the artist s book collection, installed in a stage-like environment made of theatrical props and early twentieth-century mural-sized vintage posters. The pages are stacked in approximately fifty small cardboard boxes designed by the artist. These duplicated pages are free for the taking. In this way, Ruppersberg makes his library available to each audience member who can subsequently create his or her own unique  book  to take home. As part of this project, Ruppersberg has created a 33 RPM vinyl LP record, which functions as an oral analog to the books on view. The record includes old songs and hymns, spoken word recordings, recipes read by poet Bill Berkson, and people singing around the piano, all dating from the early to mid-20th century.\nFor the second installation,鑱絋he Sound and the Story/The Hugo Ball Award for 20th Century Graphics?2009), photocopied and laminated items of everyday ephemera from Ruppersberg s extensive collection are suspended from a wall of pegboards. Viewers are invited to rearrange the materials on the pegboard to create their own narrative. During the run of the exhibition, Ruppersberg will periodically respond to these arrangements by reorganizing the items himself, thus creating a visual conversation with his audience  co-producers. \nThe exhibition also includes a selection of earlier collages and drawings-two-dimensional works from important series鑱絋he Gift and the Inheritance?1989), and鑱紺over Art?1985); both of which provide an historical backdrop to the new installations.\nRuppersberg s work is held in major collections including the Museum of Modern Art, New York; the Los Angeles County Museum of Art; the Art Institute of Chicago; and the Whitney Museum of American Art, New York.鑱紿e was born in Cleveland, Ohio, and lives and works in Los Angeles and New York.\nAllen Ruppersberg: You and Me or The Art of Give and Take鑱絠s organized by the Santa Monica Museum of Art. Guest curator of the exhibition is Constance Lewallen, Adjunct Curator at the Berkeley Art Museum and Pacific Film Archive.\nThe publication that accompanies the exhibition was conceived by Ruppersberg as an artwork in itself, and is a cross between a traditional catalog and an artist s book. Based on a 1956 edition of travel guideThe Guest Informant,鑱絠t is spiral-bound and cardboard-covered. The publication contains essays by renowned author and cultural critic, Greil Marcus, and guest curator Constance Lewallen, along with an interview with and commentary on the artist, random ephemera, and exhibition information. It is co-published by JRP|Ringier, Switzerland. The new vinyl LP record will also be available in a limited edition of 200.\nMajor support for the exhibition and publication is provided by The Andy Warhol Foundation for the Visual Arts. Additional funding is provided by LLWW Foundation, the Frederick R. Weisman Philanthropic Foundation, the Pasadena Art Alliance, and Margo Leavin Gallery. Related programming is made possible in part by a grant from the City of Santa Monica and the Santa Monica Arts Commission, Emily Fisher Landau, Lenore and Bernard Greenberg, and Judy and Stuart Spence.\n								",https://smmoa.org/audio/3718/,752e29977c85
"Birth of the Cool, Paintings 1964-2007",Barkley I. Hendricks,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"The renowned artist s first career retrospective highlights his paintings from 1964 to 2007. While Hendricks has worked in a variety of media throughout his career, and has explored diverse subject matter, he is best known for his striking and provocative life-sized portraits of everyday African-American people from the urban northeast. Bringing to mind American realism, pop culture, and post-modernism in a way uniquely his own, Hendricks  pioneering contributions to African-American portraiture and conceptualism claims a compelling space somewhere between portraitists Chuck Close and Alex Katz, and African-American conceptualists David Hammons and Adrian Piper. At times cool, at times confrontational, sometimes sexually charged, and always empowering, the work reveals the artist s keen eye for his subject s attire, attitude, style, and point of view. Hendricks  groundbreaking body of work has both influenced and paved the way for many of today s generation of artists.\nHendricks calls his camera his  mechanical sketchbook,  as many of his paintings are realized from photographs of people he encountered in daily life.\nBirth of the Cool鑱絠s organized by Trevor Schoonmaker, Curator of Contemporary Art at the鑱絟ttp://www.nasher.duke.edu/exhibitions_hendricks.php鑱絠n Durham, North Carolina.\nThe exhibition catalog includes essays by Schoonmaker; Thelma Golden, Director and Chief Curator of the Studio Museum in Harlem; and Franklin Sirmans, Curator of Modern and Contemporary Art at the Menil Collection.\nFollowing its presentation at SMMoA, the exhibition will travel to the Pennsylvania Academy of the Fine Arts in Philadelphia, and the Contemporary Arts Museum in Houston. It was also shown at the Studio Museum in Harlem.\nBorn in Philadelphia, the artist studied at the Pennsylvania Academy of the Fine Arts before receiving his B.F.A and M.F.A. at Yale University, where he studied with legendary photographer Walker Evans. He is currently a Professor of Art Studio at Connecticut College, in New London, Connecticut.\nBirth of the Cool has been named one of鑱絍ogue Magazine s鑱絫op 25 cultural events of the year.\n \nThe exhibition was organized by the Nasher Museum of Art at Duke University.\nThis exhibition is sponsored in part by the Andy Warhol Foundation for the Visual Arts, Inc., the National Endowment for the Arts, which believes that a great nation deserves great art, the Mary Duke Biddle Foundation, and the North Carolina Arts Council with funding from the State of North Carolina.\nSupport for the presentation at SMMoA is generously provided by the Peter Norton Family Foundation on behalf of Eileen Harris Norton. Additional support provided by Price Latimer Agah, Janine and Lyndon Barrois, and V. Joy Simmons, M.D.\n								",https://smmoa.org/audio/barkley-l-hendricks-birth-of-the-cool-paintings-1964-2007-audio/,54c79f0d3f97
Electronicon,Khalif Kelly,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"In his first museum exhibition, Khalif Kelly presents a new series of paintings based on vignettes from imaginary fairy tale adventures that portray children interacting with an array of weird and wonderful protagonists. With a fresh and vivid palette, a reductive, cartoon-like figurative style with a metallic-like patina reminiscent of video game robots and characters, Kelly creates scenes that on closer inspection reveal a mixture of personal archetypes and classic racial stereotypes.\nThe artist s aesthetic includes references to the figurative work of Jacob Lawrence and to the controversial stop motion animations of George Pal, especially鑱絁ohn Henry and the Inky-Poo鑱絘nd the鑱絁asperseries from the 1940s. Like Pal, Kelly utilizes the perception of race as a narrative device, something to work with and work against in the children s formation of identity through play.\nKelly was born in Nashville, Tennessee in 1980 and grew up in Arlington, Texas. He received his B.F.A. in Painting from The School of the Art Institute of Chicago, and his M.F.A. from Yale University. The artist lives and works in New Haven, Connecticut, and also works in New York.\n \nSupport for the exhibition is provided by the Peter Norton Family Foundation on behalf of Eileen Harris Norton.\n								",https://smmoa.org/audio/project-room-khalif-kelly-electronicon/,4e62146eec65
Don t Tread on Me,Jeni Spota,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"In her first West Coast museum exhibition, Jeni Spota brings contemporary elements to classical themes in her paintings, exploring traditional, often religious, imagery, in a new way. Through her small canvases, the viewer is able to peer into another world, watching epic scenes play out with a surreal, impressionistic twist.\nIn this exhibition, which includes new work, Spota fills her canvases with cramped figures engaged in frenzied activity, complete with choruses of angels, rows of haloed figures, and the Virgin floating, often repeatedly, in a mandorla, creating a heavy, purposeful yet intimate connection with the viewer that is rarely found in the Medieval and Renaissance pieces that her works recall. Other canvases are more abstract in their subject matter, as if she has cut and pasted detailed elements from her works to form a new composite. Don t Tread on Me features a new bronze cast of her paintings, perfectly underscoring Spota s attention to the construction of both narrative and surface.\nAdopting the flattened pictorial space of medieval icons combined with the rich, globular application of paint, Spota creates an ecstatic, almost abstract surface through her brushstroke technique, in which paint is heaped on in indulgent, cake frosting-like daubs and layers.\nSpota was born in New York and earned her B.F.A. at State University of New York at Purchase and her M.F.A. from the School of the Art Institute of Chicago. She lives and works in Los Angeles.\n								",https://smmoa.org/audio/project-room-jeni-spota-dont-tread-on-me/,35af6b8e2d5e
Coming Attractions,Arnold Mesches,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"Arnold Mesches has created unabashedly figurative work for more than six decades and has emerged as a seminal figure in American painting and a remarkably fresh voice in contemporary art. In the West Coast debut of new paintings that explore the American condition,鑱紸rnold Mesches: Coming Attractions鑱給pens at the Santa Monica Museum of Art on January 24 and will be on view through April 18, 2009.\nMesches  most recent work delves into dark periods of American history and situates them in a hauntingly contemporary landscape. His work combines an interest in twentieth century political and social conflicts with a surrealist approach to painting?offsetting frank, historical moments with rich, melodramatic dreamscapes.\nThis new exhibition of Mesches  work, curated by Lisa Melandri, SMMoA s Deputy Director for Exhibitions and Programs, and uniquely installed in two Project Rooms, will feature selections from his most recent series, including landscapes and interiors. Aptly titled,鑱紺oming Attractions鑱絘lludes to the works  theatrical elements, as well as to a portent of what might be to come.\nMesches  large-scale interiors and landscape canvases, are laden with acerbic colors and vigorous brushwork. In his interiors, Mesches fills opulent concert halls and antique salons with stark reminders of social and political realities, rendered in deep blacks, austere whites, and sickly greens against the blazing colors of their surroundings. Mesches  landscapes are similarly harrowing, depicting glimpses of human existence between the trunks of decaying trees. These canvases are portraits of a disturbing, looming future, both absurd and poignant, as well as emotionally authentic.\nThe theatricality and grandeur of the paintings evoke Mesches  own history working in the movie industry during the 1940s and 50s in Los Angeles, and their skepticism and ominous sensibility harkens back to the 27 years he was subject to heavy scrutiny by the FBI for his participation in peace marches and demonstrations against McCarthyism and the House Un-American Activities Committee. Mesches eventually obtained his 760-page FBI file through a Freedom of Information Act (FOIA) request and turned dozens of the documents crisply typed white pages thick with black bars, dating from 1945 to 1972 into a popular and critically acclaimed art exhibition,鑱絋he FBI Files.\nThroughout his 60-plus-year career as an artist, Mesches has woven many narratives into lush and virtuosic paintings, and in鑱紺oming Attractions鑱組esches affirms that he is as potent as a painter and storyteller as ever. His life s work serves as a remarkable record of one artist s struggle to come to terms with the turmoil of the twentieth century. He has stood staunchly for using contemporary art as a vehicle for protest, a visual amplifier of societal good and evil.\nComing Attractions鑱絘lso marks a homecoming for Mesches, who was born in the Bronx, grew up in Buffalo, New York, and moved to Los Angeles in 1943 to accept a scholarship at the Art Center School (now Art Center College of Design). Mesches spent nearly half his life in L.A., and came into his own here in the mid 1940s and into the 50s, becoming known and revered for his socially critical paintings and his portraits. He now resides in Gainesville, Florida. He is the recipient of many awards, including the Pollock-Krasner Foundation Grant (2002).\nMesches has exhibited extensively throughout the United States and abroad in 125 solo exhibitions and countless group shows, and his works are included in many prestigious public and private collections, including the Metropolitan Museum of Art, the National Gallery of Art, the Los Angeles County Museum of Art, the Hirschhorn Museum and Sculpture Garden, the Albright-Knox Museum, and the High Museum of Art. However, Mesches has still not received the global recognition or broad appreciation he so deserves for his influence and importance to the canon of contemporary art. As an antidote to this oversight, SMMoA will install Mesches  work in two Project Rooms, doubling the museum space normally allotted to such exhibitions.\n								",https://smmoa.org/audio/arnold-mesches-coming-attractions-audio/,edd6d9177d15
"Eye of the Needle, Eye of the Heart",Elias Sime,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"From January 24 to April 18, 2009, the Santa Monica Museum of Art presents鑱紼lias Sime: Eye of the Needle, Eye of the Heart, the first survey exhibition in the United States of one of Ethiopia s most original and prolific contemporary artists. The exhibition, co-curated by Meskerem Assegued, a revered Ethiopian curator and anthropologist, and visionary theater, opera, and multi-disciplinary arts impresario, Peter Sellars, is comprised of more than 100 works in a variety of mediums, scale, and forms. A highlight of the exhibition is a series of striking thrones made of leather, wood, mud and straw, which will be integrated into conductor Esa-Pekka Salonen s final Los Angeles Philharmonic concerts staged by Sellars in mid-April.\nElias Sime: Eye of the Needle, Eye of the Heart鑱絯ill be accompanied by a film by award-winning filmmakers Jonathan Dayton and Valerie Faris (Little Miss Sunshine) that will uniquely document the exhibition.\nUsing yarn, plastics, tattered fabric, buttons, used plastic, and bottle tops, each of the collages and stitched canvases Sime creates for鑱紼lias Sime: Eye of the Needle, Eye of the Heart鑱絩epresent a complete essay about the current state of his surroundings. Sime s three-dimensional sculptures are made with traditional organic Ethiopian building materials such as mud and straw, as well as wood, metal, and other found objects, gathered in part by neighborhood children.\nIt was Sellars  passion for Sime s work that initially inspired SMMoA s executive director Elsa Longhauser to consider the idea of an exhibition of Sime s work. During their conversations, Sellars explained that Sime s thrones, designed to elevate and celebrate Ethiopia s street culture, so moved him that he was determined to feature the thrones in his production of Stravinsky s鑱絆edipus Rex鑱絘nd鑱絊ymphony of Psalms, Salonen s final concerts on April 16, 17, 18 and 19. Sime originally designed the thrones for Sellars  2006 New Crowned Hope Festival, a celebration of Mozart s 250th anniversary in Vienna, Austria.\nIn鑱紼lias Sime: Eye of the Needle, Eye of the Heart, the thrones make up part of the installation piece鑱組in Neber, a new iteration of a series of works in which Sime addresses the dignity, wisdom and depth of the ancient indigenous cultures that are rapidly disappearing from Ethiopia. Also, displayed in a semicircle around a small ceremonial table, the installation will include five wall sculptures, made from wood, cans, leather, and stitches, as well as a short, silent video installation documenting indigenous religious practices of small villages in Ethiopia. In鑱組ud and Straw, small mud and straw creatures take over the gallery space. A video installation documents Sime s construction of a Gota, the traditional grain storage container found in northern Ethiopia.\nBIOGRAPHIES:\nAs a child, Elias Sime taught himself to sew, embroider, and repair furniture. He collected cast-off objects and materials, such as flattened tin cans, and fashioned them into his own creations. Today Sime still collects energetically plastic shopping bags in different colors, plastic shoes, horns from slaughtered cattle and buys some of the raw material for his work, such as buttons, at the Mercato, Addis Abeba s sprawling central market. Just as he gathers materials for making art from the markets and streets, Sim?finds the themes for his works in the streets of Addis. He documents the lives and portraits of Ethiopians living in the Cherkos Gebeya, Legaehar and Chide Terra areas surrounding Addis Abeba, where he finds most of his working materials. Sime has deep connections with the communities he documents, in particular with the neighborhood children who bring him objects they collect from the street.\nBorn in Cherkos, outside of Addis Abeba, Ethiopia, Sime graduated from Addis Abeba University s School of Fine Art and Design with a degree in graphic design. His practice focuses mainly on collages, stitches, and three-dimensional sculpture. Sime has had numerous solo shows, and has participated in many group exhibitions including the Studio Museum in Harlem, New York; Peter Sellars  New Crowned Hope in Vienna, Austria; the Dak Art Biennale 2004, in Dakar, Senegal; and the Zoma Contemporary Art Center and the National Museum in Addis Ababa. Sim?lives and works in Addis Ababa.\nPeter Sellars, a director of opera, theatre and film, is renowned worldwide for his innovative treatments of classical material from western and non-western traditions, and for exploring the role of the performing arts in contemporary society and his commitment to spreading artistic vision to enact change. He has served as artistic director of the Los Angeles Festival, the American National Theatre at the Kennedy Center, the Boston Shakespeare Company and the Elitch Theatre for Children in Denver. Sellars is a professor in the department of World Arts and Cultures at UCLA, where he teaches Art as Social Action and Art as Moral Action. His past teaching positions include a visiting professorship at the Center for Theatre Arts at UC Berkeley. He resides in Los Angeles.\nTrained as an anthropologist, Meskerem Assegued is the curator and founder of Addis Abeba s Zoma Contemporary Art Center. In 2006, she curated Green Flame in Vienna, Austria, part of the New Crowned Hope Festival, in which Sime participated. Assegued has served as a selection committee of the 2004 Dak Art Biennale, one of the largest contemporary art exhibitions in the world. In 2007, Assegued was on the selection committee for the African Pavilion in the 52nd Venice Biennale. She lives in Addis Abeba.\n								",https://smmoa.org/video/elias-sime-eye-of-the-needle-eye-of-the-heart-at-smmoa/,edb1e19dfa69
Heavyweight Champion,Martin Kersels,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png," I m not a photographer. I m an artist who uses photography when the idea dictates. And I think that s okay because I m also a performance artist who makes objects, or I m an object-maker who does performances. I think these labels are less important than the ability to go in the directions I d like for each work. \n- Martin Kersels in conversation with Ian Berry, Associate Director, The Frances Young Tang Teaching Museum and Art Gallery at Skidmore College\nFrom September 13 to December 13, 2008, Santa Monica Museum of Art presents鑱組artin Kersels: Heavyweight Champion, the first retrospective of this influential and pioneering Southern California artist. Spanning the years from 1994 to 2007, the exhibition includes thirty-three multimedia artworks ranging from small sculptures, to large-scale photographs, to monumental installations. Kersels has long been esteemed in Southern California artistic and academic circles, and his work is in many collections worldwide. The advent of鑱紿eavyweight Champion鑱絤arks a timely opportunity for this 2008 Guggenheim Foundation Fellow to enjoy the broader recognition and respect his work and creative achievements so well deserve.\nKersels is a long-time aficionado of Buster Keaton, and on first encounter, his artwork seems to exude a similar deadpan slapstick style, balancing the humorous with the wistfully awkward. On further study, this initial impression gives way to darker layers; the performances and works reveal what Kersels refers to as  wink-wink humor mixed with a tragic element.  Early pieces, including the large-scale photographic series of Kersels falling, tripping, tossing people, and being smacked with assorted objects, find the artist experimenting with the creative possibilities of his 6-foot, 7-inch, 350 lb. frame. But the trajectory of Kersels  career as illuminated in鑱紿eavyweight Champion鑱絚learly indicates that he is not a single-issue artist; he is not, in the words of Ian Berry  the body-issue guy.  Particularly in his later work, the artist has gone in more conceptual directions, to explore themes of scale, time, space, sound, and gravity.\nHighlights of鑱紿eavyweight Champion鑱絠nclude the monumental installation鑱紻ionysian Stage?2004-2005), a 14-foot-diameter nest that spins like an enormous, natural disco ball, and incorporates all manner of homey, domestic debris in its woven willow branches. The work evolved from Kersels  interest in utilizing traditional craft in nontraditional ways, and from his study in Sweden and Denmark with master craftspeople.鑱絉ickety?2007), the artist s latest work, is a sculpture that compresses and oppresses furniture and other oversized objects beneath a platform. This lower, slightly topsy-turvy world stands in sharp contrast to the clean openness of the top part of the installation. While some of the other sculptures in the exhibition act as surrogates for Kersels  physical being,鑱絉ickety鑱絠s about the experience of the trials and tribulations of navigating a large body through the world.\nAn engaging range of programming accompanies鑱紿eavyweight Champion, beginning with a performance by the electrifying jazz/punk/blues band Puttanesca on Friday, September 12, the opening night of the exhibition. The concert will take place atop鑱絉ickety. Puttanesca s charismatic vocalist Weba Garretson was, along with Kersels, a member of the performance troupe SHRIMPS, which played a pivotal role in Kersels  development as an artist. Subsequent programming includes鑱紿eavyweight Lecture Musicale(Tuesday, September 23), Kersels  discussion of his work utilizing visual materials, songs, music, and dance, followed by a Q A with the artist; and the dance recital鑱紿uh?, choreographed by Melinda Ring specifically for the exhibition, and performed throughout鑱絉ickety?Friday and Saturday, November 14 and 15).\nHeavyweight Champion鑱絠s accompanied by a full-color catalog illustrating the scope of the artist s work. The publication includes an interview with Martin Kersels by Ian Berry, Associate Director at The Frances Young Tang Teaching Museum and Art Gallery at Skidmore College, where the exhibition debuted.\n								",https://smmoa.org/video/huh-by-melinda-ring-at-smmoa/,aad3db1dba06
Girrrrrl!,Henry Taylor,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"Henry Taylor: Girrrrrl!鑱絠s the first West Coast museum exhibition of this Los Angeles artist, whose paintings poignantly examine the social, political, and racial disparities that persist in the United States.鑱紾irrrrrl!鑱絠ncludes four new works depicting scenes from Taylor s personal life and urban community.\nTaylor uses lush strokes, an exuberant color palette, and the language and logos of products and pop culture in his vivid portrayals of friends, loved ones, local characters, childhood memories, and neighborhood landscapes. The loosely painted and often crudely unfinished surfaces give the works a riveting, tangible immediacy, like Polaroids freshly pulled from the camera. The artist s experiences with poverty and homelessness before his enrollment at CalArts compellingly inform his practice. His unique blend of academic training and outsider s sensibility results in authentic, multilayered insights into the human condition.\nTaylor s exhibition title constructs a humorous duality, at once warmly referring to his mother, sister, and female friends, while also alluding slyly to the iconic Roy Lichtenstein print,鑱紾rrrrrrrr!, featuring an aggressive, growling dog.\n								",https://smmoa.org/audio/project-room-henry-taylor-girrrrrl-audio/,5bbae50f7fd5
Judgment Modification (After Memling),Brody Condon,https://smmoa.org/wp-content/themes/smmoa/images/smmoa-print-template-logo.png,"For鑱絁udgment Modification (After Memling), Brody Condon recreated鑱絋he Last Judgment鑱絙y Hans Memling (1467-71) in current computer game visual styles. While Condon s previous work was characterized by the subversive tactics of hacking and the intervention into commercial computer games,鑱絁udgment Modification鑱絩evealed his shift to composing projected moving-image installations that function as animated paintings. These noninteractive  self-playing  games run continuously, like games waiting for the viewer to pick up the controller.\nCondon s creative process is informed by the software hacking logic he learned directly from online and offline fan subcultures. In his work he often reinterprets historical events and existing artworks. Examples of this include a two-hour  Deathmatch  battle between medieval reenactors (Untitled War,?004) at Machine Project; and a computer simulation of the siege of the Branch Davidian compound in Waco, Texas, featuring an AK47-wielding David Koresh (Waco Resurrection,?003, a C-level collaboration). Trained as a sculptor, Condon uses technology as the raw material for his art, creating works that are both profound and playful.\nCondon lived for a number of years in the Netherlands, where he had easy access to 15th-century European religious paintings. He believes that these works influence the visual style of games and fantasy art. He also believes that the catastrophic thinking these works reflect has greatly influenced the current political discourse.  The references to monsters and wars, the emergence of readings of the Bible, the distrust of science, the faith in religious structures to solve our problems, this type of pre-modern thinking is rooted in the late-Medieval period in northern Europe,  notes Condon.\n								",https://smmoa.org/audio/brody-condon-judgement-modification-after-memling-audio/,fd98ce8c91b0
