technique,provenance,title,imageUrl,dimensions,artist,additionalInfo,url,production_id
Photograph and Negative,Museum purchase,Claude Fiddler in his Studio,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CFIDDLE%7E1%2EBMP,"19½ x 19½"", 8 x 10"" negative",Armando Solis,photographic reproduction,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Armando+Solis&whereclause=where+maker%3D%27Armando+Solis%27+OR+cleanmaker%3D%27Armando+Solis%27+OR+maker1%3D%27Armando+Solis%27+OR+maker2%3D%27Armando+Solis%27+OR+maker3%3D%27Armando+Solis%27+OR+maker4%3D%27Armando+Solis%27+OR+maker5%3D%27Armando+Solis%27&current_record=1,269bfac5cb5f
Sheet music,Gift of Estate of Marjorie P. Johnson,"""Oh! What A Beautiful City""",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CSheet%5Fmusic%5CPooleJohnson%5Fsheetmusic+copy%2Ejpg,12 H x 9 W,Arranged by Edward Boatner,Sheet music with illustration of cityscape in lower right portion of cover page. Total of six pages.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Arranged+by+Edward+Boatner&whereclause=where+maker%3D%27Arranged+by+Edward+Boatner%27+OR+cleanmaker%3D%27Arranged+by+Edward+Boatner%27+OR+maker1%3D%27Arranged+by+Edward+Boatner%27+OR+maker2%3D%27Arranged+by+Edward+Boatner%27+OR+maker3%3D%27Arranged+by+Edward+Boatner%27+OR+maker4%3D%27Arranged+by+Edward+Boatner%27+OR+maker5%3D%27Arranged+by+Edward+Boatner%27&current_record=1,8a95af3b0666
Gouche and conte on paper,Gift of Jessica and Nancy McKinney,"Minkisi Figure/Kalunga Heads, series VII",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDAS+Foto%5CCarraway%2Ebmp,"31"" H x 25"" W",Arthur Carraway,"Man with (2) heads shown from frontal view, references to African heritage with Makonde influence.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Arthur+Carraway&whereclause=where+maker%3D%27Arthur+Carraway%27+OR+cleanmaker%3D%27Arthur+Carraway%27+OR+maker1%3D%27Arthur+Carraway%27+OR+maker2%3D%27Arthur+Carraway%27+OR+maker3%3D%27Arthur+Carraway%27+OR+maker4%3D%27Arthur+Carraway%27+OR+maker5%3D%27Arthur+Carraway%27&current_record=1,954a03b35e8e
"Bronze, steel wire, ceramic shell and resin",Museum purchase,Emerging Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FEmergingWoman%2Ejpg,"32.5"" H x 15"" W x 10"" D",Artis Marie Lane,"Female figure balancing on proper left leg. ""Emerging"" refers to the female form that is revealed with the removal of the ceramic shell resin [investment] as part of the casting process. Part of the ""dialogue series"" see reference number 2002.4.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=1,3c914a233145
Bronze with black patina,"Museum purchase with Arts Council funds in memory of John T. Riddle, Jr.",Woman,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FWoman%2Ejpg,"32.25"" H x 15"" W x 10""D",Artis Marie Lane,"Striding woman balanced on proper right foot with hands on hip. Artist's proof. Part of the ""dialogue series"" see reference number 2001.10.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=2,c0ac8bf24f99
"Bronze, ceramic shell, resin","Gift of Friends, The Foundation of the California African American Museum through the generous donations of the Annenberg Foundation and the James Irvine Foundation",Emerging First Man,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLoans%5CIL15%5F2005%2Ejpg,"75"" H x 20""W x 12"" D",Artis Marie Lane,"Larger than life male nude with hands placed over genitalia, gazing upward. Modeled after actor Djimon Hounsou.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=3,8d58a42ff489
Lithograph,"Gift of Friends, The Foundation of the California African American Museum",The Beginning,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CArtis%5FLane%5CLane%5FBeginning%2Ejpg,"33"" H x 35.25"" W",Artis Marie Lane,Rosa Parks shown seated on a bus with White man seated behind her. She gazes out of the window.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Artis+Marie+Lane&whereclause=where+maker%3D%27Artis+Marie+Lane%27+OR+cleanmaker%3D%27Artis+Marie+Lane%27+OR+maker1%3D%27Artis+Marie+Lane%27+OR+maker2%3D%27Artis+Marie+Lane%27+OR+maker3%3D%27Artis+Marie+Lane%27+OR+maker4%3D%27Artis+Marie+Lane%27+OR+maker5%3D%27Artis+Marie+Lane%27&current_record=4,4f7b2fd59f59
ink on paper,Museum purchase,The Betrayal: The Strangest Love Story Ever Told [poster],http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMovies%5CMicheaux%5FBetrayal%2Ejpg,"54½"" H x 42"" W",Astor Pictures/Oscar Micheaux,"Movie poster depicting scenes from Oscar Micheaux's thrilling motion picture epic, ""The Betrayal: The Strangest Love Story Ever Told"". Starring Lou Vernon and William Byrd.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Astor+Pictures%2FOscar+Micheaux&whereclause=where+maker%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+cleanmaker%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker1%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker2%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker3%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker4%3D%27Astor+Pictures%2FOscar+Micheaux%27+OR+maker5%3D%27Astor+Pictures%2FOscar+Micheaux%27&current_record=1,6d3730e9bd48
pastel and charcoal on paper,Gift of Vertenis Shephard,Caricature of Vertenis Shephard,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKen+Renard%5CVertenis%2Ejpg,"14"" H x 11"" W",[Bailey] of Universal City Studios,"Caricature of the donor, Vertenis Shephard, a family friend of Ken Renard.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+%5BBailey%5D+of+Universal+City+Studios&whereclause=where+maker%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+cleanmaker%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker1%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker2%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker3%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker4%3D%27%5BBailey%5D+of+Universal+City+Studios%27+OR+maker5%3D%27%5BBailey%5D+of+Universal+City+Studios%27&current_record=1,0079d052e2e4
Wood,Gift of Dr. and Mrs. Melvin Silverman,Bambara Door Lock,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CBamana%5FdoorLock%2Ejpg,"13"" x 15½"" x 3""",Bambara people of Mali,Bambara door lock.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Bambara+people+of+Mali&whereclause=where+maker%3D%27Bambara+people+of+Mali%27+OR+cleanmaker%3D%27Bambara+people+of+Mali%27+OR+maker1%3D%27Bambara+people+of+Mali%27+OR+maker2%3D%27Bambara+people+of+Mali%27+OR+maker3%3D%27Bambara+people+of+Mali%27+OR+maker4%3D%27Bambara+people+of+Mali%27+OR+maker5%3D%27Bambara+people+of+Mali%27&current_record=1,efcd5abd1bd9
oil and collage on canvas,California Afro-American Museum Foundation purchase,Cherries,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCherries%2Ejpg,"30 x 46""",Benny Andrews,Collage painting of seated individual at a table with a bowl full of cherries and a vase.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Benny+Andrews&whereclause=where+maker%3D%27Benny+Andrews%27+OR+cleanmaker%3D%27Benny+Andrews%27+OR+maker1%3D%27Benny+Andrews%27+OR+maker2%3D%27Benny+Andrews%27+OR+maker3%3D%27Benny+Andrews%27+OR+maker4%3D%27Benny+Andrews%27+OR+maker5%3D%27Benny+Andrews%27&current_record=1,bfcd5e0a380d
Pen and ink drawing,Gift of Dr. and Mrs. Leon O. Banks,Burial (Georgia),http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDASFOT%7E1%5CFUNERAL%2EJPG,"20.5"" x 16""",Benny Andrews,"Signed, titled and dated (August 1965) lower left. A deceased person is in an open casket with his head turned towards a grieving elderly man standing close by. A grieving couple stands on the other side of the casket and a minister stands behind a lecturn that has an open book on it, presumably a Bible.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Benny+Andrews&whereclause=where+maker%3D%27Benny+Andrews%27+OR+cleanmaker%3D%27Benny+Andrews%27+OR+maker1%3D%27Benny+Andrews%27+OR+maker2%3D%27Benny+Andrews%27+OR+maker3%3D%27Benny+Andrews%27+OR+maker4%3D%27Benny+Andrews%27+OR+maker5%3D%27Benny+Andrews%27&current_record=2,08772b33f89b
Acrylic on canvas,Gift of Dr. and Mrs. Bernard Kirsch,A Patch of Purple,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CCasey%5FPurple%2Ejpg,"36"" H x 24"" W",Bernie Casey,Three patches of purple tints with half-circle shapes painted within the three purple areas.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Bernie+Casey&whereclause=where+maker%3D%27Bernie+Casey%27+OR+cleanmaker%3D%27Bernie+Casey%27+OR+maker1%3D%27Bernie+Casey%27+OR+maker2%3D%27Bernie+Casey%27+OR+maker3%3D%27Bernie+Casey%27+OR+maker4%3D%27Bernie+Casey%27+OR+maker5%3D%27Bernie+Casey%27&current_record=1,0c6d8aa09e94
Sheet music,Gift of Anonymous donor,"""Three Little Words"" featured in Check and Double Check with Amos N Andy",http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CRuben%5FAmosAndy%2Ejpg,"12"" H x 9"" W",Bert Kalmar and Harry Ruby,Six page sheet music from the Radio Picture featuring illustrated caricatures of Amos and Andy and a dog on the cover.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Bert+Kalmar+and+Harry+Ruby&whereclause=where+maker%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+cleanmaker%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker1%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker2%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker3%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker4%3D%27Bert+Kalmar+and+Harry+Ruby%27+OR+maker5%3D%27Bert+Kalmar+and+Harry+Ruby%27&current_record=1,d2a2b9107c7b
"Mixed media, cloth",Gift of the Wives of the Bench and Bar,Floating Figure with Seven Spades,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSpades%2Ebmp,"14½ x 14½"" x ¾""",Betye Saar,"Central female figure surrounded by images of a butterfly, leaves, moon and playing card stitched onto handkerchief.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=1,947061c4d3af
"wood, cloth, paint, mirror, plastic objects, transparency","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department",Sambo's Banjo,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CBanjo%2Ejpg,"41"" x 14.5"" x 4.5""",Betye Saar,"Image of Sambo figure on cover of banjo case, wooden toy Sambo figure inside along with plastic rifle, mirror, transparency of male banjo player and metal skeleton figure with colored photocopy of lynched man. Also included is a large slice of watermelon made of wood with seeds attached to it.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=2,c94558591fb1
"ink and paper, serigraph",Gift of Mr. & Mrs. Nicholas Buzolich; Mr. & Mrs. Buzolich,Summer Garden,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CSummer+Garden%2Ejpg,"21.5"" x 29"" x 0.75""",Betye Saar,Serigraph of garden of different shades of green with blue sky in background and sun.,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=3,f6ebff0c8005
ink etching,Gift of Mr. & Mrs. Nicholas Buzolich; Mr. & Mrs. Buzolich,The Beastie Parade,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CBeastie+Parade%2Ejpg,"10.75"" x 19.75"" x 1""",Betye Saar,"Menagerie of colorful animals including a rooster, lion, horse and mythological mermaid holding a large red fish.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=4,c31ab4755334
ink etching,Gift of Mr. & Mrs. Nicholas Buzolich,Walking Girl with Bird,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CWalking+Girl%2Ejpg,"12.75"" x 10.75"" x 1""",Betye Saar,Girl walking holding a bird in left hand with the sun and moon shown above her. Edition 9/25,http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=5,67c89a752a1c
"wood, paper, paint, fabric, glass, feathers, fibers, beads, plastic objects","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department",Nine Mojo Secrets,http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSaar%5CMojo%2Ejpg,"49.75"" x 23.5"" x 1.75""",Betye Saar,"Mixed media assemblage: Central image of group of young african men participating in initiation rites surrounded by symbolic images of astrology and mysticism. Also included are plastic skeletons and a toy lion with skeleton head, all this set into a wood window pane frame.",http://trio.caamuseum.org/itemdetail.asp?searchdesc=Records+where+the+Artist%2FMaker+is+Betye+Saar&whereclause=where+maker%3D%27Betye+Saar%27+OR+cleanmaker%3D%27Betye+Saar%27+OR+maker1%3D%27Betye+Saar%27+OR+maker2%3D%27Betye+Saar%27+OR+maker3%3D%27Betye+Saar%27+OR+maker4%3D%27Betye+Saar%27+OR+maker5%3D%27Betye+Saar%27&current_record=6,16cbd3b0b2c5
