birthYear,image-URL,collection,type,url,title,nationality,when-acquired,dimensions,birthPlaceCity,artistName,credit,deathYear,production_id
1925,http://www.sfmoma.org/images/artwork/medium/83.365_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/12798,Untitled [Masked Boy Standing in Doorway],American,1983,17.78 cm x 14.29 cm,Normal,Ralph Eugene Meatyard,Gift of Van Deren Coke,1972,dbe3d58f9c5a
1892,http://www.sfmoma.org/images/artwork/medium/90.24_01_b02.jpg,SFMOMA,Architectural drawing,http://www.sfmoma.org/explore/collection/artwork/6150,"Bird's-eye view of the proposed airport at China Basin, San Francisco",American,1990,36.83 cm x 51.44 cm,San Francisco,Timothy L. Pflueger,Accessions Committee Fund purchase,1946,ebcc867378cb
1893,http://www.sfmoma.org/images/artwork/medium/64.58_01_l02.jpg,SFMOMA,Paintings,http://www.sfmoma.org/explore/collection/artwork/229,L' aube parfumée par la pluie d'or (Dawn Perfumed by a Shower of Gold),Spanish,1964,107.95 cm x 54.29 cm,Barcelona,Joan Miró,Gift of Wilbur D. May,1983,fd9de5254a62
1893,http://www.sfmoma.org/images/artwork/medium/80.428_01_d02.jpg,SFMOMA,Paintings,http://www.sfmoma.org/explore/collection/artwork/227,Peinture (Paintings) [formerly Dark Brown and White Oval],Spanish,1980,73.34 cm x 92.08 cm,Barcelona,Joan Miró,Gift of Joseph M. Bransten in memory of Ellen Hart Bransten,1983,dbabb50919b9
1925,http://www.sfmoma.org/images/artwork/medium/79.440_01_d02.jpg,SFMOMA,Paintings,http://www.sfmoma.org/explore/collection/artwork/231,Untitled,American,1979,209.25 cm x 189.23 cm,Chicago,Joan Mitchell,Gift of Sam Francis,1992,f081c65c3a98
1925,http://www.sfmoma.org/images/artwork/medium/75.146_01_b02.jpg,SFMOMA,Paintings,http://www.sfmoma.org/explore/collection/artwork/230,Untitled,American,1975,60.96 cm x 49.86 cm,Chicago,Joan Mitchell,Gift of Sam Francis,1992,0b64c5a4e5c8
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.270_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/107165,Tina Modotti and Edward Weston,"American, born Italy",2001,5.72 cm x 8.26 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,ad3c0997696a
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.41.JPG,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106195,"Unitled [""Market scene - Xochimilco""]","American, born Italy",2001,7.62 cm x 10 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,a741e392ce70
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.92_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106246,Untitled,"American, born Italy",2001,9.21 cm x 7.46 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,0f0655050a46
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.81_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106235,Untitled,"American, born Italy",2001,9.21 cm x 6.99 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,af1bd86435dd
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.49_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106203,Untitled,"American, born Italy",2001,11.43 cm x 9.21 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,c9bc2fb321ef
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.83_01_f03.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106237,Untitled (Four Women Doing Laundry),"American, born Italy",2001,7.46 cm x 10.16 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,bade482948ca
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.94_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106248,Untitled (Man with Box of Plants on His Head),"American, born Italy",2001,8.57 cm x 7.14 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,c030b34e9263
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.111_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106265,Untitled (Popular Festival in a Town near Tehuan),"American, born Italy",2001,7.78 cm x 10.32 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,04369bf17b31
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.99_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106253,Untitled (Portrait of Benvenuto Modotti),"American, born Italy",2001,8.57 cm x 9.68 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,a48e00f81724
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.115_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106269,Untitled (Two Barefoot Boys with Baskets),"American, born Italy",2001,9.21 cm x 6.03 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,908a20396d65
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.118_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106272,Untitled (Village Street),"American, born Italy",2001,10 cm x 7.62 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,1439002b9823
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.121_01_g03.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106275,Untitled (Woman Carrying Load of Wood),"American, born Italy",2001,9.84 cm x 7.46 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,3977259dd766
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.124_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106278,Untitled (Woman Lifting Skirt with Basket on Head),"American, born Italy",2001,8.89 cm x 7.94 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,45aff710fcba
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.1_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106155,"Untitled [""1st of May Manifestation - Labor Day - Taken from a balcony of the National Palace""]","American, born Italy",2001,7.46 cm x 10.16 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,822d9b10ad04
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.2_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106156,"Untitled [""A bakery boy in a little town carrying bread in that basket to sell""]","American, born Italy",2001,9.84 cm x 7.46 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,62847c2d8a4b
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.6_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106160,"Untitled [""A popular festival in a town near Tehuantepec""]","American, born Italy",2001,7.62 cm x 10.16 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,dbdaa9630c66
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.8_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106162,"Untitled [""A stall in the Alameda selling Indian wares""]","American, born Italy",2001,10.16 cm x 7.94 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,7db2ae144b95
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.9_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106163,"Untitled [""A toy stand during the Easter holidays in the Alameda'']","American, born Italy",2001,7.46 cm x 8.41 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,664fe19f4078
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.10_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106164,"Untitled [""An aqueduct built at the time of the Spanish conquest""]","American, born Italy",2001,7.62 cm x 10 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,3208278fa10d
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.13.JPG,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106167,"Untitled [""Chair made by indians for their own use""]","American, born Italy",2001,9.05 cm x 7.3 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,ff08a365321e
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.14_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106168,"Untitled [""Costume from Tehuantepec""]","American, born Italy",2001,8.89 cm x 6.35 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,7e84a4a9ab38
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.20_small_ema.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106174,"Untitled [""Detail of altar in catholic church""]","American, born Italy",2001,10 cm x 6.99 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,cd75c401a745
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.21_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106175,"Untitled [""Everything is carried on the head by the women in T.""]","American, born Italy",2001,9.84 cm x 7.46 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,9df8a3a5c8fa
1886,http://www.sfmoma.org/images/artwork/medium/2001.88.22_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106176,"Untitled [""Exterior of our house in Tacubaya - but maybe I already sent you one""]",American,2001,5.72 cm x 9.84 cm,Highland Park,Edward Weston,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1958,ce0576ce45e5
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.23_small_ema.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106177,"Untitled [""Facade of an old church built by the spaniards in Mexico""]","American, born Italy",2001,9.84 cm x 7.3 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,b160c20cff30
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.24.JPG,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106178,"Untitled [""Hotel in Cuernavaca""]","American, born Italy",2001,7.46 cm x 10.16 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,5fcf00ffa092
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.25_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106179,"Untitled [""Indian fishermen drying the nets""]","American, born Italy",2001,7.62 cm x 10 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,fe1f53b9e7ad
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.26_01_b03.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106180,"Untitled [""Indian rain-coat made of straw""]","American, born Italy",2001,10 cm x 7.46 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,ebfe27069f6a
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.27_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106181,"Untitled [""Indian woman selling cabbage""]","American, born Italy",2001,7.62 cm x 9.84 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,01813b3b7a0f
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.28_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106182,"Untitled [""Indians carrying blocks of stone on their back for the construction of a building""]","American, born Italy",2001,7.46 cm x 10.16 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,abcb72eeaae3
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.29_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106183,"Untitled [""Indians carrying loads of corn husks for the making of 'tamales' ""]","American, born Italy",2001,9.84 cm x 7.62 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,99e58fdfefb4
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.30_01_g03.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106184,"Untitled [""Indians getting fertalizer [sic] from the bottom of the canal at Xochimilco""]","American, born Italy",2001,7.62 cm x 10 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,89421ebc4241
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.34_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106185,"Untitled [""Indians kneeling in front of a church entrance""]","American, born Italy",2001,8.26 cm x 10.16 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,5812f3886e7b
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.33.JPG,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106187,"Untitled [""July 30 1927""]","American, born Italy",2001,7.46 cm x 10 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,b35eb46eed8c
1886,http://www.sfmoma.org/images/artwork/medium/2001.88.34_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106188,"Untitled [""Leather work for trimming of 'Charro' suits""]",American,2001,12.07 cm x 24.13 cm,Highland Park,Edward Weston,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1958,7b1d8481e3db
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.35_small_ema.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106189,"Untitled [""Little girl taking part in a Mexican folk dance""]","American, born Italy",2001,10.16 cm x 6.51 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,917ec355b46c
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.36_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106190,"Untitled [""Loading bananas in Veracruz for the U.S.""]","American, born Italy",2001,10 cm x 7.46 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,73bc8879215b
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.37.JPG,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106191,"Untitled [""Making tortillas""]","American, born Italy",2001,7.46 cm x 10 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,cc98519baa89
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.38_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106192,"Untitled [""Man carrying a load of straw on his back""]","American, born Italy",2001,9.37 cm x 7.3 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,9853ee2255cf
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.39_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106193,"Untitled [""Market day - Notice the man at the right carrying his shopping in his hat""]","American, born Italy",2001,7.3 cm x 9.21 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,aed3f166e921
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.40.JPG,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106194,"Untitled [""Market day in a little town""]","American, born Italy",2001,7.3 cm x 9.84 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,83bf9ae1d15a
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.42_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106196,"Untitled [""Market scene""]","American, born Italy",2001,7.46 cm x 6.99 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,b3837ff3d54e
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.44_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106198,"Untitled [""Mexican house""]","American, born Italy",2001,19.05 cm x 24.29 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,9a9e85dc7dc5
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.46_01_b02.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106200,"Untitled [""People waiting in front of the National Pawn Shop to go and pawn their poor belongings""]","American, born Italy",2001,6.67 cm x 7.62 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,de784e3c471e
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.50_small_ema.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106204,"Untitled [""San Francisco Acatepec Puebla - Church façade""]","American, born Italy",2001,8.57 cm x 6.19 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,5f22c866eae6
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.51_small_ema.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106205,"Untitled [""Stone carving""]","American, born Italy",2001,9.68 cm x 6.83 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,44cfb3b2d833
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.53_small_ema.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106207,"Untitled [""Street scene in Guanajuato""]","American, born Italy",2001,10 cm x 7.46 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,c7a75363a893
1896,http://www.sfmoma.org/images/artwork/medium/2001.88.58_01_f03.jpg,SFMOMA,Photograph,http://www.sfmoma.org/explore/collection/artwork/106212,"Untitled [""The clouds are almost every day so wonderful. This picture I took from our azotea looking toward Chapultepec. You can see the outline of the castle.""]","American, born Italy",2001,6.51 cm x 10 cm,Udine,Tina Modotti,"Purchase through a gift of the Art Supporting Foundation, John ""Launny"" Steffens, Sandra Lloyd, Shawn and Brook Byers, Mr. and Mrs. George F. Jewett, Jr., and anonymous donors",1942,8605bdb72121
