origin,credit_line,birth_year,death_year,nationality,Label_on_page,dates,name,title,technique,image_url,dimension,production_id
"Made in United States, North and Central America","The George W. Elkins Collection, 1924",1836,1910,American,"The dramatic rescue from a foundering ship shown here was made possible by a recent innovation in lifesaving technology, the breeches buoy. Secured firmly to ship and shore, the device permitted the transfer of stranded passengers to safety by means of a pulley that was hauled back and forth by crews at either end. Cropped down to its essentials, Homer's composition thrusts us into the midst of the action with massive waves rolling past, drenching the semiconscious woman and her anonymous savior.",1884,Winslow Homer,The Life Line,Oil on canvas,http://www.philamuseum.org/images/cad/large/E1924-4-15v1-pma.jpg,28 5/8 x 44 3/4 inches (72.7 x 113.7 cm),65d0c3463aa0
"Made in Maine, United States, North and Central America","Gift of Dr. and Mrs. George Woodward, 1939",1836,1910,American,A tiny ship on the horizon is dwarfed by the breakers beating the shoreline near Homers studio in Maine.,1894,Winslow Homer,Prout's Neck Surf 1894,Transparent and opaque watercolor over traces of graphite with scraping on heavy wove paper,http://www.philamuseum.org/images/cad/large/1939-7-6-pma.jpg,Sheet: 14 x 21 7/16 inches (35.6 x 54.5 cm),2d940e9fa1ef
"Published in New York City, New York, United States, North and Central America","Purchased with the American Art Revolving Fund, 2011",1836,1910,American,"Transatlantic travel looks like fun in Homers recollection of his own trip to France in 186667. Stylish passengers stroll the deck, read, doze, uncork bottles, and inspect the marine life via telescope, seemingly unfazed by the steep tilt of their vulnerable, wooden world. Employed as an illustrator of topics from modern life, Homer had a sharp eye for fashion, leisure activity, and pretty girls. He envisions a bachelors paradise, where attractive young women abound and flirtatious winds expose a well-turned ankle.",1867,After Winslow Homer,Homeward-Bound,Wood engraving,http://www.philamuseum.org/images/cad/large/2011-177-1-pma.jpg,Image: 13 9/16 x 20 3/8 inches (34.4 x 51.8 cm)\r\nSheet: 15 x 21 7/16 inches (38.1 x 54.5 cm),036aa6e00c51
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of John T. Morris, 1915",1835,1837,Philadelphia,"In 1835 the Pennsylvania Assembly voted to incorporate the Tucker and Hemphill Factory as the American Porcelain Company. Thomas Tucker continued to manage the new concern, which produced the same porcelain wares as before, with few stylistic changes, until its closing in 1837.",1835-1837,Possibly made by American Porcelain Company (formerly Tucker Factory),Pitcher,Porcelain with enamel and gilt decoration,http://www.philamuseum.org/images/cad/large/1915-119-ov.jpg,11 5/8 x 8 9/16 inches (29.5 x 21.7 cm),3905a4c78cf9
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1962,Edna Andrade,Trees,Brush and black ink with ink wash on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-8-pma.jpg,Sheet: 16 5/8 x 10 5/8 inches (42.2 x 27 cm),2847bf2444f2
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1972,Edna Andrade,Study for Torsion 1,Graphite on thin cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-14-pma.jpg,Sheet: 9 1/4 x 10 1/2 inches (23.5 x 26.7 cm),965d5e5d6e86
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1972,Edna Andrade,Study for Night Sea (possibly),Graphite on heavy cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-15-pma.jpg,Sheet: 19 3/4 x 11 3/4 inches (50.2 x 29.8 cm),89476d7a97fe
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1979-1980,Edna Andrade,"Study for ""Grid, 1980""",Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-22-pma.jpg,Sheet: 11 x 9 5/8 inches (27.9 x 24.4 cm),234b472ad43a
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1964,Edna Andrade,Study,Black and red fiber-tipped pen on yellow tracing paper,http://www.philamuseum.org/images/cad/large/2008-100-12-pma.jpg,Sheet: 12 x 14 inches (30.5 x 35.6 cm),58615a829370
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1976-1977,Edna Andrade,Grid Drawing,Colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-19-pma.jpg,Sheet: 11 x 8 1/2 inches (27.9 x 21.6 cm),0c78a94cb9ac
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1976-1977,Edna Andrade,Grid Drawing,Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-18-pma.jpg,Sheet: 11 x 9 7/8 inches (27.9 x 25.1 cm),7279e6882c4c
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1962,Edna Andrade,Forest,Brush and black ink with ink wash on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-9-pma.jpg,Sheet: 11 x 17 inches (27.9 x 43.2 cm),43c76fe0bff9
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1982,Edna Andrade,Flip Flop,Graphite and colored pencil on cream wove paper (diptych),http://www.philamuseum.org/images/cad/large/2008-100-23a-pma.jpg,Sheet (left panel): 12 7/8 x 9 inches (32.7 x 22.9 cm)\r\nSheet (right panel): 13 3/4 x 9 inches (34.9 x 22.9 cm),d2df977eeb83
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1979,Edna Andrade,Finale Drawing,Graphite and colored pencil on graph paper,http://www.philamuseum.org/images/cad/large/2008-100-20-pma.jpg,Sheet: 11 x 10 inches (27.9 x 25.4 cm),c840219e98ba
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1963,Edna Andrade,Figure Moving,Pen and black ink on thin beige wove paper,http://www.philamuseum.org/images/cad/large/2008-100-11-pma.jpg,Sheet: 13 x 17 inches (33 x 43.2 cm),5752306e98bb
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1961,Edna Andrade,Figure and Bird Line Drawing III,Pen and black ink on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-6-pma.jpg,Sheet: 14 x 17 inches (35.6 x 43.2 cm),9af8e8d99dea
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1948,Edna Andrade,Disappearing Man and Conch Shell,Opaque watercolor on beige wove paper,http://www.philamuseum.org/images/cad/large/2008-100-3-pma.jpg,Sheet: 8 1/8 x 9 3/4 inches (20.6 x 24.8 cm),bf62a60e1aff
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1970,Edna Andrade,Decagon,White opaque watercolor or ink on tan card with silver foil facing paper,http://www.philamuseum.org/images/cad/large/2008-100-13-pma.jpg,Sheet: 9 x 9 inches (22.9 x 22.9 cm),a6480596708e
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1979,Edna Andrade,"Color Grid Diptych (Related to ""Grid,"" 1980)",Graphite and colored pencil on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-21-pma.jpg,Sheet: 8 9/16 x 11 inches (21.7 x 27.9 cm),e034ffd5e1d8
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1941,Edna Andrade,Bailey Island Shore,Graphite on tan wove paper,http://www.philamuseum.org/images/cad/large/2008-100-1-pma.jpg,Sheet: 9 x 11 1/2 inches (22.9 x 29.2 cm),17af87b95cee
"Made in United States, North and Central America",© Estate of Edna Andrade,1917,2008,American,"Purchased with the Marion Stroud Fund for Contemporary Art on Paper, the Margaretta S. Hinchman Fund, and the Joseph E. Temple Fund, 2008",1982,Edna Andrade,Stripe Study,Graphite and colored pencil on cream wove paper,http://www.philamuseum.org/images/cad/large/2008-100-24-pma.jpg,Sheet: 13 11/16 x 9 1/8 inches (34.8 x 23.2 cm),8f98cff81cb9
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Purchased with the bequest of Margaret McKee Breyer, the Titus C. Geesey Collection, Mrs. C. E. Warner, J. Stogdell Stokes, the estate of Dr. Charles Koder, the Haas Community Funds, Mr. and Mrs. George B. Emeny, Mrs. Elizabeth Titus, and Mrs. Xavier von Erdberg (by exchange) in honor of the 125th Anniversary of the Museum, 2002",1835,1896,Philadelphia,"Purchased with the bequest of Margaret McKee Breyer, the Titus C. Geesey Collection, Mrs. C. E. Warner, J. Stogdell Stokes, the estate of Dr. Charles Koder, the Haas Community Funds, Mr. and Mrs. George B. Emeny, Mrs. Elizabeth Titus, and Mrs. Xavier von Erdberg (by exchange) in honor of the 125th Anniversary of the Museum, 2002",1865-1880,Attributed to Allen and Brother,Center Table,"Walnut, Circassian walnut l veneer, ebonized and gilt decoration; brass; marble top",http://www.philamuseum.org/images/cad/large/2002-79-1-ov-CX.jpg,30 3/4 x 58 1/2 x 30 1/2 inches (78.1 x 148.6 x 77.5 cm),04cc9125efa9
"Made in Philadelphia, Pennsylvania, United States, North and Central America","125th Anniversary Acquisition. Gift of the McNeil Americana Collection, 2007",1790,1814,American(bornScotland),This chair was likely commissioned for the Philadelphia residence of George and Martha Washington and served as the prototype for a suite of similarly designed chairs commissioned for and still on view at their Mount Vernon estate in Virginia.,1785-1795,Attributed to John Aitken,Side Chair,"Mahogany, lightwood stringing, ash, softwood",http://www.philamuseum.org/images/cad/large/2007-65-6-ov.jpg,37 1/4 x 21 x 20 1/2 inches (94.6 x 53.3 x 52.1 cm)\r\nSeat: 17 1/2 x 21 x 17 1/2 inches (44.5 x 53.3 x 44.5 cm),8bd23a7000d4
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Mrs. Harry A. Batten in memory of her husband, 1967",1740,1795,American(bornScotland),"This fire screen, used to block direct heat from an open hearth, was one of four ordered by John Cadwalader for his home in Philadelphia.",1771,Stand and frame made by the Workshop of Thomas Affleck,Fire Screen,Mahogany; modern embroidered silk textile,http://www.philamuseum.org/images/cad/large/1967-266-1v1-cons.jpg,5 feet 2 1/4 inches x 19 x 17 1/2 inches (158.1 x 48.3 x 44.5 cm)\r\nHeight (Screen): 22 1/4 inches (56.5 cm),96aca1010f95
"Made in Philadelphia, Pennsylvania, United States, North and Central America","125th Anniversary Acquisition. Gift of H. Richard Dietrich, Jr., 2001",1740,1795,American(bornScotland),"The Cadwalader family commissioned this easy chair as part of a suite of furniture for their Second Street house in Philadelphia. With its curved rails, sharply angled knees, hairy paws, and sensuous carved ornament, it closely corresponds to the other pieces of Cadwalader furniture in the Museum's collection. The upholstery and trim was a lavish display of wealth and taste.",1770-1771,Made by the workshop of Thomas Affleck,Easy Chair,"Mahogany, yellow pine, white oak, white cedar, black walnut, tulip poplar",http://www.philamuseum.org/images/cad/large/2001-12-1view3.jpg,46 x 36 1/2 x 34 inches (116.8 x 92.7 x 86.4 cm),588a27b7dbea
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Purchased for the Cadwalader Collection with funds contributed by the Mabel Pew Myrin Trust and with the gift of an anonymous donor, 1984",1740,1795,American(bornScotland),"Purchased for the Cadwalader Collection with funds contributed by the Mabel Pew Myrin Trust and with the gift of an anonymous donor, 1984",1770-1771,Workshop of Thomas Affleck,Card Table,"Mahogany, yellow pine, yellow poplar, oak",http://www.philamuseum.org/images/cad/large/1984-6-1view1.jpg,28 7/8 x 39 x 19 3/4 inches (73.3 x 99.1 x 50.2 cm),4f226ed0f953
"Made in Philadelphia, Pennsylvania, United States, North and Central America","Gift of Holly Rogers Nardi, and gifts (by exchange) of R. Ball Dodson, the heirs of J. Stogdell Stokes, Walton Hooker Nason Jr., James K. DeArmond, Jr., and Dr. Anna Janney DeArmond, R. Wistar Harvey, Mrs. Sarah Bierly Dutton Spang, Elizabeth Wheatley Bendiner, Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, Lydia Thompson Morris, David Stockwell for the Walter J. Johnson Memorial, Lisa Norris Elkins, 2011",1740,1795,American(bornScotland),"Gift of Holly Rogers Nardi, and gifts (by exchange) of R. Ball Dodson, the heirs of J. Stogdell Stokes, Walton Hooker Nason Jr., James K. DeArmond, Jr., and Dr. Anna Janney DeArmond, R. Wistar Harvey, Mrs. Sarah Bierly Dutton Spang, Elizabeth Wheatley Bendiner, Emily Bacon Morrison in memory of Edward and Lizzie W. Bacon, Lydia Thompson Morris, David Stockwell for the Walter J. Johnson Memorial, Lisa Norris Elkins, 2011",1760-1770,Attributed to Thomas Affleck,Side Chair,"Mahogany, yellow pine",http://www.philamuseum.org/images/cad/large/2011-88-1v1-pma.jpg,40 3/16 x 22 1/16 x 22 7/16 inches (102.1 x 56 x 57 cm),ae0315fe8dea
"Made in New York, United States, North and Central America","Gift of Laverne International, 1971",1909,2003,American,"Eero Saarinen's ""Pedestal"" chair, introduced in 1957, was an instant success. This ""Champagne"" chair is one of the many variations on that design created in the late 1950s and 1960s.",Designed 1962,Designed by Erwine Laverne,"""Champagne"" Chair","Plexiglas, aluminum; upholstery",http://www.philamuseum.org/images/cad/large/1971-1-1.jpg,31 1/2 x 23 3/4 x 23 inches (80 x 60.3 x 58.4 cm)\r\nSeat height: 15 3/4 inches (40 cm),f7b08a62579b
"Made in United States, North and Central America","Gift of Collab: The Group for Modern and Contemporary Design at the Philadelphia Museum of Art, 1983",1908,1986,American,"This clock, one of a series designed by George Nelson Associates for the Howard Miller Company, has become an icon of 1950s design. When the series was introduced, the clocks were considered quite radical-unlike traditional clocks, their faces had no numbers.",Designed 1947,Designed by George Nelson,"""Ball"" Wall Clock","Painted birch, steel, brass",http://www.philamuseum.org/images/cad/large/1983-50-4.jpg,Diameter: 13 3/8 inches (34 cm),90cbaf892001
"Made in United States, North and Central America","The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985",1896,1908,American,"The Muriel and Philip Berman Gift, acquired from the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985",1904,Reproduction after a painting by A. Romès,"""As a Little Child""",Color photomechanical reproduction,http://www.philamuseum.org/images/cad/large/1985-52-39491-pdp.jpg,Plate: 20 1/2 x 14 3/8 inches (52 x 36.5 cm)\r\nSheet: 27 3/16 x 21 1/2 inches (69 x 54.6 cm),7c4336d8a658
"Made in United States, North and Central America","The Ella King Torrey Collection of African American Quilts, 2006",1894,1984,American,"Pearlie Posey quilted at night after working all day in the fields, making her quilts from the skirts of old dresses that she tore into panels. (She recalled that four or six ""skirt tails"" sewn together made a quilt top.) Posey focused on quilting quickly and expediently, sewing the panels together with large stitches and thread that she unraveled from flour sacks. She used simple piecework patterns such as Nine Patch, Four Patch, and strips in her quilts until 1980, when she began making appliqu quilts, following the example of her daughter, Sarah Mary Taylor.",1980-1983,Pearlie Posey,"""Animals"" Quilt",Cotton; running stitch,http://www.philamuseum.org/images/cad/large/2006-163-7-pma.jpg,76 1/4 x 62 1/2 inches (193.7 x 158.8 cm),d705e7a8f86d
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-6-pma.jpg,75 x 50 inches (190.5 x 127 cm),b8d8d3da9593
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-4-pma.jpg,open: 63 x 23 inches (160 x 58.4 cm)\r\nclosed: 2 1/2 x 27 1/2 x 27 1/2 inches (6.4 x 69.9 x 69.9 cm),a207518e341b
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,"The sculptor Isamu Noguchi designed this lamp, one of a series inspired by traditional Japanese lanterns. He named the lamps akari, which means ""the light of illumination"" and ""the essence of lightness.""",Designed 1975,Designed by Isamu Noguchi,"""Akari"" Floor Lamp","Mulberry bark paper, bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-1-pma.jpg,open: 45 x 32 inches (114.3 x 81.3 cm)\r\nclosed: 7 x 30 1/4 x 30 1/4 inches (17.8 x 76.8 x 76.8 cm),12685bb4c1bd
"Made in United States, North and Central America","© The Isamu Noguchi Foundation and Garden Museum , New York / Artists Rights Society (ARS), New York",1904,1988,American,This handcrafted paper lamp--its design based on traditional Japanese lanterns--reflects the lifelong interest of Isamu Noguchi in the integration of light and sculpture. Given the name,Designed 1960s,Designed by Isamu Noguchi,"""Akari"" Lamp","Mino-gami (mulberry bark paper), bamboo, metal",http://www.philamuseum.org/images/cad/large/1979-87-3-pma.jpg,open: 63 x 23 inches (160 x 58.4 cm)\r\nclosed: 6 1/4 x 24 1/2 x 24 1/4 inches (15.9 x 62.2 x 61.6 cm),afec81cf579d
