dimensions,title,photo,technique,credittext,artyear,link,artdesc,nationality,artist,artist_birth,artist_death,production_id
14 1/4 x 18 5/8 inches,Black-on-Black Jar,http://www.mfah.org/site_media/cache/f0/4e/f04ee2e0b6ad11f7479d99120b62c2ea.jpg,Ceramic,Gift of Miss Ima Hogg,1934-1943,http://www.mfah.org/art/detail/black-black-jar/,"Maria and Julian Martinez were famous and innovative potters of the Southwest. Their beautifully rounded Black-on-Black Jar features the undulating bodies of avanyu, a mythical water serpent. Both Maria and her husband, Julian, were born in the pueblo of San Ildefonso in New Mexico. A highly regarded center for Southwest American pottery, San Ildefonso is known for its painted figures and contrasting matte-on-polished surfaces. Maria molded pots, and Julian painted the decorations. Working with archaeologists studying ancient pottery, the Martinezes were inspired to revive and revitalize traditional motifs. Julian developed a clay-based paint that remains matte (flat) when fired in a kiln, and as a result he was able to re-create the technique known as black-on-black pottery. The contrast of highly polished and flat surfaces gives this pottery dramatic impact. Julian rarely repeated decorative motifs except for his famous avanyu.","San Ildefonso Pueblo, New Mexico;San Ildefonso Pueblo, New Mexico",Maria Martinez;Julian Martinez,1887,1980,399b780de214
48 x 30 inches,"Grey Lines with Black, Blue and Yellow",http://www.mfah.org/site_media/cache/32/4c/324c1373117b0103025c5b80648e54ef.jpg,Oil on canvas,Museum purchase with funds provided by; the Agnes Cullen Arnold Endowment Fund,1923,http://www.mfah.org/art/100-highlights/grey-lines-with-black-blue-and-yello-okeeffe/,"In this masterpiece of Georgia O'Keeffe's career, precisely delineated, undulating folds and lucid, three-dimensional forms work together to create an image of potent ambiguity suggesting either portrayals of plant life or, as some critics have argued, abstractions based on the female anatomy. The formal and spatial tension of the arching lines is emphasized by the cropping of the frame, a compositional device shared with photographers such as Alfred Stieglitz. Grey Lines with Black, Blue and Yellow, O'Keeffe has become one of the most famous American artists, and her rise to fame was due in large part to her connection with the German-trained Stieglitz. Renowned in his own right as an artist, Stieglitz actively promoted European modernist ideals and encouraged young American artists to experiment with the new formalist language, giving them a venue to show their work at his legendary 291 gallery in New York. When he and O'Keeffe met in 1916, Stieglitz had established himself as a staunch supporter of the avant-garde, exhibiting the work of European, as well as American, artists. At Stieglitz's gallery, O'Keeffe saw the work of European innovators such as Pablo Picasso and Georges Braque. That influence-along with the aesthetic theories of American artist and educator Arthur Wesley Dow-greatly inspired her own paintings. with its richly nuanced blend of colors, can be compared to European precedents, and it exhibits O'Keeffe's lifelong allegiance to Dow's mantra of ""filling space in a beautiful way.""",American,Georgia O'keeffe,1887,1986,e70dfc3c0032
12 x 7 inches,Vase,http://www.mfah.org/site_media/cache/69/56/695648927363f31ec1e4f6e7a6f46f15.jpg,Sage green clay,Gift of Marian Thompson Deininger,1896,http://www.mfah.org/art/detail/vase-artus-van-briggle/,"The delicate design of flying cranes and the elegant shape of this vase are both inspired by Japanese art. The vessel was made at Rookwood Pottery, located in Cincinnati and among the most innovative and influential of American art potteries. Asian ceramics and the Art Nouveau style deeply influenced the designer, Artus Van Briggle. Van Briggle excelled at hand-painting designs. His skill and talent were recognized by the pottery firm, which sent him to study art in Paris. In Europe, he was exposed to many styles of art and became infatuated with Japanese and Chinese glazes. Van Briggle returned to America in 1896 and resumed his work at Rookwood. This vase, executed the year of his return, beautifully exhibits his new sensibility.",American,Artus Van Briggle,1869,1904,3044be729b7f
27 x 29 5/8 inches,Table,http://www.mfah.org/site_media/cache/74/49/74493ba9fa77570858c0a5a5cd09b1c3.jpg,Cypress,"Museum purchase with funds provided by; Helena Woolworth McCann and the Winfield Foundation,; by exchange",1905,http://www.mfah.org/art/detail/bradstreet-table/,"This entire table has been carved to resemble a lotus, an aquatic plant depicted often in Japanese art. The object has been treated with jin-di-sugi , a Japanese technique for artificially aging wood. By the turn of the 20th century, Minneapolis was a prosperous community with its own thriving Arts and Crafts industry. The city\xb4s leading proponent of artistic design was John Scott Bradstreet, whose cooperative craft center, closely modeled on the utopian ideals of William Morris, produced imaginative interiors for a select clientele. One of Bradstreet's most creative works, this tabletop is carved as a lotus blossom, with the pedestal and base as its stem and roots. The triumphant result is a combination of a traditional tea-table form, Japonisme, and American Art Nouveau design.",American,John Scott Bradstreet,1845,1914,f8c64279e0e0
46 x 18  x 18  inches,Chair,http://www.mfah.org/site_media/cache/25/0e/250eac923eb9a9fb2fe03ce2729d40f2.jpg,Oak,Museum purchase with funds provided; by the Alice Pratt Brown Museum Fund,1905-1912,http://www.mfah.org/art/detail/chair/,"Embellished with only the name of its makers, Roycroft, this oak chair has the straightforward construction, pegged joinery, and beautiful austerity that characterize American Arts and Crafts furniture. Founded by Elbert Hubbard in East Aurora, New York, the Roycroft was a utopian community of artists and craftspeople The group was an important exponent of the Arts and Crafts movement in America. Its philosophy was strongly influenced by a similar movement being led by William Morris in England. As with Morris, the Roycrofters believed that art and craftsmanship could be instruments to reform society. Unusual for a reformer, Hubbard was also a good businessman and created a successful brand for the community. All Roycroft products were stamped either with the Roycroft name or its insignia: a cross and orb copied from a medieval bookbinder.","East Aurora, New York",The Roycroft Shops,1894,1938,551d1f1e7d53
37 3/8 x 17 x 18 1/4 inches,Side Chair,http://www.mfah.org/site_media/cache/84/e0/84e03a85e4eee804514615f01b0584f0.jpg,"Cherry, other woods, gilt, and upholstery",Museum purchase with funds provided; by the Stella H. and Arch S. Rowan Foundation,1876-1879,http://www.mfah.org/art/detail/side-chair/,"Beautifully crafted and perfectly proportioned, this side chair is decorated with a restrained design of inlaid blossoms. The cherrywood frame was ebonized (stained or painted black) to resemble Japanese lacquer. In contrast to the flamboyance found in much 19th-century design, Japanese-inspired furniture was distinctive for its elegant simplicity. Influenced by Japanese ornament, the Herter Brothers company began producing its own interpretations in the early 1870s. German-born immigrants Gustave and Christian Herter were preeminent among the designers and cabinetmakers who helped nouveau-riche Americans outfit grand residences. The half brothers designed furniture and interiors for the sumptuous homes of Gilded Age clients such as Jay Gould, J. Pierpont Morgan, and William H. Vanderbilt.",New York,Herter Brothers,1865,1906,6b35ae0e8b73
21 1/2 x 8 3/8 x 8 3/8 inches,Vase,http://www.mfah.org/site_media/cache/e5/f9/e5f9dd4f635f606deb878155cdd4faa7.jpg,Favrile glass,"Museum purchase with funds provided; by J. Brian and Varina Eby, by exchange",1892-1893,http://www.mfah.org/art/detail/vase-2/,"By 1892, Louis Comfort Tiffany-son of the Tiffany & Co. founder-was already well known for his work as an interior decorator and designer of stained-glass windows and lamps. But in that year, he developed a glass-coloring technique that would seal his reputation as America\xb4s greatest Art Nouveau designer. Called Favrile, a twist on an Old English word meaning handmade, it was created by exposing molten glass to metallic vapors. Rather than just sitting on the surface, the color was embedded in the glass itself giving it a beautiful, iridescent quality. Tiffany himself considered this peacock-feather vase to be an important example of his work.",American,Louis Comfort Tiffany,1848,1933,d7d4e465dbf5
8 7/8 x 11 7/8 inches,Untitled [O'Connor-Thaw 770,http://www.mfah.org/site_media/cache/61/dc/61dc2bccef9288068c7b5d314e37fe40.jpg,Brown ink on paper,Gift of Caroline Wiess Law,1946-1947,http://www.mfah.org/art/100-highlights/untitled-oconnor-thaw-770/,"This untitled drawing is from a suite of nine sketchbook drawings that established Jackson Pollock as one of the great draftsmen of the 20th century. Based on style, the sketchbook dates to about 1946 or 1947, not long before Pollock's breakthrough into the dripped-and-poured style of his mature period. A Suite of Notebook Drawings Pollock did not possess a natural ability for representational drawing, but these images, created after Old Master paintings, reveal a brilliant grasp of compositional analysis. Collectively, they are a summation of Pollock's early influences, especially Pablo Picasso, Joan Mir\xf3, and the Surrealists. A visual declaration of independence, they reveal how Pollock not only absorbed the styles of these early European modernists but also forged ahead to create his own pictorial vocabulary. catalogue raisonn introduces a new type of draftsmanship emphasizing the immediacy of the artist's gesture, a fundamental component of Pollock's aesthetic. As Pollock never made preparatory drawings for his paintings, these images stand as independent works and are often referred to by their numbers. Here, O'Connor-Thaw is a reference to Francis Valentine O'Connor and Eugene Victor Thaw, who wrote the catalogue raisonn\xe9--the comprehensive catalogue of paintings, drawings, and other works--of Pollock's career. The energy with which these drawings pulsate also signals a new era in art history as the center of the art world shifted from Paris to New York City.",American,Jackson Pollock,1912,1956,e36831f284ca
19 x 29 inches,Indians Spear Fishing,http://www.mfah.org/site_media/cache/ff/9f/ff9fea54b1a17b6d105edc84218ac584.jpg,Oil on canvas,"Gift of the family of Joseph S. Cullinan, and Mr. and Mrs. David R. Wintermann, by exchange, with additional gifts from Mr. and Mrs. Harry C. Wiess; Mrs. E. L. Perry; Mr. and Mrs. John H. Blaffer in memory of his father, Robert Lee Blaffer; Edith A. and Percy S. Straus; Grand Central Art Galleries; Miss Ima Hogg; General and Mrs. Maurice Hirsch; the Allied Arts Association; Mr. and Mrs. Charles L. Bybee; Nan Greacen Faure; Helen M. Turner; Mr. and Mrs. Herbert Levine; the Axson Club, Houston; William Best; Sarah Campbell Blaffer; Mrs. Willimina Borland; Mrs. Evan W. Burris; the Houston Art League through the bequest of George M. Dickson; Miss Katherine S. Dreier; George Wharton Edwards; Parker Edwards; Mrs. William Stamps Farish; the Houston Friends of Art; Angela MacDonnell; Mrs. Justine Franklin McGuire; the Smithsonian Institution; Harmand Teplow; the University Club of Houston; Robert C. Vose, in memory of Seth M. Vose; Nelson Waggener; Emile Walters; and Irene Weir, all by exchange",1862,http://www.mfah.org/art/100-highlights/indians-spear-fishing/,"Landscape as a form of theater and spectacle culminated in 19th-century American art with the work of Thomas Moran and Albert Bierstadt. Both artists emigrated from Europe at young ages and went on to achieve success as interpreters of the American West. The new, epic landscape they depicted functioned as a national symbol of grandeur and promise, yet at the same time it served as rumination on the subject of nature and the divinity to be found within it. Indians Spear Fishing Bierstadt first left the East Coast to travel west in 1859, accompanying a government-sponsored trip from Missouri to the Rocky Mountains. Compiled from close observation, sketches, and stereoscopic views taken on the expedition, u portrays the West as a pristine, sublime wilderness that seemingly could be found only in the Bible's Book of Genesis. Within a compressed space, Bierstadt draws together barren rock formations, towering waterfalls, spindly trees, crystalline water reflecting rocky outcrops, and a peak that pierces the wispy and moisture-laden clouds, turning to mist below. In the brightly lit foreground near the shore, a boat filled with three Native Americans provides scale and identifies the location as unmistakably that of the West; the boat laden with furs spells the riches of the land,","American, born Germany",Albert Bierstadt,1830,1902,e5d8725d6242
17  x 24 inches,Untitled 11A,http://www.mfah.org/site_media/cache/ef/23/ef23aa3781cc431f3cc049ccafc25539.jpg,Oil on canvas,Gift of Duke Energy,1958,http://www.mfah.org/art/100-highlights/untitled-11a/,"With its acid palette and claustrophobic horizon, this painting captures the sense of primal creation Forrest Bess sought in his work. I felt it had something to do with a lonely beach, he wrote. The sharp pointed shapes brought to mind driftwood-the silhouette of driftwood on a beach. ideograms The son of an itinerant oil laborer, Bess grew up in the oil fields of East Texas. Living and working outside the mainstream art community, he developed a body of paintings unique in their visionary potency and abstract simplicity. In 1946, after several years in the Army Corps of Engineers, he suffered an emotional breakdown and began to experience frequent visions. He recorded them at first on a notepad by his bedside, then on canvas. These visions were often simple abstract forms or combinations of forms that appeared to Bess as symbols he called Untitled 11A . Using small canvases and a limited palette, he documented these symbols of his unconscious without, as he claimed, any reinterpretation. The clarity and simplicity of , and the manner in which it was painted, belie the complexity of its significance for Bess. This painting stands at the forefront of his visionary evocations of land, sea, and sky.",American,Forrest Bess,1911,1977,f629ffaae02c
8 x 5 3/16 inches,Samuel Houston,http://www.mfah.org/site_media/cache/6d/35/6d35345d2637a64b1f2fb75d67a243ad.jpg,Daguerreotype,Gift of Vinson & Elkins L.L.P. in honor of the firm's 75th anniversary,1851,http://www.mfah.org/art/100-highlights/samuel-houston/,"Texas statesman Sam Houston commissioned this photograph when he was contemplating a run for the presidency of the United States. By placing him next to a column in a relaxed pose, the portrait is carefully crafted to emphasize Houston's leadership qualities. The camera\xb4s capacity to document people, places, and events was the primary impetus for early photographers such as the Meade Brothers, who took this rare daguerreotype in 1851. In photography studios of this period, daguerreotype portraits were priced by plate size. This full-plate image is the only known existing full-length portrait of Houston, who stood 6 feet 2 inches tall. As the leader of the Texas Revolution and two-term president of the short-lived Republic of Texas, Houston was a knowledgeable frontiersman and liked to dress the part. However, this portrait shows him in more-conservative attire, probably to garner mass appeal for a presidential run. uThe Meade Brothers established one of the most successful photography studios in America, capturing famous subjects including Kit Carson and Commodore Matthew Perry. This portrait was probably taken in the brothers' New York studio the year after its opening, in 1850. Growing competition between portrait studios at the time led them to offer diverse options. Here, a papier-m\xe2ch\xe9 column demonstrates the trend toward incorporating props into portraiture, This work is rare because it is a full-plate image of a recognized subject by a recognized studio. The lithograph of this photograph enabled the image to appear in publications, but the daguerreotype was long thought to be lost. Discovered in 1990, it was acquired by the MFAH shortly thereafter.","American, born England;American, born England",Charles Richard Meade;Henry Meade,1826,1858,5e96d9c5301c
86 1/2 x 131 9/16 x 1 3/4 inches,A Wooded Landscape in Three Panels,http://www.mfah.org/site_media/cache/69/21/692168b1b4917e6d4fe24d5a3f09d474.jpg,"Glass, copper-foil, and lead",Museum purchase with funds provided by the; Brown Foundation Accessions Endowment Fund,1905,http://www.mfah.org/art/100-highlights/wooded-landscape-three-panels/,"This spectacular window is a unified forest scene spanning three panels. Like a living landscape, during the course of a day the scene changes in appearance, responding to the light surrounding it. A Wooded Landscape is far more complex than most stained-glass windows, which are pieced together in a process similar to solving a jigsaw puzzle. Instead, by layering different textures, thicknesses, and colors of glass on top of each other within the window-just as an artist might layer paint on a canvas-Louis Comfort Tiffany created subtle color combinations that change with variations in light. During his lifetime, it was said that Tiffany ""painted"" with glass.",American;New York,Louis Comfort Tiffany,1848,1933,b979a734b5f9
Stone: 18 3/4 x 23 3/4 inches; Sheet: 20 1/4 x 25 3/4 inches,A Stag at Sharkey's,http://www.mfah.org/site_media/cache/53/81/5381d4c7e17b8628d7e57a581afb5b5f.jpg,Lithograph,"Museum purchase with funds provided by ""One Great Night in November, 1989""",1917,http://www.mfah.org/art/100-highlights/stag-sharkeys/,"American artist George Bellows focused on images of urban realism. A Stag at Sharkeys , based on his 1909 oil painting, is one of the most iconic images of 20th-century American printmaking. Bellows was a member of an artists' group in New York City known as the Ashcan School. His first studio was located on Broadway opposite the Sharkey Athletic Club, where the law permitted members to see illegal prize fights, or ""stags."" Prizefighting clubs like Sharkey's were often condemned as sordid spaces, and this print captures that tawdry underworld. Arranged in a pyramid-like composition recalling classical sculpture, the anonymous fighters appear in an interlocking form with bold diagonal lines. The voyeuristic spectators, who are enthralled by the dramatic fight, represent a range of social types, from laborers to businessmen. Encouraging a favored fighter and reacting to and with the punches until the bout's end, the spectators are vicarious participants in the fight. Bellows is believed to have included himself as the second spectator to the referee's right, with just an eye and balding head peeping over the raised floor.",American,George Bellows,1882,1925,10b6c96506d7
27 1/4 x 40 1/8 inches,Fight for the Waterhole,http://www.mfah.org/site_media/cache/80/57/8057191552aab3e3e8942f1f1aa136cd.jpg,Oil on canvas,"The Hogg Brothers Collection, gift of Miss Ima Hogg",1903,http://www.mfah.org/art/100-highlights/fight-waterhole/,"One of Frederic Remington's masterpieces, this painting depicts cowboys hiding in a waterhole, their source of survival in the arid desert and of protection from the pursuing Plains Indians. The manipulated perspective gives the scene a panoramic quality and introduces a large shadow to convey the idea of ""passing""-the ever-present threat of death looming in the Western territories during the Indian Wars, as well as the passing of the West itself. Fight for the Waterhole As an illustrator, painter, sculptor, and writer, Remington created a popular image of the American West as a heroic battleground for U.S. westward expansion. His knowledge of the West grew from his frequent trips there to make sketches, take photographs, and buy the artifacts of Native American cultures and Western frontier life. Back in his studio near New York City, he chronicled vanquished Native American cultures and created images that popularized the cowboy as a national folk hero. Colliers Weekly was published in 1903 in u as part of Remington's four-year contract with the magazine to reproduce one painting each month. This alliance encouraged Remington to experiment with his technique, and as seen here, the results included looser brushwork, refined compositions, a bolder palette, and the development of psychological qualities in his art.",American,Frederic Remington,1861,1909,739ba591024b
