Title,Artist,Classification,Medium,Dimension,Owner,AquisitionDate,Image,Description,DateOfWork,CreditLine,ArtistBornDate,ArtistDiedDate,production_id
Linus Pauling,Alice Neel,Paintings,Oil on canvas,"Stretcher: 126.4 x 90.2 x 2.5cm (49 3/4 x 35 1/2 x 1"") Frame: 148.9 x 113 x 7cm (58 5/8 x 44 1/2 x 2 3/4"") ","National Portrait Gallery, Smithsonian Institution",1985,http://npgportraits.si.edu/eMuseumNPG/media/previews/8500146A_1.jpg,"Born Portland, Oregon  The only recipient of two unshared Nobel Prizes-for chemistry and peace-Linus Pauling both advanced science and addressed its social implications. In the 1930s and 1940s, he applied quantum mechanics to chemistry, inspiring new discoveries about molecular structures and leading to his 1954 Nobel Prize. Pauling's resistance to atomic weapons fueled his publication of No More War! in 1958 and earned him a second Nobel in 1962. A year later the Nuclear Test-Ban Treaty was implemented.  	Alice Neel's informal portrait depicts the scientist outside of the laboratory to indicate the breadth of his commitments. Pauling later explained, ""I could have accomplished a lot more science from 1945 to 1965. I decided . . . I ought to get scientists working for world peace. . . . Scientists have an obligation to help fellow citizens make the right decisions.""",1969,"National Portrait Gallery, Smithsonian Institution",1900,1984,e5080a7863ac
Rubens Peale,Rembrandt Peale,Paintings,Oil on canvas,"Stretcher: 66.7 x 54.6cm (26 1/4 x 21 1/2"") Frame: 82.9 x 70.5 x 5.1cm (32 5/8 x 27 3/4 x 2"") ","National Portrait Gallery, Smithsonian Institution",1986,http://npgportraits.si.edu/eMuseumNPG/media/previews/8600424A_1.jpg,"Born Philadelphia, Pennsylvania  Charles Willson Peale named his children after artists and scientists, so at his birth Rubens Peale joined his older brothers Raphaelle and Rembrandt. Unlike them, Rubens did not become an artist but followed the Peale family閼存瑥鐎懞鎺楀灳濮ｎ剦鍎埗鈹惧亾閻忎警鏆�?other business: operating museums of art and science. Rubens was a good manager, helping his father run the famous Peale Museum in Philadelphia and taking sole charge of it in 1810. Later he would operate Peale Museums in Baltimore and New York.  This portrait by Rembrandt Peale emphasizes Rubens閼存瑥鐎懞鎺楀灳濮ｎ剦鍎埗鈹惧亾閻忎警鏆�?eyeglasses (he was very near-sighted), as does his more famous 1801 painting, Rubens Peale with a Geranium (National Gallery of Art). Many of the Peales had poor eyesight and were interested in optometry. ",1807,"National Portrait Gallery, Smithsonian Institution; partial gift of Mrs. James Burd Peale Green",1778,1860,bd68148adb51
Charles Willson Peale Self-Portrait,Charles Willson Peale,Paintings,Oil on canvas,"Frame: 84.8 x 72.1 x 7.3cm (33 3/8 x 28 3/8 x 2 7/8"") ","National Portrait Gallery, Smithsonian Institution",1989,http://npgportraits.si.edu/eMuseumNPG/media/previews/8900558A_1.jpg,"Born Queen Anne's County, Maryland  A creative and energetic force throughout the Revolutionary era and the early Republic, Charles Willson Peale moved to London in 1767 to study painting with Benjamin West. In 1769 he returned to Maryland, where he made portraits of landowners and their families before settling in Philadelphia in 1776. Peale, a militiaman and political figure, sided with radical factions during and after the Revolution, and painted portraits of national heroes in the fight for independence. His portrait gallery became a feature of his Philadelphia Museum-the nation's first significant museum of natural history-which opened to the public in 1786. His energy and abilities made him a sought-after painter of portraits of George Washington, a correspondent of Thomas Jefferson, and the leader of an expedition to exhume the skeleton of a mastodon. Members of his large family followed in his footsteps as artists, scientists, and museum entrepreneurs.",1791,"National Portrait Gallery, Smithsonian Institution; Frame conserved with funds from the Smithsonian Women's Committee",1741,1827,da37e5da70b5
John Wesley Powell,Edmund Clarence Messer,Paintings,Oil on canvas,"Stretcher: 120.3 x 95.9 x 2.5cm (47 3/8 x 37 3/4 x 1"") Frame: 151.1 x 126 x 10.5cm (59 1/2 x 49 5/8 x 4 1/8"") ","National Portrait Gallery, Smithsonian Institution",1970,http://npgportraits.si.edu/eMuseumNPG/media/previews/7000034a.jpg,"John Wesley Powell's work as an explorer, geologist, and anthropologist in the American West helped to shape national policies on a host of issues, including the status of native peoples and the development of public lands. Although he was celebrated for leading the first American exploring expedition through the Grand Canyon in 1869, his greater contribution came from his scientific reports on western lands and the peoples living there, many of which contradicted long-held beliefs. His advocacy of communal or government control of water for irrigation in the West was derided at the time, yet his studies served as the foundation for twentieth-century water-use policies. As director of both the U.S. Geological Survey and the U.S. Bureau of Ethnology, Powell saw science as a vital force in promoting the common good. ",1889,"National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Mrs. John Wesley Powell, 1906",1842,1919,ba30fae98e5e
David Rittenhouse,Charles Willson Peale,Paintings,Oil on canvas,"Sight: 124.5 x 100.3 x 2.5cm (49 x 39 1/2 x 1"") Frame: 147.3 x 121.9 x 8.9cm (58 x 48 x 3 1/2"") ","National Portrait Gallery, Smithsonian Institution",1998,http://npgportraits.si.edu/eMuseumNPG/media/previews/9800146a.jpg,"A clockmaker by trade and a self-taught mathematician and astronomer, David Rittenhouse was second only to Benjamin Franklin as the foremost man of science in eighteenth-century America. His surveying instruments were unsurpassed; his astronomical calculations were solicited by almanac publishers near and far; and his orrery (a mathematically precise model of the solar system) was touted as the greatest mechanical wonder of the new world, more complete than anything that could be obtained in Europe. Rittenhouse's name, said physician and patriot Dr. Benjamin Rush, ""gave splendor to the American character."" 	Charles Willson Peale painted his friend (and collaborator in experiments to improve rifles during the Revolution) seated before a large reflecting telescope-perhaps the one bequeathed to him by Benjamin Franklin-pointing to a comet in orbit. ",1796,"National Portrait Gallery, Smithsonian Institution; bequest of Stanley P. Sax",1741,1827,94e4991a7495
Benjamin Silliman,John Trumbull,Paintings,Oil on wood,"Panel: 48.9 x 40 x 1.3cm (19 1/4 x 15 3/4 x 1/2"") Frame: 67.3 x 58.4 x 8.3cm (26 1/2 x 23 x 3 1/4"") ","National Portrait Gallery, Smithsonian Institution",1968,http://npgportraits.si.edu/eMuseumNPG/media/previews/6800012A_1.jpg,"Appointed Yale College's first professor of chemistry and natural history in 1802, Benjamin Silliman (trained in the law) went to Philadelphia, London, and Edinburgh for exposure to the world of science. Over the next fifty years, Silliman became renowned as an educator, influential as the founder and editor of the American Journal of Science and a popular national figure on the lecture circuit, entertaining audiences with drawings and demonstrations and providing assurances that discoveries in science need not threaten biblical teachings. Silliman's portrait was painted in New York, where he was engaged in the fatiguing work of raising money to keep the finest mineral collection in America at Yale. He posed before breakfast-at six o'clock in the morning-for one and a half hours, and recorded that John Trumbull, his friend and uncle by marriage, ""painted very rapidly."" ",1825,"National Portrait Gallery, Smithsonian Institution; gift of Alice Silliman Hawkes",1756,1843,a6d38b57f917
Isaac Merrit Singer,Edward Harrison May,Paintings,Oil on canvas,"Stretcher: 130.8 x 98.7 x 3.2cm (51 1/2 x 38 7/8 x 1 1/4"") Frame: 144.8 x 112.4 x 6.7cm (57 x 44 1/4 x 2 5/8"") ","National Portrait Gallery, Smithsonian Institution",1975,http://npgportraits.si.edu/eMuseumNPG/media/previews/7500074a.jpg,"An actor turned inventor, Isaac Singer democratized clothing production with the sewing machine he patented in 1851. Although not the first (Elias Howe introduced a design in 1846), Singer's machine was more reliable and capable of continuous stitching. Hailed two years after its appearance as ""one of the most efficient labor-saving devices ever introduced to public notice,"" Singer's machine could sew 900 stitches per minute, more than twenty times as many as a skilled seamstress. Aiming the product at women and putting it within reach of a wide range of buyers, Singer and his business partner Edward Clark established an international commercial empire. Singer commissioned this portrait while living in Paris, after scandals about his private life forced him to relocate to Europe. American artist Edward Harrison May painted him in clothing that reflects his wealth and trademark extravagance. ",1869,"National Portrait Gallery, Smithsonian Institution; gift of the Singer Company",1824,1887,2e6af9948665
George Washington (Porthole type),Rembrandt Peale,Paintings,Oil on canvas,"Sight: 89.5 x 71.9cm (35 1/4 x 28 5/16"") Frame: 117.5 x 99.9 x 10.6cm (46 1/4 x 39 5/16 x 4 3/16"") ","National Portrait Gallery, Smithsonian Institution",1975,http://npgportraits.si.edu/eMuseumNPG/media/previews/2k75008a.jpg,"Rembrandt Peale, son of American artist Charles Willson Peale, painted George Washington from life in 1795 when he was seventeen. He later made numerous portraits of the president based on his memory of this sitting and on likenesses by other artists. From these he developed an idealized image-known by the Latin name ""Patriae Pater"" (Father of His Country)-which served as a model for his many so-called ""porthole"" portraits of Washington. In these compositions, the subject's face is seen through an oval stonework frame-an honorific convention in European art dating from the Renaissance.",1853,"National Portrait Gallery, Smithsonian Institution; gift of an anonymous donor",1778,1860,750293186e6b
George Washington,Rembrandt Peale,Paintings,Oil on canvas,"Stretcher: 75.6 x 64.5 x 3.2cm (29 3/4 x 25 3/8 x 1 1/4"") Frame: 94.9 x 83.8 x 9.5cm (37 3/8 x 33 x 3 3/4"") ","National Portrait Gallery, Smithsonian Institution",1965,http://npgportraits.si.edu/eMuseumNPG/media/previews/6500106A_1.jpg,"When Americans chose their first president under the new Constitution of 1788, George Washington's election was a foregone conclusion. But despite Washington's prestige, his presidency had its critics. Toward the end of his administration, one newspaper branded him a ""scourge and misfortune."" This portrait shows some of the stress that even our first president felt under the burden of the office. Even under attack, however, Washington's firm leadership gave credibility to the new federal government and assured its survivability. Young Rembrandt Peale, then seventeen, was so nervous about painting Washington that his artist father, Charles Willson Peale, had to come along to the sittings to soothe his son's jangled nerves. The younger Peale made several replicas of his resulting portrait, including this version.",1795,"National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942",1778,1860,0e8383363aeb
George Washington,Robert Edge Pine,Paintings,Oil on canvas,"Sight: 90.2 x 69.9cm (35 1/2 x 27 1/2"") Frame: 101.6 x 81.6 x 6.4cm (40 x 32 1/8 x 2 1/2"") ","National Portrait Gallery, Smithsonian Institution",1980,http://npgportraits.si.edu/eMuseumNPG/media/previews/8000032A_1.jpg,"George Washington, appointed commander-in-chief of the Continental army, took command of a ragtag force of some 17,000 men in July 1775. He kept an army together for the next eight-and-a-half years-losing more battles than he won-but effectively ended the war with his victory at Yorktown in October 1781. Mission accomplished, Washington-a hero who could have been king-resigned his military commission before Congress on December 23, 1783, and retired to Mount Vernon. Here, the man all artists yearned to portray posed in his Continental army uniform for English artist Robert Edge Pine and wryly observed, ""I am so hackneyed to the touches of the Painter's pencil, that I am now altogether at their beck, and sit like patience on a Monument.""",1785,"National Portrait Gallery, Smithsonian Institution",1720,1788,61e2a6c5353b
George Washington (Lansdowne Portrait),Gilbert Stuart,Paintings,Oil on canvas,"Stretcher: 247.6 x 158.7cm (97 1/2 x 62 1/2"") Frame: 283.5 x 194.3 x 17.8cm (111 5/8 x 76 1/2 x 7"") ","National Portrait Gallery, Smithsonian Institution",2001,http://npgportraits.si.edu/eMuseumNPG/media/previews/A1000026A_1.jpg,"As the general who led us to victory in the American Revolution and as our first president, George Washington was often painted and sculpted. Everyone, it seemed, wanted the hero's portrait. But it is this portrait that stands for all time as the image that best represents what Washington meant to us when we were a new nation and continues to mean to us in the twenty-first century. It is the one picture that we can say ranks in importance with those sacred founding documents, the Declaration of Independence, the Constitution and the Bill of Rights. 	We see Washington in 1796, the last year of his two-term presidency. Earlier full-length portraits show him in military uniform, but here he is in civilian dress, revealing that in our democracy the elected executive is the true commander-in-chief. Standing in elegant surroundings suggesting the grandeur of European tradition, Washington is nonetheless not draped like a king, which he refused to be; he is a man powerful only by the people's consent. This was the man who told us what this new kind of leader-an elected president-could be and whose maturity and resolve gave us confidence in our future. The rainbow behind him breaks through a stormy sky. 	Washington was lucky in his portraitist, and so are we. American-born Gilbert Stuart had eighteen years in Europe to hone his artistry. He was commissioned by Senator and Mrs. William Bingham of Pennsylvania to provide a gift to the Marquis of Lansdowne, an English supporter of American independence. It was copied by Stuart and others as THE image of Washington who sustains our national purpose-the Washington every generation of Americans needs to rediscover.Gilbert Stuart (1755-1828)",1796,"National Portrait Gallery, Smithsonian Institution; acquired as a gift to the nation through the generosity of the Donald W. Reynolds Foundation",1755,1828,bd829b02bbca
Zachary Taylor at Walnut Springs,William Garl Browne Jr.,Paintings,Oil on canvas mounted on wood,"Object: 74.3 x 92.1 x 0.3cm (29 1/4 x 36 1/4 x 1/8"") Frame: 97.2 x 115.3 x 11.4cm (38 1/4 x 45 3/8 x 4 1/2"") ","National Portrait Gallery, Smithsonian Institution",1970,http://npgportraits.si.edu/eMuseumNPG/media/previews/7100108a.jpg,"Career army officer Zachary Taylor vaulted to national prominence as the hero of the Mexican War. Stationed in the Southwest, Taylor had anticipated war, and when conflict broke out with Mexico he was able to quickly cross the Rio Grande in a campaign that culminated in the defeat of General Santa Anna at Buena Vista in 1847. This painting shows Taylor with his staff at Walnut Creek, Texas, just as hostilities broke out. The Polk administration distrusted Taylor, an outspoken Whig, fearing he would use his military career for political ends. But they could not deny the appeal of a victorious general, and Taylor was elected president in 1849 as a symbol of national unity. Sectional differences over slavery were proving intractable, however, and Taylor had a short, unhappy term as president, dying amid negotiations over the Compromise of 1850. ",1847,"National Portrait Gallery, Smithsonian Institution",1823,1894,6ab07becb42b
