Object Title,Object Work Type,Artist Name,Artist Birth Date,Artist Death Date,Artist Nationality,Object Earliest Date,Object Latest Date,Object Rights,Object Facet Value 1,Object Link Source,dimensions,production_id
Buildings,Paintings,Charles Demuth,1883,1935,American,1930,1931,"Dallas Museum of Art, Dallas Art Association Purchase Fund, Deaccession Funds/City of Dallas (by exchange) in honor of Dr. Steven A. Nash",Tempera and plumbago on composition board,Dallas Museum of Art,76.2 x 60.96 cm,af5093502464
Bather with Cigarette,Paintings,Yasuo Kuniyoshi,1893,1953,American,1924,1924,"Dallas Museum of Art, Dallas Art Association Purchase Fund, Deaccession Funds/City of Dallas (by exchange) in honor of Dr. Steven A. Nash",Oil on canvas,Dallas Museum of Art,106.68 x 63.5 cm,dc482c23c7b7
Rachel Leeds Kerr,Paintings,Charles Willson Peale,1741,1827,American,1790,1790,"Dallas Museum of Art, gift of the Pauline Allen Gill Foundation",Oil on canvas,Dallas Museum of Art,91.44 x 68.58 cm,b713db3be4e9
Untitled (Field of Bluebonnets),Paintings,Julian Onderdonk,1882,1922,American,1900,1922,"Dallas Museum of Art, bequest of Margaret M. Ferris",Oil on canvas,Dallas Museum of Art,59.37 x 100.01 cm,f7f71db556e2
Grey Blue & Black—Pink Circle,Paintings,Georgia O'Keeffe,1887,1986,American,1929,1929,"Dallas Museum of Art, gift of The Georgia O'Keeffe Foundation",Oil on canvas,Dallas Museum of Art,91.44 x 121.92 cm,b227dcbba154
Road Signs,Paintings,Coreen Mary Spellman,1905,1978,American,1931,1941,"Dallas Museum of Art, gift of Helen, Mick and Thomas Spellman",Oil on canvas,Dallas Museum of Art,71.12 x 91.44 cm,0fa6d6b8347b
Male Torso,Sculpture,Dorothy Austin,1911,2011,American,1936,1944,"Dallas Museum of Art, gift of Dr. and Mrs. Robert W. Webb",White pine,Dallas Museum of Art,28.89 x 11.43 x 10.8 cm,233277e9cbd1
Woodbury Langdon,Paintings,John Singleton Copley,1738,1815,American,1767,1767,"Dallas Museum of Art, The Eugene and Margaret McDermott Art Fund, Inc.",Oil on canvas,Dallas Museum of Art,126.36 x 101.6 cm,05f588e17654
Sarah Sherburne Langdon,Paintings,John Singleton Copley,1738,1815,American,1767,1767,"Dallas Museum of Art, The Eugene and Margaret McDermott Art Fund, Inc.",Oil on canvas,Dallas Museum of Art,126.36 x 100.96 cm,b79e193b60a2
Cinderella at the Kitchen Fire,Paintings,Thomas Sully,1783,1872,American,1843,1843,"Dallas Museum of Art, gift of the Pauline Allen Gill Foundation",Oil on canvas,Dallas Museum of Art,147.32 x 162.56 cm,fc51a322a187
Miss Dorothy Quincy Roosevelt (later Mrs. Langdon Geer),Paintings,John White Alexander,1856,1915,American,1901,1902,"Dallas Museum of Art, gift of the Pauline Allen Gill Foundation in memory of Pauline Gill Sullivan",Oil on canvas,Dallas Museum of Art,152.4 x 101.6 cm,dd6d4b5f91bd
Winter Scene in Brooklyn,Paintings,Francis Guy,1760,1820,American,1812,1822,"Dallas Museum of Art, The Eugene and Margaret McDermott Art Fund, Inc.",Oil on canvas,Dallas Museum of Art,104.14 x 163.83 cm,afe994a2bd27
"Mountains, no. 19",Paintings,Marsden Hartley,1877,1943,American,1930,1930,"Dallas Museum of Art, The Eugene and Margaret McDermott Art Fund, Inc.",Oil on board,Dallas Museum of Art,91.44 x 83.82 cm,09d08aa5da92
Lady Godiva,Sculpture,Anne Whitney,1821,1915,American,1856,1866,"Dallas Museum of Art, gift of Dr. Alessandra Comini in memory of Dr. Eleanor Tufts, who discovered the Massachusetts-backyard whereabouts of this long-forgotten statue and brought it to Dallas",Marble,Dallas Museum of Art,170.18 x 71.12 x 60.96 cm,a9cdbf56422a
"View from Garrison, West Point, New York",Paintings,David Johnson,1827,1908,American,1870,1870,"Dallas Museum of Art, The Patsy Lacy Griffith Collection, gift of Patsy Lacy Griffith by exchange, and General Acquisitions Fund",Oil on canvas,Dallas Museum of Art,46.36 x 76.2 cm,2784256d8ccf
