name,artist,title,year,description,image,production_id
Hammer Daumier Collection,Honoré Daumier,Masques de 1831,1832,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation.  ,http://hammer.ucla.edu/image/986/600/450.JPG,96d9dae8b153
Hammer Daumier Collection,Honoré Daumier,NE VOUS Y FROTTEZ PAS!! ,1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/987/600/450.JPG,3f3613980e6e
Hammer Daumier Collection,Honoré Daumier,Deux Acteurs (Scène de Comédie) [Two Actors {Comedy Scene}],1870-1873,Oil on panel. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/989/600/450.JPG,39b0f2809ed6
Hammer Daumier Collection,Honoré Daumier,"Un Héros de Juillet, Mai 1831(A hero of July, May 1831)",1831,Lithograph with hand coloring. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/990/600/450.JPG,2b0e84ee8ec2
Hammer Daumier Collection,Honoré Daumier,Magot de la Chine,1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer. ,http://hammer.ucla.edu/image/991/600/450.JPG,23853590287a
Hammer Daumier Collection,Honoré Daumier,Le Ventre Législatif. Aspect des bancs ministériels de la chambre improstituée de 1834 (The Legislative Belly. View of the ministerial benches in the improstituted house of 1834.),1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.  ,http://hammer.ucla.edu/image/992/600/450.JPG,1d23dcda672a
Hammer Daumier Collection,Honoré Daumier,L’amateur d’huitres. (The lover of Oysters),1836,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/993/600/450.JPG,2ef1454a96ec
Hammer Daumier Collection,Honoré Daumier,"Inconvénient des jupons á ressort en acier, quand ce ressort vient á se casser (The trouble of steel-reinforced petticoats when the spring breaks)",1857,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer. ,http://hammer.ucla.edu/image/994/600/450.JPG,ec4eced32225
Hammer Daumier Collection,Honoré Daumier,NADAR élevant la Photographie á la hauteur de l’Art. (NADAR elevating photography to the level of Art.),1862,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.,http://hammer.ucla.edu/image/995/600/450.JPG,dc7580762bda
Hammer Daumier Collection,Honoré Daumier,"LES BLANCHISSEURS Le bleu s’en va mais ce diable de rouge tient comme du sang (THE LAUNDERERS The blue is washing out, but this red stains like blood).",1832,Lithograph with hand coloring. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/997/600/450.JPG,b6b93df33f4d
Hammer Daumier Collection,Honoré Daumier,"RUE TRANSNONAIN, LE 15 AVRIL 1834",1834,Lithograph. The Armand Hammer Daumier and Contemporaries Collection. Gift of the Armand Hammer Foundation. ,http://hammer.ucla.edu/image/999/600/450.JPG,80c2cc7608e7
Hammer Daumier Collection,Nadar,Honoré Daumier,1870s,Photographic Print. The Armand Hammer Daumier and Contemporaries Collection. Gift of Dr. Armand Hammer.     ,http://hammer.ucla.edu/image/988/600/450.JPG,71ca14377e60
Grunwald Center Collection,Katsushika Hokusai,Kanagawa oki namiura (Fuji behind the waves off Kanagawa [The Great Wave]),1831-1833,Full-color woodcut (nishiki-e). Collection UCLA Grunwald Center for the Graphic Arts. Purchased from the Frank Lloyd Wright Collection. ,http://hammer.ucla.edu/image/971/600/450.JPG,0cbafb8da34e
Grunwald Center Collection,Giorgio Ghisi,Allegory of Life,1561,Engraving. Collection UCLA Grunwald Center for the Graphic Arts. Purchase.,http://hammer.ucla.edu/image/966/600/450.JPG,428dc36d3a64
Grunwald Center Collection,Albrecht Dürer,St. Michael Fighting the Dragon,1511,"Woodcut. Collection UCLA Grunwald Center for the Graphic Arts. Purchased with funds provided by The Wolfen Family Acquisition Fund, Charlene and Sanford Kornblum, and Various Donors.",http://hammer.ucla.edu/image/972/600/450.JPG,2cc707c05087
Grunwald Center Collection,Ernst Ludwig Kirchner,Stadtbahnbogen (Tramway Arch),1915,Color lithograph. Collection UCLA Grunwald Center for the Graphic Arts. Gift of Mr. Virgil Whirlaw. ,http://hammer.ucla.edu/image/965/600/450.JPG,6b4ffc75c346
Grunwald Center Collection,Edgar Degas,La Toilette (les bras)[The Toilette{arms}] ,1880-1885,Monotype. Collection UCLA Grunwald Center for the Graphic Arts. Given through the UCLA Art Council by B. Gerald Cantor. ,http://hammer.ucla.edu/image/967/600/450.JPG,e01cdec940a1
Grunwald Center Collection,Felix Vallotton,Le Bain,1894,Woodcut. Collection UCLA Grunwald Cetner for the Graphic Arts. Gift of Mrs. Fred Grunwald. ,http://hammer.ucla.edu/image/969/600/450.JPG,23a8fd194851
Grunwald Center Collection,Utagawa Hiroshige,"Shono hakuu (Light rain at Shono, number 46)",1832-1833,Full-color woodcut. Collection UCLA Grunwald Center for the Graphic Arts. Purchased from the Frank Lloyd Wright Collection. ,http://hammer.ucla.edu/image/973/600/450.JPG,e072aea75278
Grunwald Center Collection,Paul Cézanne,Les Grands Baigneurs (The Large Bathers),1896,Color lithograph. Collection UCLA Grunwald Center for the Graphic Arts. Gift of Mrs. Barbara Reis Poe. ,http://hammer.ucla.edu/image/975/600/450.JPG,db70c4cd1486
Grunwald Center Collection,Rembrandt Harmensz van Rijn,Landscape with Three Gabled Cottages beside a Road,1650,Etching and drypoint. Collection UCLA Grunwald Center for the Graphic Arts. Rudolf L. Baumfeld Bequest. ,http://hammer.ucla.edu/image/976/600/450.JPG,e3eed6ac9840
Grunwald Center Collection,Jacques Callot,Recruitment of Troops,1633,Etching. Collection UCLA Grunwald Center for the Graphic Arts. Purchased in part with funds provided by the UCLA Art Council. ,http://hammer.ucla.edu/image/977/600/450.JPG,a215fdc5cbfa
Murphy Sculpture Garden,August Rodin,The Walking Man,1905,"Bronze, H: 83.75. Given by the UCLA Alumni Association and an Anonymous Donor as a tribute to Franklin D. Murphy, 1967. Photo by Joshua White. ",http://hammer.ucla.edu/image/1012/600/450.JPG,52e1f075caf8
Murphy Sculpture Garden,David Smith,Cubi XX,1964,"Welded stainless steel. H: 111 in. Gift of David E. Bright, 1967. © Estate of David Smith/Licensed by VAGA, New York, NY. Photo by Joshua White. ",http://hammer.ucla.edu/image/1010/600/450.JPG,8f5e8d4d4909
Murphy Sculpture Garden,Jean (Hans) Arp,Fruit hybride dit la Pagode (Hybrid Fruit Called Pagoda),1934,"Bronze, H: 37.25 in. Edition:3/3. Gift of Mrs. David E. Bright, 1967. © 2000 Artists Rights Society (ARS), New York/VG Bild-Kunst, Bonn Reproduction, including downloading of Arp, Miró and Calder works is prohibited by copyright laws and international conventions without the express written permission of Artists Rights Society (ARS), New York. ",http://hammer.ucla.edu/image/1009/600/450.JPG,6e1957e0d265
Hammer Video Library,Vito Acconci,Seedbed,1972,"Photo documentation. Courtesy Gladstone Gallery, New York. ©Vito Acconci.",http://hammer.ucla.edu/image/1022/450/450.JPG,8568143986bd
Hammer Video Library,Martha Rosler,"Still from If It's Too Bad To Be True, It Could Be DISINFORMATION",1985,Color video. 16:26 min. Courtesy of the artist.,http://hammer.ucla.edu/image/1026/450/450.JPG,87cf2a499502
Hammer Video Library,Bill Viola,Still from The Space Between the Teeth,1976,"Videotape, color, and mono sound. Courtesy Bill Viola Studio; photo by Kira Perov.",http://hammer.ucla.edu/image/1024/450/450.JPG,390003e58da1
Hammer Video Library,Gordon Matta-Clark,Still from Freshkill,1972,"Color film. 12:56 min. Courtesy the Estate of Gordon Matta-Clark and David Zwirner, New York.",http://hammer.ucla.edu/image/1023/450/450.JPG,f247de9f26bb
Hammer Video Library,William Wegman,Still from Deodorant,1972,Black and white video with sound. 1 min. Courtesy of the artist.,http://hammer.ucla.edu/image/1027/450/450.JPG,d929a894a146
Hammer Video Library,Chris Burden,Still from Shoot,1971,"Video with sound. 4 min. Courtesy of the artist and Gagosian Gallery, Beverly Hills.",http://hammer.ucla.edu/image/1021/450/450.JPG,50cdee37710a
