dim,made,prov,title,nationality,artist,image_url,birth_date,death_date,production_id
25-7/8 x 31-7/8 in. (65.7 x 81.0 cm),1878,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Canoe on the Yerres River,",French,Gustave Caillebotte,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.238.P,1848,1894,f216225593c4
36-1/4 x 46-3/4 in. (92.1 x 118.8 cm),1826-1827,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Regrets,",French,Claude-Marie Dubufe,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.170.P,1790,1864,89278a757b68
51-1/8 x 38-3/8 in. (129.8 x 97.5 cm),1843,Norton Simon Art Foundation,"Portrait of a Young Woman,",French,Claude-Marie Dubufe,http://images.nortonsimon.org/viewer/index.php?id=M.1977.13.2.P,1790,1864,44aa83432a18
36-1/4 x 47 in. (92.1 x 119.4 cm),1826-1827,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","Memories,",French,Claude-Marie Dubufe,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.171.P,1790,1864,89ae4cedca78
comp: 13-1/2 x 18-3/8 in. (34.3 x 46.7 cm); sheet: 16-3/4 x 23 in. (42.5 x 58.4 cm),1790-1864,"Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon","After Paintings Regrets,",French,Claude-Marie Dubufe,http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.172.G,1790,1864,4b8a6885d841
3 glass panels: 49-1/2 x 7-1/4 in. (125.7 x 18.4 cm); 3 wood sticks: 44-1/4 in. (112.4 cm); wood case: 13 x 52 x 9 in. (33.0 x 132.1 x 22.9 cm),1963 (replica of 1913-14 original),"Norton Simon Museum, Museum Purchase","Three Standard Stoppages (Third Version),",French,Marcel Duchamp,http://images.nortonsimon.org/viewer/index.php?id=P.1963.39,1887,1968,f999119f54fe
25-1/2 x 40-1/4 in. (64.8 x 102.2 cm),1963 (replica of 1914-15 original),"Norton Simon Museum, Museum Purchase","Nine Malic Moulds (Second Version),",French,Marcel Duchamp,http://images.nortonsimon.org/viewer/index.php?id=P.1963.38,1887,1968,277d38623d18
comp: 10-1/4 x 7 in. (26.0 x 17.8 cm); sheet: 11-3/4 x 7-7/8 in. (29.8 x 20.0 cm),1964 (replica of 1919 original),"Norton Simon Museum, Gift of Virginia Dwan","L.H.O.O.Q. or La Joconde,",French,Marcel Duchamp,http://images.nortonsimon.org/viewer/index.php?id=P.1969.094,1887,1968,b5fe6ccdfabe
overall: 29-1/4 x 16 in. (74.3 x 40.6 cm),1963 (replica of 1914 original),"Norton Simon Museum, Gift of Mr. Irving Blum, in memory of the Artist","Bottle Rack,",French,Marcel Duchamp,http://images.nortonsimon.org/viewer/index.php?id=P.1968.28,1887,1968,543fdb2b4a0f
10-3/4 x 13-7/8 in. (27.3 x 35.2 cm),1950,"Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor","Untitled #3,",American,Richard Diebenkorn,http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.2.04ab,1922,1993,1b7f63a0149d
30 x 45 in  (76.2 x 114.3 cm),1948,"Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor","Untitled #22,",American,Richard Diebenkorn,http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.1,1922,1993,8d11db7d746b
10-3/4 x 13-7/8 in. (27.3 x 35.2 cm),1950,"Norton Simon Museum, Gift of Mr. & Mrs. Paul Kantor","Untitled #1,",American,Richard Diebenkorn,http://images.nortonsimon.org/viewer/index.php?id=P.1965.017.2.05ab,1922,1993,92fc248571b0
34 x 26 in. (86.4 x 66.0 cm),1960,"Norton Simon Museum, Gift of the Artist","Bottles,",American,Richard Diebenkorn,http://images.nortonsimon.org/viewer/index.php?id=P.1961.27,1922,1993,4db59fe6f901
33-3/4 x 27-1/4 in. (85.7 x 69.2 cm),1850,The Norton Simon Foundation,"Young Woman with a Rose,",French,Achille-Jacques-Jean-Marie Devéria,http://images.nortonsimon.org/viewer/index.php?id=F.1983.08.P,1800,1857,9b844a1bcea0
9 x 12-1/2 in. (22.9 x 31.8 cm),1830-1835,Norton Simon Art Foundation,"Odalisque,",French,Achille-Jacques-Jean-Marie Devéria,http://images.nortonsimon.org/viewer/index.php?id=M.1967.06.P,1800,1857,948e6e9bf109
68-3/4 x 57 in. (98.4 x 144.8 cm),1954,"Norton Simon Museum, Gift of Mr. and Mrs. Robert A. Rowan","Berkeley #24,",American,Richard Diebenkorn,http://images.nortonsimon.org/viewer/index.php?id=P.1967.26,1922,1993,e6b641da9bca
19-1/2 x 16-3/8 in. (49.5 x 41.6 cm),18th century,"The Norton Simon Foundation, Gift of Mr. Norton Simon","Washerwoman,",French,Jean-Baptiste Deshays de Colleville,http://images.nortonsimon.org/viewer/index.php?id=F.1983.07.2.P,1729,1765,625526e205a1
19-1/2 x 16-3/8 in. (49.5 x 41.6 cm),18th century,"The Norton Simon Foundation, Gift of Mr. Norton Simon","Rest of the Shepherds,",French,Jean-Baptiste Deshays de Colleville,http://images.nortonsimon.org/viewer/index.php?id=F.1983.07.1.P,1729,1765,5666a22c1709
62-3/4 x 66-3/8 in. (159.4 x 168.6 cm),1760,The Norton Simon Foundation,"Jupiter and Semele,",French,Jean-Baptiste Deshays de Colleville,http://images.nortonsimon.org/viewer/index.php?id=F.1970.04.P,1729,1765,922be0063725
19-3/4 x 25-3/4 in. (50.2 x 65.4 cm),1825,The Norton Simon Foundation,"The Crucifixion,",French,"Eugène, Circle of (possibly Richard Parkes Bonington) Delacroix",http://images.nortonsimon.org/viewer/index.php?id=F.1965.1.006.P,1798,1863,be2d62abe6fa
17-3/4 x 11-7/8 in. (45.1 x 30.2 cm),1874,Norton Simon Art Foundation,"Dancer (Battement in Second Position),",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.05.D,1834,1917,c7cc4526b4ce
comp: 10-1/8 x 7-1/2 in. (25.7 x 19.1 cm); sheet: 13-3/4 x 10-3/4 in. (34.9 x 27.3 cm),1879,Norton Simon Art Foundation,"Café-Concert Singer,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1979.12.G,1834,1917,988ffb09ff32
6-3/8 x 4-5/8 in. (16.2 x 11.7 cm),1877-1879,Norton Simon Art Foundation,"Café-Concert Singer,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1978.21.P,1834,1917,66ac2285f271
13-1/4 x 8-1/4 x 7-9/16 in. (33.7 x 21 x 19.2 cm),1896-1911,Norton Simon Art Foundation,"Bow,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.30.S,1834,1917,35efd98f094b
comp: 11-7/8 x 15-5/8 in. (30.2 x 39.7 cm); sheet: 12-1/8 x 16-1/16 in. (30.8 x 40.8 cm),1890,"Norton Simon Museum, Museum Purchase with funds donated by The B. Gerald Cantor Foundation","Autumn Landscape: L'Esterel,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=P.1968.17,1834,1917,584c7fcde138
11-3/16 x 16-7/8 x 8-1/4 in. (28.4x 42.9 x 21.0 cm),1885,Norton Simon Art Foundation,"Arabesque Over the Right Leg, Right Hand Near the Ground, Left Arm Outstretched,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.02.S,1834,1917,7c910b5e18ec
11-3/4 x 17-1/2x 3-13/16 in. (29.8 x 44.5 x 9.7 cm),1885,Norton Simon Art Foundation,"Arabesque Over the Right Leg, Left Arm in Line,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.03.S,1834,1917,e5b9c3291e46
8-1/4 x 10-5/8 x 4-3/8 in. (21.0 x 27 x 11.2 cm),1878,Norton Simon Art Foundation,"Arabesque Over the Right Leg, Left Arm in Front,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.01.S,1834,1917,59c409dbe359
17-7/8 x 18-15/16 x 3-1/4 in. (45.4 x 48.1 x 8.2 cm),1881-1882,Norton Simon Art Foundation,"Apple Pickers,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.69.S,1834,1917,a7676d770ba2
26 x 20-3/4 in. (66 x 52.7 cm),1890-1893 (dated in error by another hand: 1885),The Norton Simon Foundation,"After the Bath,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=F.1975.02.P,1834,1917,e68003a6b72f
14 x 6-3/8 x 4-1/8 in. (35.6 x 16.2 x 10.5 cm),1882-1895,Norton Simon Art Foundation,"Dancer Adjusting the Shoulder Strap of Her Bodice,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.27.S,1834,1917,bb107bf7961e
33-5/8 x 29-3/4 in. (85.4 x 75.6 cm),1879,The Norton Simon Foundation,"Actress in Her Dressing Room,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=F.1972.03.P,1834,1917,da449f071357
18 x 6-1/2 x 5 in. (45.7 x 12.7 cm),1880-1885,Norton Simon Art Foundation,"Dancer at Rest, Hands Behind Her Back, Right Leg Forward,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.21.S,1834,1917,fab1f902372d
32-3/8 x 29-3/4 in. (82.2 x 75.6 cm),1884,Norton Simon Art Foundation,"Women Ironing,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1971.3.P/M.1979.17.P,1834,1917,9801581ebf43
19-1/2 x 14-9/16 x 8-1/16 in. (49.5 x 37.1 x 20.3 cm),1900-1910,Norton Simon Art Foundation,"Dancer Looking at the Sole of Her Right Foot,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.32.S,1834,1917,992cbf942d4c
11-3/4 x 14-3/4 in. (29.8 x 37.5 cm),1865-1866,Norton Simon Art Foundation,"Study for ""Saltimbanques Resting"",",French,Honoré Daumier,http://images.nortonsimon.org/viewer/index.php?id=M.1985.2.P,1808,1879,fc4dd9c12069
21-1/2 x 25-3/4 in. (54.6 x 65.4 cm),1870,"Norton Simon Art Foundation, Gift of Mr. Norton Simon","Saltimbanques Resting,",French,Honoré Daumier,http://images.nortonsimon.org/viewer/index.php?id=M.1976.06.P,1808,1879,ea8be4611da1
Image: 12-1/8 x 9-7/8 in. (30.8 x 25.1 cm),1920s (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Rubber Plant,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.141,1883,1976,1896e8a19200
18-3/4 x 13-7/16 x 8-1/4 in. (47.6 x 34.1 x 21.0 cm),1900-1910,Norton Simon Art Foundation,"Dancer Looking at the Sole of Her Right Foot,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.33.S,1834,1917,35cee9393803
Image: 9-3/8 x 7-3/8 in. (23.8 x 18.7 cm),1920s (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Plant Form,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.147,1883,1976,345d505d89d4
Image: 9-3/8 x 7-1/2 in. (23.8 x 19.1 cm),1925 (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Magnolia Bud,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.148,1883,1976,bd22d48746a0
Image: 8-3/4 x 11 in. (22.2 x 27.9 cm),1925 (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Magnolia Blossom,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.140,1883,1976,ab5da04b4257
Image: 9-3/8 x 8-1/2 in. (23.8 x 21.6 cm),1927 (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Glacial Lily (False Hellebore),",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.143,1883,1976,03265568ba46
Image: 11-3/8 x 8-7/8 in. (28.9 x 22.5 cm),1920s (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Colletia Cruciata,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.144,1883,1976,ceaa08ab9210
Image: 9-1/2 x 7-3/8 in. (24.1 x 18.7 cm),1920s (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Calla Leaves,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.150,1883,1976,540c88d82604
18-1/4 x 7-1/4 x 11 in. (46.4 x 18.4 x 28.0 cm),1900-1910,Norton Simon Art Foundation,"Dancer Looking at the Sole of Her Right Foot,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.34.S,1834,1917,b032ba170ee9
Image: 9-1/8 x 7-1/8 in. (23.2 x 18.1 cm),1920s (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Black Lily,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.146,1883,1976,43162d09a23a
Image: 7-7/8 x 9-1/2 in. (20.0 x 24.1 cm),1920s (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Black Lily,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.142,1883,1976,6bd279b8b220
Image: 9-1/2 x 7-1/8 in. (24.1 x 18.1 cm),1920s (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Black and White Lilies,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.149,1883,1976,74fd30db9f2c
Image: 9-7/16 x 7-7/16 in. (24 x 18.9 cm),1920s (printed 1971),"Norton Simon Museum, Gift of the Artist to the Blue Four Galka Scheyer Collection","Agave,",American,Imogen Cunningham,http://images.nortonsimon.org/viewer/index.php?id=PH.1971.145,1883,1976,6eaf73c1e001
18-3/16 x 11-1/4 x 8 in. (47.8 x 28.6 x 20.3 cm),1900-1910,Norton Simon Art Foundation,"Dancer Looking at the Sole of Her Right Foot,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.31.S,1834,1917,a8c48892c58a
25-1/4 x 19-1/4 in. (64.1 x 48.9 cm),1898,The Norton Simon Foundation,"Dancer in Green,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=F.1983.18.P,1834,1917,9f9ea56445b8
20-1/2 x 15-13/16 x 6-5/16 (52.1 x 40.1 x 16 cm),1900-1910,Norton Simon Art Foundation,"Dancer Holding Her Right Foot in Her Right Hand,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.29.S,1834,1917,d812cf2b1085
21-1/8 x 15-3/16 x 6-15/16 in. ( 53.7 x 38.6 x 17.7 cm),1900-1910,Norton Simon Art Foundation,"Dancer Holding Her Right Foot in Her Right Hand,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.28.S,1834,1917,8cd45eac45ed
16-7/8 x 6-1/8 x 6-7/16 in. (43.0 x 15.5 x 16.3 cm),1885-1890,Norton Simon Art Foundation,"Dancer Fastening the String of Her Tights,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.14.S,1834,1917,a420fa6753ee
13-15/16 x 6-13/16 x 6 in. (35.4 x 17.3 x 15.2 cm),1883-1888,Norton Simon Art Foundation,"Dancer Moving Forward, Arms Raised,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.17.S,1834,1917,977f7ef2923c
8-7/8 x 4-1/2 x 6-1/2 in. (22.5 x 11.4 x 16.5 cm),1885,Norton Simon Art Foundation,"Dancer Bowing,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.25.S,1834,1917,545ca02ccbf6
15-1/16 x 8-3/4 x 4-1/8 in. (38.3 x 22.2 x 10.5 cm),1878,Norton Simon Art Foundation,"Dancer at Rest, Hands on Her Hips, Left Leg Forward,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.20.S,1834,1917,77de5f857de1
17-1/2 x 10-1/4 x 5-5/16 in. (44.5 x 25.9 x 13.5 cm),1882-1895,Norton Simon Art Foundation,"Dancer at Rest, Hands Behind Her Back, Right Leg Forward,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.23.S,1834,1917,43db8954b4e9
8-5/8 x 5 x 4-11/16 in. (21.9 x 12.7 x 12.0 cm),1882-1895,Norton Simon Art Foundation,"Dancer Bowing,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.24.S,1834,1917,2c5a754338f2
7-15/16 x 7-1/4 x 5-9/16 in. (20.2 x 18.5 x 14.1 cm),1896,Norton Simon Art Foundation,"Woman Washing Her Left Leg,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.61.S,1834,1917,019a77733d3f
5-3/4 x 5-15/16 x 4-13/16 in. (14.6 x 15.1 x 12.2 cm),1896,Norton Simon Art Foundation,"Woman Washing Her Left Leg,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.60.S,1834,1917,caaa1a258e7c
16-1/8 in. (41.0 cm),1896,Norton Simon Art Foundation,"Woman Taken Unawares,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.58.S,1834,1917,3131da284365
14-5/8 x 6-1/2 x 6 in. (37.1 x 16.5 x 15.2 cm),1896-1911,Norton Simon Art Foundation,"Woman Stretching,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.63.S,1834,1917,beb1f45ad30f
12-3/4 x 9-1/2 x 12-3/8 in. (32.4 x 24.1 x 31.4 cm),1900-1912,Norton Simon Art Foundation,"Woman Seated in an Arm-Chair Wiping Her Neck,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.55.S,1834,1917,a4995de3deda
12-7/8 x 7-5/8 x 13-1/4 in. (32.7 x 19.3 x 33.7 cm),1896-1911,Norton Simon Art Foundation,"Woman Seated in an Arm-Chair Wiping Her Left Armpit,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.57.S,1834,1917,bcbc1e39ff3a
26 x 12-1/2 x 9-1/16 in. (66.0 x 31.8 x 22.9 cm),1882-1895,Norton Simon Art Foundation,"Dancer Moving Forward, Arms Raised, Right Leg Forward,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.18.S,1834,1917,d627d2d8bcc7
17-3/8 x 10-5/8 x 7-1/8 in. (44.1 x 27.0 x 18.2 cm),1896-1911,Norton Simon Art Foundation,"Woman Rubbing Her Back with a Sponge, Torso,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.02.52.S,1834,1917,18e49cb71c74
75 x 27-1/2 in. (190.5 x 69.9 cm),1530,Norton Simon Art Foundation,"Eve,",German,Lucas Cranach the Elder,http://images.nortonsimon.org/viewer/index.php?id=M.1991.1.P,1472,1553,6dcb3d51c915
34-7/8 x 37-3/4 in. (88.6 x 95.9 cm),1895,Norton Simon Art Foundation,"Dancers in the Rotunda at the Paris Opera,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1968.25.P,1834,1917,3bd56f3eb240
Sheet: 24 x 18 in. (60.96 x 45.72 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1966","Shrine Shrine,",American,Steven Cortright,http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.158,1942,1991,6a22cb589b38
28-1/2 x 15-1/4 in. (72.4 x 38.7 cm),1886,The Norton Simon Foundation,"Dancers in Pink,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=F.1969.05.1.P,1834,1917,a06887e11d68
18-3/8 x 27 in. (46.7 x 68.6 cm),1835-1845,The Norton Simon Foundation,"View of Venice: The Piazzetta Seen from the Riva degli Schiavoni,",French,Jean-Baptiste Camille Corot,http://images.nortonsimon.org/viewer/index.php?id=F.1973.27.P,1796,1875,d4ebb479ce45
18-1/4 x 14-5/8 in. (46.4 x 37.2 cm),1865-1875,Norton Simon Art Foundation,"The Cicada,",French,Jean-Baptiste Camille Corot,http://images.nortonsimon.org/viewer/index.php?id=M.1975.13.1.P,1796,1875,e37670e82232
sheet: 22-3/8 x 30 in. (56.8 x 76.2 cm),1964,"Norton Simon Museum, Anonymous Gift, 1965","Start Thinking,",American,William Nelson Copley,http://images.nortonsimon.org/viewer/index.php?id=P.1965.010.41,1919,1996,7252d8ee9a23
sheet: 13 x 17-1/8 in. (33 x 43.5 cm),1964,"Norton Simon Museum, Anonymous Gift, 1965","Gin Sin,",American,William Nelson Copley,http://images.nortonsimon.org/viewer/index.php?id=P.1965.010.42,1919,1996,50793f48ef41
Sheet: 20 x 17 1/4 (50.8 x 43.82 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1967","Untitled,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.065,1933,2008,5041403c40d6
Sheet: 41 x 29 in. (104.14 x 73.66 cm.); 1 1/4 x 1 1/4 in. (3.18 x 3.18 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1967","Thumb Print,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.076,1933,2008,e680ecebc0eb
Shhet: 7 1/2 x 17 1/2 in. (19.05 x 44.45 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1967","This Space Reserved for June Wayne,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.073,1933,2008,56059a23e35e
Sheet: 14-1/2 x 19-1/2 in. (36.83 x 49.53 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1967","Sunset Strip,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.071,1933,2008,35c8bd4648b0
Sheet: 26 x 22 1/2 in. (66.04 x 57.15 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1967","Rain,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.067,1933,2008,0334879292ea
56 x 40-3/4 x 6-1/2 in. (142.2 x 103.5 x 16.5 cm),"1959, 1999","Norton Simon Museum, Museum Purchase","HOMAGE TO MINNIE MOUSE,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1963.36.09,1933,2008,d5f58bbd576b
Sheet: 14 3/4 x 23 1/2 in. (37.47 x 59.69 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1967","Green Line,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.069,1933,2008,cc83ce632340
27-1/4 x 19-3/4 in. (69.2 x 50.2 cm),1876-1878,Norton Simon Art Foundation,"Dancers in the Wings,",French,Edgar Degas,http://images.nortonsimon.org/viewer/index.php?id=M.1977.06.P,1834,1917,b51161acd58b
32 x 70-3/4 x 27 in. (81.3 x 179.7 x 68.6 cm),1963,"Norton Simon Museum, Museum Purchase with funds donated by Mr. David H. Steinmetz III and an Anonymous Foundation","COUCH,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1969.005,1933,2008,5be172acf848
Sheet: 21 1/2 x 32 in. (54.61 x 81.28 cm.),1965,"Norton Simon Museum, Anonymous Gift, 1967","Cancellation,",American,Bruce Conner,http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.074,1933,2008,6f9de2bbbe7b
sheet: 19 x 13-3/4 in. (48.3 x 34.9 cm),1964,"Norton Simon Museum, Anonymous Gift, 1965","Blue Pussy Cat,",American,William Nelson Copley,http://images.nortonsimon.org/viewer/index.php?id=P.1965.010.43,1919,1996,c318762dda27
17-3/4 x 24-1/16 in. (45.1 x 61.2 cm),1872,"Norton Simon Art Foundation, Gift of Jennifer Jones Simon","Thatched Cottage in Normandy,",French,Jean-Baptiste Camille Corot,http://images.nortonsimon.org/viewer/index.php?id=M.2002.01.P,1796,1875,6f7ec56a849b
21-1/4 x 32 in. (54 x 81.3 cm),1839,"The Norton Simon Foundation, Gift of Donald Ellis Simon","Site in Italy,",French,Jean-Baptiste Camille Corot,http://images.nortonsimon.org/viewer/index.php?id=F.1971.1.2.P,1796,1875,d5751c78be72
