Copyright0951,0021,Seller0716,Image0665,file_name,Image0682,Rifles0572,New0604,Main0551,20150823,Guns0565,Image0648,Price0797,Since0725,Location0800,ATF0978,Start0821,5568580574
2015,1941 Nazi Walther P-38 Pistol - Matching Numbers : Pistols,user92223,1941 Walther P-38 006.JPG,23637FD2C7BF694161BD6E1B6A5289C1C30CC3D9F82A344EB257B312C424BF22.html,1941 Walther P-38 011.JPG,556500,1941 Walther P-38 002.JPG,,": 4  This is a 1941 Nazi Walther P-38. An AC 41. Made by Walther, not Mauser or Spreewerk. All matching numbers and shoots beautifully. Super clean. All Nazi markings, but has been re-blued at some point in it's life. $650.00. (352) 584-2971 (text or e-mail fine).",Pistols,1941 Walther P-38 009.JPG,0,"December 10, 2014",North Of Tampa,: 6961,"Nov 16, 2015",1941 Nazi Walther P-38 Pistol - Matching Numbers
2015,SAVAGE MODEL 11 FHNS 308 WIN : Rifles,mz9142,,23BC11B9FD174D7CA98336BB596F6B0C994BD2BE6D8292B0A36C90AB58E040C9.html,,556907,,,": 1  Like new savage model 11 chambered in 308 for sale. Pretty much been a safe queen since I got it so it has about a box of ammo through it. This is the FHNS model which FHNS an integral magazine with a hinged floor plate for quick unloading and also has savage's accutrigger. Comes with a hard plastic case, Simmons 3-9x40 scope, Caldwell Led Sled Solo rifle rest, and 40 rounds of 7.62x51. Not looking to split the package up.  Willing to meet in the Orlando area. Asking $550 OBO, not looking for any trades at this time.",Rifles,,550,"November 9, 2013",East Orlando,: 842,"Nov 20, 2015",SAVAGE MODEL 11 FHNS 308 WIN
2015,"Safariland soft body armor panels ,level 2 : Other Items",Masterblasters,,24AAC19A6196CCD9019F17DB21C26583C76470AE5616109706BA86F114352735.html,,556764,20151118_173323.jpg,,: 1   Safariland soft armor panels level 2   These are older panels that would be good to put behind armor plate    Front and back panels $60 for the pair   Contact me via text at 904three 47six 057,,,60,"October 29, 2012",Jacksonville,: 2214,"Nov 19, 2015","Safariland soft body armor panels ,level 2"
2015,Sig Sauer P238 : Pistols,joe32780,,2AAC14BD46AD08AF413E014A09ABAB76EC5BB3C21AE995BED77D0059BB4AAC7F.html,,555963,238-3.jpg,,": 2  Like new, in box.....comes with 1 extended magazine and 1 standard magazine, original Sig holster, plus an IWB holster. .380 caliber.",Pistols,,550,"April 16, 2010",Titusville,: 874,"Nov 14, 2015",Sig Sauer P238
2015,2 for 1 TRADE Sig/Glock : Pistols,FlaglerScott,,2F071D382D86CEA18FC8EDFD0CF0ACD7C0F41B7438165EF746AB57CB79E1138F.html,,556271,,,": 5   Looking to trade 2 pistols for one nice pistol. Will also sell individual.   Sig Sauer SP2022 9mm, like new in box with 3 Mags, 1 is 15 rd, other 2 are +2 17 rd   Glock 42 .380, like new as well in box with Tru glo night sights, stainless pins, Ghost mag release, 2 6rd mags, one has pinky extension. *note* this is a newer version 42 with the better mags and revised slide stop.       Both pisols are in Great condition and ready to go. I am looking for 9mm Sig 226, 228, 229, M11a1, mk25, 226 tac ops or threaded barrel, maybe a HK with extras or cash...   only looking for 9mm pistols.",Pistols,,0,"September 1, 2011",DAYTONA,: 3771,"Nov 15, 2015",2 for 1 TRADE Sig/Glock
2015,Ad Responses Really? : Pistols,boomer550,,2FFD2FCD1C95F50466FC24DF6A2AB99C26CE733B38EFF14D72D1B0C7DFFD149C.html,,557060,,,: 1  I get a text what model? how much? do I require a CWP? Dose anyone read our ads anymore wtf!!!,Pistols,,0,"August 25, 2010",Lake Worth,: 2242,"Nov 20, 2015",Ad Responses Really?
2015,THE KIMBER SUPER CARRY CUSTOM 45 EXCELLENT : Pistols,Skypilot,,30454EF81CEA8A8D57C17070FFFAD356EB0C6FAD985D2D18110ED32CA7B07851.html,,556195,SUNP0220.JPG,,": 3  Kimbers top of their line model 1911 45 cal semi auto pistol The Super Carry Custom all the Kimber custom shop features, Metrolight night sights, 1 KimPro 8 rd mag, Can not tell if this was ever fired. Comes in the box with book and paperwork. This is a gunmakers work of firearms art, a weaspon that you can depend upon in any situation.",Pistols,,900,"January 6, 2011",Land O Lakes,: 18644,"Nov 15, 2015",THE KIMBER SUPER CARRY CUSTOM 45 EXCELLENT
2015,Primers! Cases Win CCI Fed Small Rifle Lg Rifle : Ammunition,cannondale126,primers 004.JPG,328D3EC75DF9F8202D6C19190773664A1A34EF5602FD37B4642E603582BAB523.html,,557134,primers 001.JPG,,: 1   I have some primers left from the last sale here is the list   1 case 5000 Winchester Large Rifle Magnum 100 dollars   1 case 5000 CCI Small Rifle Magnum 100 dollars   1 case CCI Large rifle Magnum 100 dollars   1 case 5000 Winchester 7 1/2 Small rifle Benchrest 100 dollars   1 box 1000 Federal Gold Medal Match Large Rifle 25 Dollars   2 boxes 1000 each Winchester 209 Shotshell Primers 20 each   2 boxes 1000 each CCI 209 Shotshell Primers 20 each   I also have ammo cans left let me know what you need.   Randy 5612557368,,,100,"May 2, 2014",Port Saint Lucie,: 1427,"Nov 21, 2015",Primers! Cases Win CCI Fed Small Rifle Lg Rifle
2015,ruger 45 cal : Pistols,mrspeedking,IMG_2401.JPG,340A88040C0963BD46C23B673F3D108991E2E4471E914FABF802CF93B9D12628.html,IMG_2393.JPG,557501,IMG_2012.JPG,,: 1   in black orig. case- less than box of shells fired/$580 at gander mtn plus tax/nice balanced stainless steel* 45 cal model p345/ $500 /OBO,Pistols,IMG_2013.JPG,500,"September 25, 2010",Mtverde,: 2749,"Nov 22, 2015",ruger 45 cal
2015,Keltec PL16 pistol in 223/556 : Pistols,harley2003,,34DC0AB0BBF35FAF6F16B31ED0927671937C436B2B8C498D4E34C020A595D3D8.html,,556085,IMG_20151021_133817.jpg,,": 3  For sale is a KelTec Pl 16 223/556 CAl. Semi auto Pistol in blue steel with a muzzle break. The Pistol is in great shape, comes with one mag from factory. But it uses AR mags. Obo",Pistols,,575,"September 24, 2012",Ft Pierce,: 2312,"Nov 14, 2015",Keltec PL16 pistol in 223/556
2015,3000 380 ACP 100gr RNFP copper plated bullets : Ammunition,Chadzbly32,,356528D53BF817BE8C1F4473DAABC36DA63BF6553DCED7473F0716608F70244D.html,,557106,DSC_3212.JPG,,": 2  3,000 .380Auto/.380 ACP (0.355 diameter) 100gr Round Nose Flat Point projectiles. These are all 100% copper plated applied electrochemically to a precision swaged lead core. So you won't come in contact with any dangerous lead while handling them and at the same time, they won't foul up and ruin your high-dollar actions and barrels. Safe for Glocks and similar barreled firearms. After electroplating, they're restruck to ensure precise diameters and consistency from bullet to bullet and lot to lot.   I've loaded and shot thousands of these so can personally report they are just as accurate as any Jacketed bullet. As you can see from the pics above, they are very nice projectiles and very shiny. Definitely a step up from your ""Berry's plated Bullets"" You'll be hard pressed to find a plated lead bullet such as this that is the weight it says on the box. Unlike Berry's that are always off by 5-10 grs. This makes a BIG difference when setting up your powder charge. Definitely a step up from your ""Berry's plated Bullets""   Must meet in Winter Haven at the Dollar General store on Lake Ruby Dr West (Mapquest it up BEFORE calling) PRICE IS FIRM. YOU CAN'T TOUCH BULLETS LIKE THESE FOR ANYWHERE NEAR THIS PRICE! Please call (863) 332-4141",,,200,"February 29, 2012",Winter Haven,: 1751,"Nov 21, 2015",3000 380 ACP 100gr RNFP copper plated bullets
2015,Hornady Lock-N-Load Auto Progressive Press : Other Items,ray1425,hornady6.jpg,3A5ED3F9483A043CB7974FA88BF05FCE6F0BC6B0CE8F1176ADF05DD7406FB9B4.html,hornady7.jpg,556260,hornady1.jpg,,": 2   Hornady LNL progressive reloading press. The press is set up for 38/357 magnum. Everything that came with it new is included and a #30 shell plate for 44 magnum. This press has only loaded 100 rounds and is as close to new as you will find. Price is $250.00 firm, not looking for any trades right now. If interested you can call me at 386-428-0042.",,hornady3.jpg,250,"November 20, 2011",Edgewater,: 6469,"Nov 15, 2015",Hornady Lock-N-Load Auto Progressive Press
2015,fn fal 308 norna mag 4 boxes of ammo and dies : Rifles,jojomec,,3D30A439D102D8D7B350FF870A3D2C834E3818385FBB34A6D7AE8012D1A188F7.html,,556476,,,: 1  i have a nice fn fal 308 norma mag made in belgium musketeer from the 1950 s with nice scope sling 4 boxes of ammo and 100 round of brass for sale or trade,Rifles,,450,"August 29, 2010",Brooksville,: 4361,"Nov 16, 2015",fn fal 308 norna mag 4 boxes of ammo and dies
2015,40 cal HIGHPOINT CARBINE Like New LASER CASE : Rifles,user2112,40high-103.JPG,4219CF8DB96F5B9542DC63C5B6D7AB489BF61DAE55D3422DDA526C86383E3019.html,40high-104.JPG,556212,40high-101.JPG,,": 2   APPEARS UNFIRED , RED LASER WITH PRESSURE PAD, NICE COTTON LINED CARRY BAG.   NO MAGS .   I REQUIRE FL CARRY PERMIT TO PURCHASE 727 215 7488",Rifles,40high-102.JPG,300,"April 12, 2014",St Petetersburg,: 12496,"Nov 15, 2015",40 cal HIGHPOINT CARBINE Like New + LASER CASE
2015,2 Beretta 84F Magazines .380 : Other Items,staugbuild,SANY3575.JPG,4696457DB9286868A21D28DB9C6A92DF6289D94EB57A03DD9DEF18DD62F1F042.html,,556961,SANY3573.JPG,,: 2  Two magazines for a Beretta 84F Cheeta .380 caliber,,,20,"April 1, 2014",Bunnell,: 2027,"Nov 20, 2015",2 Beretta 84F Magazines .380
2015,Smith and wesson 686 no dash : Revolvers,Slowridevw,,4A4B6BFEE949D54D5CBBB68E1D3CCEA218D7EA6AE2C48A66BAF57EC28381D1CC.html,,556393,,,": 1  I have a nice Smith and Wesson 686 no dash, no lock. Comes with the factory wood grips and gun rug. I have a tight lock up with some honest holster ware. I am asking $650 OBO, if interest or need more details please call or text 727-458-2260",Revolvers,,650,"March 11, 2012",St Petersburg,: 1532,"Nov 16, 2015",Smith and wesson 686 no dash
2015,bushmaster carbon 15 with extras : Rifles,user74456,20151120_200814.jpg,56385EE4B9CCEE4A73F60E7489F7E7514E8406BD8C5C12137AFD5F7575ADF2E2.html,20151120_200826.jpg,557069,20151120_200912.jpg,,: 1  I am selling my rifle a bushmaster carbon 15 with everything in the pictures so I'm able to pay for medical expenses I am asking 1200.00 or best offer don't be afraid to text me an offer I am needing cash fast.... text me at (863)449-7134 and we can meet up and 3 of the mags are filled so I am assuming there is ninety green tip rounds,Rifles,20151120_200843.jpg,"1,200","November 20, 2015",Avon Park,: 2235,"Nov 20, 2015",bushmaster carbon 15 with extras
2015,Granite Counter Tops for trade : Other Items,snakegrips,mix fire pit.jpg,5666F588B88628AE98541F731498F447E0BC863EB445A8674B34D28573FBB882.html,t3.jpg,556621,t4.jpg,,": 1   Granite Counter Tops for trade for firearms in and around Tampa   I have a shop and will do 3cm Kitchens, Baths, Fire Pitts, Desk, coffee table, and BBQ Grill Tops    for guns if it is and kitchen I will trade for old Colts,HIGH END 1911s, a few guns open to ALL   PLUS Classic cars, Jeep,Trucks, 4W, Jetski's,or just something cool   ""Plus"" I will do Repairs"" for trade or cash   Thanks for looking",,t1.jpg,0,"March 8, 2013",Tampa,: 2558,"Nov 17, 2015",Granite Counter Tops for trade
2015,Glock 19 FDE Custom : Pistols,mostwanted1,,586C2C74E4216125E34829194554C67A711A45F0D9CBB0137CA036D8C40459A4.html,,556942,,,": 4    Looking to sell/trade mu custom G19 FDE. The grip has been modified to accept G26 (sub-compact) magazines. The shortened grip is ideal for concealed carry and maintains the longer barrel length and sight radius of the G19. Also, the longer barrel helps control recoil as compared to a G26. I've run several hundred rounds the pistol with zero malfunctions - it eats anything you feed it.     Also has Glock front night sight and an ICE Claw EMS rear sight.         Looking for a partial trade for Walther PPQ (I'll include cash) or cash. I also have several holsters.",Pistols,,350,"September 7, 2012",Palm Bay,: 2000,"Nov 20, 2015",Glock 19 FDE Custom
2015,Fnar 16 for sale or trade!!!!!! : Rifles,itsallaboutthebone,,5A223FB004EFB6067F241ACEA60BCECFB8B9D978C85D4055A0FB1E1272DCFDBA.html,,556647,20150804_222138.jpg,,": 3   *Mint condition like new*   *FOR SALE*   Fnar 16"" 762x51/308   Only ten rounds fired.   Comes with one 20 round mag, ammo, nikon p308 scope with p308 mounts, fnh hard case with all factory accessories and manuals and a new 36"" voodo tactical double rifle range bag.   Would like to keep the bipod but if I get what I'm asking I'll throw it in.   There is a few things I may do a partial trade with:   May take an stock ak47 like a wasr, draco or maadi etc plus cash.   762x39 ammo or ak accessories plus cash.   Eotech plus cash.   1911 plus cash ""don't really want some high dollar 1911"".   Sig p220 plus cash   Multi gun trade   Fnx45 ""not the tactical"" plus cash.   Remington m887 nitro tactical shotgun plus cash   Not really interested in AR platforms unless it's the sig 556xi russian   Asking $1150 for total package   Will also sell just the rifle without scope, bipod and ammo for $850 firm   Location is volusia",Rifles,,0,"April 27, 2013",Volusia,: 2770,"Nov 17, 2015",Fnar 16 for sale or trade!!!!!!
2015,GLOCK 23 : Pistols,Mthrift1214,,5EF1F87B687AC3AF4776249037594F2F26791312693067473C545E4E00659367.html,,556785,GLOCK 23.jpg,,: 1   G23 with (3) factory 10 round mags. This gun has been taken care of and cleaned after every range trip.   Couple hundred rounds down it. No visable wear or scratches of any kind.   Generation 3 and Bone Stock-ready for customization or for just a reliable defense weapon. $425   West of I-295    (904) seven1zero-4nine7zero,Pistols,,425,"May 20, 2015",Macclenny,: 2136,"Nov 19, 2015",GLOCK 23
2015,taurus g2 9mm : Pistols,Jessman1,,627828D85A7285B7CDB356E372B2EBC3A99B5EC707A52EFABB6F31AF6E6B0A32.html,,555950,CAM00285.jpg,,: 1  Taurus g2 in box with 2 mags and a box of self defense ammo. Only 50 rounds of ball target ammo down the tube. All factory paperwork and accessories included. $235.00 firm. Call or text 941-447-8847.,Pistols,,235,"June 30, 2011",Bradenton,: 450,"Nov 14, 2015",taurus g2 9mm
2015,GLOCK 23 -- 13 round Magazine NEW : Other Items,fjladdy,,63E876D4299AC5FB6BFC8D21C87ACE9F8726DBCBE4A1C10FE5FBE25A91330317.html,,556021,,,: 2   New GLOCK 23 13 round magazine   Will mail for $2.50,,,,"May 3, 2014",,: 2043,"Nov 14, 2015",GLOCK 23 -- 13 round Magazine NEW
2015,Norinco Mak-90 : Rifles,amd65,20151110_001745.jpg,65AA1B1E3E311176521F4209C1C52A7D09C8DFFCD358F1A622E287B6CFDEEC60.html,20151109_221053.jpg,556178,20151109_201826.jpg,,: 3  Norinco Mak-90 for sale. Not really looking for trades but it doesn't hurt to ask. $700 ftf Palm Coast/Flagler Beach area. Bought it recently and owner said he had it since '94 and put about 400 rounds through it and from looking at the insides it looks about right on to me. Call or text John at 352-426-1937.,Rifles,20151109_201932.jpg,700,"March 22, 2013",Palm Coast,: 1122,"Nov 15, 2015",Norinco Mak-90
2015,WHOOOAAAHHHH!!! : Pistols,truthspeaker,,663BE036298F2BB4FB49C4E33745C1EAD0636AF017C11294A569D53EA55CD9FC.html,,557006,,,": 7  yes it was necessary and i hope you never have kids, there are enough retards without you adding to the pile.",Pistols,,0,"October 20, 2015",Coral Springs,: 1899,"Nov 20, 2015",WHOOOAAAHHHH!!!
2015,WTB Colt 380 goverment model only : Pistols,medicmanfl,,6863D9DC76BCBBF085B69E3031E75590C99D95A92509740E1447D18FB5DBE47B.html,,556376,,,: 2  Looking for a goverment model 380. Prefer blued as I am going to do mod's to it but will take stainless as well. Can take texts or emails.,Pistols,,0,"December 29, 2008",Tampa,: 784,"Nov 16, 2015",WTB Colt 380 goverment model only
2015,WTB RUGER LP9S : Pistols,blueridge,,6912C6CF732585E84B87F20DCE1C8A3BF82EF97BEA9AB078EEED756A25047614.html,,556118,,,: 1  WANT TO BUY RUGER LP9S,Pistols,,0,"November 22, 2009",Orlando,: 2349,"Nov 14, 2015",WTB RUGER LP9S
2015,COLT FRONTIER SCOUT 22LR/22MAG : Revolvers,shoemaker,22 colt 003.JPG,69682CDCD1CE4A738EF11C6CAEA474C96D1117AAE46449B88C22CE484A1D0653.html,,557370,22 colt 001.JPG,,": 41  COLT FRONTIER SCOUT 22LR AND 22MAG, NICE SHAPE, MODEL 62, YEAR 1968 WITH BOX. $ 600.00 FL/DL REQ DAVE 813-624-8854",Revolvers,,600,"November 6, 2012",Lutz,: 2144,"Nov 22, 2015",COLT FRONTIER SCOUT 22LR/22MAG
2015,Wts/t Remington R1 enhanced 1911 : Pistols,Cmalooski1,,6E760BBDA506AB23BE2AAF0440BE8B590CD499308890796C180B553D9EA0F004.html,,556808,image.jpg,,": 2  Remington R1 enhanced 1911, comes with box and 2 mags  $725   May make partial trades for other guns, open to most trades but also looking for a 380",Pistols,,0,"August 4, 2015",Jacksonville,: 2111,"Nov 19, 2015",Wts/t Remington R1 enhanced 1911
2015,Heritage Rough rider 22lr Cylinder : Other Items,dsouthdh,,79E22E51D63DE089E886F267B2E4FD192F10B2208CEAE5C20969022241501384.html,,556313,20151115_184403.jpg,,: 1  Heritage rough rider 22lr cylinder. $20. 813 397 7384,,,20,"May 12, 2011",Tampa,: 2252,"Nov 15, 2015",Heritage Rough rider 22lr Cylinder
2015,Sig Sauer P290RS Extreme *NIB : Pistols,Yellowfin1990,,7CE4B84E575232496C140AEAD6201A173E904AD6E227AD5B771A2B91218B9184.html,,556760,image.png,,: 1  Brand new Sig Sauer P290RS extreme with extended 8 round magazine and 7 round magazine. With box and papers.  FTF and BOS   8139195188,Pistols,,425,"November 6, 2015",Jacksonville,: 2251,"Nov 19, 2015",Sig Sauer P290RS Extreme *NIB
2015,Sig P224 Equinox .40 SW NIB NS SRT : Pistols,bczernuch,pix059077274.jpg,7E84AAE0892E92D8FFCD1F8FA7A1836527137896F12F803CC97CED8C2EF91488.html,,556926,pix332879882.jpg,,": 1  For sale, brand new in box SIG P224 Equinox .40 SW. comes in Sig hard case, (2) 10 round mags, Sig night sights, SRT Trigger, decocker, Hogue G10 black checkered grips. Top of the line for the P224. Firearms bill of sale required, prefer CWP holder, Cash sale, Must pickup local to Leesburg Florida. No Trades",Pistols,,700,"November 25, 2011",Leesburg,: 1800,"Nov 20, 2015",Sig P224 Equinox .40 SW NIB NS SRT
2015,ruger hi 30mm rings blue : Other Items,user60267,,7E9375DAD3E8CFAA18F8890382562E9F5CA62035EA5201B6D80A50336740DCA5.html,,556002,ruger rings.jpg,,: 1   like new ruger rings,,,50,"September 4, 2015",Weston,: 1977,"Nov 14, 2015",ruger hi 30mm rings blue
2015,Marlin 336 jm cs 35 Rem : Rifles,lucyLOU,,7F05B6F6BD1F6403B142CA9F62C445CF9CBC270EB587D65F444DC69B84D543D8.html,,557337,1979046.jpg,,: 22  Marlin 336 jm cs 35 Rem lever Action remington micro grove remington very nice with base trade for shotguns 20 gauge side by side or 12 ga no crap handguns dan wesson either 357 9mm 44 magnum 40 cal 45 223 or ak 47 7.62x39 308 25-06 270 colt python good bear deer hogs gun also have ammo for money 550.00 dan wesson 10mm mm DAN WESSON wanted wsm ar 10 30-06 270 813-31O63-13 trade 550.00,Rifles,,550,"August 21, 2014",ORLANDO,: 2119,"Nov 22, 2015",Marlin 336 jm cs 35 Rem
2015,WTS/WTT HK USP .40 stainless : Pistols,mastere954,,80548BFAAB3B534902EDFF8B6BDAF70DCB3BA6D9C8A24AF71ACB1C7393666B8B.html,,556781,,,: 1  Hello all. Looking to trade or sell my HK usp40. Gun is in great shape. Shoots perfect. Zero malfunctions. Come with box and two mags. Will sell or trade +/- cash. Looking for interesting trades.    Please text 954-593-2166 with offers.   Website isn't allowing me to upload photos. Please text for photos!!  Thank you for looking!!,Pistols,,0,"April 25, 2011",Pembroke Pines,: 2203,"Nov 19, 2015",WTS/WTT HK USP .40 stainless
2015,Kel Tec P11 : Pistols,richdh196,,80A2D0B78FD941428935309FE0EC1B34C76EA16CC8941161B555AC1D7E89B359.html,,556979,,,": 1   Bought new Nov 2013 Kel Tecl P11 9mm 3"" barrell 15 oz 11 shot in excellent cont   Comes with original box /manual/ 2 mags/ uncle mike's pocket hoster and box of fmjs   Sorry I don't own a camera. Call evenings 919 539 8607 cell $195",Pistols,,195,"May 14, 2015",Melbourne,: 1958,"Nov 20, 2015",Kel Tec P11
