0006,No0426,In0403,post0299,US0756,Price0373,On0398,Location0408,file_name,Favorite0538
For Sale/Trade: Witness Full Size 38 Super,Manufacturer:    Tanfoglio    Caliber:    38 Super    Action:    Double / Single Action    Firearm Type:    Pistol,Handguns,4839835,2015,450,"Sunday, November 15, 2015","West Suburbs, Cleveland, Ohio",2F46FA93F6608F5BC94D559D7D5C3A3770258C27293EF0F066321E3428E8D0A8.html,"For sale is a Witness in 38 Super. This is the full size version. The pistol is in very good condition and comes with two mags. I really like this pistol but I need to reduce the number of calibers I have. I would consider trades in 9mm, 45, 308 or 30-06. I prefer a bolt action 308 or 30-06. Can add cash for the right deal."
For Sale: Rock River Arms A4 Varmint AR15,Manufacturer:    Rock River Arms    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4876095,2015,"1,400","Friday, November 20, 2015","Okc, Oklahoma City, Oklahoma",36E75EB60D2FD8C2B6B0A4CEDD75886582906D901AC59906381ACDD154F2BD90.html,"Rock River Arma 5.56 A4 Varmint AR15 with 24"" stainless steel bull barrel with 1:8 twist. Nikon Prostaff 3-9x40 scope. Bipod, Blackhawk grip, bone collector case, steel 10 rnd magazine and steel 30 rnd magazine. Just don't have time to varmint hunt like I thought I would. Shot about 40 rounds through it. I also have 30 rnds of Federal Premium 77 gr. Sierra Matchking BTHP and 20 rnds of Hornady American Whitetail 60 gr SP Interlock.     Great long range varmint gun. Text, email, or call 405-473-588five  NO TRADES"
For Sale: Husqvarna Model 255 Rifle,Caliber:    22 Long Rifle    Action:    Single Shot    Firearm Type:    Rifle,Rifles,4876098,2015,180,"Friday, November 20, 2015","Burlington, Greensboro, North Carolina",381E01FB4B05D44437B612238CFA817A64FA1CB88DB6A811528CEAF995409DE8.html,"This is a 22 single shot that shoots great. Bore is very good, outside metal shows its age. Made around 1950. Stamped on the barrel reads, ""Husqvarna Vapenfabriks A.B. Sakrat - Avsett for 22 Long Rifle.""     Adjustable rear sight, stamped behind sight are settings of 20 - 50 - 100 - 200. Steel butt plate, factory sling swivels, Mauser style bolt. Also has a hammer that you can cock and uncock. Comes with carrying case and a box of ammo. Asking $180 OBO. If you're interested, send me a message and I'll get back to you promptly."
For Sale: AK 47,Manufacturer:    Century International Arms    Caliber:    7.62x39    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4862211,2015,600,"Sunday, November 15, 2015","Middleburg, Jacksonville, Florida",3B5DFCC0540546E158A8251D3AC9A75C83ACE3C890E0AA7168C094FAFD2F4C4E.html,AK 47 Romanian 1963 comes with 4 steel mags strap and cleaning kit perfect condition very accurate.
"For Sale: Battle Born, AK-74 5.45x39mm NIB",Caliber:    5.45x39mm    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4867050,2015,"1,200","Tuesday, November 17, 2015","Reno, Reno, Nevada",3F88BE2005227E349BFD3579A5BCE8BF2B157886B48DD046D1B06DA57F06BBB9.html,"U.S. Firearms, Battle Born, AK-74 NIB with dark wood furniture  Built with Bulgarian Parts, Chrome Line Bore and Gas Cylinder"
For Sale: Taurus 9mm PT111 Millennium G2 LNIB,Manufacturer:    Taurus    Caliber:    9mm Luger    Firearm Type:    Pistol,Handguns,4865737,2015,350,"Monday, November 16, 2015","South Austin, Austin, Texas",484B373DEFEDD668AF8B6E66DDBD141B81960D013BB67F99CBB1A00C7314D91D.html,"Taurus 9mm PT111 Milennium G2 LNIB. Bought this in July. Fired two boxes of ammo through it with no problems.    Has external safety and a rail for flashlights or lasers. Comes in Taurus box with four 12 round mags, owners manual, and two special keys to adjust sight and lock the slide and trigger in place. Sorry, only interested in selling it. Not interested in any trades."
For Sale: LNIB HK VP9,Manufacturer:    Heckler  Koch    Caliber:    9mm Luger    Action:    Striker Fire    Firearm Type:    Pistol,Handguns,4870969,2015,525,"Wednesday, November 18, 2015","Livonia, Detroit, Michigan",537ABE32B471CEBDAF9D8D08E6C3FFA453A538D971FBDDF2CF66184E12E84EC0.html,LNIB HK VP9  ORIGINAL SIGHTS  2 15 RD MAGS  BLACKHAWK SERPA OWB HOLSTER  100 RDS 9mm
For Sale: Glock 19,Manufacturer:    Glock    Action:    Striker Fire    Firearm Type:    Pistol,Handguns,4871546,2015,450,"Wednesday, November 18, 2015","Plainfield, Indianapolis, Indiana",57EAE744B273D077EA0B83F5F51BA8C57902FE92D2B2B7839A5AAB144015D013.html,"Generation 4 Glock 19. Had less than a year. It is like new. Shot around 500 rounds and it has never misfired or jammed. Comes with case, 3 magazines and extra grips."
For Sale/Trade: 870 WingMaster 12ga Slug Gun w/ Scope - Ready to Hunt,Manufacturer:    Remington    Caliber:    12 Gauge    Action:    Pump Action    Firearm Type:    Shotgun,Shotguns,4870078,2015,250,"Wednesday, November 18, 2015","Washington, Peoria, Illinois",5DAC8E55E882DFE6FD853EADF97EDB7D24E0C1B8AEB9592610C9A2FBE572038E.html,"12ga Wingmaster with cantilever slug barrel (cylinder bore), mounted Tasco 3-9x40 scope and new sling.    Ready to Hunt this week! Backup gun zeroed annually. Range Accurate to 200 yards with Foster slugs.    Condition: Fair - handling & field marks"
For Sale: TriStar C-100 .40SW Blue Finish With Night Sights,Manufacturer:    TriStar    Caliber:    40 SW    Action:    Double / Single Action    Firearm Type:    Pistol,Handguns,4873478,2015,511,"Thursday, November 19, 2015","Denton County, Dallas, Texas",5F0B30824450732D0021591F832D3D886ED86B6910769127A9742A6AC16CCAF7.html,"Tristar C-100 .40 S all-steel Semi-automatic Pistol, single and double action blued metal finish. The pistol comes with two 11-round magazines, a hard plastic case, a gun lock and a cleaning kit.    Upgrades include set of night sights ( fixed blade front sight and a snag-free dovetail rear sight), a pair of checkered LOK grips and an extra 10-round flush magazine. ONLY SELLING THE FIREARM TO INDIVIDUALS WITH VALID TEXAS DRIVERS LICENSE AND WHO COULD SIGN A FIREARM BILL OF SALE."
For Sale: SKB-Ithaca 885 O/U 12 Ga,Caliber:    12 Gauge    Action:    Over and Under    Firearm Type:    Shotgun,Shotguns,4857984,2015,"1,800","Friday, November 13, 2015","illinois, Illinois, United States",6066BDC30C30C684161626958D03A3919677046FC24B713592EF63F96FCE7996.html,"SKB-Ithaca 885 O/U 12 Ga is in excellent used condition. With two Extended Skeet Chokes installed, plus 7 more. rifle has never used and its in super great condition"
For Sale: Norinco NDM 86 Dragunov,Manufacturer:    Norinco    Caliber:    7.62x54R    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4871083,2015,"4,525","Wednesday, November 18, 2015","Manchester, New Hampshire, United States",62CA38CB93C098096A40587A75DDCBB179ABD76BDD33868DBE02F793433335D1.html,"Norinco NDM 86 Dragunov 7.62x54R ,lightly used NDM86 this gun has had very little rounds through it."
For Sale: New GLOCK 42 380acp + 100rds ammo for $395!,Manufacturer:    Glock    Caliber:    380 ACP    Action:    Single Action    Firearm Type:    Pistol,Handguns,4876054,2015,395,"Friday, November 20, 2015","Enid, Oklahoma City, Hennessey, Kingfisher, Northwest, OK, Oklahoma",649696E299D2115A664CA3424C9FFD2008BD5CCA66B21790BE24D5266951D6C2.html,"BLACK FRIDAY SPECIALS AT Your North Oklahoma Gun Store, BRECKINRIDGE ARMS  SUPPLY!  GLOCK 42 + 100 RDS FOR $395   CASH.   This is just one of many eye popping sale specials! Please visit our web Page for all Specials. WE AIM TO PLEASE!    www.breckinridgearms.com"
For Sale/Trade: AR-15 Battle born,Manufacturer:    Armory Dynamics    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4861414,2015,"2,000","Saturday, November 14, 2015","Olathe, Kansas, United States",64A36538749B8DEA29BA5A0F95771540F3C4EBF62CD2F02E0707802793915D15.html,"I have for sale or trade a really nice platform, complete lower, upper all battle born of you don't know very much about battle born u can look it up online battle born made be u.s firearms academy, also has punisher logo oversized pins, punisher trigger guard, punisher piston cover, phase5tactical bad lever, EZ 24"" chrome flute barrel customize by a professional gunsmith, .155 non rotate pins, Ambi safe switch, Ambi nickle plated axts charging handle, chrome axts bolt carrier, Luther sniper stock, sniper pistol grip, punisher dust cover, UTG heavy duty bipod, tactical light, tactical laser, I can probably put some optics for the right deal this was my competition rifle, my best shot was 995 yards, can send more pics for some reason I can only post one. Please no bullshit offers please just look how much just the upper cost on this battle born rifles, priced is been reduced only shot about 300 rds only used it for competition."
For Sale: HK P30 long slide 9mm,Manufacturer:    Heckler  Koch    Caliber:    9mm Luger    Action:    Double / Single Action    Firearm Type:    Pistol,Handguns,4869107,2015,800,"Tuesday, November 17, 2015","Asheville, Asheville, North Carolina",7136CFA91AA38BD4F45A1E260E97DFF64081C3F23DAEDBA3454A44FA922E6C13.html,Never fired HK P30 long slide. 9x19. Factory box and equipment. 2 15 round HK magazines.
For Sale/Trade: Winchester 94 XTR 30-30,Manufacturer:    Winchester    Caliber:    30-30 Winchester    Action:    Lever Action    Firearm Type:    Rifle,Rifles,4877364,2015,600,"Friday, November 20, 2015","Grafton, Cleveland, Ohio",7D02967D6CBBF49BD35C176F2387FD9582141A69CCC44F0BB6D3A25855D85AB5.html,1981 Winchester 94 XTR 30-30  Unfired in excellent condition  Box and paperwork (box is in o.k. shape)    $600 obo    Trades welcome
For Sale: Benelli M2 Real Tree APG,Manufacturer:    Benelli    Firearm Type:    Shotgun,Shotguns,4877402,2015,"1,150","Friday, November 20, 2015","ohio, Ohio, United States",8131DF4189A4871A166F3F772B6548657F682DC4BB55D68C2F2F34DFA9C5D5C6.html,"The M2 Field shotgun is light, ruggedly built, and fast handling. It is the backbone of the Benelli semi-auto line that cycles everything from target loads to the heaviest 3-inch magnums. Ultra-reliable Inertia Driven® system ComforTech® recoil reduction system 12- and 20-gauge Crio® barrel and choke tubes Left hand configurations Compact configurations Lightweight and well balanced..."
For Sale: Browning 1895 High Grade 30-06,Manufacturer:    Browning    Caliber:    30-06 Springfield    Action:    Lever Action    Firearm Type:    Rifle,Rifles,4866326,2015,"1,999","Monday, November 16, 2015","East, Bend, Oregon",819226D9B7A89331E5353EEA18303702ED3816D073E242F2B1C395CD463B73AB.html,Listed is a Browning 1895 High Grade lever action 30-06 rifle. NIB! Please contact Jeff @ 541330585six if you have questions. Asking $1999.00 OBO.. Thank You
For Sale: Colt First Edition Government Model Stainless .380 #117 of 1000,Manufacturer:    Colt    Caliber:    380 ACP    Action:    Double / Single Action    Firearm Type:    Pistol,Handguns,4865435,2015,"1,200","Monday, November 16, 2015","Rileyville Va, Harrisonburg, Virginia",828B24D7D7443C63DAC3F9A264AC310B8EFC8B6D9F5BDAD44F1DD8500672AB22.html,"Here is my 1989 Colt first edition stainless government model .380 with wood case and paperwork. It is not an unfired new in box piece, it's used, but not much. I bought this from and older gentleman that bought it for a carry gun. So it hasn't been in the case it's entire life. It comes with the ankle holster he used, two extra Colt mags(black), and 971 rounds of ammo.  Only 1000 were made in 1989, this is #117.    I have a few more pictures that I'd be glad to email or text to you.  PLEASE look at the maps or your GPS to see where Rileyville Va is. Everyone that has purchased guns from me on this site has driven HOURS to get here, if your not willing to do that, please do not reply. I'm not shipping this.  It could use a good polish, and the rear site has a chip on the right corner. If this doesn't sell right away, I'll order a new site and install it. The display box isn't perfect either."
For Sale: SW 66 4 No Dash Pre Lock,Manufacturer:    Smith  Wesson    Caliber:    357 Magnum    Action:    Double / Single Action    Firearm Type:    Revolver,Handguns,4860242,2015,750,"Saturday, November 14, 2015","Inner Loop, Houston, Texas",836E04253041E6E47C8EBFEBA30993AE60CF21F3B6932BAACA998F1D1044C24A.html,"Great Condition Revolver for sale, fantastic trigger, tight lock-up. Definitely one of the most desirable S K Frame Models."
For Sale: Mossberg 500 20ga and Stevens Double Barrel 20ga,Manufacturer:    Mossberg    Caliber:    20 Gauge    Action:    Pump Action    Firearm Type:    Shotgun,Shotguns,4876083,2015,300,"Friday, November 20, 2015","Downtown Tulsa, Tulsa, Oklahoma",83F148940198967AB124B3EBF7F7D0B6689123F9C34A81AA12E312E8E18E701D.html,"Mossberg 500c 20ga in good shooting condition, few scuffs and scratches $300obo   Stevens Double Barrel SxS 20ga made in USA, good shooting condition $350.  9186197928 text is preferred FTF."
For Sale: Glock 19 nickel boron slide,Manufacturer:    Glock    Caliber:    9mm Luger    Firearm Type:    Pistol,Handguns,4877662,2015,500,"Friday, November 20, 2015","Wilmington, Wilmington, North Carolina",87026D20146E03677E7165F050DDF1CF2DA7D0A299F810154DDE19FB858BF701.html,Beautiful Glock 19 2/ Nickel boron slide  Less then a thousand rounds thru and cleaned immediately after firing     Comes with 2 magazines both hold 15 rounds. Case and holster also included.    Text me for more pictures/ info     James 732 865 6057
For Sale: 4th Gen Glock 26,Manufacturer:    Glock    Caliber:    9mm Luger    Action:    Striker Fire    Firearm Type:    Pistol,Handguns,4873347,2015,480,"Thursday, November 19, 2015","Elk River, Minneapolis / St. Paul, Minnesota",871559DC9B21418E14EA5837B9AACCED559A4752C378A4E28D28FC9C8B997B9C.html,"4th gen Glock 26, less then 100 rounds through it. Includes Black Hawk Holster and Federal Hollow Points. Must have Permit to Purchase. 480 OBO"
For Sale: New RUGER IMPACT AIR RIFLE W/ REAL WOOD STOCK,Manufacturer:    Ruger    Action:    Single Shot    Firearm Type:    Rifle,Rifles,4796800,2015,100,"Friday, November 20, 2015","East, Jackson, Mississippi",8743924BB0446EE1AD30B91B91785BFD601F79BB8AF4E8A23622D98A427347A6.html,"This a new pellet rifle, Its had less than 10 pellets through it. Here's the specs.   22 cal. 1000fps break barrel single shot with real wood stock and rubber butt pad, fiber optic adjustable sights plus steel picatinny rail with 4x32 scope, 2 stage adjustable trigger and built in noise dampener at the end of the barrel. Its a beautiful rifle, it would make an excellent Christmas present for youth or adult. If I cant find a buyer I'll just keep it, I'm just selling to get a little christmas money. Everything is just as if you were purchasing it from a retail store-all the box, manuals, everything. I paid $140. Asking $100 Obo"
For Sale: Smith  Wesson .357 Magnum - Model 27-2 - 6 barrel,Manufacturer:    Smith  Wesson    Caliber:    357 Magnum    Firearm Type:    Revolver,Handguns,4868479,2015,600,"Tuesday, November 17, 2015","NWA, Fayetteville, Arkansas",87F57E07CD9F0E56C5F7B1EFFCBEB7D8588F33742C7E08ADD98ADFC44770161E.html,Gun has seen some use and has some surface rust along the top on the bluing from it's previous owner leaving it boxed for YEARS. Shoots just as it should. Asking $600 or best offer
For Sale: Nighthawk Custom T3 4.251911 45 ACP Free Shipping,Manufacturer:    Nighthawk Custom    Caliber:    45 ACP    Firearm Type:    Pistol,Handguns,4867335,2015,"1,340","Tuesday, November 17, 2015","Abilene, Abilene, Texas",8913592BD41E4FE827C129C2C79FABDBC92B994938481ECAB3E4D36462F193A5.html,"NIB Nighthawk Custom T3. This is the Ultimate Concealed Carry Pistol: Nighthawk designed this little pistol to allow users to pack the powerful 45acp in a small package. A 4.25"" bushing barrel allows field strip anywhere, and keeps the weight down when compared to pistols of comparable size with tapered cone barrels."
For Sale/Trade: I.O Hellcat .380,Manufacturer:    Kel-Tec    Caliber:    380 ACP    Action:    Double Action    Firearm Type:    Pistol,Handguns,4865419,2015,225,"Monday, November 16, 2015","Plum, Pittsburgh, Pennsylvania",901B375055AF74B117DC82040F233DCEBB899A56755C89334A8FFE1E46B0B51E.html,"An I.O Hellcat .380. It is models after the keltec P3AT. Includes firearm, 2 mags, extra spring, pocket holster, manual and original box. There was an issue with the extractor, which most of the gen1 models have. I have upgraded the extractor and have not had any issues with it since then. I have put over 400 rounds through the gun with the new extractor and have not had any issues with it. I haven't used it much since I bought my 9MM. I am looking to sell for $225 OBO or trade for a .22 LR semi-auto (non-tube fed). I can meet anywhere with in reason to get the gun transferred. Let me know what you have worst I can say is no.    Here is a link of a review of the gun, compared to other pocket pistols.  https://youtu.be/0K6vKL0mmXQ"
For Sale: Custom Remington 700 .300 Win Mag in an Accuracy International Chassis,Manufacturer:    Remington    Caliber:    300 Winchester Magnum    Action:    Bolt Action    Firearm Type:    Rifle,Rifles,4871166,2015,"4,850","Wednesday, November 18, 2015","North, Clarksville, Tennessee",90B408FB50C739BE3E1A375C350B5BD5EAB48F13DE79714C8DEDC6FDE98CAF59.html,"Up for sale is a custom Remington 700 .300 Win Mag in an Accuracy International Chassis built by Predator Custom Shop. This rifle has a fully blue printed and trued action with an oversize recoil lug, oversized tactical bolt knob, bolt is equipped with a Sako Extractor, a custom trigger set to a crisp 3lbs, and two detachable 5 round magazines. This rifle has a 26 inch Kreiger bull barell with a number 7 contour and a muzzle break. This rifle also has a custom Cera-Kote camo job on it. The e rifle is outfitted with a Leupold 6.5x20x50 Mark IV scope as well as Mark IV tactical scope rings and piatinny rail. Buyer will get everything described above and a brand new pelican rifle case to go with it. This rifle came from Predator Custom Shop with a 1/2 MOA gurantee, but with the right hand loaded ammo it is 1/4 MOA capable."
For Sale: Taurus 24/7 G2C 9mm,Manufacturer:    Taurus    Caliber:    9mm Luger    Action:    Double / Single Action    Firearm Type:    Pistol,Handguns,4858890,2015,350,"Saturday, November 14, 2015","Spartanburg, Greenville, South Carolina",A528B91817F5149D574F569BC9BFEA43FBCEB8378153C39CB74DBBC93FAC5245.html,"Very clean comes complete with speed loader,a 13 round mag,a 16 round mag, case, and lock.this gun is double and single action with a decocker and can go from compact to full size by changing magazines feel free to text 864-621-6842"
For Sale: Wilson combat complete upper,Manufacturer:    Wilson Combat    Caliber:    223/5.56 NATO,Rifles,4874902,2015,"1,250","Thursday, November 19, 2015","Dublin, Ohio, United States",A77A6F520E0790D0D53F9C0520BD2754888E1C7605795E2B726FF1140DBF2918.html,223 Wylde complete upper bolt and charging handle bought to build an AR changed my mind . It is like brand new comes with Wilson combat case heavy fluted barrel stainless.  Super sniper 20 inch barrel 1-8 twist.
For Sale: NIB RUG Mini Thirty Tactical 7.62x39mm 16.125 Inch Barrel Blue Finish Black Synthetic Stock Ghost Ring Rear Sight 20 Round,Manufacturer:    Ruger    Caliber:    7.62x39    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4697041,2015,669,"Thursday, November 19, 2015","Mentor, Cleveland, Ohio",A7FE6622209F705AED6536D545B44957C49819904174DBA07AE96FD18E87164D.html,"Mini Thirty Tactical Rifle Features a blued 16.125 inch barrel with flash suppressor and black synthetic stock. Adjustable ghost ring aperture rear sight and protected, non-glare post front sight. Scope base is machined directly inly the receiver and can never shoot loose. A set of Ruger scope rings is included. Side ejection of cartridge. Patented recoil buffer. Ships with one 20-round magazine."
For Sale: HK45C,Manufacturer:    Heckler  Koch    Caliber:    9mm Luger    Action:    Double / Single Action    Firearm Type:    Pistol,Handguns,4860736,2015,900,"Saturday, November 14, 2015","South Shore, Massachusetts, United States",A9086284E13FB2793DCDFE47FBCC5B036654DAA668C35A0CBF45391DB01ADDB0.html,Like new HK45C in case with Trijicon HD sights. 150 rounds through it. Awesome awesome gun!
For Sale/Trade: 750.00,Manufacturer:    Ruger    Caliber:    44 Magnum    Action:    Double / Single Action    Firearm Type:    Revolver,Handguns,4872209,2015,750,"Wednesday, November 18, 2015","Hugo, MN, Minneapolis / St. Paul, Minnesota",AA6631D8FFEF857EE4D6E6CC6BBEBC09FE21A3E2526BEDDD2692B8F723D8731E.html,Ruger Alaskan. This Ruger has only been shot around 25 twice. Comes with around 75 Hollow point rds. Price is 750. Comes with a holster and speed loader.
For Sale/Trade: 400,Manufacturer:    Henry Repeating Arms    Caliber:    22 Long Rifle    Action:    Lever Action    Firearm Type:    Rifle,Rifles,4875259,2015,400,"Thursday, November 19, 2015","Shawnee, Oklahoma City, Oklahoma",ADEFAD55CFE8265765F4668BFA8A1B0D7A2B1294BDFD35FEF87868B8044C99B5.html,Brand new Henry lever action rifle shoots L\LR\S mind condition
For Sale: Winchester Pre 64 Model 70 .300 Winchester Mag,Manufacturer:    Winchester    Caliber:    300 Winchester Magnum    Action:    Bolt Action    Firearm Type:    Rifle,Rifles,4867195,2015,"1,300","Tuesday, November 17, 2015","Macon, Macon, Georgia",B0519A278EC2D6B5DCE42A66C96C2F16662010457EA3E6AA31F68A8FFEEC0E0F.html,"Winchester Pre 64 Model 70 in extremely desirable .300 Winchester. I would rate this rifle at 99% because it as been fired just 10rds through it . This caliber is a tough one to get a hold of, let alone in this condition. On top of it all,"
Want To Buy: Stripped Lower,Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,Rifles,4877660,2015,1,"Friday, November 20, 2015","North, Asheville, North Carolina",B74096F6ABE90421697A767685C79A88C2F2DC346A6EE809AB4FAD4CBC89B9A3.html,Anyone have one for sale? Forgot to order one with my build kit. Let me know what kind and what you want for it. I have cash or can trade .22 NIB or right deal. Thanks
